id,title,publishedAt,viewCount,likeCount,commentCount
6A04OifrfR0,空奏列車 (Orangestar) Coverㅣ 藍璃かんな x VESPERBELL ヨミ,2024-09-06T10:58:07Z,2592060,21465,1763
Nr3AhMP1lVg,Love wins all (IU) / 아이리 칸나 Cover,2024-08-18T11:58:07Z,1552906,18205,1831
gq3gzxPBOK0,藍璃かんな(Airi Kanna) | ‘青い宝石と竜の子’,2024-07-25T09:00:07Z,1869900,26895,3243
tZHAWd6yIz4,아이리 칸나(Airi Kanna) | ‘푸른 보석과 어린 용’ Teaser,2024-07-24T03:02:33Z,92066,5128,602
RbQv87f4mvg,에픽세븐 x 아이리 칸나(Airi Kanna) | ‘Frozen Eclipse’,2024-07-06T09:00:07Z,1045703,15444,1286
q-QjjmJjU_8,逆光 (Ado)  from ONE PIECE FILM RED ㅣ 藍璃かんな Cover,2024-06-09T12:29:07Z,9234616,64152,5910
IRvrDhVYXHQ,傷つく誰かの心を守ることができたなら / 藍璃かんな Cover,2024-05-15T11:00:08Z,2045567,19261,1198
7m3xatpfc6o,君と話したくて配信付けちゃった、、💗,2024-04-18T13:50:27Z,65547,1623,31
5wh_pXyifWU,[Corecatis Virtual Games APEXカスタム] お嬢様とゴリラ,2024-03-10T13:50:24Z,62702,1486,19
iCCqSFvz9kM,아이리 칸나(Airi Kanna) | 최종화 (Acoustic Ver.),2024-03-03T14:30:12Z,3792246,28240,1167
V399asNlB-w,[lethal company] 일단 내가 폐급할게 ㅇㅇ / 일본어방송,2024-03-03T14:19:47Z,51493,1440,5
of5l0st1kA8,怪獣の花唄 (Vaundy) / 藍璃かんな Cover,2024-02-10T10:30:10Z,9763880,54966,2061
Wk55tAeejwM,아이리 칸나 (Airi Kanna) - 최종화 (The Last Flower) Live Clip #stellive #아이리칸나 #kanna #최종화 #The Last Flower,2024-02-01T09:00:31Z,193405,12447,336
Zauo4dT3-_8,아이리 칸나 (Airi Kanna) - 최종화 (The Last Flower) Live Clip #stellive #아이리칸나 #kanna #최종화 #The Last Flower,2024-01-31T11:21:07Z,360307,19595,411
zNYEbJr1xj4,아이리 칸나 (Airi Kanna) - 최종화 (The Last Flower) Live Clip,2024-01-31T11:07:31Z,1381173,19054,973
XncmUYeKue4,Airi Kanna 1st solo Concert [ KANNA ],2024-01-27T10:20:46Z,140641,4885,288
cLdqul7Dy0M,언제나 벚꽃이 흐드러질 때면 널 만나러 갈테니까🌸  | Airi Kanna - 벚꽃만월(SPYAIR)/3D live,2024-01-25T07:00:13Z,202110,13037,385
1I3aEqxM6f4,"부̵서̴져̶ ̷사̶라̴져̷도̴ ̶언̸젠̶가̵는̵ ̴너̸에̷게̷ ̴닿̸기̷를̶,̷ ̸이̴ 노래가̸ |  Airi Kanna - ERROR(nikiP)/3D live",2024-01-18T07:04:00Z,217421,12649,359
0Awvm5buVT8,사랑하는 이에게 이 노래와 꽃다발을 바칠게요💐 | Airi Kanna - 최종화 (Last Flower),2024-01-14T07:27:26Z,49510,4159,158
YsGSukJofWI,Airi Kanna 1st solo Concert [ KANNA ] Teaser,2023-12-02T15:13:44Z,42345,2286,363
eLJENPbBe8A,勘ぐれい (ZUTOMAYO) / 藍璃かんな Cover,2023-11-18T13:58:07Z,2831225,19116,930
ajDAmJYPQ-U,藍璃かんな(Airi Kanna) | ‘最終花’,2023-11-09T09:00:10Z,9870347,70758,8137
fOw2MYv4-uo,藍璃かんな(Airi Kanna) | ‘最終花’ Teaser,2023-11-08T11:00:09Z,69114,3337,337
OgwD6f_tdIY,愛して愛して愛して (Kikuo) / 藍璃かんな Cover,2023-10-31T10:00:11Z,1766990,17886,1070
8VdlQZQ46D4,地球儀 (米津玄師ㅣ君たちはどう生きるか OST) / 藍璃かんな Cover,2023-10-25T08:00:10Z,2837747,22197,965
Ei1WobzwsVI,KICK BACK (米津玄師) / 藍璃かんな Cover,2023-10-14T10:30:10Z,2540027,21573,853
GdH0TsPznUs,LADY (米津玄師) / 藍璃かんな Cover,2023-09-23T10:28:11Z,4408251,25794,926
nYgMMdYDGak,ねむるまち (くじら) / 藍璃かんな Cover,2023-09-02T10:30:09Z,1341186,12829,763
OyXGziLmSag,おはよー！かんなと雑談する？！,2023-08-18T08:38:56Z,43394,1389,51
AsoPg-h-644,色彩 / Team. Palette 【ボカデュオ2023】,2023-07-07T10:28:11Z,1878579,15505,1078
kPdB6iGYBBc,藍璃かんな(Airi Kanna) | ‘ADDICT!ON’ Music Video,2023-05-26T09:00:08Z,3909019,37995,2954
uHQ-Tvf4Rx8,아이리 칸나(Airi Kanna) | ‘ADDICT!ON’ Teaser,2023-05-25T11:00:11Z,166165,4189,659
4_Aknw7fm_8,アイドル (YOASOBI) / 藍璃かんな Cover,2023-05-24T11:00:08Z,1709472,21273,2036
