id,title,publishedAt,viewCount,likeCount,commentCount
kuclr4JJCbo,【麻雀一番街】第8回HP麻雀杯 2日目 アキロゼ出陣！【アキロゼ/ホロライブ】,2025-12-13T14:08:43Z,83138,4575,17
fXXYqKNohnk,【Fish Stick Protocol】ホロメンとトレジャーカンパニー バタバタ回収隊！いきます！【アキロゼ/ホロライブ】,2025-12-10T13:06:54Z,50941,5633,32
QJtjJL__7GI,【ゲリラ雑談】めずらしい朝活で近況報告でも！【アキロゼ/ホロライブ】,2025-12-08T23:16:09Z,61507,6745,52
wO3Evw6nBXk,3Dラジオ！『ホロメン流恋愛格言とは！？』 アキちょこナイトパレット第16回 ～ホロライブ深夜ラジオ～,2025-12-08T15:15:56Z,77099,7158,42
Jjxtjz7JuUo,3Dすぺしゃる回！今日のテーマ『#この一言で私落ちました💕』 アキちょこナイトパレット第15回 ～ホロライブ深夜ラジオ～,2025-12-01T15:10:08Z,56882,7391,57
OnTeaa0Jd8s,【チームファイト タクティクス】 今日で大勝ち！TOP4に入れ！TFTイベント本番！Day 2【ホロライブ/アキロゼ】,2025-11-30T14:25:56Z,38276,3316,23
QUvz-4Kkpig,#madtown アキロゼ、屋上の警察を撃破しようとするが・・・ #shorts,2025-11-30T03:00:37Z,54165,2724,24
oJ_fhQNmjVc,【チームファイト タクティクス】 賞金がっぽりしたいぞ！TFTイベント本番！Day 1【ホロライブ/アキロゼ】,2025-11-29T13:56:09Z,33410,3271,13
B1IP-mWMH8k,#madtown ムキさんと呼ぶととみっくす #shorts,2025-11-29T03:00:24Z,59957,3034,51
GnlhGZhIM3M,【チームファイト タクティクス】明日から始まるTFTイベントのチーム顔合わせ＆スクリムやるよ！【ホロライブ/アキロゼ】,2025-11-28T17:03:45Z,37823,3523,13
zNiJVFb2DTY,#madtown 絶対に結婚させたい教会わきを、絶対に結婚したくないツルギ #shorts【アキロゼ/アルランディス/dtto./おなつのにびたし/柊ツルギ/わきを】,2025-11-28T03:01:13Z,16796,1872,33
