id,title,publishedAt,viewCount,likeCount,commentCount
YpMRCkH0Ruk,「読解力」０％「やる気」１００％ 【 殺戮の天使日本語版＃２ 】 【 NIJISANJI EN | Alban Knox 】,2025-12-13T15:04:39Z,10756,1053,8
g2nJ1Dkp32Y,「飼猫 -Dear Bianca-」 #歌ってみた  #vtuber  #nijisanji  #nijisanjien  #shorts  #にじさんじ  #vtuberclips,2025-12-13T10:00:00Z,27118,5947,165
pogtmyHK8vw,THIS GAME HAS JUMPSCARES??? 【 LOST LUMINOSITY 】 【 NIJISANJI EN | Alban Knox 】,2025-12-12T15:19:46Z,12340,928,10
xYSnrKnMZFo,チルプロセカ～【コラボ】 【 PROJECT SEKAI 】 【 NIJISANJI EN | Alban Knox 】,2025-12-11T14:20:05Z,21060,1842,15
N5L_0JOE5BU,RUNNING FOR MY LIFE!!! 【 FNAF: SECRET OF THE MIMIC #2 】 【 NIJISANJI EN | Alban Knox 】,2025-12-10T15:47:02Z,9236,922,13
G4rfkV8sZSM,このワイヤを切ったら。。？【コラボ】 【 Keep Talking and Nobody Explodes 】 【 NIJISANJI EN | Alban Knox 】,2025-12-09T14:44:27Z,32810,2735,23
CrtlRy26BeM,テトリス踊ってみました！　＃踊ってみた #nijisanji #nijisanji_en #shorts #にじさんじ,2025-12-07T10:00:20Z,83174,9888,157
XNUkorfcq7w,WHAT SECRET IS THE MIMC HIDING??? 【 FNAF: SECRET OF THE MIMIC 】 【 NIJISANJI EN | Alban Knox 】,2025-12-06T15:18:06Z,12793,1127,8
JNNiIR1Uu54,IRIS OUT 踊ってみました！ ＃踊ってみた #nijisanji #nijisanji_en #shorts #にじさんじ,2025-12-06T10:00:37Z,207154,18784,191
Pherxg60k00,天使か。。。生贄か。。。？ 【 殺戮の天使日本語版＃１ 】 【 NIJISANJI EN | Alban Knox 】,2025-12-05T15:16:32Z,13495,1318,14
NQI_51Wi5yY,it's time for some relaxing fishing!!! :D 【 UMIGARI ウミガリ DEMO 】 【 NIJISANJI EN | Alban Knox 】,2025-12-02T14:46:19Z,13021,1137,10
sm-CxQMfqdA,MORE STUDY!!!! 勉強！！！ 【 JP STUDY / 日本語勉強 】 【 NIJISANJI EN | Alban Knox 】,2025-11-29T15:14:03Z,16404,1444,10
YercuVgzhGM,VIVA LA LIBERATION 踊ってみました！ ＃踊ってみた #nijisanji #nijisanji_en #shorts #にじさんじ,2025-11-29T10:00:55Z,70985,8335,174
iQbhEEQWKsU,I MISSED PLAYING THIS GAME 【 PROJECT SEKAI 】 【 NIJISANJI EN | Alban Knox 】,2025-11-28T14:43:17Z,18108,1537,7
oH6xJyWgB8Y,#一旦ステイTONIGHT 踊ってみました！夜はこれから！ ＃踊ってみた  #nijisanji #nijisanji_en  #shorts  #にじさんじ  #いつでもどこでも一旦ステイ,2025-11-28T10:01:22Z,107972,16240,210
YT9xjOFVlgU,I MIGHT ACTUALLY CRY THIS TIME 【 MY LITTLE PUPPY #2 】 【 NIJISANJI EN | Alban Knox 】,2025-11-26T15:52:38Z,13062,1090,10
8z4Tat8bU2w,i will probably cry 【 MY LITTLE PUPPY 】 【 NIJISANJI EN | Alban Knox 】,2025-11-25T15:13:38Z,17667,1573,15
nD3wIvtqK2Y,Yukopi - 強風オールバック (feat.歌愛ユキ) 踊ってみました！ ＃踊ってみた #vtuber  #nijisanji  #nijisanjien  #shorts  #にじさんじ,2025-11-23T10:01:15Z,89713,11390,235
IIGm8VYFyTA,Number_i - BON 踊ってみました！ ＃踊ってみた #vtuber  #nijisanji  #nijisanjien  #shorts  #にじさんじ,2025-11-22T10:00:28Z,161317,19475,206
wZgQuuQpNBM,僕たちのチームワークは。。。太陽よりアツアツ！！アッッッッチィ！！！！ AFCコラボ！ 【 R.E.P.O. 】 【 NIJISANJI EN | Alban Knox 】,2025-11-21T16:15:39Z,29719,2246,25
RhlWwwlQX0Y,HOWL Ayumu Imazu 踊ってみました！ ＃踊ってみた #vtuber  #nijisanji  #nijisanjien  #shorts  #にじさんじ,2025-11-21T10:00:47Z,424799,28685,167
NvdKBX1CI14,STUDY DAY!!!!! 勉強！！！ 【 JP STUDY / 日本語勉強 】 【 NIJISANJI EN | Alban Knox 】,2025-11-20T14:52:25Z,13608,1251,9
PWYHRChBsBs,"BE GENTLE, I'M BABY 【 ARC RAIDERS 】 【 NIJISANJI EN | Alban Knox 】",2025-11-18T15:00:40Z,8335,852,9
MBgv4qzIZ74,「愛して愛して愛して」 #歌ってみた  #vtuber  #nijisanji  #nijisanjien  #shorts  #にじさんじ  #vtuberclips,2025-11-15T10:00:36Z,180834,30886,322
1ljTe5-FSi4,HOP AND BOUNCE TO THE FINISH!!! 【 SUPER BUNNY MAN 】 【 NIJISANJI EN | Alban Knox 】,2025-11-11T15:14:52Z,24205,2373,14
iJYiJ1Pf72k,【ベイビー日本語】 掃除してる猫ちゃん(=^・^=) 【 しずかなおそうじ 】 【 NIJISANJI EN | Alban Knox 】,2025-11-07T15:18:16Z,15994,1412,15
8w_EisuLXYw,"WELCOME TO DANGER PARK!!! wait, what... 【 WATERPARK SIMULATOR 】 【 NIJISANJI EN | Alban Knox 】",2025-11-06T14:31:48Z,9720,909,10
FrlIHOtwBtU,I'M BACK TO CHECK OUT THE SERVER(S?) 【 MINECRAFT 】 【 NIJISANJI EN | Alban Knox 】,2025-11-05T15:43:57Z,15265,1374,17
vaoJXQoofCA,BEEP BEEP!!! WE'RE COMING THROUGH!!! 【 RV THERE YET? 】 【 NIJISANJI EN | Alban Knox 】,2025-11-02T03:39:51Z,12160,934,13
Hg4m9nnHofU,"feet lovers, this isn't that kind of stream, sorry :( 【 CHICKEN FEET 】 【 NIJISANJI EN | Alban Knox 】",2025-10-30T13:42:45Z,11016,1027,9
kc9sN_yNJDk,"this collab is PEAK!!! w/ Merry, Lucien & Altus!!! :D 【 PEAK 】 【 NIJISANJI EN | Alban Knox 】",2025-10-29T15:04:02Z,14476,1333,9
oKUQRjJK49E,!! SPOILERS !! RUNNING TO FREEDOM!! W/ FREO 【 LITTLE NIGHTMARES 3 #2 】 【 NIJISANJI EN | Alban Knox 】,2025-10-28T15:37:46Z,15543,1213,10
XNIal-aYUlI,does it really mean... EVERYTHING??? 【 DATE EVERYTHING! 】 【 NIJISANJI EN | Alban Knox 】,2025-10-25T14:43:41Z,14039,1266,13
UoQQqoJgcNM,Overdose/なとり #歌ってみた #vtuber  #nijisanji  #nijisanjien  #shorts  #にじさんじ,2025-10-25T09:00:55Z,266198,34624,384
kxGM8SZCZzs,【ベイビー日本語】 店長のかっこいい働く姿を見せるよ！！！ 【 おにぎり屋さんシミュレーター 】 【 NIJISANJI EN | Alban Knox 】,2025-10-24T13:40:07Z,15980,1477,13
nALG4YEH15k,SCARIEST GHOSTS EVER??? 【 HAUNTED ROOM 205 】 【 NIJISANJI EN | Alban Knox 】,2025-10-23T13:38:30Z,10451,1023,14
cglyetuie08,!! SPOILERS !! ESCAPE THE NIGHTMARE W/ FREO 【 LITTLE NIGHTMARES 3 #1 】 【 NIJISANJI EN | Alban Knox 】,2025-10-22T16:20:03Z,25838,2056,12
dNh-WI8ZP_Y,"TRYING FOR OTHER ENDINGS + SECRETS 【 NO, I'M NOT A HUMAN #2 】 【 NIJISANJI EN | Alban Knox 】",2025-10-18T14:01:24Z,13118,1191,9
ZeKZT6Ccdlw,#モエチャッカファイア を歌ってみた！！ #vtuber  #nijisanji  #nijisanjien  #shorts #funny #にじさんじ,2025-10-18T10:00:58Z,374284,46046,438
GT40qzvGYlg,【ベイビー日本語】 夜食食べてもいい？ぴえん 【 ママに隠れて夜食を食べる 】 【 NIJISANJI EN | Alban Knox 】,2025-10-17T13:42:38Z,12641,1284,13
Keebf8aQ7c4,I WILL BE RESPONSIBLE TODAY!!! (i think...) 【 CLOVERPIT 】 【 NIJISANJI EN | Alban Knox 】,2025-10-16T15:26:48Z,10373,1010,8
Hh9au1ODGqA,WHO IS SHE AND WHY IS SHE SO SCARY??? 【 DREAD FLATS 】 【 NIJISANJI EN | Alban Knox 】,2025-10-15T15:06:08Z,12753,1189,15
