id,title,publishedAt,viewCount,likeCount,commentCount
Z8x-7gFIunE,Bansanka 晩餐歌 - tuki. | Alia Adelia Cover,2024-12-28T12:00:06Z,171914,13676,2392
cKy_qsZRWcc,Graduation stream,2024-12-27T12:28:35Z,181160,19716,2991
bzxZi6IHFXg,(Ku Ajarin Bahasa Jepang!) Belajar Kosakata Baik (mungkin) with @NiaRedalionCh,2024-12-24T03:34:35Z,13208,811,42
yDK-IM_YOS0,(Horror) Creepy banget bikin pengen makan keripik 🥶 【Funeralopolis Indonesia】,2024-12-23T03:32:16Z,2764,271,5
_RHoc9TeeLk,Ngobrol-ngobrol dengan baik 🐐,2024-12-22T03:39:31Z,4850,414,12
kUQTtz8wKrY,GADIS NJOWO DIWEHI BOM w/ @CeciliaLieberia 【Keep Talking and Nobody Explodes Indonesia】,2024-12-14T04:34:08Z,3999,380,3
y1GmM-22XEQ,Pertama kali cobain game paling jantan 2024!! 【Infinity Nikki Indonesia】,2024-12-12T05:11:22Z,4793,409,11
eJRJwT-38mE,Bingung mau makan apa 🐐,2024-12-11T04:05:19Z,2694,266,7
jJoq5L13lY0,Apa salahnya mabar di dungeon?! 🐐 【Gold and Glory Indonesia】,2024-12-10T03:22:34Z,2355,277,2
QaWDVH9N6ow,Ajarkan aku tentang dunia!!!!,2024-12-03T04:23:56Z,3772,387,10
BqoYnHTAJ4U,(Ku Ajarin Bahasa Jepang!) Malem senin enaknya belajar!!! 🐐 (Vtuber Indonesia),2024-12-02T03:50:16Z,2836,324,6
oZZ0zW1e4DE,Curhat sambil mabar ranked bareng bocil Musashi 🐐 【Honor of Kings Indonesia】 (Vtuber Indonesia),2024-12-01T04:10:37Z,2270,298,5
Xi4PwWCfBAs,Alia stream ngobrol omagah 😱,2024-11-27T04:19:29Z,2704,263,8
RRiYecpFuUw,Kambing seruduk zombie di atap rumah 🐐 【Plant vs. Zombies Fusion Indonesia Part 5】,2024-11-23T16:42:50Z,3419,310,10
