id,title,publishedAt,viewCount,likeCount,commentCount
g9L0AJj1J7o,Nyantai Dulu Gak Sih di CAFE MAHA5?,2024-07-20T10:11:05Z,65478,3329,363
nuGQ0cU-_zc,【LIVE】EXCLUSIVE LAUNCH: Official Collaboration Fantech x MAHA5,2024-06-30T08:02:10Z,18728,2229,154
_wTzqsT5urA,Andi mau dipeluk #shorts #stumbleguyshighlights #vtuberclip,2024-04-23T09:00:21Z,45544,2290,179
V7aON4J3YuE,MUKBANG DI BULAN PUASA #shorts #vtuberclip #ramadhan,2024-04-07T09:00:30Z,24895,1804,66
lC7wS52MSdM,KUCING MERESAHKAN #shorts #vtuberclip #kucinglucu,2024-03-27T08:04:25Z,21654,1684,31
KllSoF01iqE,Streamer's Luck #shorts,2024-03-25T09:00:15Z,11317,898,15
-VMafUx9PQs,NGAJARIN ADIK YANG IQ RENDAH #shorts #vtuberclip #kakakadik,2024-03-24T09:00:00Z,20445,1829,19
dJHccqcQ5Lo,REAKSI PERTAMA SENDOK BOLONG #shorts #vtuberclip #debm,2024-03-23T09:00:34Z,23414,1895,24
yKiaVvTaUDM,IKLAN PEMBALUT #shorts #vtuberclip #iklanlucu,2024-03-22T09:01:01Z,14809,1174,24
slJFMK4u1m0,EKSPRESI ABANG KETIKA ADIK MENINGGOY #shorts #vtuberclip #kakakadik,2024-03-21T09:00:42Z,22983,2057,14
-cpXXtUHt0c,JAJAH BALIK #shorts #vtuberclip #minecraftclips,2024-03-20T09:03:49Z,22813,2085,17
k7wyVHIu16k,Videonya lucu banget ya #shorts,2024-03-19T09:00:30Z,15275,1381,24
poX6EYQLu3I,MOMEN BASMI KECOA SAAT MASIH STREAMING #shorts #vtuberclip #kecoa,2024-03-18T09:00:41Z,18044,1762,29
6liepaPO-78,SARINGAN BUAT APA? #shorts #vtuberclip #debm,2024-03-17T09:00:04Z,16635,1446,25
BRLrhhVgve4,EMOSI LIAT DEBM #shorts #vtuberclip #debm,2024-03-16T09:00:08Z,16651,1175,26
AuqQ8CnJru0,ITU TAHU! #shorts,2024-03-15T09:00:07Z,16595,1319,31
Jc5ToVpwuNU,KAKAK SI PEMBELA ADIK #shorts #vtuberclip #projectzomboid,2024-03-14T09:00:25Z,7721,828,22
ZDqf_ImSVgQ,DORAEMON TOXIC #shorts #vtuberclip #doraemon,2024-03-13T09:00:24Z,15411,858,23
