id,title,publishedAt,viewCount,likeCount,commentCount
O7zjiYfsKjE,Another GOLD Banger From Calli! ✨Gold Unbalance feat. 中島健人✨ #shorts #hololive #vtuber #踊ってみた,2025-12-13T09:00:41Z,25383,5093,170
rLKmolonzJ0,【#TheGameAwards 2025】TGA 2025 IS HERE! Mirror Watchalong Stream!~【hololive ID | Anya Melfissa】,2025-12-12T04:39:00Z,34003,3904,20
BIeMm3aOAkU,【NEW COVER | フルver.公開中！】1000年生きてる (living millennium)  / Anya Melfissa #shorts #vtuber #歌ってみた,2025-12-11T09:00:32Z,16536,2670,28
5SqzKPRGSLM,【NEW COVER | フルver.公開中！】1000年生きてる (living millennium)  / Anya Melfissa #shorts #vtuber #歌ってみた,2025-12-10T09:00:07Z,18212,2986,40
5U5bTlTbLI8,【HATSUNE MIKU: COLORFUL STAGE!】HAPPY 4TH ANNIVERSARY COLORFUL STAGE!!!! #CST4thAnni【hololive | Anya】,2025-12-08T13:52:24Z,17969,3391,15
jns8MZxSR8I,【LAST CHICK - 最後のひよこ】We Are the Anyalings! Please Feed Us!【hololive ID 2nd Gen | Anya Melfissa】,2025-12-08T11:28:18Z,14983,3314,17
yjMPMIqEIRc,【#Anya5thsary】 NEW ACCESORIES REVEAL + COOL ANNOUNCEMENTS! お披露目や告知！5周年スペシャル！【holoID | Anya Melfissa】,2025-12-05T13:37:18Z,48942,8855,107
sjNyK3l4axQ,【cover】 1000年生きてる (living millennium)  / Anya Melfissa,2025-12-05T13:30:06Z,35071,8301,282
9rWjJmf7lTk,【Short Cover】オーバーライド (Override) / Anya Melfissa × Kobo Kanaeru #shorts #vtuber #歌ってみた,2025-12-05T09:00:24Z,117806,9476,135
ODWxP_xM5Es,【5TH ANNIVERSARY COUNTDOWN】WHAT DO YOU MEAN FIVE YEARS... Let's Count Down!【holoID | Anya Melfissa】,2025-12-04T18:01:07Z,21171,4575,80
nFz6zUSCrnk,【Short Cover】花となれ (Hana to Nare) / Anya Melfissa × Kaela Kovalskia #shorts #vtuber #歌ってみた,2025-12-04T09:01:30Z,31909,4506,130
1_hGoQ2khOY,【Short Cover】食虫植物 (Carnivorous Plant) / Anya Melfissa × Vestia Zeta #shorts #vtuber #歌ってみた,2025-12-03T09:00:02Z,29640,4342,106
IJkBdsGy4eo,【ARC Raiders】Trying Out Solo ARC【hololive ID 2nd Gen | Anya Melfissa】,2025-12-03T08:59:59Z,24850,3485,27
