id,title,publishedAt,viewCount,likeCount,commentCount
Z63M2NtTsD0,CS Jumpscare...,2025-12-13T00:00:53Z,5724,627,19
3Rj8xgdpk20,Unique Yoga...,2025-12-12T00:00:05Z,5629,766,15
DqYjXnLIWWE,Froog Falling Asleep On Stream,2025-12-11T00:00:24Z,18974,1870,42
du4LQfaYLDU,ABCDEF GO!,2025-12-10T00:00:51Z,15178,2058,45
tNNxUazJX58,His WHAT Is On Fire?!,2025-12-09T00:01:05Z,15067,1283,21
H2mJ6Ha4FTU,DID YOU SEE IT?,2025-12-08T00:00:31Z,9513,994,16
sW4S79zjy6U,She Destroyed The Fabric Of Space...,2025-12-07T00:01:09Z,10188,1139,25
teAyHhE7rXo,Violence Is Never-,2025-12-06T00:01:14Z,20316,1579,31
TqAbPTdhuLI,Froot Cake Is Lethal!,2025-12-05T00:00:42Z,38937,4158,110
edBvLyu6p2w,When It Gets Too Hot...,2025-12-04T00:01:00Z,34131,3680,110
sZHII4Yl4zU,Jerma Jumpscare,2025-12-03T00:01:08Z,17819,1777,14
_fNZQ8AsXow,The Smuggest Girl You've Ever Seen,2025-12-02T00:00:45Z,18987,3086,60
-4gs9LEIygs,LIKE ZOINKS,2025-12-01T00:00:01Z,17681,1542,26
WfiqV-Em8eE,Froot News Report,2025-11-30T00:00:40Z,13067,1548,19
XirDyNoL8yI,Noone Is Safe When Froot's Driving,2025-11-29T00:00:43Z,12551,1651,32
xU4eKmr6WCI,Yeah...Let's Not Fight Him...,2025-11-28T00:01:09Z,11838,1606,35
qf9sPwRYQaA,Froot Commits Arson,2025-11-27T00:00:59Z,13816,1725,39
EVldpYU_lk0,I'M GLAD YOU AXE!!,2025-11-26T00:00:13Z,15529,1889,49
JW2YSuGJSzk,Cringe VTuber Debut,2025-11-25T00:00:23Z,26524,2356,54
9ao_cXQGEx4,CAUGHT IN 4K,2025-11-24T00:00:18Z,27686,2768,41
AGHS6Rn38c0,Mommy?..I mean Mommy?..I mean Mo-,2025-11-23T00:00:20Z,15965,1963,35
pJ0_D7dfXyI,Streamer Luck Is Real...,2025-11-22T00:01:04Z,12508,1473,23
18hCEL9lBAI,VTuber.EXE Has Stopped Working,2025-11-21T00:00:03Z,11541,1385,40
hhomJpMAerM,Digimon Knew What They Were Doing...,2025-11-20T00:00:49Z,16333,1702,39
3kl30cDcKYM,THE KILLING MACHINE,2025-11-19T00:00:10Z,16568,1711,40
Aq1j-xFzxGo,"""Why Is My Oshi Like This""",2025-11-18T00:00:11Z,18087,1790,30
AlFao7mzpyE,Froot Learns How Cars Are Made,2025-11-17T00:00:17Z,25006,1994,37
dqfHZGMrZCs,nice COCK,2025-11-16T18:06:05Z,27710,2098,69
