id,title,publishedAt,viewCount,likeCount,commentCount
UPu9sZIKLcI,【ARC Raiders】Back to the loot fields w/ @RegisAltare @rprxx,2025-12-11T16:39:48Z,3030,501,3
CdFbWJiqX0g,【League of Legends : TFT】Eating some lunch and playing some TFT :3,2025-12-11T06:06:43Z,2352,421,1
dDGtjrY0sWs,【UMAMUSUME PRETTY DERBY】MANHATTAN CAFE GACHA!!! PLEASE CYGAMES I NEED HER... TToTT,2025-12-09T03:36:57Z,11693,980,14
eJ8TWtApAjs,【MIMESIS】The Final Byakko member was an AI...?  ⁨ ⁨@GunjoRoman @tsumugu_nawa @AmakamiKonomi,2025-12-07T16:56:16Z,4749,668,5
9GZ3iQXWTYM,【League of Legends : TFT】NEW SET IS OUT AND ITS ABOUT 𝓛𝓞𝓡𝓔,2025-12-07T05:16:08Z,1731,374,2
tlFAVb_QvWI,【Zatsudan】Hello guys... I'm back ; ;,2025-12-06T16:40:06Z,3530,663,17
-rEkLmNO760,【ARC Raiders】ARC Raiders with the dudes 8) w/ @ooharaMEN  @marunnn,2025-12-01T14:23:55Z,3232,517,2
mn-fP50YBNc,【UMAMUSUME PRETTY DERBY】Libra Cup Ace building and Japan Cup talks!!!,2025-11-30T05:26:03Z,4905,638,4
h5pJaQVwV0Y,【Path of the Abyss】I CAN FINALLY PLAY THIS GAME IN EN!!!,2025-11-29T06:19:07Z,2554,485,2
Nkv8z2MoqnM,【ARC Raiders】Time to destroy them Clankers!!! w/ @moshu.o @marunnn,2025-11-28T17:05:00Z,3951,546,1
1ADL_PQOf0Y,【UMAMUSUME PRETTY DERBY】Making a new parent in Aoharu scenario!,2025-11-28T01:01:45Z,3825,511,1
zPAwiGVJKJA,【LETHAL COMPANY】Time to play with the Byakko Members!!!,2025-11-26T15:41:02Z,5012,749,3
fAbm8dBvtec,【Cast N Chill】Old man does Old man things🐟,2025-11-26T06:43:25Z,5226,693,5
mwfupWsCHD8,【LETHAL COMPANY】Time to go back to my 9 to 5 😎,2025-11-22T04:54:54Z,4681,687,12
kKaZRHkQvfs,【ESCAPE FROM DUCKOV】Im more of a chicken type of guy but ducks do be tasty too :3,2025-11-20T05:04:00Z,2463,482,5
KhBz0bodCSo,"【UMAMUSUME PRETTY DERBY】Please Seiun Sky, don't make me graduate you w/@Rednu",2025-11-19T04:13:19Z,5567,719,11
EjnjBuZffNM,【BATTLEFIELD: REDSEC】Three Dudes One Battlefield🔫🔫🔫 w/  ⁨@RegisAltare⁩   ⁨@Dokibird⁩,2025-11-16T06:24:09Z,7310,1205,17
mEksF64O3PE,【R.E.P.O】Will me being sleep deprived help the scary situation???,2025-11-15T03:04:02Z,5175,710,8
sNGp0lbJOoM,【UMAMUSUME PRETTY DERBY】SETTLED DOWN THAT MEANS MORE UMA GRIND TIME!!!,2025-11-13T16:08:21Z,4434,590,7
AINhp_ZnPTw,"【Zatsudan】Oh, what's this?",2025-11-09T03:08:13Z,4549,806,7
BYxlcvl7fZ4,【APEX】Let's go get this DUB!!!【DTTO. UNITY FES】,2025-11-08T12:38:22Z,6592,747,2
Xf-IfvoB0gA,【UMAMUSUME PRETTY DERBY】Umamusume but in 𝓙𝓪𝓹𝓪𝓷,2025-11-07T15:40:38Z,5149,708,5
1rSCcI_9Qg0,【BIRTHDAY KARAOKE】TIME TO SING LIKE A MAD MAN🎶,2025-11-02T06:16:36Z,9667,1490,25
5_8B45UcDI8,【BIRTHDAY STREAM】How old am I now guys?,2025-11-02T03:09:15Z,6418,1354,37
x1LBihDUujw,【#MADTOWN】終わりがあるからこそ、素敵なMADTOWN。＃FINALE,2025-10-31T18:37:23Z,8944,770,11
hxNyDdXn4Uc,【#MADTOWN】ユニオンリベンジ、絶対頑張る。 20,2025-10-30T18:25:22Z,8525,758,8
5u-qd4zY32Y,【#MADTOWN】ラストウィーク！！！まだまだ頑張るぞ！！！ #19,2025-10-29T18:28:33Z,8206,715,2
shxfYgD7MFQ,【#MADTOWN】今日も今日とて大型やりたい！！！ #18,2025-10-26T18:31:59Z,9770,742,7
V-UqDC-woQc,【#MADTOWN】パシフィックリベンジだ！！！ #17,2025-10-25T17:58:08Z,10194,788,3
DhvaDlzNogU,【FINAL FANTASY TACTICS】We're so back!!! #7【FFT】,2025-10-25T09:22:51Z,3914,585,4
Bo3h0ELJt10,【#MADTOWN】大型に参加したい！ #16,2025-10-24T18:18:58Z,9619,715,5
w3FBpI3a1q0,【UMAMUSUME PRETTY DERBY】It's been a while my Horsies👑,2025-10-24T03:09:05Z,2864,448,3
XJk94ZNqB9c,【#MADTOWN】今日から白狐のメンバーとして。 #15,2025-10-23T15:41:42Z,12137,825,3
pn7_M-a_-Ps,【#MADTOWN】新しいスロットが追加されたらしい #14,2025-10-22T18:27:41Z,16955,1127,7
CY-LIGkBv_4,【FINAL FANTASY TACTICS】Time to fight the Lacavi! #6【FFT】,2025-10-21T07:27:35Z,3735,540,8
0MUrf4MJLzE,【FINAL FANTASY TACTICS】I just got the White Materia...? #5【FFT】,2025-10-20T09:10:59Z,4141,566,5
T69CcIvNdRk,【#MADTOWN】今日も最にMADなTOWNへ #13,2025-10-19T13:55:59Z,5704,587,2
F5SqnoXSf_g,"【FINAL FANTASY TACTICS】Argath, you don't know what you're going to get hit with #4【FFT】",2025-10-19T01:11:27Z,2742,458,2
gsAND4Tzhso,【FINAL FANTASY TACTICS】I have returned with food :3 #3【FFT】,2025-10-18T08:29:55Z,2720,482,5
suJkvnQCZjE,"【FINAL FANTASY TACTICS】There Is No Right or Wrong, Only Resolve #2【FFT】",2025-10-18T03:08:55Z,2126,416,4
9SYKpE0DQuI,【FINAL FANTASY TACTICS】My first ever time playing the OG FF Tactics【FFT】,2025-10-17T07:06:38Z,3324,579,7
4bFJoQgYomc,【UMAMUSUME PRETTY DERBY】CANCER CUP FINALE ROUND - Will I get the Triple Crown👑,2025-10-16T04:50:28Z,4361,503,6
TeJ-OwSWdZU,【#MADTOWN】今日は少しだけインします！#11,2025-10-15T17:52:46Z,12536,909,6
MVRGateQb4A,【UMAMUSUME PRETTY DERBY】Time to pull for my beloved Summer Hagzensky👙☀️【Gacha Stream】,2025-10-15T00:20:49Z,7201,721,9
yzI73AGnTD8,【UMAMUSUME PRETTY DERBY】CANCER CUP ROUND 2 - Testing out my new Seiun Sky🏇🔥,2025-10-12T23:48:02Z,3786,433,6
oKV9pYAEA3g,【#MADTOWN】ギャングのオーディションを受けてみます :3 #10,2025-10-12T15:45:20Z,11656,874,7
K1k8norP26Y,【#MADTOWN】I want to go to a bar in the city today :3 #9,2025-10-11T18:21:05Z,7051,679,4
B8SeLa4ZbAw,【UMAMUSUME PRETTY DERBY】TIME TO START THE CANCER CUP 🏇🔥,2025-10-11T01:08:44Z,6506,679,23
wZXx4sVgih0,【#MADTOWN】No more gambling starting today!!! #8,2025-10-10T18:18:21Z,4890,579,2
JmgH1jlamGY,【Grounded 2】New updates dropped??? 👀w/ ⁨@CrimzonRuze⁩   ⁨@BanzoinHakka⁩   ⁨@JosuijiShinri⁩,2025-10-10T04:47:53Z,3888,601,7
jdyLLuA5VjU,【#MADTOWN】Can we reach S+ Tier today...? #7,2025-10-09T16:27:30Z,6820,648,2
XMgVhetK6Tk,【#MADTOWN】Boosting Time😎 #6,2025-10-08T18:19:31Z,4777,562,2
T_OI9p20o-Y,【#MADTOWN】Time to boost and make some money 😎 #5,2025-10-08T11:32:04Z,4925,538,2
aHCg5vb3W-s,【CLOVER PIT】Late night gambling addict stream zzz,2025-10-06T19:46:06Z,4121,629,3
XcuW1B828MA,【#MADTOWN】No more pokies for me I guess #4,2025-10-05T13:54:18Z,4149,504,4
82Ptw14IRps,【#MADTOWN】Time to flip some cars and hit the pokies!!! #3,2025-10-03T18:29:25Z,7155,721,6
y3YkxHTPWhU,【#MADTOWN】Fishing and Cookin #2,2025-10-02T18:15:06Z,5918,619,7
34tn7j7XS4g,【#MADTOWN】Time to check the new town out!!! #1,2025-10-02T12:08:05Z,7511,761,3
Rpn1OO0SpIk,【CLOVER PIT】TIME TO HIT THE POKIES🤑🤑🤑,2025-10-02T05:33:54Z,3995,722,4
bWZoyAyUGJI,【UMAMUSUME PRETTY DERBY】I guess it's time to play some more Uma!!!,2025-10-01T07:04:23Z,3323,509,3
_SfPKjHxijY,【Zatsudan】OTSUSTARS!!!,2025-09-29T04:32:16Z,7504,1151,19
wbKX4AA8LpI,【MAGE ARENA】YOU DARE USE MY SPELLS AGAINST ME?,2025-09-25T03:17:37Z,4720,691,3
LHqWFjMYgIw,【UMAMUSUME PRETTY DERBY】Let's make our Cancer Cup ACE!!! 🏇🔥,2025-09-23T06:26:00Z,3204,468,5
vwl7U0DE_hk,"【No, I'm not a Human】So... are YOU a Human...?",2025-09-18T04:26:34Z,6065,719,9
vkz6CqTkA_4,【UMAMUSUME PRETTY DERBY】✨♊ Gemini Cup FINALS!!! MAY THE BEST HORSE WIN!!! 🏇🔥,2025-09-17T00:29:26Z,4929,544,10
Wr3y1vjjgPY,【League of Legends】Time to play some Aurelion Sol Mid for real this time!,2025-09-16T07:53:47Z,2957,477,5
uUV7_nUcJ9I,【KEEP DIGGING】Bun-Bun Gang Dig'n'Chill time⛏️⛏️⛏️,2025-09-16T07:40:03Z,3175,479,5
Qjzh5rsKSTQ,【Without a Dawn】What secrets hide in the darkness? 🌑,2025-09-14T04:30:18Z,2722,561,6
aXHDq1i30io,"【FALL GUYS】Fall Guys but chat keeps grabbing me… hey, 10 bucks is 10 bucks 👀💸",2025-09-13T05:30:21Z,4720,640,8
b4CFE99Ad0U,【UMAMUSUME PRETTY DERBY】✨♊ Gemini Cup Begins! First Round Starts Now! 🏇🔥,2025-09-12T00:09:35Z,5490,624,19
MkemSdbDd_k,【CLOVER PIT→UMAMUSUME】LET’S GO GAMBLINGGG 🍀🎰🔥,2025-09-11T05:07:30Z,5857,920,3
8FWAzZujipo,Your Gladiator/Hitman/Idol! #shorts #axelsyrios #HSEverglow,2025-09-11T01:00:13Z,9987,1830,33
APDSu0k6ksk,【UMAMUSUME PRETTY DERBY】DO IT FOR HER ❤️🐴🌸🕊️,2025-09-10T05:16:33Z,7662,1173,11
51PC2-Zi3GM,【League of Legends】Time to play some Aurelion Sol Mid!!!,2025-09-09T05:24:02Z,3470,624,2
5PWxZJBCxzg,【UMAMUSUME PRETTY DERBY】I have 4000 carats and a dream. Onegaishimasu KMR sama🙏🙏🙏,2025-09-08T01:08:38Z,6822,843,10
zNXHmHk99ko,【Zatsudan】My back and neck is in so much pain recently🤢,2025-09-07T04:50:44Z,2923,562,5
5wBKQ2kTYJA,"【DELTA FORCE】DTTO. UNITY FES / with 巫神 こん, Anya Melfissa, リモーネ先生",2025-09-06T11:08:42Z,6491,784,5
56DqgcR1wNU,【UMAMUSUME PRETTY DERBY】Training with Daiwa Scarlet for the Gemini Cup!!!,2025-09-05T03:24:44Z,3676,588,6
