id,title,publishedAt,viewCount,likeCount,commentCount
cg8rDjiDen8,FREE TALK for a bit,2025-12-11T07:02:12Z,22605,3442,27
ZKDIJMEondI,CORE KEEPER WITH DUO AAI,2025-12-07T08:55:59Z,16772,2865,14
mSgq6KxE6-c,AyunDelay RisDuar #RVthereyet #hololive #explosion #vtuberclips,2025-12-07T03:25:40Z,30301,2825,47
3be-fyYXOvE,Lak Cestis,2025-12-05T12:14:42Z,30284,3840,23
mcESBz-Wj0A,#JingleJam #Makeawish  Corekeeper Survive-A-Thon x Jingle Jam 2025,2025-12-04T12:27:12Z,18490,2999,11
6YFCVg3yFak,UPGRADES !,2025-12-03T14:36:15Z,21793,3505,10
MGrdCSN9-t8,hehe new game addiction,2025-12-01T11:45:15Z,20650,3241,20
cat2cpogVEo,#PMGC2025 PUBG Mobile Global Championship Watch Party ! Ayo kita dukung tim Indonesia : ALTER EGO !,2025-11-30T15:05:13Z,45998,4418,13
I0aNWB16o5s,MIMESIS bersama geng ronda,2025-11-29T15:25:04Z,40201,4173,22
d5cT3ePEFlw,"Another day, another memanshing",2025-11-26T08:09:14Z,17154,2849,16
a6n27hyMlqk,EPIC FINAL BATTLE ! #RVthereyet #rv #ayunda_risu #hololive #hololiveclip,2025-11-26T05:21:02Z,38314,3447,61
PMIgX52SG3M,memanshinngggg again,2025-11-25T09:42:14Z,21591,3323,21
3U6z-Rbxbso,M.M.M (Mari Membahas MIR//or) - a Q&A stream,2025-11-24T16:40:54Z,24000,3619,47
yaSQUTHo3h8,KARAOKE LALALA (MIGHT BE UNARCHIVED DEPENDS ON MOOD LOL),2025-11-21T15:08:49Z,59801,7432,63
QIIbdZOBfyM,【Original Song MV】MIR//or【Ayunda Risu】,2025-11-21T15:00:06Z,237457,25255,2449
VW9Y2hLUyD4,EPIC TRUCKING,2025-11-21T10:13:04Z,32600,4688,13
xstAenXXW4E,Playing Sebentar Only,2025-11-19T08:46:17Z,29868,3969,15
