id,title,publishedAt,viewCount,likeCount,commentCount
rb5WVmbWUjg,【R.E.P.O.】#バカタレサーカスゲス侍 で久しぶりのREPO！【ホロライブ / AZKi】,2025-12-12T15:41:50Z,100412,7232,42
US0P_UbpqME,"【ソロライブダイジェスト】AZKi SOLO LiVE 2025 ""Departure"" 11/19 ぴあアリーナMM",2025-12-12T10:30:30Z,16013,2459,113
ntJTJn6YrxY,【桃太郎電鉄2】#ゴリポンゲス姫 で桃鉄対決！【ホロライブ / AZKi / 天音かなた / ロボ子さん / 姫森ルーナ】,2025-12-11T15:49:08Z,415261,18978,192
7BnkrEde27E,"「Going My Way」#AS_tar 新曲！AZKi SOLO LiVE 2025 ""Departure"" 配信アーカイブチケット発売中！#AZKiと未来へ #星街すいせい #hololive",2025-12-10T09:00:13Z,205000,13374,186
tAuKtkrr8vI,【#ホロドラゴンマイクラ】ドラゴンのいる世界で生きる―― Minecraft【ホロライブ / AZKi】,2025-12-09T15:35:49Z,181715,10210,59
iFak_-xxtOo,"「Farewell」ライブ初披露！AZKi SOLO LiVE 2025 ""Departure"" 配信アーカイブチケット発売中！#AZKiと未来へ #ホロライブ #hololive #shorts",2025-12-08T09:01:11Z,127497,9240,194
fITg6cHYsoc,【耐久歌枠】130万人目指して歌います！！！！！！Singing Stream【ホロライブ / AZKi】,2025-12-07T13:05:44Z,148174,14928,145
rxIZy09F2U8,【PowerWash Simulator 2】ごしごし【ホロライブ / AZKi】,2025-12-04T17:54:38Z,120044,8708,51
F5cMUd7-2mU,"「オキドキ」AZKi SOLO LiVE 2025 ""Departure"" 配信アーカイブチケット発売中！#AZKiと未来へ #AZKi #ホロライブ #hololive #shorts",2025-12-04T09:00:31Z,185582,12894,175
rg-VJzt8ogI,【雑談】かなたん卒業のこととか【ホロライブ / AZKi】※切り抜き禁止※,2025-12-03T13:12:38Z,380032,24131,367
1t_O4Gzwxo0,"「未来カンパネラ」AZKi SOLO LiVE 2025 ""Departure"" 配信アーカイブチケット発売中！#AZKiと未来へ #AZKi #ホロライブ #hololive #shorts",2025-11-30T09:00:04Z,151266,13167,198
bQvmJOPOI_Y,【Minecraft】ラムベガスへ行く！！！#ラムベガスグランドオープン【ホロライブ / AZKi】,2025-11-29T14:17:59Z,171054,11177,83
