id,title,publishedAt,viewCount,likeCount,commentCount
YdFjaS1YMwI,"【HAKKITO ART COMMISSIONS】IT'S FOR HAKKITO GACHA BABY, LET'S PULL SOME BIRDS HEHE  ヾ( ˃ᴗ˂ )◞ • *✰",2025-12-14T03:50:23Z,0,27,4
xMlekUudsRw,"【MINECRAFT】IT'S TIME TO BUILD A CHRISTMAS TREE MY HAKKITOS, LETS GET JOLLY BABY✨【54】",2025-12-13T09:30:51Z,5992,766,8
BuubgUEB4YE,the HOLOSTARS ejection chamber #shorts #holotempus #banzoinhakka,2025-12-12T01:00:14Z,7190,802,6
8kdTyOEVr7M,【OFF COLLAB】A date with my favorite devil @ZanderNetherbrand ~♡ 【HANDCAM】,2025-12-11T15:22:59Z,8773,1180,17
0frfRxIsREA,【TENGU TALK】It's time to bundle up and get cozy my lovely Hakkitos ✧(..◜ᴗ◝..),2025-12-11T04:34:51Z,3677,615,7
3mD3GvFscZA,Is it hot in here or is just me? #shorts #holotempus #banzoinhakka,2025-12-10T01:00:05Z,9980,1430,24
TC-a8YtQKeE,【TENGU TALK】IT'S TIME FOR HAKKAMAMA'S ZATSUDAN (っ´ω`c)♡ + his translator I guess....,2025-12-08T05:09:17Z,7308,1071,17
m6xGpNrk-DA,CLUTCH PLAY BY BANZOIN HAKKA #shorts #holotempus #banzoinhakka,2025-12-08T01:01:07Z,6448,791,12
4rIBP_JOEco,【HANDCAM】HAKKITO? DO YOU WANNA BUIILD A SNOWMAAAAAAAAAAAAAAAAAN⛄️✨【HAKKS & CRAFTS】,2025-12-06T05:30:02Z,8401,801,12
cvrervClZas,【MINECRAFT】LET'S  WANDER IN THE FOREST OF YAPPING AND EXPLORE WITH HAKKITOS HEHE✨【54】,2025-12-05T03:10:45Z,2870,474,16
d1z5F9Gjq7A,Making your ears burn #shorts #holotempus #banzoinhakka,2025-12-05T01:00:54Z,15256,1687,27
ZY4WzvyQ0Io,【PowerWash Simulator 2】GETTING WET WITH THE #unholy3nity 😳 I SURE HOPE THAT'S WATER💦,2025-12-04T04:57:58Z,5735,754,8
CsulSTWCgCw,The Axelotl #shorts #holotempus #banzoinhakka,2025-12-03T01:00:25Z,17079,1431,23
Nly7niV0g_k,【SONIC RUMBLE】IT'S TIME TO GOOOOO FAST BABY 🦔💨 LET'S RUMBLE WITH THE HAKKITOS AND BULLIES 🐦‍⬛🐂💜,2025-12-01T05:04:19Z,6129,664,9
cNQdccLDj4w,AI burnout #shorts #holotempus #banzoinhakka,2025-12-01T01:00:55Z,6548,826,12
mHjQ_lHsCwE,"🔅choose me // cover by Banzoin Hakka, Zander Netherbrand and Vain🔅🎵",2025-11-30T01:01:05Z,6558,1402,18
gxJJzJ6-r3Q,【HANDCAM】IT'S TIME TO PACK A BENTO FOR MY HARDWORKING HAKKITOS 🍱✨【BENTO MAKING】,2025-11-29T04:49:46Z,5530,775,15
-N0LZwZWPc0,"🔅choose me // cover by Banzoin Hakka, Zander Netherbrand and Vain🔅🎵",2025-11-29T01:00:00Z,4849,1044,18
TTnXk2X3zj8,【風呂 ASMR】Let's wind down and take a lovely bath together my sweet Hakkito ~♡【BATH ASMR】,2025-11-28T02:49:32Z,5011,699,19
sFy1-_RY0D4,nightmare collab rotation #shorts #holotempus #banzoinhakka,2025-11-28T01:01:23Z,14120,1706,27
5sgtRRp2Uuo,【RV There Yet?】WE'RE ON A HIIIIIIIIIIIIIIIGHWAAAAAAY TO HEEEEEEEEEEEEELL 🚐💨 DRIVING WITH THE BOYS 🔥,2025-11-26T05:30:12Z,6394,862,12
IHo4VqpscpE,angel anime #shorts #holotempus #banzoinhakka,2025-11-26T01:00:23Z,12694,1362,20
ym6t44WG91I,JUMPSCARE #shorts #holotempus #banzoinhakka,2025-11-24T01:01:30Z,10866,1393,17
HZVVGwYGc-E,【#魂の色は何色だ歌枠リレー】LET'S ROCK THOSE DEMONS OUT HAKKITO 😈🔥【BANZOIN HAKKA / 万象院ハッカ】,2025-11-23T13:47:18Z,4175,802,19
zR1cEqjsQ9Q,"【TENGU TALK】IT'S TIME TO CHIT CHAT MY HAKKITO, LET'S CATCH UP (っ´ω`c)♡ 【+ SC & MENSHI READING】",2025-11-23T03:12:10Z,3064,589,7
lg44j1WfQFI,"【LETHAL COMPANY】THE GREATEST ASSET IS BACK IN TOWN BABY, LET'S GET IT 🔧🔥 W/ THE BOYS ! ! !",2025-11-22T05:00:14Z,5371,765,6
JHiCxsJJXEg,Spanish lesson with Hakka #shorts #holotempus #banzoinhakka,2025-11-21T01:00:25Z,10140,1226,27
f3i1sgiKV28,【TENGU TALK】IT'S TIME FOR A NEW ADVENTURE MY HAKKITOS 🗾🇯🇵🛬✨ TOKYO EDITION W/ Hakkamama~!,2025-11-20T03:04:35Z,8694,1258,37
m0MOYYEFJTw,Mothman #shorts #holotempus #banzoinhakka,2025-11-19T01:01:06Z,11636,1487,14
yfrKJ8Kf4tc,Ghost Hakka #shorts #holotempus #banzoinhakka,2025-11-17T01:01:20Z,10249,1140,20
jXtNk2cLcDk,the dog test #shorts #holotempus #banzoinhakka,2025-11-14T01:01:03Z,12463,1440,14
0fkMjLKMpUk,Performative Male Banzoin Hakka #shorts #holotempus #banzoinhakka,2025-11-12T01:00:02Z,11473,1358,11
3Ul-LeirGDM,【TENGU TALK】YOUR FAVORITE HEAVY METAL IDOL IS HERE TO YAP YOUR EARS OFF BABY 🗣️🔥,2025-11-11T05:14:57Z,3963,686,10
yhELeVWKLbo,"【Silent Hill 2】THE GHOSTS OF XENOKUNI TRAINED ME FOR THIS, LET'S SILENT HILL BABY 😤🔥【SPOILERS】",2025-11-10T05:33:34Z,5893,815,20
7qLrCKUuo5s,pantsu #shorts #holotempus #banzoinhakka,2025-11-10T02:00:14Z,6373,692,14
5b5Bmz3pjQw,【Pokémon LEGENDS Z-A】LET'S KEEP EXPLORING THIS AMAZING CITY MY HAKKITO IT'S TIME TO MEGA EVOLVE 🐦‍⬛✨,2025-11-09T05:57:19Z,4277,627,5
KgmYEUrcCgM,The Egg #shorts #holotempus #banzoinhakka,2025-11-07T01:00:21Z,9838,1015,20
3PadTEgr8vQ,【TENGU TALK】IT'S TIME TO MAKE SOME MATCHA LATTES  ٩(ˊᗜˋ*)و ♡【HAKKAFE】,2025-11-06T17:56:57Z,4740,760,8
GJBl4-UvThs,【BABY STEPS】BABY GAMER IS ABOUT TO TAKE HIS FIRST STEPS 🍼🐤✨,2025-11-06T03:55:48Z,3517,581,11
f5hEW4TDV3c,"【MINECRAFT】SQUEGG IS LOVE, SQUEGG IS LIFE 🥚✨【54】",2025-11-05T08:03:45Z,4913,709,7
TYWv8heSND8,Shadowdropping #shorts #holotempus #banzoinhakka,2025-11-05T01:00:39Z,10829,1224,13
90WSiwaqcjc,"【TENGU TALK】SO ABOUT THAT HALLOWEEN COLLAB HEHE, LET'S ME TELL YOU ALL THE DEETS 🎃✨",2025-11-03T05:12:28Z,6836,835,10
L_E5QYXIbS4,Hakka meet and greets #shorts #holotempus #banzoinhakka,2025-11-03T02:00:20Z,28263,3018,36
AHR7yTxcTPg,"【Silent Hill f】THE HILLS MIGHT BE SILENT, BUT I AM NOT. METAL PIPE ! ! !【SPOILERS】",2025-11-02T20:53:56Z,3997,660,10
AS3fHh7PlrY,"【#Unholy3nity】IT'S TIME FOR OUR TRICK OR TREAT SPECIAL BABY, LET'S GET SPOOKY~♡【PART 2】",2025-11-01T02:46:55Z,6372,1174,5
pQY9Xtk5Yjs,IRIS OUT - Hakka part #shorts #banzoinhakka #歌ってみた #IRISOUT,2025-10-31T01:01:04Z,12876,2056,78
ZIRIZHD5bqY,HOT DOCTOR BIRD #shorts #holotempus #banzoinhakka,2025-10-31T01:00:43Z,11794,1408,32
bNkmBOKyyLc,"【DEVOUR】THIS IS NO TIME TO CLOWN AROUND BABY, LET'S HUNT SOME CLOWN DEMONS!",2025-10-30T04:24:29Z,4315,587,6
_1gS1oehZv8,【TENGU TALK】D̵o̵n̴'̸t̸ ̵t̵r̶y̷ ̸t̴o̷o̵ ̵h̸a̵r̵d̶ ̷t̴o̶ ̷c̶o̴n̸t̷a̴i̵n̵ ̷m̵e̴.̸,2025-10-29T02:29:12Z,4145,661,15
vMz1zGJ9awI,SASAKI YUUYA IS R*CIST??? #shorts #holotempus #banzoinhakka,2025-10-29T01:01:14Z,10371,1275,16
d_VeXeZkjGg,【KEEP DIGGING】IT'S TIME FOR A W-HOLESOME STREAM 🕳️⁉️ w/ @VainVT & @Arielle-VT ✨,2025-10-27T04:54:20Z,4907,659,6
