id,title,publishedAt,viewCount,likeCount,commentCount
Jl6mQt_a-Xs,【  Cover  】 Monitoring - mitaimitaimitaimitaimitaimitaimitai,2025-12-13T13:00:50Z,1101,86,4
ui-FM68gxnI,【  歌ってみた 】 モニタリング 【 にじさんじ ｜ デレム カド 】 #vtuber,2025-12-09T12:02:00Z,1490,322,13
fShjSRfZtqg,【 FFXIV 】FOMO so I Mogpendium-ing【 NIJISANJI | Derem Kado 】,2025-12-03T18:15:50Z,453,146,0
-W_JuiJ3NtE,【 Working Stream 】 Chill working time 【 NIJISANJI | Derem Kado 】,2025-12-03T09:14:13Z,846,214,2
6zHcZOM9wfU,【 Cover 】again【 NIJISANJI | Derem Kado 】,2025-11-30T10:30:03Z,4720,1064,77
hsh0ixabtVg,【 FFXIV 】UWU kalo jadi【 NIJISANJI | Derem Kado 】,2025-11-26T05:48:13Z,0,44,0
cdaTY0ReN5o,【 gogh 】 trying for the first time and work!【 NIJISANJI | Derem Kado 】,2025-11-25T05:30:15Z,1006,230,5
zhy3Ty5FJ_Q,【 Belajar 】Ngajarin @RaiGalilei Bahasa Jepang! pt.2【 NIJISANJI | Derem Kado 】,2025-11-24T20:20:30Z,1200,289,1
Yq7jE6Eqc-k,"【 風燕伝：Where Winds Meet 】TIME TO EMBRACE THE ""XIA""【 NIJISANJI | Derem Kado 】",2025-11-24T05:19:50Z,1005,229,3
PabE9UBG3mg,"【 Working Stream 】 It's raining, no choice but working!【 NIJISANJI | Derem Kado 】",2025-11-18T18:20:14Z,708,188,3
FtoKQ3g2oc0,"【 Working Stream 】 It's raining, no choice but working!【 NIJISANJI | Derem Kado 】",2025-11-18T04:24:43Z,278,63,10
2cV1PmsgFns,【 Belajar 】Ngajarin @RaiGalilei Bahasa Jepang!【 NIJISANJI | Derem Kado 】,2025-11-17T08:53:08Z,1396,324,3
AisvEaZ3JGw,【 #ANNIVER53RY 】 I AM SORRY FOR BEING HERE【 NIJISANJI | Derem Kado 】,2025-11-14T14:57:03Z,1975,494,17
v72GeWpUXno,【 R.E.P.O. 】LET'S FIND MORE TREASURES THEY SAID【 NIJISANJI | Derem Kado 】,2025-11-08T14:44:57Z,982,297,5
iRftUrV4d9M,【 The Time I Have Left 】TRY THE DEMO!!【 NIJISANJI | Derem Kado 】,2025-11-06T20:44:02Z,615,179,5
vO1PU4SpGqg,【 METAL GEAR SOLID Δ: SNAKE EATER 】Continue!! 【 NIJISANJI | Derem Kado 】,2025-11-06T05:29:46Z,624,181,7
wZy1ACm60UI,【 Mahjong Soul 】COME HOME!!! GIN-SAN!!!!【 NIJISANJI | Derem Kado 】,2025-11-04T20:19:15Z,777,199,8
UKYrIwjB9JI,【  歌ってみた 】 モニタリング 【 にじさんじ ｜ デレム カド 】,2025-10-31T12:00:06Z,9408,1534,115
erFbZ4TX2uU,【  歌ってみた 】 マシュマロ 【 にじさんじ ｜ デレム カド 】,2025-10-26T09:00:06Z,6965,1255,152
woGzGk4I2Xg,【 Working Stream 】 I WORK【 NIJISANJI | Derem Kado 】,2025-10-20T09:12:14Z,919,216,3
