id,title,publishedAt,viewCount,likeCount,commentCount
vn0X0FAZYKA,【#TheGameAwards CO-STREAM】 SO EXCITED FOR ANOTHER YEAR OF AWARDS 【NIJISANJI EN | Elira Pendora】,2025-12-12T04:33:10Z,33941,1589,18
sed8bNQ1zQM,【CLAIR OBSCUR: EXPEDITION 33】 ACT 3: Tomorrow comes. 【NIJISANJI EN | Elira Pendora】,2025-12-11T20:35:16Z,4364,400,12
x0S8qFfT2rU,【CLAIR OBSCUR: EXPEDITION 33】 ACT 3: for those who come after 【NIJISANJI EN | Elira Pendora】,2025-12-11T05:58:23Z,7594,472,8
tOZ4P6iDWXc,【CLAIR OBSCUR: EXPEDITION 33】 ACT 2: WheeWhooWheeWhoo 【NIJISANJI EN | Elira Pendora】,2025-12-10T08:07:06Z,20720,669,5
tbcQU3bnoaA,【UMAMUSUME: PRETTY DERBY】 I saved everything for MANHATTAN CAFE!!!!! 【NIJISANJI EN | Elira Pendora】,2025-12-09T02:16:10Z,14327,833,14
WRMqoqfhDDg,【CLAIR OBSCUR: EXPEDITION 33】 ACT 2: it's been a long while 【NIJISANJI EN | Elira Pendora】,2025-12-08T07:32:43Z,10964,695,11
n46b4T1QYJQ,【LEAGUE OF LEGENDS】 another day another league of legends stream iktr 【NIJISANJI EN | Elira Pendora】,2025-12-04T05:20:19Z,27445,740,9
3qfN8PnWnbg,【雀魂 | MAHJONG SOUL】 its been a while since ive RON NYA 【NIJISANJI EN | Elira Pendora】,2025-12-03T18:36:10Z,12906,982,8
uTJh-EBeXj4,【Ace Attorney: Trials and Tribulations】 THE END 😭😭😭 ※spoiler warning 【NIJISANJI EN | Elira Pendora】,2025-11-30T02:22:17Z,21890,644,11
Sgl_smdz1kU,【Ace Attorney: Trials and Tribulations】 MAYA RESCUE ※spoiler warning 【NIJISANJI EN | Elira Pendora】,2025-11-29T06:11:06Z,18761,611,5
l-ExzIOtRo8,"【PEAK】 I fear this will indeed, be peak 【NIJISANJI EN | Elira Pendora】",2025-11-28T06:16:37Z,17467,1029,9
TEnr4RogTbA,My cutest doll 【Elira Pendora】#shorts #leehi #hskt #hsktchallenge,2025-11-27T07:49:17Z,41078,5850,197
1AzLzWitpX0,【Ace Attorney: Trials and Tribulations】 CASE 5 YAY ※spoiler warning 【NIJISANJI EN | Elira Pendora】,2025-11-26T06:28:16Z,17889,686,11
jzca7FF3xgo,【LEAGUE OF LEGENDS】 MY FAVOURITE GAME 🩵🩵🩵 5 STACK YIPPEE 【NIJISANJI EN | Elira Pendora】,2025-11-25T02:27:17Z,18884,774,6
IMVWvwkuFqE,【POKEMON LEGENDS: Z-A】 Corbeau is a certified babygirl 【NIJISANJI EN | Elira Pendora】,2025-11-23T05:40:43Z,16073,755,6
1ZFNabhulZw,【RV THERE YET?】 BEAUTIFUL WOMEN DRIVE AN RV AND WE GET TO YET 【NIJISANJI EN | Elira Pendora】,2025-11-22T06:05:39Z,13524,799,12
vRwdTvteEng,"【JACKBOX PARTY PACK 11】 NO CLICKBAIT HERE, JUST BOXING OUR JACKS (11) 【NIJISANJI EN | Elira Pendora】",2025-11-21T03:40:01Z,47979,2996,36
JxCosomFE28,【Ace Attorney: Trials and Tribulations】 tasty weenie ※spoiler warning 【NIJISANJI EN | Elira Pendora】,2025-11-20T06:42:31Z,18539,728,12
XnlMbhP9Tg8,【Ace Attorney: Trials and Tribulations】 MAIDS!?!?!? ※spoiler warning 【NIJISANJI EN | Elira Pendora】,2025-11-18T07:03:47Z,14323,672,16
9QsE9Tzw7m0,にぎにぎにじたうん！ #にぎにじダンス 【Elira Pendora】  #shorts #踊ってみた #にじさんじ,2025-11-17T06:06:47Z,103330,10821,359
Ld5LVcRde2w,【POKEMON LEGENDS: Z-A】 THUNDER WAVE 【NIJISANJI EN | Elira Pendora】,2025-11-13T06:15:24Z,20460,832,13
dsLNnkdo6os,【POKEMON LEGENDS: Z-A】 streamer vs streamer 【NIJISANJI EN | Elira Pendora】,2025-11-12T08:38:39Z,13175,949,16
UTS5QJlVO_I,【POKEMON LEGENDS: Z-A】 THERES TOO MANY CLOTHING OPTIONS AHHHHH 【NIJISANJI EN | Elira Pendora】,2025-11-11T06:43:42Z,16255,853,11
fP836BPuu3s,【POKEMON LEGENDS: Z-A】 I'm a Restaurant Le Wow regular ACTUALLY 【NIJISANJI EN | Elira Pendora】,2025-11-10T08:19:09Z,21764,1344,15
