id,title,publishedAt,viewCount,likeCount,commentCount
uMnopHtsAzU,"【PEAK】w/ Klara, Wiwa & Babu !!【NIJISANJI  EN | Enna Alouette】",2025-11-28T06:39:15Z,14376,1361,35
wYyRt-aBgFU,【JUST CHATTING ざつだん】Hellooo it's been awhile【NIJISANJI  EN | Enna Alouette】,2025-11-23T20:47:45Z,28844,2499,87
b6dnGc6VNs0,【✨ETHYRIA 4YR ANNIVERSARY✨】アニメ カラオケ (Anime Karaoke) !!【NIJISANJI  EN | Enna Alouette】,2025-10-12T02:12:04Z,38843,4014,81
WrrEJpdlAmM,【Silent Hill f (part 2)】Ryukishi-sama I see the Higurashi references【NIJISANJI  EN | Enna Alouette】,2025-10-04T18:34:50Z,22096,1653,41
e4rGxRQb1cc,【NEW OUTFIT REVEAL】Begone Nasties !!🧹🫧 #Ennattire【NIJISANJI  EN | Enna Alouette】,2025-09-27T16:58:13Z,78394,8155,164
S_1AX513Nkw,"【PEAK】w/ Klara, Vanta & Babu !!【NIJISANJI  EN | Enna Alouette】",2025-09-27T03:08:35Z,16392,1299,45
PCS8c3JcKuw,【Silent Hill f (part 1)】Ryukishi-sama I waited my whole life for this【NIJISANJI  EN | Enna Alouette】,2025-09-25T18:47:09Z,31253,2112,52
hPqcxUtI2o8,【NEW OUTFIT REVEAL TRAILER】,2025-09-23T02:35:13Z,29293,3599,100
rlByW5xKitc,【ELDEN RING NIGHTREIGN】zuttoreign ep. 1【NIJISANJI  EN | Enna Alouette】,2025-09-15T16:57:47Z,17844,1591,52
SpDXkbT924Q,オトノケ / Otonoke (Creepy Nuts) ver. Enna Alouette,2025-09-14T01:00:06Z,388148,29909,900
2ldK1PGHZz0,【Event Report】Anime Expo 2025 “DIGIMON ALYSION”,2025-09-08T11:00:05Z,8839,1479,110
QEipe5oEHuI,✨ Anime Impulse OC M&G + Hop-concert Zatsu !! ✨【NIJISANJI  EN | Enna Alouette】,2025-09-07T18:54:23Z,15523,1357,67
lo-jQM38-zo,【Goat Simulator】BAAAAAHHH im libra now【NIJISANJI  EN | Enna Alouette】,2025-09-07T04:09:25Z,13463,1344,51
hrntLh6vu7U,【ELDEN RING NIGHTREIGN】the most insane run of my life w/ Babu【NIJISANJI  EN | Enna Alouette】,2025-08-31T03:20:58Z,9770,1054,26
NP0Vg9vlH38,【ELDEN RING NIGHTREIGN】I'm back【NIJISANJI  EN | Enna Alouette】,2025-08-28T16:57:05Z,11783,1227,24
09XkLNZGdi0,【Blood Typers】Chapter 3【NIJISANJI  EN | Enna Alouette】,2025-08-24T18:31:47Z,10191,1162,33
PhR_gFTw0Bo,"【Trombone Champ】New update, not so new me【NIJISANJI  EN | Enna Alouette】",2025-08-22T02:06:10Z,9333,1072,43
97aH26ixPCc,【The Kidnap】Cooling down in the summer 💦【NIJISANJI  EN | Enna Alouette】,2025-08-21T02:32:57Z,13125,1237,44
ALAhALKMfdM,【The Outlast Trials】the final zuttomo collab !!! 【NIJISANJI  EN | Enna Alouette】,2025-08-15T19:50:39Z,18098,1563,37
uoovJGW17IM,【The Boba Tea Shop】Did not know this was a horror genre lol 【NIJISANJI  EN | Enna Alouette】,2025-08-13T17:02:47Z,18145,1732,43
0q88rUkWElo,Genesis Noir 【NIJISANJI  EN | Enna Alouette】,2025-08-12T21:21:41Z,11709,1363,31
EoYmLjmnOIU,【STREET FIGHTER 6】w/ Niji EN !! 【NIJISANJI  EN | Enna Alouette】,2025-08-10T06:13:24Z,16796,1236,40
OAT0na532rU,"DARK SOULS: REMASTERED (PART IX) The Four Kings...or 5,6,7,8,9【NIJISANJI  EN | Enna Alouette】",2025-08-06T19:32:10Z,13740,1211,31
vdSLyYgkmgo,【ELDEN RING NIGHTREIGN】w/ Vanta & Zeal !!【NIJISANJI  EN | Enna Alouette】,2025-08-04T20:27:50Z,12721,1090,32
-YCBCIkNwbE,【ELDEN RING NIGHTREIGN】🐐🐐🐐【NIJISANJI  EN | Enna Alouette】,2025-08-02T20:10:56Z,12146,1094,30
OGJx6w_e1CU,【OVERCOOKED 2! Campfire Cookoff & Carnival of Chaos】w/  zuttomo !! 【NIJISANJI  EN | Enna Alouette】,2025-07-31T18:47:22Z,18107,1549,29
v0GgXTlADJM,just chatting ざつだん【NIJISANJI  EN | Enna Alouette】,2025-07-28T17:58:45Z,24453,2018,46
i2OfPQt6o0o,【ELDEN RING NIGHTREIGN】Dying Alone 【NIJISANJI  EN | Enna Alouette】,2025-07-26T20:40:56Z,7685,721,23
05B_AICRgi8,【Date Everything!! PT2】Getting to know more objects !! 【NIJISANJI  EN | Enna Alouette】,2025-07-26T18:32:46Z,14042,1213,23
8uMOlJbJwl4,"【R.E.P.O.】w/ Klara, Alban, Doppio, Kaelix & Zeal !!【NIJISANJI  EN | Enna Alouette】",2025-07-24T15:35:05Z,20131,1583,26
mHXpL5DQQic,ENNA ALOUETTE ⭐️⭐️⭐️⭐️⭐️ GATCHA PULL (DATE ROUTE),2025-07-21T04:34:51Z,27728,3804,101
eEFdKdVsUVc,✨ 3.0 Brush Up Debut + Karaoke !! ✨【NIJISANJI  EN | Enna Alouette】,2025-07-19T19:13:41Z,69310,6861,123
eKiwgWVGlKA,【OVERCOOKED 2! Night of the Hangry Horde】w/ zuttomo !! 【NIJISANJI  EN | Enna Alouette】,2025-07-18T18:38:40Z,16604,1504,23
7HoJ4Kec_RA,【Date Everything!! PT1】My Love Chapter Begins 【NIJISANJI  EN | Enna Alouette】,2025-07-16T19:39:36Z,28238,1951,47
psXXTeCVMOo,DARK SOULS: REMASTERED (PART VIII)【NIJISANJI  EN | Enna Alouette】,2025-07-13T19:19:27Z,14959,1329,39
weRutXq8B0E,【Blood Typers】Chapter 2: Supper of the Dead【NIJISANJI  EN | Enna Alouette】,2025-07-12T05:19:35Z,8866,943,25
rYSgi9Ycj_I,【ELDEN RING NIGHTREIGN】w/ Vantina??? & Babu !! 【NIJISANJI  EN | Enna Alouette】,2025-07-11T03:11:44Z,8966,825,21
JJwWkT_WPA0,【Blood Typers】Chapter 1: Corpus Studios【NIJISANJI  EN | Enna Alouette】,2025-07-07T05:18:24Z,14615,1266,30
tSpPAUUyBE8,【MAESTRO】Using the VR headset !!【NIJISANJI  EN | Enna Alouette】,2025-07-05T18:48:10Z,18985,1845,28
dXWz_cfSKu8,The Stanley Parable ULTRA DELUXE 【NIJISANJI  EN | Enna Alouette】,2025-07-04T20:29:12Z,19358,1609,45
Yp4Madqp3EE,【ELDEN RING NIGHTREIGN】w/ Millie & Freo !! 【NIJISANJI  EN | Enna Alouette】,2025-07-03T04:24:32Z,19363,1248,39
BIiRhbe-LGU,DARK SOULS: REMASTERED (PART VII)【NIJISANJI  EN | Enna Alouette】,2025-07-01T20:16:11Z,13948,1203,22
2PGC6ePT_3U,【Cranky Hot Zatsu】 Let's look at steam games !! 【NIJISANJI  EN | Enna Alouette】,2025-06-28T03:44:35Z,15893,1347,41
tkGT00Zwzms,【ELDEN RING NIGHTREIGN】w/ Millie & Vanta !! 【NIJISANJI  EN | Enna Alouette】,2025-06-27T06:28:36Z,15012,1065,29
sLFfV8Mi2b8,【ELDEN RING NIGHTREIGN】Trying to Solo Equilibrious Beast 【NIJISANJI  EN | Enna Alouette】,2025-06-24T18:16:34Z,17181,1468,26
Um7sIdsGtGI,【Zatsudan (Guerilla)】 Short yapping bc my voice is still dead 【NIJISANJI  EN | Enna Alouette】,2025-06-22T18:59:51Z,19459,1943,51
X4alyBxmaEc,The Rejected Voice-pack  | Enna Alouette,2025-06-22T15:00:06Z,27296,4440,201
YOnrK-UrXZo,【ELDEN RING NIGHTREIGN】w/ Vanta & Vox !! 【NIJISANJI  EN | Enna Alouette】,2025-06-18T06:58:20Z,32976,2037,36
CsalD-86PDA,【PARANOIA PLACE】Chapter One w/ Ethyria !!【NIJISANJI  EN | Enna Alouette】,2025-06-17T18:25:26Z,13719,1364,33
c7ody5l9iIc,【ELDEN RING NIGHTREIGN (GUERILLA)】SOLO AGAIN 【NIJISANJI  EN | Enna Alouette】,2025-06-15T05:44:20Z,9652,896,23
F3CR6Mggkdg,MEMBERSHIP MOVIES: But I'm a Cheerleader 【NIJISANJI  EN | Enna Alouette】,2025-06-15T00:48:51Z,4707,516,13
iTh6o_i357k,【LOVE & DEEPSPACE】Happy Birthday Caleb !! 🍎 【NIJISANJI  EN | Enna Alouette】,2025-06-14T03:42:30Z,18030,1425,30
PmtydUB4QWQ,DARK SOULS: REMASTERED (PART VI) Anor Londo【NIJISANJI  EN | Enna Alouette】,2025-06-12T20:01:42Z,14291,1216,26
LrOLvBVccfU,"【R.E.P.O.】Second Time w/ Babu, Kohaku &  Hu-chan !! 【NIJISANJI  EN | Enna Alouette】",2025-06-12T01:47:33Z,11766,1016,24
0cjeUAaLpQk,【ELDEN RING NIGHTREIGN (GUERILLA)】SOLO 1HR PLAY【NIJISANJI  EN | Enna Alouette】,2025-06-11T18:02:33Z,6652,722,24
1WcJb_Amm60,【ELDEN RING NIGHTREIGN (PART I)】 Solo Run !! 【NIJISANJI  EN | Enna Alouette】,2025-06-06T18:59:42Z,22871,1578,45
