id,title,publishedAt,viewCount,likeCount,commentCount
nAG4uSI5ykw,Kalian mual gak kayak aku?,2025-12-13T02:00:54Z,8402,566,19
UxL6YOWY9v0,Like no one ever was [Cobble Souls #2],2025-12-08T12:31:03Z,6146,467,18
iLxRvXz6W5I,I wanna be the very best [Cobble Souls #1],2025-12-05T15:21:16Z,7925,491,16
qYFCPnHfjMI,MASIH HIDUP [avatar],2025-12-02T22:14:54Z,5343,656,16
G-mlgx2pKSQ,Game lucu karena aku lucu 🥺👉👈 #shorts,2025-11-20T05:00:19Z,8493,403,25
gxjQ0y8m8cc,aaaa~ 👉👈 #shorts,2025-11-19T06:53:23Z,51476,4380,324
rK1e7kGOZUU,MABAR GAME BARU YOK LUCU NIHH! TotsRally,2025-11-17T14:18:11Z,6998,521,13
O1J7UhPv-QA,YAUDAH INI FURE VERSI ANGGUN  [🔴cam],2025-11-13T12:07:30Z,19019,1242,81
jGTg9L2-WDg,2D / 4D? #shorts,2025-11-11T09:10:12Z,20343,1346,56
ZlyAfGkqubI,MASIH BERUSAHA NYETIR BARENG @KagumaX  [Backseat Drivers] #2,2025-11-10T13:44:05Z,3752,234,6
ZJZjN5xeVCU,"Aku bikin akun tiktok baru, aku taroh sini dulu biar ga banyak yg ngeclaim dan biar ga ada fake",2025-11-07T10:25:24Z,26837,1739,51
bShI8P5xey0,INILAH YANG TERJADI KALAU AKU DAN @KagumaX NYETIR [Backseat Drivers] #1,2025-11-03T13:47:58Z,7162,517,12
JfgIURYVyOM,Script rahasia BFB Karis & Rere #shorts,2025-10-29T11:57:17Z,63556,4373,77
JchavxIBqV0,Ternyata Fure mirip NPC #shorts,2025-10-29T02:00:20Z,47567,2292,18
5aAeCOr9LW8,COSPLAY JADI RERE [🔴cam],2025-10-28T11:26:03Z,29654,2893,87
aIvvR5rbSdo,Katanya Fure wanita tercantik #shorts,2025-10-28T02:37:20Z,25301,1095,36
KmN225CMeyM,PENYESALAN - Bakwan: Fight Back Episode 57 [ Minecraft Roleplay ],2025-10-22T15:19:26Z,37139,2471,92
E46dZqZoZwc,MENJADI KANG NASI GORENG [Obsessed : Night Shift],2025-10-19T13:13:28Z,11805,993,40
OXy-IwjhhRU,TREND NAMA NAMA HEWAN #shorts,2025-10-13T12:02:41Z,46860,2641,176
YzsYHKeCk60,HALO AKU FURE! [🔴cam],2025-10-13T10:24:21Z,38497,3618,230
J2L0bG0MBa0,AMARAH - Bakwan: Fight Back Episode 56 [ Minecraft Roleplay ],2025-10-09T14:40:40Z,27057,1558,132
8wOPtM018X8,BFB lintas dimensi #shorts,2025-10-03T04:55:49Z,91009,4714,71
vWjKdupE-Tc,KLARIFIKASI - Bakwan: Fight Back Episode 55 [ Minecraft Roleplay ],2025-09-22T13:55:01Z,35709,1814,156
yE2QPjKqnhA,HAKIKAT - Bakwan: Fight Back Episode 54 [ Minecraft Roleplay ],2025-09-19T14:46:18Z,35824,1971,143
8vDMmTAm9nU,FURE LIFE UPDATES,2025-09-15T10:45:59Z,19200,1997,67
hcNgCdGOtjI,Momen ketika Fure live RP setelah hiatus 💀 #shorts,2025-09-13T09:41:03Z,171315,9332,88
