id,title,publishedAt,viewCount,likeCount,commentCount
gDWzuVIgmmE,【Clown Is Hungry】ピザの宅配中に残虐ピエロが出てくるコメディホラゲです【にじさんじ / 伏見ガク】,2025-12-12T16:37:16Z,8876,840,14
lRSj12mPbGQ,【一緒に朝ごはん】スタミナ付きまくるお肉の朝！ ポーク朝ごはん回！【おはガク2025 #21】,2025-12-11T23:11:37Z,11631,1078,6
aG_zep7pA4U,【星のカービィ Wii デラックス】爽快アクションの超名作カービィをプレイ！ #2【にじさんじ / 伏見ガク】,2025-12-06T12:14:35Z,11981,800,13
Kgwu8D_-n7Q,【祟り坂】静かな田舎に現れる怪異。祟り坂の正体とは？ 【にじさんじ / 伏見ガク】,2025-12-03T17:11:48Z,13010,975,10
GoUXtOl8K5E,【RV There Yet?】キャンピングカーとタフな仲間と一緒にベリハな悪路を乗り越えろ！！【にじさんじ / 伏見ガク】,2025-11-28T18:14:54Z,12386,859,8
PWend-R3-QA,【一緒に朝ごはん】朝からハイカロリー！？ジューシーなビーフ朝ごはん回！【おはガク2025 #20】,2025-11-27T23:14:54Z,16142,1209,8
bQX6kLU6w6Q,【デテイケ -GetOut-】一家惨◯事件のあった家にカメラを置くだけ。のはずだった。 【にじさんじ / 伏見ガク】,2025-11-27T15:21:13Z,13333,1040,11
t06SVJctngE,【カービィのエアライダー】ロードトリップでどこまでも！【にじさんじ / 伏見ガク】,2025-11-22T17:26:42Z,35324,1308,21
vwy0_d8Mm8Q,【カービィのエアライダー】神ゲーきたぞオイ！！！！！！！！【にじさんじ / 伏見ガク】,2025-11-21T18:01:56Z,17473,935,6
7SiBD3-89vs,【一緒に朝ごはん】朝から！超ジューシーな激ウマ！チキン朝ごはん回！【おはガク2025 #19】,2025-11-20T23:07:00Z,13293,1072,8
aUK_ckW6WCE,【Midnight Mazesoba】深夜に徘徊する深夜屋台の謎とは？【にじさんじ / 伏見ガク】,2025-11-19T15:58:58Z,12905,1003,17
JE84FRqJ070,【R.E.P.O.】新アップデートの世界をスリーマンセルでいざ参る・・・！！！【にじさんじ / 伏見ガク】,2025-11-17T16:40:40Z,12215,837,4
NogvJsM55l4,【星のカービィ Wii デラックス】超デラックスなカービィを遊んでいくぞ！！#1【にじさんじ / 伏見ガク】,2025-11-15T11:01:42Z,10973,826,10
