id,title,publishedAt,viewCount,likeCount,commentCount
ptQWL1U2y0Q,【オフコラボ歌枠｜OFF-COLLAB KARAOKE with KANATA】かなた先輩だいすき！！気持ちをこめて一緒に歌おう 💫🐾singing together 💓【FUWAMOCO】,2025-12-13T06:04:49Z,0,1138,0
KcxbbGW2nlE,ざこざこ言われて…嬉しい？🐟️ zako zako zako 🐾✨️ 300K VIEWS on ZAKO「雑魚」を歌ってみた #vtuber #shorts #ホロライブ #雑魚,2025-12-11T23:00:36Z,243587,25287,324
Gp9gXn54nRw,【#holoEN MIMESIS COLLAB】you could never impersonate our love 🐾 【FUWAMOCO POV】,2025-12-11T15:13:03Z,64937,6891,78
Zt2x-6OdALY,#テレパシ / DECO*27 ✨️ Twin Telepathy Dance 🐾 #shorts #踊ってみた #FUWAMOCO #ホロライブ #dance,2025-12-08T23:00:57Z,383130,23393,299
rJU8B456gCI,ざこざこざーこ🐟️ zako zako zako 🐾✨️ our new song cover「雑魚」を歌ってみた #vtuber #shorts #ホロライブ #雑魚,2025-12-06T23:00:10Z,430247,37160,359
J-DlVoLizX0,【MV】雑魚／ZAKO (Cover)【FUWAMOCO】,2025-12-06T13:00:07Z,441663,51460,1910
mXpzJRyurO4,【漢字でGO！】みこち先輩との対決前にちょこっと練習🌸🔥ニホンゴムズカシイにぇ（煽り）🐾【FUWAMOCO】,2025-12-06T10:20:23Z,181950,12466,89
8cI0ZdGhn6k,【HONKAI: STAR RAIL】we are indestructible demon dogs + gacha luck this time?! 🐾【FUWAMOCO｜崩壊: スターレイル】,2025-12-06T04:33:56Z,51938,5093,71
b9dDLOv3AtM,【DON'T SCREAM TOGETHER COLLAB】you've already screamed 🐾 #holoAdvent【FUWAMOCO】,2025-12-05T03:09:05Z,71162,7051,104
U89MiBoDt08,【HONKAI: STAR RAIL】special time with the ruffians + some gacha silliness 🐾【FUWAMOCO｜崩壊: スターレイル】,2025-12-04T06:46:55Z,85549,7171,82
haj8sMQrUdw,LEGENDARY FUWAMOCO HIP SWAY THAT YOUTUBE CUT 😳#FUWAMOCO #shorts #ホロライブ #vtuber,2025-12-02T23:05:22Z,86489,10110,333
soIzsrntw44,MOCO-CHAN DON'T DO IT!! 🔫💦#FUWAMOCO #shorts #ホロライブ #vtuber,2025-12-02T00:06:47Z,73908,7723,186
LKKKRl-sypI,【#holoEN PHASMOPHOBIA COLLAB】SSR ghost sightings with this silly team 🐾 【FUWAMOCO POV】,2025-11-29T02:51:58Z,53739,5878,89
0uyDmJg6vX4,AZKi-senpai's new song 💓 オキドキをおきどきしてみた⚒️✨️ #FUWAMOCO #shorts #ホロライブ #vtuber #踊ってみた #AZKi,2025-11-25T23:00:01Z,276356,26380,357
