id,title,publishedAt,viewCount,likeCount,commentCount
6Hzvq_HuIbQ,[GTA V] MEMEN'TOL,2025-12-13T07:08:12Z,9182,733,16
3QDdAPmTNo0,Gavis Bettel’s nighttime ritual #shorts #holotempus #gavisbettel,2025-12-13T01:00:11Z,5932,833,14
s5ZRrdZFZJ8,bettel and feet #shorts #holotempus #gavisbettel,2025-12-12T01:01:19Z,5021,732,21
jNpEYnN8RZ0,[GTA V] EVERYTHING EVERYWHERE BETTOL AT ONCE,2025-12-10T08:29:07Z,16744,980,20
gR-iNIL6Wn0,bettel moans for sunchips #shorts #holotempus #gavisbettel,2025-12-10T01:00:53Z,5219,794,21
E30WC008ZDs,[GTA V] RAGING BULL'TTOL,2025-12-09T08:24:51Z,13619,999,37
rRRaBp0j2so,[WEEK IN REVIEW] WEEKEND AT BETTOLS,2025-12-09T00:17:08Z,5874,526,10
TxbheSPYw68,[GTA V] ONE BETTOL AFTER ANOTHER,2025-12-08T06:50:55Z,12074,966,15
fFke_987KEQ,the tower of terror #shorts #holotempus #gavisbettel,2025-12-08T01:01:02Z,10984,1313,7
9xhUV2Tu9bs,[GTA V] THEY LIVE'TTEL,2025-12-07T08:27:08Z,16823,1255,37
GEiCHZ0iAG8,[OUTER WILDS ECHOES OF THE EYE] EYE THINK IT'S TIME WE END THIS,2025-12-06T04:57:42Z,10048,663,21
DntqCspUYo0,You can't fix me... #shorts #holotempus #gavisbettel,2025-12-06T01:00:18Z,11045,1569,23
oq48TWi_Kzg,[OUTER WILDS ECHOES OF THE EYE] EYE WONDER WHAT THE MYSTERY IS THIS TIME! AHAHAHHAHAH!!!1,2025-12-05T09:20:00Z,18897,1057,11
BP_UnA6z2vI,passing out #shorts #holotempus #gavisbettel,2025-12-05T01:00:28Z,16416,1736,22
GeCFcYEUSRs,[League of Legends] HAVE I SUFFERED ENOUGH? NO!,2025-12-03T05:25:59Z,8480,752,9
R1wl1O9b1ZI,WHY IS EVERYONE HERE #shorts #holotempus #gavisbettel,2025-12-03T01:00:41Z,11120,1153,14
i_Ujblj8vxg,[MARVEL RIVALS] LET'S TRY THIS ONE (1) MORE TIME!,2025-12-03T00:19:50Z,8839,666,5
9hKF5QdUX6E,[WEEK IN REVIEW] Okay NOW it's Christmas!,2025-12-02T00:51:49Z,5741,646,15
A4gk7Vz0Ua8,[NINJA GAIDEN 4] FORGOT ALL THE CONTROLS HERE WE GO,2025-12-01T02:25:50Z,9350,737,5
8dL-Ap0_74k,vacation gone well #shorts #holotempus #gavisbettel,2025-12-01T01:00:10Z,18028,1900,23
YaxgA1zk74g,[OUTER WILDS] 22 MINUTES AND SOME CHANGE,2025-11-28T08:17:22Z,5473,694,41
nl0lm2IlWX8,"[League of Legends] I AM THANKFUL FOR LEAGUE OF LEGENDS w/ SHOTO, GALE, NAYU, APOLLO",2025-11-28T01:40:25Z,11936,923,8
8drU4nZ8IdQ,recite homestuck #shorts #holotempus #gavisbettel,2025-11-28T01:00:09Z,13446,1298,27
Y1rovokn-aQ,[OUTER WILDS] TELL ME THE SECRETS OF THE UNIVERSE,2025-11-27T07:52:25Z,11205,953,17
iCedTnKxeT4,I only eat one meal a day #shorts #holotempus #gavisbettel,2025-11-27T01:01:05Z,15667,1886,25
6QXlybx2r2g,[OUTER WILDS] PREPARE THE CABIN FOR STREAM,2025-11-26T04:35:00Z,11511,763,17
YTrMQBH1a0I,pick a color #shorts #holotempus #gavisbettel,2025-11-26T01:00:46Z,19932,2319,32
B_2rktcdPfY,[WEEK IN REVIEW] KICKS YOU IN THE HEAD,2025-11-25T00:55:12Z,4916,608,16
JETQcjHOJbo,[NINJA GAIDEN 4] WHO UP NINJA'ING THEIR GAIDEN (4),2025-11-24T02:20:12Z,7532,797,13
SQBs_wI1fKo,Getting passed around the salon #shorts #holotempus #gavisbettel,2025-11-24T01:00:38Z,24930,2555,27
epPqJC4FbWk,[ARC RAIDERS] LET'S TRY THIS AGAIN w/ Doki and Altare,2025-11-23T05:10:23Z,11898,1170,19
sQ-s8Q4lQW4,[OUTER WILDS] COULD THIS BE THE WORST OUTER WILDS PLAYTHROUGH OF ALL TIME?,2025-11-21T05:47:25Z,13116,1032,30
47EQ2aRzPcI,I'm just polite #shorts #holotempus #gavisbettel,2025-11-21T01:00:14Z,27895,3013,23
uZg4vQBgKsI,[MARVEL RIVALS] GO GO GADGET MAGNETO ONE TRICK (unless?),2025-11-20T01:13:51Z,6322,709,9
PqjyAbM23FE,The eejanaika experience #shorts #holotempus #gavisbettel,2025-11-19T01:00:36Z,11602,1311,24
oUb4SsNIfCo,[WEEK IN REVIEW] WEEK BE UPON YOU,2025-11-19T00:24:31Z,5268,668,16
9tXw57FaTQk,charades with the boys #shorts #holotempus #gavisbettel,2025-11-17T01:00:13Z,15004,1956,17
sxdo76IeKro,Papa Bettel was right #shorts #holotempus #gavisbettel,2025-11-14T01:01:11Z,17575,1849,19
23jhRDGVv9k,[POWERWASH SIMULATOR 2] POWER!!!!!!!! POWER!!!!!!!!!!!!!!!!!!!!! UNLIMITED POWER!!!!! (wash),2025-11-14T00:59:51Z,8568,944,26
wNdovznUSjU,[MANNY'S] PLEASE DON'T LET THIS BE LIKE MY OTHER TIME I WORKED AT A DINER,2025-11-13T01:17:12Z,11760,1203,15
QIMT4SvJejw,Oh dear #shorts #holotempus #gavisbettel,2025-11-12T01:00:35Z,20095,2577,25
-FovIKL_wHM,[WEEK IN REVIEW] MONDAY MONDAY MONDAY!,2025-11-11T00:58:10Z,5956,772,24
wKeVqFgKxbo,PONG (the rematch) #shorts #gavisbettel #holoTEMPUS,2025-11-10T06:19:52Z,11189,1571,21
DO5YujixnyE,"[RV THERE YET] RV EVEN QUALIFIED TO DRIVE THIS THING??? w/ Shoto, Kuro, and Nix",2025-11-07T19:20:48Z,17985,1542,34
2WD1qpt_T4s,[POWERWASH SIMULATOR 2] I'm Gavis Bettel. This is my stream. I clean the thing. I cleaned the thing.,2025-11-07T01:56:49Z,7282,833,7
NargAoSBM-M,The Worm #shorts #holotempus #gavisbettel,2025-11-07T01:00:35Z,12273,1283,28
i2NfGkqe3UU,[WEEK IN REVIEW] CRAZED FREAK YELLS AT AUDIENCE,2025-11-06T00:22:25Z,6094,866,26
hYmtZl7bKIw,passing out #shorts #holotempus #gavisbettel,2025-11-05T02:00:56Z,18664,1923,12
6Sji9F0Ptek,[ARC RAIDERS] FIGHTING FOR MY LIFE FOR A TUBE OF TOOTHPASTE w/ Ruze and Apollo,2025-11-05T01:00:45Z,8063,868,9
cqsLPKeIRVc,being traumatized by your oshi #shorts #holotempus #gavisbettel,2025-11-04T01:00:50Z,28668,3149,36
SWoP8vBX_4Q,Why do people sweat? #shorts #holotempus #gavisbettel,2025-11-03T01:00:38Z,21372,1856,20
