id,title,publishedAt,viewCount,likeCount,commentCount
7EgpjbeDsBE,「劇場版ギルザレンⅢ世3D」スタジオツアーあるいは振り返り配信,2025-08-31T00:25:09Z,94798,6588,29
yc9E5FSMFAI,【＃バーチャルブラッド3Dを授ける】「劇場版ギルザレンⅢ世3D」プレミアム先行試写配信あるいは...【にじさんじ/ギルザレンⅢ世】,2025-05-16T16:10:58Z,1171700,65978,974
Eym5bqOGfdU,宣告、あるいはテスト配信,2025-05-11T21:26:58Z,199599,11468,109
7hswQLvM8aA,【8番のりば】循環、あるいはテスト配信 -後編-,2024-12-21T21:03:15Z,264652,20058,365
xO9SmTzndr0,【8番出口】循環、あるいはテスト配信 -前編-,2024-06-12T17:41:00Z,221749,13100,111
5ttn6OlQsKI,【生中継】心霊スポットから生配信するぞ..【#にじさんじオカルト研究部】,2024-04-01T12:11:02Z,109238,5558,141
05qhM3dI31g,【UNDERWARD】【にじさんじオカルト研究部／ギルザレンIII世視点】,2024-02-27T14:37:56Z,0,1,0
eBDM96TDOeQ,【 Minecraft】新天地あるいは、【ギルザレンIII世視点】,2023-09-17T16:13:36Z,52954,3434,40
wg8WZuO3cKs,シン・ギルザレン初配信.exe,2023-06-12T17:01:05Z,204873,8626,91
r0xZowlc8G4,ギルザレンⅢ世生誕記念背信,2023-06-12T15:49:58Z,288040,18420,109
hKVrBcgAIpQ,更新、あるいはテスト配信,2023-05-29T20:24:58Z,257696,15712,253
iX-I6p45h_U,【#にじさんじオカルトバスター部】カミングアウトするぞ..【GILKO視点】,2023-04-01T06:44:24Z,167017,12073,98
befLjPfv1Uc,【GILKO】【ゲリラ雑談】休棺日..【にじさんじ切り抜き】#shorts,2022-04-01T14:36:41Z,119075,5253,0
KiiBVB-NJ2E,【GILKO】ランクマするぞ..【にじさんじ切り抜き】#shorts,2022-04-01T11:05:46Z,132433,5895,51
ynZUIHnh1IA,【GILKO 2.Oお披露目】よう動いとる..【にじさんじ切り抜き】#shorts,2022-04-01T07:00:19Z,42916,3069,47
VOGJaF4KnD4,【GILKO】【メン限】作業背信するぞ..【にじさんじ切り抜き】#shorts,2022-04-01T03:00:53Z,42415,3172,41
woIT79LvuLY,【GILKO】元Vampishセンターがあの話題作を同時視聴..【にじさんじ切り抜き】#shorts,2022-03-31T19:03:15Z,29160,2689,36
0kxHnFWPJI0,【GILKO】元Vampishボーカルが耐久歌枠やるぞ..【にじさんじ切り抜き】#shorts,2022-03-31T18:00:59Z,36260,3087,33
bjjXGx7XG6s,【GILKO】元Vampishメンバーが参加型ホラゲーやるぞ..【にじさんじ切り抜き】#shorts,2022-03-31T17:13:34Z,57857,3596,50
IWYZq35K0R8,漂流、あるいはテスト配信,2022-02-28T18:10:22Z,650040,29089,670
pF4Zu-WILSM,ケンゾク10万人記念ゲリラ背信、あるいは秋のハロウィン特集,2021-04-30T18:07:03Z,108287,7912,254
1AE4KIRNtAo,VFN：年末特番②～フェイクニュース特集～,2020-12-31T00:09:32Z,353573,9826,361
xVdTo9RfUx0,MAKAI-NET SHOPPING♯02 ～秋のハロウィングッズ特集～【#マカイネット通販】,2020-11-06T15:17:25Z,102729,4161,85
fqVagdd6eRE,ギルザレンⅢ世アニバーサリークルーズ_航海1095日目（最終夜）,2020-07-12T22:18:09Z,263352,7679,134
k1F93mkch-8,【#にじさんじデビューしてる】リブート、あるいはテスト配信【にじさんじ/ギルザレン三世】,2020-04-12T13:38:16Z,172610,5215,84
bsdt044KK4o,VFN：年末特番,2019-12-30T22:17:03Z,89929,3426,40
tXssqcM6CRQ,VFN：ハロウィン特集,2019-10-29T15:00:10Z,52621,3143,79
uduCf0LpbzE,【 Project Winter 】遭難あるいは、【ギルザレンIII世視点】,2019-09-13T14:54:01Z,132621,4100,48
2BX0uS5Pfvk,ギルキャン第0回(パイロット版),2019-09-10T18:40:01Z,41703,2568,14
WvX-36ygmeA,取引、あるいはテスト配信,2019-09-03T21:01:56Z,78107,3698,36
umdSBKdlwTU,ギルザレンⅢ世生誕祭お茶会(一般ケンゾク向け),2019-06-09T21:01:52Z,49644,2383,24
06ACy1Og-Fg,07_Gilzaren III GWボイス.wav,2019-05-05T20:52:32Z,35493,1956,24
R2lrBd-KMRI,平成あるいは...テスト配信,2019-04-30T22:07:36Z,77862,3807,50
5Dhr92F9gXw,モイ!Phoneから配信中,2019-02-17T20:37:51Z,32743,1357,16
XAV0A07gK90,モイ!Phoneから配信中,2019-02-17T19:40:58Z,241884,4174,46
y_xpoyO-DPU,年末特番,2018-12-30T21:05:49Z,45183,2776,19
t4WT_s63ol8,Twitter & YouTube 登録ケンゾク30000人記念LIVE,2018-11-25T19:53:04Z,38759,2711,24
mGKsGE3os-M,終幕、あるいは...,2018-09-30T20:27:17Z,60555,3301,40
USqFjJNCX3Q,見学、あるいはテスト配信,2018-08-18T20:08:14Z,63302,2727,33
b0oEYwJd0hI,選択、あるいはテスト配信,2018-07-21T20:46:51Z,44799,1656,25
rX4c9fIbW5Y,交渉、あるいはテスト配信,2018-07-10T19:39:28Z,29953,1025,17
f5GVArJvlAE,植林、あるいはテスト配信,2018-06-24T17:31:34Z,46804,1459,20
uZSInGv2-vM,​解錠、あるいはテスト配信,2018-06-17T19:28:35Z,32674,2031,36
guBB5flOED8,ギルザレンⅢ世生誕記念シークレットライブ,2018-06-06T18:26:52Z,45648,2390,21
6WQdI29nFQc,探訪、あるいはテスト配信,2018-06-04T19:11:13Z,36432,2573,16
J-T24FwUmNQ,泡沫、あるいはテスト配信,2018-05-26T18:27:05Z,38727,2785,26
