id,title,publishedAt,viewCount,likeCount,commentCount
4P5UcuBhBXQ,HARI INI PENGHIJAUAN LAGI KAN!!! - VALORANT,2025-12-13T15:48:54Z,8725,1658,8
O6so0etTEzg,HARI INI #ginsemakintua,2025-12-12T17:04:41Z,27075,5651,78
_eAplxRH-Nw,GAK BOLEH TERIAK DI DUNIA PENUH JUMPSCARE???? - DON'T SCREAM TOGETHER,2025-12-11T15:18:21Z,25538,3592,39
AzJ8TfSmS9Q,AKU YANG HEWAN ATAU HEWANNYA YANG AKU????? - MyVoiceZoo,2025-12-09T17:29:15Z,17857,2814,20
4Zu2zvCL6mY,MEMBANGUN DAN MENJADI BOS WATERBOOM IMPIANKU! - WATERPARK SIMULATOR,2025-12-08T15:34:33Z,20034,2823,25
jVpJGZ8GftE,Malam Minggu Ngobrol Dengan Voice Notes Kalian!,2025-12-06T15:24:26Z,8545,1689,11
sVYxNY7jTrw,EL KEMENANGAN EL WINSTREAK (amin) - VALORANT,2025-12-05T15:54:49Z,21603,2431,10
HB0Aw3R6q9s,Aku habis selesai bersih-bersih kamar! Enaknyoooo YATTA!! #TNFBoys,2025-12-05T12:00:40Z,32787,4463,85
-dgUcroHp4U,GAME INI BISA MENDENGARKAN SUARA SOL.4CE?! - CURSED COMPANIONS,2025-12-03T15:35:22Z,25319,3521,23
5gtHnB9VJdQ,Unboxing Hadiah Dari Customers di SOL.4CE Cafe & CF21!,2025-12-01T16:06:16Z,22134,3384,14
sT8fj0xKvhw,Apakah Kalian Tau Kalo Besok Udah Desember????,2025-11-30T15:13:07Z,6718,1398,17
GduNv6IK9o4,POV : BIKIN THUMBNAIL SATU RT!!  - ROBLOX,2025-11-29T18:24:22Z,34792,4067,17
8baXZbWH7Io,MARI KITA LANJUTKAN KARPET HIJAU ITU!!  - VALORANT,2025-11-27T16:16:04Z,19103,2250,9
Xo5PzP5Awdk,Hari ini cuacanya cerah ya?,2025-11-25T14:26:25Z,8785,1624,16
KYCk0Z-HfM8,AKU HARUS MENGASUH BAYI TOR MONITOR KETUA VERSI JAHAT?!  - THE BABY IN YELLOW,2025-11-24T15:31:22Z,27186,3322,26
bVIM4MPR5DI,GAK KARPET MERAH LAGI KAN GUSY??? 🥹🥹🥹  - VALORANT,2025-11-22T17:12:55Z,22461,2473,16
4PiH43c8BcE,POV : Habis Menamatkan Silent Hill Itu,2025-11-21T16:04:03Z,5381,1132,17
aYZmyTj6t78,KITA SELESAIKAN AJA DISINI KAH?! - SILENT HILL F,2025-11-20T17:05:28Z,12412,1762,15
fZVdyjhR-f8,UMMMMM END STREAM???? 🤔🤔 - VALORANT,2025-11-19T17:17:13Z,11022,1515,8
pyjUc0568Ls,MAININ LEVEL TERBARU DARI GAME LUCU INI BARENG SOL.4CE!! - ZORT,2025-11-19T15:59:49Z,25884,3314,17
vL7j8sPMg3k,HARI INI AKU AKAN . . .,2025-11-16T14:39:45Z,9794,1728,10
NqsLcAQerDY,PLIS JANGAN NGEWHIFF!! 😭😭🙏🙏 - VALORANT,2025-11-15T16:12:54Z,18501,2226,9
qZdQ_tOSPVA,SOL.4CE BERUSAHA LARI DARI ANOMALI MIMIC?! - MIMESIS,2025-11-12T15:14:09Z,42065,4648,40
TwiJSuzqHFc,168K VIEWS ALREADY!! 😱😱WATCH HERE!!👉https://youtu.be/M4rQRxRg9yY?si=Nnp5ztH14c0w_e19👈#sol4cevol2,2025-11-12T10:01:00Z,14409,3065,22
xRwpvusNo1A,HARI INI NOT DELICIOUS BODY 🤧🤧🤒🤒,2025-11-10T14:24:32Z,10306,2082,25
e-SQJBL49fA,KOLEB DITUNDA MARI KITA NGOBROL SADJA!,2025-11-07T14:20:53Z,8341,1720,11
ojG89VKvs_c,POV GAMEPLAY PALO PALING SIGMA!!! ( KAYANYA SIH GITU ) - VALORANT,2025-11-06T16:11:28Z,20116,2310,4
l7y1BQr91jQ,MINI GAMES LEGO BARENG SOL.4CE! - LEGO PARTY!,2025-11-05T14:12:18Z,20626,3266,18
9GZpF9lj9Js,Seorang Ibu Hamil Menjaga Gerbang Tol di Tahun '98 . . . - 1998: The Toll Keeper Story,2025-11-02T16:59:13Z,23528,2964,19
SVQQkY-zsgg,Just A Slow Midnight Talk Before I Sleep 😴😴,2025-11-01T19:35:33Z,8582,1737,30
u5mvLwKF2Oc,FUNGSI PUNYA TEMAN DI GAME INI?! - SILENT HILL F,2025-10-31T16:19:04Z,12751,1828,14
8ACh00EZPOo,Malam Ini Halloween Ya Gusy?! 👻👻,2025-10-31T14:36:46Z,7944,1693,11
KzfI4CQOnzo,TAMASYA CHILL BARENG SOL.4CE! - RV THERE YET?,2025-10-29T16:58:46Z,39381,4097,47
J5y3x2y1ym0,I got a lotta punch lines and a quick jab! 🥊✨ 5.11.2025 #SOL4CEVOL2,2025-10-29T10:00:39Z,17944,3398,83
vx3KX4tKQ3E,HINAKO... KAMU TERNYATA ADALAH?! - SILENT HILL F,2025-10-26T15:26:48Z,12934,1890,8
_YPIeT8kb8Y,Malam Minggu Sambil Dengerin Voice Note Kalian!,2025-10-25T14:24:13Z,8958,1780,24
Q5A4eImjTNg,HARI INI WAJIB BANGET PENGHIJAUAN!!! ( SEMOGA AJA ) - VALORANT,2025-10-24T16:50:46Z,20100,2179,6
-0atpkey21M,HIIII SEREMNYOOOOO - SILENT HILL F,2025-10-23T15:49:06Z,14382,1984,7
ca_qX435qYg,SOL.4CE KABUR DARI PENJARA?! - CUFFBUST,2025-10-22T15:14:14Z,23302,2867,20
qa3y6PCkfKg,DI SEBUAH BUKIT YANG TAK BERSUARA - SILENT HILL F,2025-10-20T16:27:47Z,28226,3340,22
CmC8gCfYarA,SAMPE TENGAH MALEM GAS GA SIH?! - APEX LEGENDS,2025-10-18T17:15:03Z,9886,1553,6
v_JzgZpeIls,"Ngobrol Sama Kalian, Tapi Aku Ngomong Pake Keyboard ( ASMR???? )",2025-10-17T14:20:16Z,12075,2291,8
VgyRnCMP3sY,DI STREAM INI AKU GAK BAKAL TURUN RANK ( BOHONG ) - VALORANT,2025-10-16T14:51:27Z,18371,2151,14
Ixa2QmUw_VA,SOL.4CE BERANTEM ( LAGI )?! - A GENTLEMAN'S DISPUTE,2025-10-15T15:26:09Z,20973,2913,19
F2vxfMnLSp0,When the stars still whispered secrets.,2025-10-12T16:37:23Z,26883,4668,16
z6ouSGOxduU,FREETALK MALMING!,2025-10-11T15:05:34Z,7830,1572,20
WtZOf7XjMQc,SUDAH CUKUP KARPET MERAHNYA!!! - VALORANT,2025-10-10T16:06:24Z,18117,2123,9
VisM8AG0Q_Y,APAKAH HARI INI AKAN TURUN RANK LAGI?! - APEX LEGENDS,2025-10-09T16:52:30Z,8429,1494,5
dsr-gaBtQOI,SOL.4CE MENGECIL MENJADI SEUKURAN SEMUT?! - GROUNDED 2,2025-10-08T15:42:18Z,26523,3588,13
LuGydA0jJu4,SIAPA ORANG ANEH DI DEPAN PINTU ITU?! - WHOS AT THE DOOR?,2025-10-07T15:00:35Z,27535,3640,34
fNTDucHk0ug,SIAPA KANGEN ANGKAT TANGAN!!! ☝️☝️☝️,2025-10-06T14:25:10Z,10056,2377,16
MKUzWUpg5Cc,KITA TANDAIN KODOK IJO ITU!! - BUCKSHOT ROULETTE,2025-10-02T14:53:55Z,28023,3354,19
KqJdV0xgAhU,AKU DAN SOL.4CE BELAJAR MERAPALKAN MANTRA SIHIR?! - MAGE ARENA,2025-10-01T14:52:20Z,21306,3458,18
m4iFP8n2Nms,AKU AKAN ISTIRAHAT HARI INI... DENGAN MAIN PALO!!! - VALORANT,2025-09-30T15:00:12Z,18971,2363,9
KGxGGdzWfG4,KAPAN YA CHAMPION... - APEX LEGENDS,2025-09-28T16:38:10Z,11177,1899,5
sY4jpXT5A1s,RAMEAN PAKE BANGET!? - DELTA FORCE #GDFVTID,2025-09-27T17:02:39Z,12980,2074,6
z9MK9FuAaNA,MALAM SABTU KITA NGOBROLIN APA YAH?!,2025-09-26T14:20:05Z,6002,1372,13
emSd4XqJE7k,JADI PETUGAS BERSIH-BERSIH TEMPAT ANGKER BARENG SOL.4CE?! - PARANORMAL CLEANUP,2025-09-24T15:12:43Z,37577,4258,18
hNKx1glzLjs,AKHIRNYA FREETALK SETELAH SEKIAN TAHUN?!,2025-09-22T14:21:55Z,8287,1748,12
