id,title,publishedAt,viewCount,likeCount,commentCount
bN3o2N4Qqa0,【Refind Self】So many Personalities to choose!,2025-12-14T07:01:50Z,1611,394,3
FDY-9b_TN9I,ITS HIM!!!!!!!!!!!!!!!!! #shorts #holoarmis #goldbullet,2025-12-13T01:00:31Z,2258,323,7
SD_gWS73Wsc,【The Game Awards 2025】GAME OF THE YEAR!,2025-12-12T04:27:03Z,6393,710,7
2aZ8pVil8II,I apologize for the Bubby I am about to become #shorts #holoarmis #goldbullet,2025-12-11T01:00:09Z,6128,748,27
n7QI5xxAw8Y,【Banjo-Tooie】Collectin' a bunch for the holidays!,2025-12-10T00:57:20Z,2304,455,5
bbIPi80pXfM,The Goldship incident #shorts #holoarmis #goldbullet,2025-12-09T01:01:01Z,15045,1178,15
G2a63blidX8,Who's in the pantry? #shorts #holoarmis #goldbullet,2025-12-06T01:00:19Z,4776,735,40
ShhJ2_frwfw,The Wacky Watch #shorts #holoarmis #goldbullet,2025-12-04T01:00:43Z,5215,619,4
f66EqKv3Edg,"【Kirby Air Riders】Ridin' with da boys!  | w/ Machina X Flayon, Regis Altare, & Goldbullet !!",2025-12-03T03:55:53Z,3173,529,7
YjsKh1qO-8o,who's the father? #shorts #holoarmis #goldbullet,2025-12-02T01:00:46Z,10787,1050,43
3cf0YeBEsiM,I did my homework #shorts #holoarmis #goldbullet,2025-11-29T01:00:12Z,7088,868,12
nh8rAJDZ0JI,Just one more #shorts #holoarmis #goldbullet,2025-11-27T01:01:19Z,6938,860,28
KkMkU75I9bA,【ARMIS Masquerade】Enter this lovely occassion!,2025-11-26T05:33:29Z,5376,575,10
oHqIfEjaTxQ,WHY'S HE CAKED UP #shorts #holoarmis #goldbullet,2025-11-25T01:01:11Z,5655,728,27
QTXrq6yD61s,【Kirby Air Riders】Just me and my boy RICK,2025-11-22T05:34:18Z,3744,534,7
hfvMQDqZZuU,Teaching him how its done #shorts #holoarmis #goldbullet,2025-11-22T01:01:05Z,13457,1553,68
yxmUL8RBWU4,【Kirby Air Riders】IT'S FINALLY HERE?!,2025-11-20T07:48:01Z,3894,513,6
bkGyO56fUEc,nut #shorts #holoarmis #goldbullet,2025-11-20T01:00:53Z,12608,1369,37
5jW8snRlD-w,WHAT DO yOU HAVE? #shorts #holoarmis #goldbullet,2025-11-18T06:00:06Z,10902,1089,17
hvwBTGyDDls,【GOLDBULLET'S 2ND ANNIVERSARY】What's in store?!,2025-11-17T04:30:13Z,3811,726,20
5Tv7_kmg7zk,【Kirby Air Riders】IT'S RIDE TIME,2025-11-15T10:46:13Z,2773,426,4
BVfJJUUuRD0,"【DEVOUR COLLAB】So, this is a festive game...right?",2025-11-15T04:44:10Z,4247,594,5
5_ovBnHEqhI,【Kirby 64: The Crystal Shards】ITS CUTE AND DEMONIC!,2025-11-13T08:41:16Z,3313,502,4
pf69FKewEXM,【Kirby and the Forgotten Land】MAXIMUM PINK!,2025-11-12T00:59:48Z,3063,516,11
uKKMbQMVR4A,【Spooky Month Watchalong】LAKE MUNGO,2025-10-27T05:59:03Z,1796,321,3
5xsxjNvww_8,sick? goldie's got you #shorts #goldbullet #destroybubbies,2025-10-25T23:00:08Z,7095,1088,54
uk7jR9oQx9I,【Ouija Board Handcam】Time to talk to spirits!,2025-10-25T05:50:21Z,5793,738,12
HfemRutSabQ,【Doki Doki Literature Club!】It's as normal as ever!,2025-10-23T20:36:13Z,6342,757,17
UuNbyVGA_Y4,【Yooka-Replaylee】Hey! It's Playtonic!,2025-10-22T07:14:21Z,2791,450,6
0TglfnrGxAk,【Spooky Month Watchalong】PARANORMAL ACTIVITY,2025-10-20T05:54:19Z,1340,313,4
Wm7oCek3L10,【Black Mesa Zatsudan】Just a normal day at my normal job!,2025-10-19T06:52:07Z,3600,545,7
ESTk7e-M9jE,"【No, I'm not a Human】I have never been. Never will be.",2025-10-17T07:13:00Z,3700,548,7
5lImuUJjudQ,"【Catherine: Full Body】Love, Pleasure, and Death!",2025-10-15T07:29:12Z,3329,513,5
XnGRTHGHobg,【Spooky Month Watchalong】SINNERS,2025-10-14T06:48:08Z,2183,424,5
GsFTzJ78DIo,【Amnesia: The Bunker】We Can't Escape...,2025-10-09T08:15:22Z,4836,624,6
qEb74OsljEY,【3D Zatsudan】A Good Night Leads To A Bad Day! ...erm in 3D,2025-10-08T06:10:57Z,4622,680,17
gekpCS0zwJU,【Spooky Month Watchalong】WEAPONS,2025-10-06T06:26:33Z,1927,399,7
nKqS0t26tJQ,"【The Legend of Zelda: Majora's Mask】THE MOON, HERE IT COMES",2025-10-05T07:58:27Z,3700,563,9
M6T3K7FzW4M,【LEGO Star Wars】IT'S TIME TO YAP AND PLAY LEGOS,2025-10-01T18:19:56Z,2916,527,9
tUI1XMbiLzQ,【LEGO Star Wars】*LEGO YODA DEATH SOUND*,2025-09-25T18:25:44Z,3485,530,10
ymIACyrw_TQ,"【Zatsudan】WE GOT A PUPPY, BUBBIES!",2025-09-24T00:27:34Z,8420,1200,30
RGktPhbwiXs,【Marvel Rivals ARMIS Collab】Where's Octavio,2025-09-11T11:18:48Z,5776,690,8
44izdCP7S8M,【Silent Hill 2】As scary as it gets...,2025-09-11T07:25:56Z,4742,559,5
HW_LbokDTis,Remember Bloodhounds? #shorts #goldbullet #HSEverglow,2025-09-06T01:00:22Z,7038,1157,24
VHJJtOdztXA,【Resident Evil 2】Umbrella Corp. is going DOWN!,2025-09-05T09:08:12Z,2639,472,6
XKmnG71qtLI,【Nubby's Number Factory】Can I have extra ketchup,2025-09-05T03:35:55Z,1864,405,6
8t6_uubvj2I,【Life Is Strange Episode 2】Out Of Time...!,2025-09-02T18:22:55Z,2376,451,8
tV6Hi9bt3Sw,【Zatsudan】What happened at this Meet & Greet...?!,2025-09-01T17:29:53Z,2197,430,6
RIvE-0lsZYQ,【Resident Evil Village】The Shadows Of Rose,2025-08-29T07:19:30Z,2880,519,4
W3WFkav6RD8,【Life Is Strange】It's About Time!,2025-08-27T03:58:58Z,10535,567,18
9Dc0Fz5ELYw,【Resident Evil 4: The Chill Stream】Where's Everyone Going? Bingo?,2025-08-14T03:20:06Z,3401,502,7
tgfVer7YzZY,【Animal Review】Your Cats? Your Dogs? Your Pet Fish? HAND 'EM OVER,2025-08-10T06:50:04Z,6274,716,36
ZqaTmC9FD50,【Resident Evil 7 Banned Footage + End of Zoe】The Horror's Never END!,2025-08-09T20:46:14Z,3857,504,11
pZHonrwEdH0,【Resident Evil】It's Scary...It's Delightful...It's EVIL!,2025-08-07T09:13:40Z,10008,634,7
CAari3Otyd8,"【DATE EVERYTHING!】Everything, AND Anything you say?!",2025-08-06T08:38:35Z,12536,1044,14
3KPqJYFkPXY,【Mario Vs. Donkey Kong】Donkey Kong is a...BAD GUY?!,2025-07-23T04:55:41Z,3521,490,3
Xucb_3EhWm0,【Donkey Kong Bananza】BANANA SLAMMA!!,2025-07-17T15:53:36Z,24728,1315,29
xPm6NivEepo,【UMAMUSUME PRETTY DERBY】Time to start RACING THE HORSES,2025-07-15T03:42:43Z,9507,1003,12
zh1XYvAiVNE,【PEAK】ARMIS TAKES ON THE TASK,2025-07-12T04:50:00Z,9818,901,17
AQvzdTUK1zo,【The Rogue Prince of Persia】The Sands Of Time,2025-07-10T17:33:40Z,3738,538,7
0DQwSg1YLCw,【PEAK】It's time to hop on peak w/ @AxelSyrios,2025-07-05T04:25:04Z,5774,750,7
gnZy9Kwi4XE,【Super Mario Sunshine】IT'S OFFICIALLY SUMMER TIME! (We did the Banana skip.),2025-07-04T05:10:25Z,4804,634,5
CohaXjDMyAg,【Birthday Cooking Handcam!】A BRAND NEW DISH FOR THE BUBBIES!,2025-07-01T03:05:59Z,14637,1597,33
vOC-yf80bJU,【The Mortuary Assistant】Just a completely normal occupation.,2025-06-28T14:18:49Z,5318,650,9
nTVBpbI_8cI,【Way Of The Hunter】Horsetavio will be found.,2025-06-27T04:11:12Z,3602,548,25
iNZwbB1nh_8,【ACCESSORY REVEAL】FEEL THE AIR ON YOUR WINGS!,2025-06-19T16:25:00Z,4157,679,16
oXCa1K3AJxg,【Donkey Kong Bananza Direct】DIRECT REACTION! GRAB A SEAT!,2025-06-18T14:29:13Z,3574,404,6
aS00xVjbz0g,【Mario Kart World Collab】KART RACIN' WITH @MachinaXFlayon !,2025-06-18T03:49:18Z,4766,623,7
uR0NAxxeTCc,【The Outlast Trials Collab】Summer night frights!,2025-06-15T05:40:15Z,6517,697,8
GI3NJxu-7Yg,【Mario Kart World】IT'S A FULL ROADTRIP!,2025-06-13T05:12:21Z,7452,658,2
9quhnCMRBpM,【Mario Kart World】SWITCH 2 MIDNIGHT RELEASE STREAM!,2025-06-05T10:25:19Z,16175,1156,10
1S0W-VzxqyM,【DEADLOCK】We return to The Cursed Apple!,2025-06-03T16:49:08Z,2888,439,8
_Yy_Mud6RlQ,【Drawing Stream!】Bring out the pen & paper!,2025-06-03T05:25:49Z,8885,1059,6
P92it8a2cgY,【Mario Party 3】VERY FIRST 50 TURNS CPU TOURNAMENT! (Mario ends it early),2025-05-30T21:09:04Z,2827,461,10
z3n1kANSkw0,【Bioshock】Everything for the Rapture!,2025-05-28T23:02:54Z,7080,693,8
DMM_T2dIWcs,"【Super Mario 3D World】Surely, I will not meow.",2025-05-23T20:28:25Z,4918,661,11
p6frhVzxvms,【Donkey Kong Country 3】Even MORE BANANAS!,2025-05-22T18:17:16Z,3283,519,8
AdwPjoRxlL4,【Zatsudan】I've RETURNED! (AND IM GOING TO SCREAM AT YOU),2025-05-20T17:13:55Z,5371,797,16
yIPitavIzyA,【Zatsudan before break!】Time for some Rest & Relaxation!,2025-04-30T16:55:27Z,2901,465,10
