id,title,publishedAt,viewCount,likeCount,commentCount
k1KnH7cJO6U,Katanya anakilang @sayaayaaulya Ini Propleyer〖Silent Hill F〗,2025-12-10T18:02:31Z,724,133,0
-Rf9ERh-sqg,Tukang Yapping Ini Kangen Kalian!〖FreeTalk | Zatsudan | 雑談〗,2025-12-08T15:22:54Z,556,114,9
cB4PhKITaZg,〖#MiniHARU〗Jaga Dan Sayangi Bumi Kita,2025-12-06T20:32:26Z,418,107,6
rGkz-vs1x2w,Stream SSR?! Otsu39 dan Otsufuro~!〖FreeTalk | Zatsudan | 雑談〗,2025-11-19T16:12:45Z,790,112,4
JvLoVa_Zayk,Menuju Puncak Gemilang Cahaya Bersama Teman Bertualang〖Peak〗,2025-11-03T15:02:44Z,948,137,2
-eNfQijocbc,Apa mimpi burukmu yang paling menyeramkan...?#JunjiIto #Misteri #Horor,2025-10-25T10:14:09Z,1969,89,14
fhnnIpsMglQ,World Mental Health Day: Gimana kesehatan mental kalian saat ini?〖FreeTalk | Zatsudan | 雑談〗,2025-10-11T17:22:41Z,846,147,1
qWFbZPac59o,"""What if"" Scenario〖FreeTalk | Zatsudan | 雑談〗",2025-09-17T17:01:05Z,931,145,4
AOW57QSJ6xM,Nyanyi Sambil Nunggu Disawer!〖Singing | 歌枠〗,2025-09-15T18:26:47Z,730,142,4
nOhlBuuC9KY,Tes Dadakan di POOMANG!!!〖FreeTalk | Zatsudan | 雑談〗,2025-09-07T07:58:01Z,630,115,3
nxoHAUkudCQ,Ada apa aja di hape Epel?!〖FreeTalk | Zatsudan | 雑談 | Gaming〗,2025-09-02T16:20:53Z,887,143,6
f3DOZ7lycz8,Apa Yang Membuat Kakak Bertahan?〖FreeTalk | Zatsudan | 雑談〗,2025-09-01T18:45:22Z,1226,237,3
kelE54XyY7M,🥀 Doa Bersama 🇮🇩,2025-08-29T13:52:40Z,3278,539,4
Kr57vvN9bV8,Alumni MeroHaru Reinkarnasi Jadi Bebecc!〖Goose Goose Duck〗,2025-08-24T01:50:20Z,357,76,0
RPJVfhYwb4w,Ulang Lagi! Gak Aci Ah TwT)〖InZOI〗,2025-08-22T16:23:50Z,566,85,2
Pwv12BLjzew,Cahaya Nur Hikari Town City Kota Machi〖InZOI〗,2025-08-21T16:18:23Z,847,137,2
XA9NwKVF9jE,Sekali-kali Nyobain Violent Struggle!〖Identity V || 弟五人格〗,2025-08-20T16:50:28Z,466,97,1
cjUoan7gguw,Kali ini bisa yok ges!!! 〖Whisper Mountain Outbreak〗,2025-08-18T15:45:33Z,535,106,1
ZC8E-Oy0QPU,Perasaan Pengen Nyanyi Deh!〖Singing | 歌枠〗,2025-08-14T16:48:15Z,669,124,2
kplWJghEWmI,"Bukan Uma Musume! Niatnya buat ngememe, tapi ternyata NAGIH!! 〖Rival Stars Horse Racing〗",2025-08-13T15:38:49Z,659,112,2
0VYdNwqLxKc,PERINGATAN DARURAT! ADA WABAH ANOMALI!!! 〖Whisper Mountain Outbreak〗,2025-08-11T17:55:33Z,677,109,1
RiLTvMpyg4g,PREREN! EPEL MAU SEMUANYA! 〖Identity V || 弟五人格〗,2025-08-10T15:21:31Z,502,87,3
5XbndZIwes8,〖#MeroHaru25 Day 1〗Mari Buat Dunia Lebih Indah dan Ramah!,2025-08-09T13:09:49Z,939,187,5
kPGcMWOuqLs,Kehidupan Setelah Kematian!〖Grim Trials〗,2025-08-02T17:19:39Z,587,111,2
HBK-W8ahZy4,#UtaIndoRelay -Versi Indonesia- Once Upon a Me || むかしむかしのきょうのぼく (DECO*27 feat. 初音ミク)〖Epel Cover〗,2025-06-21T07:00:15Z,836,96,44
tChRgeWB4ok,Udah nonton DanDaDan Evil Eye? Thank @MuseIndonesia @ATMStudioNonton💙 #HaiHaloEpel #DanDaDan,2025-06-15T09:25:53Z,10122,323,10
6qhl8nAnK8E,Pencari Cuan Mari Merapat! 〖FreeTalk | Zatsudan | 雑談〗,2025-06-11T17:22:45Z,1725,237,4
fc1nYM8wgDo,#UtaIndoRelay Once Upon a Me || むかしむかしのきょうのぼく (DECO*27 feat. 初音ミク)〖Epel Cover〗,2025-06-11T10:00:06Z,1197,136,94
qjb1VF8dUCk,A day in my life at Anime Festival Asia dan ketemu sesama pencari nafkah #HaiHaloEpel #AFAID25,2025-06-08T12:53:13Z,6049,570,23
elhJ-SpvQP0,6-8 Juni ‘25 ke #AFAID25 dan main ke booth @MuseIndonesia aja! #HaiHaloEpel #DanDaDan #DemonSlayer,2025-06-06T13:05:31Z,2509,163,14
genZPBUlE8E,2 Cewek Gak Pernah Main Bola di Rental PS〖Off Collab FIFA 22〗,2025-05-27T03:48:08Z,2941,358,8
XWn1TowNNac,"EDAN TAKTIK PROSEKA!! (Bagi kode Prosek Movie pls, tehe) 〖Project Sekai Hatsune Miku Colorful Stage〗",2025-05-22T16:17:13Z,1342,211,0
dy-m62OTVCM,Ngobrol Dikit di Sela-sela Persiapan CFXX〖Freetalk〗,2025-05-20T16:12:33Z,666,110,1
w6M7PRqN1Gc,NGEJAR SKIN IB IDV!〖Identity V || 弟五人格〗,2025-05-14T19:40:58Z,598,108,3
moOI9qSKMOY,Sini Ngobrol Dan Nyanyiin Lagu Proseka!〖FreeTalk | Zatsudan | 雑談 | Singing | 歌枠〗,2025-05-13T16:45:16Z,941,161,2
-DXFfptaqXk,Sulit dipercaya Ges 😱 Jangan lupa mampir ke booth AC-26 Hai Halo Epel di CFXX ya! #haihaloepel #aggc,2025-05-13T10:00:00Z,3334,319,13
n1G1kNY7HoY,Nguli Last Minute!〖Dinkum〗,2025-05-10T05:58:44Z,1099,158,1
UXBK8WfRlVY,Bersama Membangun N̶e̶g̶e̶r̶i̶ Pulau! 〖Dinkum〗,2025-05-08T18:01:13Z,2753,457,1
Em20mnIkGe0,SAATNYA MENJARAH BERSAMA TEMAN 【R.E.P.O.】,2025-04-26T14:22:38Z,968,149,0
IwKQdQENfek,"Pertama, kamu adalah binatang.【Party Animal】",2025-04-26T01:49:18Z,1891,307,2
jL-NQcOA7Ys,Mancing mania #haihaloepel #aggc,2025-04-22T10:57:12Z,3799,340,18
F8zwW6kojiU,"IRL ga bisa beli mobil, belinya di game aja #haihaloepel",2025-04-21T10:51:17Z,2350,221,12
uQqS7fBR_4s,Enjoy Injoi Momentos【InZOI】,2025-04-21T03:24:43Z,671,112,0
6bwL_sGnEi8,Nyanyi ini karena sering lewat di Shorts #haihaloepel #aggc,2025-04-20T10:00:09Z,2633,223,13
SPf9cmmtkh4,Bagikan video ini ke temanmu tanpa konteks #haihaloepel #aggc,2025-04-19T10:00:43Z,9357,493,33
DI7Y2yxPx4k,"Pertama Kali Jatuh Cinta?【12.1 FM, Epel Radio!】",2025-04-18T19:05:27Z,1200,208,0
9ut2eAc55zc,Toilet jadul #haihaloepel #aggc,2025-04-18T10:26:43Z,2875,74,1
WfeXOdvW8TY,Perjuangan bersin #haihaloepel #aggc,2025-04-17T10:33:29Z,3113,326,13
ycnFrk3yA58,Mochi #haihaloepel #aggc,2025-04-16T10:05:20Z,1808,88,8
enl-mzfuFIU,Pas ga? #haihaloepel #aggc,2025-04-15T10:09:50Z,1673,123,11
EGnpzpr6dRw,Makan ramen pake.. #inzoi #haihaloepel #aggc,2025-04-14T10:00:19Z,3619,305,11
l-MBhTKtCds,"Abis Karaoke, Karaoke Lagi!【Singing | 歌枠】",2025-04-13T16:20:06Z,1099,192,0
