id,title,publishedAt,viewCount,likeCount,commentCount
wjRv4xE8cXg,【謎ゲー】idk what this game is...【白鹿いおり Phase Connect】,2025-12-12T06:42:54Z,2258,497,9
ghgnpyjTkMI,zatsudan 雑談【白鹿いおり Phase Connect】,2025-12-11T02:43:16Z,1386,367,5
yqFXX9zFluQ,L.A. Noire #FINAL: goodbye...cole...【白鹿いおり Phase Connect】,2025-12-09T05:32:00Z,1733,400,9
HXZNyGm581o,L.A. Noire #11: one cooked deer meet to go【白鹿いおり Phase Connect】,2025-12-08T04:02:50Z,1749,425,3
dXXNQKIOk4g,【RP】Helping Santa Claus【白鹿いおり Phase Connect】,2025-12-14T05:34:55Z,0,23,6
FjvIuMKu0DM,【RP】Chinatown Date【白鹿いおり Phase Connect】,2025-12-07T05:50:25Z,2788,532,8
Ka-Fi_He67c,"bringing back the cringe ""OUR SONG"" culture【白鹿いおり Phase Connect】",2025-12-04T02:34:35Z,1933,443,9
Q2f0r7FVqBM,L.A. Noire #10: DEMOTED to Arson now?! I don't wanna be a cooked deer ; ;【白鹿いおり Phase Connect】,2025-12-03T07:11:29Z,2113,433,8
waMoAwl05w0,L.A. Noire #9: finishing vice cases!【白鹿いおり Phase Connect】,2025-12-01T16:02:15Z,1069,277,6
xj3STL_dtMQ,【RP】DO YOUR WORK【白鹿いおり Phase Connect】,2025-11-29T05:54:06Z,2570,576,12
Bm-pEbvRu0Y,making you a bento! お弁当つくるよ～！【白鹿いおり Phase Connect】,2025-11-28T02:21:29Z,2373,486,5
pUCXmpsXKw4,L.A. Noire #8: juicy cases are my favorite【白鹿いおり Phase Connect】,2025-11-27T06:43:17Z,1086,279,6
52-LO4QnFgQ,L.A. Noire #7: vice detective iori hakushika【白鹿いおり Phase Connect】,2025-11-25T05:44:12Z,1706,412,7
HRV1uBOryvg,L.A. Noire #6: is it a serial killer...?【白鹿いおり Phase Connect】,2025-11-24T07:44:19Z,1861,482,7
SFrKyD6hByI,YAP DEER / ざつだん【白鹿いおり Phase Connect】,2025-11-21T14:49:28Z,897,282,9
zw4NYMXhkTw,L.A. Noire #5: i just want my old partner back【白鹿いおり Phase Connect】,2025-11-20T05:45:22Z,916,258,6
Of3eliz5yH8,L.A. Noire #4: First Day as a homicide deertective【白鹿いおり Phase Connect】,2025-11-19T05:57:54Z,1018,285,7
1DVHH1e5OFE,yapping n' washing w/@NopiTulpe 【白鹿いおり Phase Connect】,2025-11-17T06:43:19Z,1775,384,10
xbp-xKllUqA,【RP】PANDA【白鹿いおり Phase Connect】,2025-11-15T16:59:02Z,1534,339,14
sIJGDYV7r0Y,Supermarket Explorer Episode 7: Going Back to Canadian Supermarkets!【白鹿いおり Phase Connect】,2025-11-13T05:39:42Z,1936,430,10
b2OLS2lCDUU,L.A. Noire #3: finishing traffic cases!【白鹿いおり Phase Connect】,2025-11-12T06:26:45Z,1283,331,8
KHxSKzZF2C8,L.A. Noire #2 : Deer oh deer【白鹿いおり Phase Connect】,2025-11-11T06:41:15Z,2009,456,6
zTMz8iQT5Lk,Zatsudan/雑談【白鹿いおり Phase Connect】,2025-11-10T05:51:00Z,2687,525,6
0D8YclAVWV4,【RP】lori is Your Personal Assistant【白鹿いおり Phase Connect】,2025-11-09T05:30:35Z,1886,435,9
x01TFcHthZ4,L.A. Noire: Blind play! Let's see the origin of the meme!【白鹿いおり Phase Connect】,2025-11-05T06:07:56Z,2163,440,16
QA_96JftMjM,"【RP】you'll come visit me even if i am in prison, right?【白鹿いおり Phase Connect】",2025-11-01T04:20:10Z,1828,429,11
JnuY6YmHXe4,PINSTRIPE or ZATSUDAN【白鹿いおり Phase Connect】,2025-10-31T04:59:31Z,1212,317,9
5BKeAsK7NIs,Pinstripe: deer girl plays it for the first time!【白鹿いおり Phase Connect】,2025-10-30T06:15:58Z,2592,565,7
dTTs9doLyAw,finishing digging for golds (hopefully...)【白鹿いおり Phase Connect】,2025-10-29T04:51:34Z,1240,332,8
XlKLK9fWm0o,【MIRARi】YAPYAP ノンストップで喋ればいいらしい？3人にかかればおゆーでしょ！ 【白鹿いおり Phase Connect】,2025-10-28T09:48:13Z,1162,340,5
QDOko70J1fQ,"Supermarket Explorer Episode 6: Trader Joe's, a store with great bags 【白鹿いおり Phase Connect】",2025-10-27T04:57:06Z,2497,435,6
9DzH7Wh4t2Y,Deer Girl Shows Her Daily Life【白鹿いおり Phase Connect】,2025-10-23T05:13:02Z,4176,691,10
-fsiZcDxbjU,【RP】Trick or Treat...OR...?? #PhaseOWeen【白鹿いおり Phase Connect】,2025-10-22T04:04:00Z,2493,504,16
OoFEKXVVY5A,"Supermarket Explorer Episode 5: COSTCO, a theme park of foods【白鹿いおり Phase Connect】",2025-10-21T05:03:51Z,2006,390,8
augIo3vIh_w,Let's get together and have fun digging deeper into the rabbit hole!【白鹿いおり Phase Connect】,2025-10-20T05:27:37Z,2693,506,11
nR0oIApHuMI,Zatsuuuuuuuuuuuu 雑談！【白鹿いおり Phase Connect】,2025-10-19T05:09:19Z,2005,401,10
e5NyezLEV_Q,【RP】NOT ASMR!!!!! Imoto Whisper Zatsudan【白鹿いおり Phase Connect】,2025-10-18T04:26:29Z,1569,360,8
wVeBrT0kWvs,【Venba】Lonely Deer Plays A Heartwarming Game!【白鹿いおり Phase Connect】,2025-10-17T05:18:38Z,1511,356,5
vnAzyeoClfo,everything i own in the box to the left【白鹿いおり Phase Connect】,2025-10-16T05:24:18Z,3126,566,9
FgeNMuuM4Sg,Which One is King Even????【白鹿いおり Phase Connect】,2025-10-15T05:16:35Z,3307,604,6
rnHgU7AOliw,"Supermarket Explorer Episode 4: EREWHON, where smoothies are sold at $20 【白鹿いおり Phase Connect】",2025-10-14T04:18:46Z,1548,357,11
d7D0L75yYWE,【RP】A Cute GF Is Waiting For You...?!【白鹿いおり Phase Connect】,2025-10-11T04:59:18Z,1951,413,18
G2bdyuCjLbo,"Cyborg deer just wants to chat with you, master💙【白鹿いおり Phase Connect】",2025-10-10T05:16:32Z,2047,461,13
UgO65X0XD0c,FINALLY ESCAPING FOR REAL【白鹿いおり Phase Connect】,2025-10-08T15:53:28Z,919,237,6
bLSeUrj-oSI,LET ME OUT! I'M INNOCENT!【白鹿いおり Phase Connect】,2025-10-07T07:33:30Z,2069,406,7
iLuxNsiBfBc,Supermarket Explorer Episode 3: WALMART (welcome to the land of freedom) 【白鹿いおり Phase Connect】,2025-10-06T04:17:58Z,2991,504,14
KmVTIkNmECY,【RP】Last Swim of 2025【白鹿いおり Phase Connect】,2025-10-04T05:18:24Z,1840,450,14
7pmbETY_htw,Yap yap yap yap to the top【白鹿いおり Phase Connect】,2025-10-03T06:04:46Z,2705,471,6
G_WfFqzlvs8,finished The Quarry so let's look at Steam Autumn Sale【白鹿いおり Phase Connect】,2025-10-01T05:14:10Z,3028,473,7
XpBpi6kAwR8,The Quarry: FINAL【白鹿いおり Phase Connect】,2025-09-30T05:35:29Z,959,268,6
gUnodzaym2o,【RP】Japanese Hot Springs Experience with Iori【白鹿いおり Phase Connect】,2025-09-28T05:23:39Z,2007,386,11
lbbbuIghoTs,【雑談】神社仏閣巡りしたくない？どこかおすすめある？【白鹿いおり Phase Connect】,2025-09-28T01:42:00Z,703,187,3
ozYkJy5RazQ,Duet Karaoke with Larry【白鹿いおり Phase Connect】,2025-09-27T02:38:36Z,2295,454,15
sDqUHLwL7Ro,The Quarry: I feel like my ship is sinking...T^T【白鹿いおり Phase Connect】,2025-09-26T05:57:16Z,2010,378,6
i5plxyvrCs0,The Quarry: I don't want my ship to sink...NO TITANIC PLZ【白鹿いおり Phase Connect】,2025-09-24T05:29:45Z,974,264,4
qKTRkPlf14c,Supermarket Explorer Episode 2: Japanese Supermarket 【白鹿いおり Phase Connect】,2025-09-22T05:20:47Z,3021,545,7
ZyThiXHilb0,【RP-ish】Ara Ara~ Come Talk With Onee-san Iori【白鹿いおり Phase Connect】,2025-09-20T06:21:20Z,3114,533,9
xkZFs4r4myY,The Quarry: I Just Want Ryan To Be Safe【白鹿いおり Phase Connect】,2025-09-19T03:34:32Z,1568,324,5
D7Cc5eb1fgo,The Quarry: Deer Girl First Time Playing!  【白鹿いおり Phase Connect】,2025-09-18T02:35:51Z,2129,415,7
6WtnQWjldew,【Dark Deception】猿との鹿の追いかけっこ。実質自然界の世界陸上です。【白鹿いおり Phase Connect】,2025-09-17T14:40:42Z,2254,342,7
wBABoL5M2Fk,【MIRARi】えーぺっくすやります。みぎもひだりもわかりません。【白鹿いおり Phase Connect】,2025-09-16T07:36:23Z,1438,332,3
0cJFvfNf_MI,Supermarket Explorer Episode 1: REAL CANADIAN SUPERSTORE【白鹿いおり Phase Connect】,2025-09-15T05:45:01Z,4533,658,8
79GuXZhmicg,【yap】this deer can yap all night (not all night)【白鹿いおり Phase Connect】,2025-09-12T02:17:00Z,1691,381,7
b2zfa7VZmMI,【雑談】鹿が喋るマジックショー【白鹿いおり Phase Connect】,2025-09-12T00:59:18Z,872,233,5
f_OhzFinjxg,Deer Rolls Cheese【白鹿いおり Phase Connect】,2025-09-11T03:39:05Z,1948,469,7
mQYuv_Pwvtc,【奇天烈相談ダイアル】白鹿より奇天烈なやつがいるって？！【白鹿いおり Phase Connect】,2025-09-10T13:54:26Z,1095,335,4
vJqo7xuCR5U,【Going Under】ブラック企業訪問会【白鹿いおり Phase Connect】,2025-09-09T04:01:40Z,923,267,3
wiP9cso85uQ,I have a Girlfriend!!!! (Best Day in My Life)【白鹿いおり Phase Connect】,2025-09-08T03:37:11Z,2163,477,4
lyEattHdVfg,Call with a Discord Kitten (Literal) ※RP stream【白鹿いおり Phase Connect】,2025-09-07T02:09:30Z,2667,593,17
F6ptBJZUTc4,【雑談】白鹿と一緒におしゃべりしよ～♡【白鹿いおり Phase Connect】,2025-09-06T14:04:26Z,1195,362,2
Z0ebR7o-dYs,Iori and the Chipmunk(s) Karaoke【白鹿いおり Phase Connect】,2025-09-06T01:50:33Z,994,343,9
TDvK05VsK3c,【脱出ルームシミュレーター】完全所見でもどんな部屋からも脱出して見せてやんよ【白鹿いおり Phase Connect】,2025-09-05T14:45:23Z,964,295,4
EthUt1IgO54,Going back to the 2008 internet【白鹿いおり Phase Connect】,2025-09-04T04:48:03Z,1687,473,2
MUVGPOSrPJU,【An Arcade Full of Cats】隠れているねこちゃんを探すよ！【白鹿いおり Phase Connect】,2025-09-02T13:40:09Z,789,252,5
ufQ8gqgIM7U,it's already September?! Zatsudan!【白鹿いおり Phase Connect】,2025-09-02T03:46:32Z,2725,693,8
dTftfntJmik,undecided【白鹿いおり Phase Connect】,2025-08-31T02:17:03Z,2046,556,8
oDemYCCDE9Q,【Phasmophobia】鹿、魔女、ドラゴン、犬で行く幽霊調査【白鹿いおり Phase Connect】,2025-08-30T15:57:55Z,1071,328,6
Fue0gmkYxOs,Welcome to The Puzzle Club! 🧩【白鹿いおり Phase Connect】,2025-08-29T03:28:25Z,1783,490,7
OduHpN54GrY,【雑談】まったりとべしゃりがとまらない【白鹿いおり Phase Connect】,2025-08-28T14:39:46Z,1820,508,3
Q6wJPqaPSLg,short yap yap yap【白鹿いおり Phase Connect】,2025-08-26T05:22:29Z,2152,552,9
6jui_Zp0UDo,【The Last Campfire】まったりパズル【白鹿いおり Phase Connect】,2025-08-25T13:54:57Z,1082,357,8
dqIhK62UZgg,After Birthday Zatsudan / 誕生日後雑談【白鹿いおり Phase Connect】,2025-08-24T02:38:28Z,1374,401,10
Fnzu1wMRhgY,【DEER DAY】happy birthday to the greatest deer girl of all! 誕生日配信だったりしますか？【白鹿いおり Phase Connect】,2025-08-23T04:51:31Z,4218,1204,81
CkBKTq5Njx8,【歌ってみた】モニタリング - DECO*27【白鹿いおり Phase Connect】,2025-08-23T04:35:06Z,7818,1194,118
V0t3WdEJZy8,【Forza Horizon 4】鹿＋車＝最速【白鹿いおり Phase Connect】,2025-08-21T14:20:20Z,1755,458,9
iFwgV7Q-k0o,simple yap to catch up! deer has been walking a lot lately...🦌🐾【白鹿いおり Phase Connect】,2025-08-21T03:19:11Z,3235,734,7
iQEe2e4oBRM,【雑談】コミケお疲れさまでした！【白鹿いおり Phase Connect】,2025-08-18T13:40:09Z,1319,326,4
