id,title,publishedAt,viewCount,likeCount,commentCount
l5Mkfl2jiWQ,【10】(Hades II) if i'll suffer at least let me suffer while twinning【NIJISANJI | Hana Macchia】,2025-11-27T19:13:36Z,1664,234,4
C9DP_sUNO_c,【2】(Clair Obscur 33) well lemme play a bit more to see how i feel【NIJISANJI | Hana Macchia】,2025-11-26T18:24:25Z,2280,315,2
AeHOMqEcdkQ,【1】(Clair Obscur 33) blind reaction from a stinky bad turnbased player【NIJISANJI | Hana Macchia】,2025-11-26T06:27:50Z,2641,307,4
TPpyBeLhrV4,【9】(Hades II) what happens if i spam ygnium on chronos let's find out【NIJISANJI | Hana Macchia】,2025-11-25T08:44:30Z,2223,304,1
HiQJnxxXTKc,(Ball x Pit) balling yet again【NIJISANJI | Hana Macchia】,2025-11-18T16:35:52Z,1550,293,0
B2bGLCv9TOk,【8】(Hades II) haven't played in a while how rusty can i possibly be 【NIJISANJI | Hana Macchia】,2025-11-18T09:09:13Z,2406,355,5
orl9NaSsb6I,(Ball x Pit) we're literally balling now WOOO【NIJISANJI | Hana Macchia】,2025-11-14T06:54:32Z,2308,363,1
okZVzbofdRk,"(Collab) new update, what's new in repo!!【NIJISANJI | Hana Macchia】",2025-11-08T14:41:15Z,1979,349,4
JBR-OqnsZbQ,"(spooky game donothon) give money, unlock spook game, i get scared, profit【NIJISANJI | Hana Macchia】",2025-11-01T00:28:21Z,5575,649,8
P1BVCst2VtA,"(Slay the Spire) in the mood for a classic, and to humiliate myself【NIJISANJI | Hana Macchia】",2025-10-27T16:20:56Z,2200,338,2
3DJkiKHXpHA,【7】(Hades II) BLAAAAHHH I'M SICK OF HIMMMM【NIJISANJI | Hana Macchia】,2025-10-21T08:13:48Z,2137,290,2
8c5-ntyKVEI,"(Onigiri Shop Simulator) making onigiri seems simple, but is it...?【NIJISANJI | Hana Macchia】",2025-10-16T14:29:11Z,2512,406,5
tfgc6WdE9J4,【6】(Hades II) ygnium is broken i believe【NIJISANJI | Hana Macchia】,2025-10-13T09:28:58Z,2392,288,1
4WiQA8Zm8c4,(Free Talk) yapping about skincare makeup fashion and stuff【NIJISANJI | Hana Macchia】,2025-10-11T05:08:57Z,3249,509,5
AoPdFj_yJJk,【5】(Hades II) that cursed lady is the bane of my existence in hades 2【NIJISANJI | Hana Macchia】,2025-10-10T11:01:29Z,2930,350,2
FaCZbxqVp3k,【4】(Hades II) apparently i've been kinda good at the game...nfufu✨【NIJISANJI | Hana Macchia】,2025-10-09T11:40:23Z,3260,397,4
d98hiZJSc9M,(CloverPit) LET'S GO GAMBLING!!! ...fictionally!!! 💸💸💸【NIJISANJI | Hana Macchia】,2025-10-08T15:19:31Z,1694,286,6
pIJB6scgrmE,【3】(Hades II) i love meli-moë but god damn this game's hard【NIJISANJI | Hana Macchia】,2025-10-08T10:21:39Z,2444,302,2
5qi8rxlv6Xc,【2】(Hades II) i haven't played thru it properly 'cus my internet died LMAO【NIJISANJI | Hana Macchia】,2025-10-07T16:27:18Z,1627,291,1
Fd6ZCwjAuCk,【1】(Hades II) beat hades once and somehow i think i'm qualified to be here【NIJISANJI | Hana Macchia】,2025-10-07T03:57:37Z,1955,304,4
8xHeJdcUrYU,(Collab) the gang's all here to play REPO!!! let's get that diamonds!💎【NIJISANJI | Hana Macchia】,2025-10-04T15:07:39Z,2314,410,2
q9WbknvwJUM,(Hades) i wanna finish this game but i forgot how to play it pt.2【NIJISANJI | Hana Macchia】,2025-10-02T07:03:01Z,2393,363,4
MLCtJMwkeyg,(Hades) i wanna finish this game but i forgot how to play it pt.1【NIJISANJI | Hana Macchia】,2025-09-30T09:50:24Z,4046,523,3
oaZOZGqx_jg,(Free Talk+Doodling) i haven't drawn on stream in so long sweats【NIJISANJI | Hana Macchia】,2025-09-24T16:38:24Z,2851,451,1
3DGXyeMeJEE,(Date Everything) i got no charisma to be woo-ing any furniture man【NIJISANJI | Hana Macchia】,2025-09-22T18:19:55Z,3327,505,2
TKrP6g4HDs0,(Free Talk+Surprise) talking about things and doing silly stuff perchance【NIJISANJI | Hana Macchia】,2025-09-19T14:36:58Z,3383,529,4
Smy3T6SQkE4,(初3Dカラオケ) 6th YEAR ANNIVERSARY CELEBRATION!【にじさんじ | Hana Macchia】【supported by DAM】,2025-09-15T12:06:15Z,36242,5119,65
Z9eyDSe3Xik,(Free Talk + Announcement) whoa this is a special day today hmhm【NIJISANJI | Hana Macchia】,2025-09-13T15:16:01Z,5730,895,20
xCFY0YtJaM8,(UmaMusume: Pretty Derby) goldship bonding time【NIJISANJI | Hana Macchia】,2025-09-10T05:20:21Z,3457,531,6
LQP4PpWuprw,(Blue Archive) going thru event stories i missed! pt. 2【NIJISANJI  | Hana Macchia】,2025-08-28T19:58:09Z,3804,368,16
ZNs_Y4KcARU,(UmaMusume: Pretty Derby) oh look it's the horse girl game【NIJISANJI | Hana Macchia】,2025-08-25T20:21:10Z,7644,716,21
gvgi1Um3p08,"(Free Talk) i'm still alive, you can't get rid of me that easily🧐【NIJISANJI | Hana Macchia】",2025-08-20T05:39:21Z,4868,689,22
yLyUsVa7fyk,『Collab』(PEAK) i didnt learn any of this in pramuka【NIJISANJI | Hana Macchia】,2025-08-02T15:31:59Z,3371,432,2
onxEYOP8d2I,(Blue Archive) neru and mom gacha stream【NIJISANJI  | Hana Macchia】,2025-07-15T15:20:00Z,5066,414,16
kvxcMOVoF24,(Blue Archive) seia gacha stream【NIJISANJI  | Hana Macchia】,2025-07-14T14:01:37Z,3426,412,13
TZg_qGkuazk,(Blue Archive) going thru event stories i missed!【NIJISANJI  | Hana Macchia】,2025-07-10T21:33:19Z,7335,511,10
gobdFi23TP4,(Blue Archive) the story is picking up like crazy now holymoly【NIJISANJI  | Hana Macchia】,2025-07-09T18:02:34Z,6151,447,18
xOpT6hvLS-4,(Blue Archive) WE'RE SO BACK to properly finish the eden treaty! ithink?!【NIJISANJI  | Hana Macchia】,2025-07-07T19:06:41Z,6220,518,21
VAbTTrS8TZw,(Free Talk) idk what to stream so i guess we're yapping【NIJISANJI | Hana Macchia】,2025-07-05T20:09:22Z,8233,639,12
EPJfNgPzwi4,(Dead By Daylight) hey being a killer isn't that scary actually【NIJISANJI | Hana Macchia】,2025-07-03T15:09:28Z,1843,298,0
fRMxz6mKlSI,(Date Everything) tryna finding love in the comfort of my own home?【NIJISANJI | Hana Macchia】,2025-06-18T05:14:29Z,7498,722,10
OVQ92udX7LM,【#4】(Deltarune) WHAT HAPPENS NOW MAN HUHH???【NIJISANJI | Hana Macchia】,2025-06-13T12:34:38Z,16355,807,38
ECU4WueJpUg,【#3】(Deltarune) I DID NOT REALIZE NEW CHAPTERS ARE OUT ALREADY LMAO【NIJISANJI | Hana Macchia】,2025-06-11T05:31:14Z,13219,803,20
5olCCiU0KT8,【#2】(DOOM: The Dark Ages) a continuation to anime woman slaying demons【NIJISANJI  | Hana Macchia】,2025-05-23T17:46:31Z,6176,602,12
VA3mbxmqbh4,【#1】(DOOM: The Dark Ages) anime woman returns to demon slaying game again【NIJISANJI  | Hana Macchia】,2025-05-16T00:54:08Z,16282,1093,25
ngBVBulMx34,(Blue Archive) alright let's sidetrack and do the event stories【NIJISANJI  | Hana Macchia】,2025-04-28T21:46:28Z,10400,698,48
fwcMaCgzU_A,(Blue Archive) make-up club more like make-out club am i right -hanako【NIJISANJI  | Hana Macchia】,2025-04-24T16:50:34Z,6818,513,17
v9-YuFpc-_Q,(Blue Archive) back to babysitting my dumbass students (affectionate)【NIJISANJI  | Hana Macchia】,2025-04-15T17:54:38Z,6404,535,15
Yi5Mw2HLxnM,(Free Talk) watched animes so i'm back with topics to talk about!!【NIJISANJI | Hana Macchia】,2025-04-14T04:54:35Z,7519,756,12
Zz_swViS6KI,(NO-SKIN) gee i sure hope i'm not the one with no skin 'cus that's bad【NIJISANJI  | Hana Macchia】,2025-03-21T16:36:19Z,4624,528,6
iEur6KrFc58,【Hana Macchia】ハレンチ by ちゃんみな (にじさんじ歌謡祭2024)〖cover/ 歌ってみた〗,2025-03-11T13:01:09Z,276024,18695,361
tW_xiZt569I,(Blue Archive) bunny neru gacha【NIJISANJI  | Hana Macchia】,2025-03-11T10:10:57Z,8209,709,20
0aLC8Ag2b9U,(Devil May Cry 5) first impressions of my dad's favourite franchise【NIJISANJI | Hana Macchia】,2025-03-11T07:13:21Z,5089,566,8
NdgHYX9LyFE,"Season 6 of my Birthday, reaching real grandma status now【NIJISANJI  | Hana Macchia】",2025-03-11T02:44:50Z,6159,1152,23
m797pqFcWdQ,(Blue Archive) eden treaty or something + a surprise【NIJISANJI  | Hana Macchia】,2025-03-07T20:02:34Z,8935,686,22
1OeayeEhmNE,(Blue Archive) we're developing a video game in a video game?【NIJISANJI | Hana Macchia】,2025-03-03T20:12:05Z,8734,713,19
ip1JsA7UgkU,(Monster Hunter Wilds) continuing our journey!【NIJISANJI | Hana Macchia】,2025-03-02T19:36:46Z,4094,510,3
d_DgxjXIFto,her feet #vtuber #nijisanji #bluearchive,2025-03-01T21:19:08Z,9005,951,43
78DLDARwUdQ,(Monster Hunter Wilds) blind firstlook into the new monster hunter game!!!【NIJISANJI | Hana Macchia】,2025-03-01T19:18:56Z,3378,448,4
H6bfdQAVP80,"(Blue Archive) reading volume1 chapter2 so please let me have hina,,,【NIJISANJI | Hana Macchia】",2025-02-28T18:37:02Z,6850,593,19
NFaa6Uf_8cA,(Zenless Zone Zero) FISHIHNG????【NIJISANJI | Hana Macchia】,2025-02-27T19:07:58Z,2914,355,3
7-vbqZ8E5qM,(Blue Archive) i have to play the Main Story to actually play the game!!!【NIJISANJI | Hana Macchia】,2025-02-26T21:10:45Z,4150,306,22
GsywfERXDec,(Karaoke) learned new songs a little bit so WOO YEAH VARIETY!【NIJISANJI | Hana Macchia】,2025-02-15T14:17:14Z,7046,1065,23
ZAj4jiD3ApQ,(Afterlove EP) experience life in Jakarta with a side of angst and love!【NIJISANJI | Hana Macchia】,2025-02-14T07:55:21Z,4450,556,4
IukHrT67RZ8,"(Blue Archive) tutorial over, time to play the game(?)【NIJISANJI | Hana Macchia】",2025-02-13T18:00:27Z,10096,755,12
kDxH8xefs14,(Blue Archive) we're gonna archiving the blue【NIJISANJI | Hana Macchia】,2025-02-11T14:50:34Z,8756,782,23
Fk8tHLOTvXA,(Free Talk + Cookie Clicker) idle game while talking【NIJISANJI | Hana Macchia】,2025-02-10T15:17:56Z,3601,531,5
ZeKXUivMbu4,(Infinity Nikki) i love a cute girly dress-up game【NIJISANJI | Hana Macchia】,2025-01-19T20:15:10Z,5190,656,1
ZEB29XpSJ1o,『#にじさんじ麻雀杯2025』ハナの視点、予選T卓で～す！頑張ります！【にじさんじ・ハナ マキア】,2025-01-12T09:34:07Z,4568,677,4
tEgXn74meys,(Zenless Zone Zero) VERY LATE to the 1.4 update but here we are!【NIJISANJI | Hana Macchia】,2025-01-11T17:39:05Z,6509,586,10
VVY3Axut8iE,『JP・EN』(じゃんたま・Mahjong Soul) 練習 before ザ #にじさんじ麻雀杯2025 !【にじさんじ・ハナ マキア】,2025-01-09T15:46:16Z,4207,509,2
hxJp994IN0I,"continuing the time capsule tradition, it's now 2025!【NIJISANJI | Hana Macchia】",2025-01-03T05:26:49Z,4813,726,13
cw80ycTF10c,(League of Legends) leveling up the account with @RaiGalilei【NIJISANJI | Hana Macchia】,2025-01-01T10:28:24Z,3605,497,4
AtnWp5i2dVc,『JP・EN』 にじ歌謡祭2024 Day 3 に参加していただいました～！【にじさんじ・ハナ マキア】,2024-12-23T03:53:27Z,11738,1606,28
MDyj1nAVAjo,(Balatro) my personal GOTY i don't care what anyone says【NIJISANJI | Hana Macchia】,2024-12-07T17:04:36Z,4115,496,7
01SalM6pZ4I,『JP』 (じゃんたま) ライ、「日本語で麻雀やりたい」て言ってた少年【にじさんじ・ハナ マキア】,2024-12-03T10:26:36Z,3901,536,5
jQTbWBKTZhU,"(Zenless Zone Zero) 1.3 update special episode, virtual revenge!【NIJISANJI | Hana Macchia】",2024-11-14T15:49:59Z,5370,488,5
mJdUA2EVQko,"(Free Talk)  no themes, just yapping【NIJISANJI | Hana Macchia】",2024-11-11T16:03:41Z,4592,590,5
qfjhXbCCvQE,『JP』#にじワイテ人狼RPG2024 第１夜 初見ワイテルズとマイクラ人狼RPG！ 【にじさんじ・ハナ マキア】,2024-11-09T08:40:22Z,7036,680,10
X5JsCPHYyBE,(Mouthwashing) ookiespookie videogame oooooo【NIJISANJI | Hana Macchia】,2024-10-28T18:28:08Z,4446,538,9
hiClfkAdSUc,(Zenless Zone Zero) doing burnice's agent story and the other event【NIJISANJI | Hana Macchia】,2024-10-26T19:43:27Z,3272,422,0
WjsPIHFPHko,(Free Talk) yapping about songs I like listening to: kpop edition【NIJISANJI | Hana Macchia】,2024-10-21T15:40:21Z,3029,486,5
Q1qNe-khxCo,(Zenless Zone Zero) rolling for burnice (and possibly c6 lucy)【NIJISANJI | Hana Macchia】,2024-10-16T05:13:13Z,6303,532,13
