id,title,publishedAt,viewCount,likeCount,commentCount
OXyVNyVNRh4,📛02 Clair Obscur: Expedition 33 DAYO! 【First time playing】,2025-12-14T05:00:02Z,0,57,28
lFishqzK6ZQ,Henya reacts to Megaman Dual Override,2025-12-13T12:01:35Z,28490,3672,180
s0-bZAxTZUM,📛01 Clair Obscur: Expedition 33 DAYO! 【First time playing】,2025-12-13T05:31:07Z,35672,3425,86
ctwVdT7g0TM,Henya's Secret Message to Michi,2025-12-12T12:01:17Z,27273,3679,67
AhVDK63auF4,📛GAME AWARD 2025 DAYO!,2025-12-12T04:37:42Z,33278,3036,45
Jqrq3nEzj9w,Henya's Mom keeps on being based,2025-12-11T12:00:46Z,36271,4756,118
PFua6kgnyZY,Look at Henya's Chicken,2025-12-10T12:00:52Z,12552,1612,94
CJitg6RaxnE,📛LIVE STREAM DAYO!,2025-12-10T03:14:54Z,15690,2160,21
HBF4KY2zrvs,Henya harrasses kson with Chiikawa,2025-12-09T12:00:38Z,25430,3984,120
g6lCoRRUQBU,Henya being unhinged for 2 minutes,2025-12-08T12:01:33Z,93497,13684,200
z3ntAVtuneA,📛I'm on Observation Duty 8 (Again)  DAYO!,2025-12-08T03:25:03Z,15711,2329,19
z0u5oU86J_U,Henya desperately yells for her friends,2025-12-07T12:01:51Z,86626,8021,70
tXjrbY_GmVQ,📛I'm on Observation Duty 8 DAYO!,2025-12-07T03:18:26Z,16997,2329,22
vCxGvL_eJmc,Partying with a Random Flute player in Arc Raiders,2025-12-06T12:01:56Z,20391,2444,60
y29IVsTJAUo,📛Arc Raiders DAYO!,2025-12-06T03:14:19Z,16080,2287,21
HhegkIzCS-8,Henya the T Rex Typer,2025-12-05T12:00:39Z,51490,6305,151
kxBFaSsqh5I,📛TOKYO COMIC CON WALK AROUND with @Arielle-VT  DAYO!,2025-12-05T07:39:25Z,31952,3090,26
PSiWUxL8d8I,📛【SCHEDULE DAYO】スケジュール,2025-12-04T06:25:46Z,0,179,0
tlW6YV5hLeU,Henya goes crazy in Solo Leveling: ARISE OVERDRIVE!,2025-12-03T12:01:54Z,39435,4293,107
8o5a2HLlzjA,📛LIVE STREAM DAYO!,2025-12-03T03:23:21Z,22587,3213,36
vNVPAYfTMcU,【LETS TRY AGAIN DAYO】YouTube streaming Test 配信テスト【リベンジ】,2025-12-02T06:29:08Z,44983,6394,70
Kea9FNcDyt0,Henya reaction to NTR on Dispatch,2025-11-30T12:00:41Z,28889,3237,151
fQjjnxN52gE,Henya and her mom went shopping,2025-11-29T12:01:26Z,45717,4883,91
bSmiFNw4EQ0,Suprise cat appearance,2025-11-28T12:01:23Z,56701,7349,103
Z86-jxpgM0E,John Woo Directed this,2025-11-27T12:01:08Z,85652,8581,151
wd-V1dSa8Hc,Henya on ice,2025-11-26T12:02:01Z,178941,13452,249
9LnZ0jGoBKc,BIG HAPPY NEWS DAYO!,2025-11-25T06:35:51Z,71648,6554,324
Lyw4grmgU3M,This is how Vtubers sorts food,2025-11-24T12:00:45Z,81680,6153,103
79kYJ5JtVv0,Henya Plays Dispatch For The First Time!,2025-11-24T07:42:34Z,10230,924,50
JyotH1cRZfw,These VTubers are a menace in REPO!!,2025-11-23T12:00:43Z,106435,12392,97
S5ZB1EUs-yA,This games' proximity chat is amazing!,2025-11-22T12:00:58Z,86969,6465,70
EXmIYi7yzVM,"Say my name, you god damn right....!",2025-11-21T12:00:27Z,423154,28567,246
XcLghmCF0ro,"If We Stop Talking, We Die..",2025-11-20T22:22:34Z,14900,1366,88
