id,title,publishedAt,viewCount,likeCount,commentCount
7flDWALf6Ik,【ClubBlueFire】愛してるって言ってるじゃん【火威青】,2025-09-08T15:00:12Z,809032,59452,2468
41RdX9oOWBY,青くゆの3Dイケメンすぎるだろ！！！！！！！#hololivedev_is #ホロライブ #regloss #shorts,2025-06-15T08:55:01Z,511355,31390,639
ljGTDvz493c,【NG】先日の動画のNGオフショットらしい #hololivedev_is #ホロライブ #火威青 #イケメン,2025-06-06T09:55:00Z,253085,18153,341
CEQqA_8b6KQ,【比較】今回の炎上についてー#hololivedev_is #ホロライブ #火威青 #インフルエンサーランドリー,2025-05-30T09:30:06Z,306694,14235,145
plw-7ll7qFQ,✨🌹僕は王子、キミは薔薇🌹✨【火威青】 #hololivedev_is #ホロライブ #ReGLOSS #shorts,2025-05-23T12:01:37Z,306978,25318,662
bZxJVYk1mwM,青青てぇてぇすぎるだろ！！！！！！！！！#一旦ステイTONIGHT #いつでもどこでも一旦ステイ #踊ってみた #歌ってみた  #hololiveDEV_IS #ReGLOSS #shorts #漫画,2025-05-06T08:55:01Z,1502510,55847,256
pXqnOynm_Ic,【モエチャッカファイア】full出ました！ぜひ聞いてね！　#歌ってみた　#hololivedev_is #ホロライブ,2025-05-03T07:50:01Z,330642,18637,140
M70XbYSuvw8,【低音女子が歌ってみた】モエチャッカファイア【火威青 】#hololiveDEV_IS #regloss,2025-05-03T03:00:06Z,746501,41585,1311
YyAiLmldlr0,【火威青】インフルエンサーランドリー【DYES IWASAKI(FAKE TYPE.)】 #hololiveDEV_IS #ReGLOSS,2025-04-30T11:00:06Z,181486,15198,500
8HRDMUcOaY4,【モエチャッカファイア】アニメMVイケメン女子がかっこよく #歌ってみた  #hololivedev_is #ホロライブ,2025-04-25T08:55:00Z,546298,27942,411
LxFIQtO6JM8,読者へ、おもちゃです(？)２【火威青】 #hololivedev_is #ホロライブ #ReGLOSS #shorts,2025-04-22T03:00:31Z,240822,15710,395
do01sgStNGI,超大先輩に自分のオリ曲その場で覚えさせて踊らせる新人【ごめんLove】#hololivedev_is #ホロライブ #火威青 #宝鐘マリン #cbf踊ってみた #ClubBlueFire,2025-04-20T10:58:24Z,1044859,55026,689
hTG77tXw4YA,青マリちゃんスキキライ真似してみてね🫶【火威青×宝鐘マリン】#hololiveDEV_IS #ReGLOSS #ホロライブ #shorts,2025-04-18T09:55:00Z,336572,21190,309
a-tgbGYdj5Q,【テトリス】足！長すぎるだろ！#踊ってみた  #hololivedev_is #ホロライブ,2025-04-11T08:55:00Z,471452,25312,400
2evMT8rz878,【モエチャッカファイア】アニメMVイケメン女子がかっこよく #歌ってみた  #hololivedev_is #ホロライブ,2025-04-04T09:00:05Z,708581,38134,546
jhk2vesF0dI,りぐろすちゃんがんばれ～！の舞【火威青】#hololiveDEV_IS #ReGLOSS #shorts,2025-03-30T08:55:00Z,316406,23672,396
NgqHWOHu20Q,【モーション配布】ClubBlueFire踊ってみてね✨ #hololivedev_is #regloss #ホロライブ #オリジナル曲,2025-03-29T03:00:18Z,144991,13162,178
NljLleVR7VE,パペットスンスンガチ勢の青マリでBUBBLEDANCE【火威青×宝鐘マリン】#hololiveDEV_IS #ReGLOSS #ホロライブ #shorts,2025-03-27T09:55:00Z,359922,31050,461
7lAmopysfOo,読者へ、おもちゃです【火威青】#hololiveDEV_IS #ReGLOSS #shorts,2025-03-23T06:00:03Z,156893,18498,329
Qke26S1eZtA,一旦フルが出ました #一旦ステイTONIGHT #いつでもどこでも一旦ステイ #踊ってみた #歌ってみた  #hololiveDEV_IS #ReGLOSS #shorts,2025-03-22T03:00:19Z,299286,26774,249
dFY9n8k2Iuk,【歌ってみた/アニメMV】一旦ステイ TONIGHT【火威青】#hololiveDEV_IS #ReGLOSS,2025-03-21T13:00:06Z,1218748,59906,1481
tdds71h4qdQ,ちょっとお休みをもらいます！！！！【火威青 】#hololiveDEV_IS #ReGLOSS,2025-03-21T11:57:54Z,592144,33274,2060
w9z26iTo06w,【号泣】オリ曲より声真似ネタ動画が伸びてしまったVtuberの悲痛な叫び,2025-03-16T10:55:02Z,178198,15089,274
AcCARPOWTM0,【PUBG MOBILE】コラボでドン活という名のシャンコをする！！！【火威青 】#hololiveDEV_IS #ReGLOSS,2025-03-15T14:17:35Z,32812,2606,27
AiFbjfZzips,キミと僕のホワイトデー🎁💙【火威青 】#hololiveDEV_IS #ReGLOSS,2025-03-14T05:15:40Z,58110,4338,42
l1Fsrnpz6z8,【雑魚w】みむかｩわナイストライかっこよく #歌ってみた  #hololivedev_is #ホロライブ,2025-03-11T09:55:00Z,531685,52570,1006
Ufzlc2vyhMI,【 hololive 6th fes＆EXPO 】キミの王子様☆青くんDAY1Stage2 振り返り #hololivefesEXPO25 【火威青 】#hololiveDEV_IS #ReGLOSS,2025-03-08T22:25:45Z,57214,4537,61
plF-UCCBBq8,ドラえもんのモノマネがうますぎる火威青 【火威青／白上フブキ】 #hololivedev_is #ホロライブ  #3d #夢を叶えてドラえもん #歌ってみた #踊ってみた #shorts,2025-03-07T08:55:00Z,2831522,125658,1473
32F-xDWe05U,【歌ってみた】#一旦ステイTONIGHT 近々フルが出……… #いつでもどこでも一旦ステイ #踊ってみた #歌ってみた  #hololiveDEV_IS #ReGLOSS #shorts,2025-03-05T08:57:00Z,544809,42724,385
u9G0fCHtG9Y,青くゆの子育て風景 #ホロライブ #hololivedev_is #漫画 #漫画動画,2025-03-04T08:55:00Z,894116,66966,416
NKl5E2YVlI8,シャンパンコール練習用✨#ClubBlueFire／HiodoshiAo originalsong #ホロライブ #CBF踊ってみた #火威青,2025-03-03T09:55:00Z,174800,16013,123
LP9xK0aEJU0,バストアップで踊ってみた！ #ClubBlueFire／HiodoshiAo originalsong #ホロライブ #CBF踊ってみた #火威青 #CBF踊ってみた,2025-03-02T03:04:27Z,85835,10477,95
PseKLBooDfA,#CBF踊ってみた ClubBlueFire／HiodoshiAo originalsong #shorts #ホロライブ,2025-03-01T08:55:00Z,115975,13329,150
