id,title,publishedAt,viewCount,likeCount,commentCount
L4DoWAngcAU,【PEAK】what would you do? with @KosekiBijou,2025-12-14T03:00:56Z,50466,5720,57
P9if9dqKIdE,【RESIDENT EVIL 6】return to español peak with @holoen_gigimurin,2025-12-09T00:20:33Z,102403,8998,113
hJdh0arguts,【EXPEDITION 33】oui,2025-12-07T23:43:11Z,73751,6345,125
5TMjoI_YCxo,【TIER LIST】Ranking the best instruments! + Limited Stigma collaboration announcement and unboxing!!,2025-12-05T23:28:04Z,49189,5585,153
oX6AEZ-rZbk,【EXPEDITION 33】A flower? Do you want one?,2025-12-05T00:24:51Z,61201,5774,79
jE7taEP6Vr4,no one has asked for this 【call of juarez bound in blood】,2025-12-01T23:18:51Z,69042,6882,139
lZ5Ca-hdwUI,【WONDER OF BLUE】Wonder of Green meets Wonder of Blue !!!!!,2025-11-28T22:34:10Z,39626,4786,64
VQFMBZzOPEo,【JP LEARNING】勉強しましょう！ yippie!,2025-11-28T15:43:02Z,49667,6553,129
pW9uge_Qfp0,【EXPEDITION 33】FRENCH AUTOMATON PLAYS FRENCH GAME,2025-11-28T00:00:55Z,79282,6624,99
JEkH3plp2KY,REAP AND DOLL! Time to ROLL! (Your body) #hololive,2025-11-26T13:00:45Z,174984,18046,319
kijBbpEcthQ,【EXPEDITION 33】el stream,2025-11-25T23:57:58Z,104891,8913,204
qavnPoX2E6w,【BDAY CATCHUP】Chats and bts and hanging out!! c:,2025-11-23T23:47:00Z,48889,6310,100
VrJregajYlk,【JUSTICE COLLAB】WHAT ARE THEY GONNA DO!?!?!?!? we just don't know!,2025-11-21T23:10:40Z,55348,6456,62
HGEQfQgd2bk,【PIANO】LET'S PRESS THE KEYS!!!!!!,2025-11-19T22:07:04Z,50537,7533,155
f3JyD0pHaKM,【GUERILLA】 I bet you can't click on this before it's over - testing my setup stream,2025-11-19T11:37:15Z,35922,6270,546
FoIYwP08UZw,【BIRTHDAY STREAM】let's go on an adventure...... !!!! #C2DAY,2025-11-16T00:11:10Z,164193,17457,330
s9dl-aiXSck,Ragebaiting You 【Anime Edition】 (it's my birthday week so you can't be mad),2025-11-13T22:19:37Z,75834,8245,197
7b20KJn0ScY,【SOMA】LET ME FEEL SOMETHING while thinking,2025-11-07T23:52:12Z,54839,6228,95
Ppk_fOcqSoo,【JUSTICE GIRLS' NIGHT】Games Night #3 #holojustice,2025-11-04T22:10:25Z,76257,8221,130
7NJ8ZJ57tOE,【Blue Protocol: Star Resonance】Halloween with green lady and other green lady (literally me),2025-11-02T03:10:18Z,35507,4300,39
0p7Xk4Knkn0,【New Accessory Reveal】WHOA WHAT'S THIS!?!?!?!?!? #JusticeGirlsNight,2025-11-01T21:32:44Z,67963,8107,125
oyYgeVvHO2Y,Let's watch IT (the movie)!!【WATCHALONG】,2025-10-31T22:52:43Z,33829,4218,68
tfXti8kI2Fc,【JP LEARNING】勉強時間 Let's study while spinning!,2025-10-26T16:08:03Z,66197,7671,131
SgAilx433Eo,【OKTOBERFEST】I made a bot!,2025-10-25T22:29:00Z,128937,12101,404
Xlzd4DuJEX4,【LITTLE NIGHTMARES III】hehehe no nightmares can hold us back! With @HakosBaelz !!!,2025-10-24T16:03:59Z,49162,5685,78
tSH1ayb2Li0,【MAGE ARENA】Will it understand my accent? FIRE BALL,2025-10-23T15:20:11Z,88796,7961,97
RTN5A-mEbTI,chatting while doing my tasks! WHAT TASKS ARE YOU DOING CECILIA IMMERGREEN,2025-10-19T21:13:14Z,67581,7131,143
AwuHl-fYKQY,【THE EVIL WITHIN】Forcing @HakosBaelz to play scary game with me,2025-10-19T15:48:02Z,116378,10022,134
kWv0VUw_5Ec,【SHADOWVERSE: WORLDS BEYOND】WINNER POV hi @TakanashiKiara hehehe #sponsored #umamusume,2025-10-19T01:10:00Z,43805,4610,60
1scxmtyz6Ws,【BORDERLANDS 4】@IRyS and I coming back to win some more!,2025-10-18T16:49:12Z,73933,7142,91
XuIJvcwdFJ0,The Quarry but everyone is doomed,2025-10-17T22:00:30Z,50322,5634,105
W96LKM42YPY,【JP LEARNING】くるくる勝利! School looks different!,2025-10-15T15:46:35Z,80642,9355,185
72PEIl3TruY,【SHADOWVERSE: WORLDS BEYOND】UMAMUSUME MINI COLLAB!?!?!?!?!? #sponsored #umamusume,2025-10-15T01:12:11Z,41987,4858,63
YI7rO4BYMQ8,【INDIANA JONES GAME】but he has amnesia,2025-10-12T22:27:27Z,100014,8153,171
7mHAyp7ccog,Hey this is spanish with @holoen_gigimurin,2025-10-10T21:46:23Z,92258,8967,239
ZlkxwA9SYxY,【Blue Protocol: Star Resonance】Oh hello green haired lady with @holoen_gigimurin #sponsored,2025-10-10T05:00:30Z,56863,5662,57
LqT3YmVbUfI,【JP LEARNING】Automaton goes back to school,2025-10-08T21:13:40Z,85446,9114,232
xTURkXcqhlc,【ELDEN RING】AAAAAAAAAAAAAH I'M ON FIRE AAAAAAAAAAAAAAAAAAAAAAAAAA,2025-10-05T20:15:24Z,74267,7182,107
Tnbd7m7Aprw,Twilight but we drink every time Bella bites her lip or stammers @OuroKronii 【WATCHALONG】,2025-10-04T22:49:19Z,109493,9355,223
mUv9TCFZV7M,【MUSIC】making funny notes in funny program and listening to it!,2025-10-02T22:33:39Z,71234,8352,123
VvowvamUe6g,"【BORDERLANDS 4】What are we, some kinda... Border.. lands... squad? hey @IRyS why aren't you answ-",2025-09-30T18:13:20Z,107850,8868,129
