id,title,publishedAt,viewCount,likeCount,commentCount
ALV4gg9gyp8,【HANDCAM】 hololive Official Card Game: Quintet Spectrum (English Edition) EP01  ~! 💄,2025-12-13T23:23:36Z,57852,6189,49
NFnrbe6Jt1I,【YAPYAP】 We Love Casting Spells!  ~! 💄🐔🎼📜👁‍🗨,2025-12-13T15:33:15Z,31756,4510,35
bwd8t2dJ6wM,This new tune is GOLD! ✨,2025-12-10T01:00:43Z,183295,19720,309
ebLSWUUlOfg,Mephisto ( COVER ) ~ Liz FT. Hakka #shorts #music #hololive,2025-12-02T22:04:24Z,104545,11743,189
DJyNUCkbew0,【JUSTICE JAMS】We're bringing the band back together! New Cover SONG SOON! 💄👧🍵🐱,2025-11-21T23:08:36Z,31379,4156,42
UymQdioElCg,Oki Doki this song is ADORABLE! #オキドキ #AZKi,2025-11-19T07:42:12Z,125819,15522,396
ksP7-TnEvKo,【MAGE ARENA】 I Cast Fireball!  ~! 💄🐔🗿🎲🐙💎⏳🐱,2025-11-16T15:55:37Z,49181,5911,52
4bWfw5fMbu0,【POLICE SIMULATOR: Patrol Officers】 You're Under Arrest! ~! With @holoen_raorapanthera 💄🐱,2025-11-13T18:48:52Z,63635,7394,54
7dK0r-WoV58,【Justice Girls' Night】Games Night #1 #holojustice,2025-11-02T20:43:33Z,103144,10579,157
fNugCYXlblw,【New Accessory Reveal】BOW WOW!... #JusticeGirlsNight,2025-11-01T20:32:59Z,54149,7379,145
x7WPM9FSGko,【VRCHAT】 Happy Halloween Everyone  ~! 💄💀🗿🎼👧👁‍🗨🍵,2025-11-01T01:58:05Z,78886,8311,76
NDEkkwrKEjY,【VRCHAT】 Spoopy World Hopping  ~! 💄💀🐙🗿🎼👧,2025-10-21T13:55:04Z,92566,8973,91
bV_OIC4PAWA,【VRCHAT】 Seeking a THRILL with @TakanashiKiara  ~! 💄🐔,2025-10-20T22:10:28Z,76273,7549,85
bNoVsoLRaYg,【VRCHAT】 Taking @holoen_gigimurin out on a virtual stroll  ~! 💄👧,2025-10-16T21:13:50Z,74596,7794,107
nkx3skM7dNo,Mori Calliope got me dancing so bizarre!,2025-10-07T01:56:51Z,331656,28303,309
VUURP218SOc,【AMONG US】Who is the most sus? ~ FT. holoEN 💄,2025-09-28T16:31:45Z,99164,8625,119
TZiMgUFHN_Y,【WAL】Everglow - 3D CONCERT! ~ FT. @KureijiOllie @ShioriNovella #HSEverglow 💄👁‍🗨 🧟‍♀️,2025-09-28T04:32:32Z,65191,7649,101
S9u8zcJEY0k,Clap Your Hands JustChads!,2025-09-19T00:29:31Z,148481,13113,154
J5d-bZt-H38,【#AdVSJus Chess】CHECK MATE! INNIT!【Lesson with Justice】 💄👧🍵🐱,2025-09-14T01:57:21Z,112936,9711,109
pN6WdNZ5KsY,We are the Justice that go Ni!,2025-09-11T23:20:33Z,235524,14122,191
29Y5sDhNRKI,Renegade Acapella,2025-09-07T23:12:00Z,120353,12968,155
guw_5nLqBzE,Let my voice be your strength 3D Version. #holoJustice,2025-09-04T22:00:58Z,204649,17987,291
wgP_4s7mJ-Y,"【YU-GI-OH! MASTER DUEL】Findin' trouble, never lookin' too hard~ 💄",2025-08-31T17:21:59Z,43353,5761,45
c0SOBdjBkpg,【PORK】03~ 💄,2025-08-30T00:49:50Z,65373,8152,84
6pmOCnAbork,All For One #Dance #shorts お~ほほほ! 💄,2025-08-18T08:55:22Z,159215,19545,359
Ar8VP6fNeuA,【 #ぺこマリ体操 】Trying to learn the PekoMari exercise dance! ~ 💄,2025-08-15T15:48:11Z,132143,14415,127
K8GRFiQAUOU,【LIZ】Hero too Cover (Live from COVER Corp. Studio),2025-08-11T07:00:30Z,215117,8974,257
5XamR6FIPzc,【LIZ】わたしの恋はホッチキス (My Love Is A Stapler) Cover [Live from COVER Corp. Studio],2025-08-11T05:00:07Z,116757,6085,173
moV0thh4v6o,【LIZ】一番の宝物 (My Precious Treasure) Cover [Live from COVER Corp. Studio],2025-08-11T03:00:52Z,254436,11580,374
YwkmRvi1MEE,【LIZ】GIRI GIRI Cover - FT. Vestia Zeta (Live from COVER Corp. Studio),2025-08-11T01:00:38Z,407120,13845,397
Z0z__KDu54Q,【LIZ】可愛くてごめん (Kawaikute Gomen) Cover - FT. HOLOSTARS ENGLISH ARMIS [Live from COVER Corp. Studio],2025-08-10T23:00:39Z,140330,11020,580
EN6iol6sJoA,【LIZ】Fallen Angel Cover (Live from COVER Corp. Studio),2025-08-10T21:00:12Z,557598,20709,657
e-Pfpq1ksZg,【LIZ】踊 (Odo) Cover [Live from COVER Corp. Studio],2025-08-10T19:00:27Z,101172,7598,286
Rk03Rh8P9ps,【 3D SHOWCASE 】After Party Chit Chat! ~ 💄#ERB3D #holojustice,2025-08-02T17:04:32Z,82484,9534,91
q0Uhp8IN5-w,【 3D SHOWCASE 】I'll Be Your Hero Too! ~ 💄#ERB3D #holojustice,2025-08-02T01:08:01Z,517023,54806,1905
J07lSfUD6ew,【 #holonatsuParadise 】. . . man ~ 💄,2025-07-26T13:24:10Z,107016,9037,101
LwaDbamHgy8,【 #ホロナツ歌枠リレー 】holonatsu Karaoke Relay! Olé! ~ 💄,2025-07-25T11:23:26Z,224136,22751,371
mp_hIWUFzLk,The night is darkest just before the dawn... #holonatsuParadise #ホロナツpiece #shorts,2025-07-18T03:01:03Z,67866,8479,278
ZTRraH-w-0o,Not only are we strong but we have big brains too Oh-hohoho! #hololiveEnglish #holoJustice,2025-07-16T01:00:35Z,80126,7023,63
RQgHcGsBvts,Walking on the Elizabeth line... #hololive #music #Shorts,2025-07-13T15:30:23Z,66584,6382,96
QhCdNBXM7Y8,【PEAK】Team Code Red ! ASSEMBLE! ~ 💄🧟‍♀️🔋🦖,2025-07-13T06:03:07Z,111484,9523,94
fV0erlSovhc,【PORK】02 ~ 💄,2025-07-03T16:45:58Z,68880,7663,63
e9rY7slCeOw,【LIZ】Salt Born (TV Sized),2025-07-03T16:45:06Z,139932,16067,672
8PMfZg8N03Y,[Yu-Gi-Oh! MASTER DUEL]  World Championship?! FT. Joshua Schmidt~💄 #sponsored,2025-06-03T17:01:55Z,71321,6141,63
pQPYPc41Zzc,【NOROI KAGO: THE GRUDGED DOMAIN】It's behind me? ! ~ 💄👁‍🗨🔋🦖,2025-06-03T03:31:43Z,43818,5379,47
z1eAppIiaZM,【PORK】01 ~ 💄,2025-05-27T15:14:14Z,78390,8817,73
sBZryaghe9M,【WAL】Nerissa's JukeBox Musical! ~ 💄#RequiemforLove3D,2025-05-25T00:52:46Z,80608,8552,69
kQeopZTlqog,【AMONGUS】Happy Birthday Pretty Kitty ! ~ 💄🐱🐱🐱🐱🐱🐱🐱,2025-05-12T05:11:10Z,97643,8180,86
b-jTHH6GK5w,"【ENigmatic Recollection】Episode 07: ""The Chains Of Fate"" FINALE (Chapter 02) ~! 💄",2025-05-11T03:29:57Z,48407,5005,128
sDjysXFWYbI,"【ENigmatic Recollection】Episode 06: ""The Chains Of Fate"" (Chapter 02) ~! 💄",2025-05-10T04:46:23Z,55024,5410,73
uEB2dIe37oo,"【ENigmatic Recollection】Episode 05: ""The Chains Of Fate"" (Chapter 02) ~! 💄",2025-05-09T04:56:18Z,110204,8049,89
9gL4We5utAk,"【ENigmatic Recollection】Episode 04.5: ""The Chains Of Fate"" (Chapter 02) ~! 💄",2025-05-08T04:59:11Z,55608,5082,66
1tE2N1kP2YA,"【ENigmatic Recollection】Episode 04: ""The Chains Of Fate"" (Chapter 02) ~! 💄",2025-05-07T15:10:04Z,77415,7544,59
vbppXmxXo7o,"【ENigmatic Recollection】Episode 03: ""The Chains Of Fate"" (Chapter 02) ~! 💄",2025-05-07T01:27:41Z,113015,9201,67
CVF91CqGD80,"【ENigmatic Recollection】Episode 02.5: ""The Chains Of Fate"" (Chapter 02) ~! 💄",2025-05-06T02:30:07Z,41773,4678,51
wnQuawM-3Jc,"【ENigmatic Recollection】Episode 02: ""The Chains Of Fate"" (Chapter 02) ~! 💄",2025-05-05T05:26:18Z,82124,6830,76
2toZfafpyW8,"【ENigmatic Recollection】Episode 01: ""The Chains Of Fate"" (Chapter 02) ~! 💄",2025-05-04T05:39:32Z,79762,7585,101
9LOIKZC8W1Y,【MARVEL RIVALS】#07 GorillaaaaaaASSEMBLE !!!! ~! 💄,2025-05-02T23:37:52Z,45937,5935,42
eU2ED67DCN8,【BIRTHDAY COLLAB】My First ERBday + Surprises ~! 💄👧🍵🐱🐙⏳👁‍🗨🗿🎼🍂 #ERBday2025,2025-04-25T22:24:49Z,238638,21708,417
