id,title,publishedAt,viewCount,likeCount,commentCount
nxw2wiMPyJY,【Granblue Fantasy Versus: Rising】believe in the 66L gigi murin #ad,2025-12-14T04:09:22Z,35533,3638,49
cj4PjFEzdz0,【Granblue Fantasy Versus: Rising】your fingers are so delicate on that leverless #ad,2025-12-13T05:28:12Z,61180,4714,40
gNqs3zuXKLg,【TGA WATCHALONG】GAME OF THE YEAR? MORE LIKE GAMER OF THE YEAR!,2025-12-12T04:27:22Z,148951,9557,117
l_BU42e4tHo,【The Elder Scrolls IV: Oblivion Remastered】grug will become the master of mages,2025-12-11T03:36:19Z,67895,5537,29
yiQWDZOKWk4,【HONKAI STAR RAIL】WE'RE MAKING IT OUT OF BELOBOG!!!!!!!!,2025-12-10T05:29:47Z,82691,6176,33
L_w5U9PdX8c,【HONKAI STAR RAIL】I NEED TO UNLOCK ALL MY DAILIES AND WEEKLIES,2025-12-08T04:18:25Z,78185,6386,35
jnHC559IBIw,【PHASMOPHOBIA】i'm going to eat one of them,2025-11-29T03:06:18Z,60415,5863,50
E2jo5iJCtZw,【HONKAI STAR RAIL】we know exactly why i'm here,2025-11-28T03:15:33Z,119617,8118,96
5xmIux_CJgM,【SC KETCHUP】25 streams (alleged) and a dream,2025-11-27T04:11:52Z,57618,5857,43
TSoaE66JciM,【The Elder Scrolls IV: Oblivion Remastered】gigi murin aura farmer,2025-11-26T04:55:47Z,68268,6450,38
Zkao4fyxAVk,【CULT OF THE LAMB】one last day of gigi murin plushie thumbnail because preorders end tomorrow,2025-11-25T04:48:39Z,58361,6095,33
-zQU6xV0Sus,【JUSTICE WATCHALONG】LET'S WATCH FLOWGLOW 3D LIVE TOGETHER!!!!!!!,2025-11-23T12:29:22Z,96662,8047,107
pQ-FZnvNl78,THIS YOUTUBER IS ATTACKING ME,2025-11-22T00:24:07Z,108382,12744,651
zccoc9EbP9Y,【JUSTICE】gigi murin will have a pov too + COVER RELEASE?!?,2025-11-21T23:21:24Z,36871,4188,38
HSSCixk2gx8,【ARC RAIDERS】gigi murin getting carried by @KosekiBijou @IRyS,2025-11-21T05:17:05Z,67458,6062,57
OwDH62YIj_A,【LEAGUE OF LEGENDS】I FOUND MY ACCOUNT!!!!!!!!!!!!!!,2025-11-20T05:07:46Z,159232,10535,62
6EJ5L6NXYvw,【DELIVERED BY FRIDAY】I'M A WITCH AND I HAVE TO DELIVER THESE PACKAGES!!! #ad,2025-11-19T23:16:49Z,27710,3582,34
-xAA3_Lr7oY,【BABY STEPS】gigi murin has gyatt too,2025-11-19T05:16:58Z,83312,7160,57
u13z8Y3RZkE,【BABY STEPS】PRESS X TO NATE,2025-11-18T03:09:58Z,79029,7033,40
KiOKW-2vuOs,"【YOOKA-REPLAYLEE】i, too, am a lizard",2025-11-17T02:41:04Z,63959,6237,37
t1D9dorGeH0,【LEAGUE OF LEGENDS】i cant find my account so i am once again... playing bot games,2025-11-16T04:22:08Z,145091,10152,63
CeM5RZzaOZ8,“I’ll still be here” - Gigi Murin’s first original #hololive,2025-11-15T21:24:13Z,58976,7803,131
8FhBDByhWKs,"【GONE FISHING】women fear me, fish want me",2025-11-15T05:45:22Z,80390,7143,64
6kKK-HcPvt0,"【2XKO】me, mori calliope, and teemo league of legends",2025-11-14T02:40:20Z,134940,11075,121
0NUxQpVBLEM,SURPRISE SHORT YAPPING AND DOODLING,2025-11-13T01:14:09Z,63236,7011,62
_wMpl1hzejo,【ANGER FOOT】i've mastered the way of the fists now to master the way of the foots,2025-11-05T05:35:10Z,85233,7102,56
igR_eCOjGRk,【Justice Girls' Night】Games Night #2,2025-11-04T03:16:22Z,84913,9323,111
U-dFxkEvBbY,【New Accessory Reveal】LET'S ADDRESS THE SITUATION #JusticeGirlsNight,2025-11-01T21:01:23Z,143317,13343,277
waDW67klVao,【VRCHAT】POV of me playing VRChat desktop mode no special cameras just a view from my twisted eyes,2025-11-01T01:13:04Z,78970,6454,76
cN07r4DGucU,【BALL X PIT】we were balls all along,2025-10-31T02:39:03Z,73196,6248,37
cMReIopmScg,【CARIMARA: Beneath the forlorn limbs】who up forlorning they limbs,2025-10-30T02:38:20Z,45832,5187,50
n-B6Hqp-tmE,【ONCE UPON A KATAMARI】if my ball doesn't get larger i get disowned ⚠ spoilers,2025-10-29T04:10:35Z,97017,7626,51
qkWItqWEl34,【FIVE NIGHTS AT FREDDY'S】i don't feel so good @KosekiBijou,2025-10-28T01:24:03Z,201512,15655,262
mhWu3pJMGdo,【ESCAPE FROM DUCKOV】attacked by 500 ducks in a park simulator,2025-10-27T04:16:43Z,195268,11999,63
PeKyw5o_fDo,【The Elder Scrolls IV: Oblivion Remastered】grug faster than every horse in the world,2025-10-26T04:28:33Z,92938,7602,52
7W_Q57Aj_f4,【HADES II】can i finish this game today we just dont know,2025-10-24T06:09:32Z,83845,6375,30
85W8ncUiHSM,i end stream if i say anything other than ice cream,2025-10-22T21:36:36Z,92541,10332,529
vl-RzysAA8Y,【GIGI MURIN BDAY 2025】A PARTY AFTER A PARTY?!?! LIKE AN AFTERPARTY?!?,2025-10-22T01:22:30Z,107243,10146,117
b3EuU6gUCpg,【ESCAPE THE BACKROOMS】me and my squad pull up lookin like this wyd (bau bau lowercase btw),2025-10-21T03:43:21Z,137403,10702,133
MsIcK8Ycjt4,【SHADOWVERSE: WORLDS BEYOND】going to destroy Mori Calliope and eat her cards #ad,2025-10-20T03:05:52Z,45525,4532,43
PZbOVhD-Eoc,【GIGI MURIN BDAY 2025】The Game of WHIMSY #WHIMGI,2025-10-19T03:34:16Z,257700,21508,506
EvdDIJ2ojDM,【ORIGINAL MV】I'll still be here - Gigi Murin,2025-10-19T03:30:06Z,788794,73016,3622
rCMIJ6LXVSU,【Pokémon LEGENDS: Z-A】i'll heal ur pokemon,2025-10-17T05:53:18Z,122448,8348,56
SQu1s96aGf0,【VRCHAT】 LIZ SAID ITD BE REALLYYYYYY AWESOME TO HAVE MY POV,2025-10-16T21:09:30Z,102738,8485,125
lJzrlaIys28,【SHADOWVERSE: WORLDS BEYOND】horses in my abysscraft?!?!??! #ad,2025-10-16T03:13:51Z,25460,3194,27
WXqlXCYY_2A,【SC KETCHUP】lets address the elephant in the room,2025-10-15T04:11:57Z,74602,6805,57
Sny1l9EfLV4,【MEGABONK】why do they always say mega bonk and never mega smexy,2025-10-14T04:50:14Z,123844,8810,77
2PDMpsW-uak,【Blue Protocol: Star Resonance】Come join me on a New MMORPG Journey!!! #ad,2025-10-10T05:07:53Z,59915,5545,39
_47nsyBx_nQ,Hmmm… Orpheus…. #orpheus #shorts #gigimurin #moricalliope #ガチアクタ,2025-10-09T05:35:17Z,429238,33039,322
dOqPabTi2aY,【GOBLIN CLEANUP】going to show @OuroKronii how i mop,2025-10-09T01:08:20Z,130983,10210,94
tQdHAAu4xNc,【BABY STEPS】goo goo ga ga baby gigi,2025-10-07T02:47:32Z,115684,8843,68
srcZjISq-k8,【MV】Confessions of a Rotten Girl - Gigi Murin (Cover),2025-10-05T23:00:06Z,482186,39169,1617
tg3Q7SSIIuQ,【WATERPARK SIMULATOR】THE ONLY PARK IN THE WORLD THAT LETS YOU PPARK!,2025-10-05T04:17:34Z,59620,5738,48
dPz9Q3LZS_s,"【NO, I'M NOT HUMAN】inviting people to me and mori calliope's domestic life",2025-10-03T04:38:34Z,178494,12205,129
4QcSiRUhUyo,【WATERPARK SIMULATOR】i'm putting eels in the water,2025-10-02T02:51:10Z,96699,8133,72
RlHtQMIeqqs,【The Elder Scrolls IV: Oblivion Remastered】grug demand skooma,2025-10-01T04:19:45Z,77469,6761,47
uynZECcmTiA,【HADES II】FISTS NOWWWW FISTS NOWWW FISTS NOW FISTS NOW FISTS RIGHT NOWWWWWWWWWW,2025-09-30T03:46:56Z,72064,5509,31
qd5NSKAxlr8,【SC KETCHUP】chippin away at my backlog and not gettin distracted,2025-09-29T04:08:49Z,56336,5598,38
Or6asIzkxYY,【MINECRAFT】I'M NOT SCARED OF MINECRAFT!!!!,2025-09-28T05:56:38Z,63216,6302,54
8ICt_Aypv-s,【HADES II】Jane Hades 2 better watch out now that she's out of EARLY ACCESS!!,2025-09-27T02:09:18Z,59424,5171,21
nT_6PUzN4gM,【TROLEU】first day on my new job!!!,2025-09-25T00:13:02Z,60125,6088,44
YpnfFP2EN-8,【HADES II】ONE LAST TIME BEFORE 1.0!!!!,2025-09-24T07:40:39Z,78404,6958,24
BkeAQTf2KZE,【LYRIC VIDEO】Carol of the Grems - Gigi Murin Original Lyrics,2025-09-22T07:07:21Z,245802,29360,1558
AqQ9hZz5g24,【SC KETCHUP】oh man...oh jeez........oh goodness.......my backlog,2025-09-19T04:30:08Z,76807,7018,75
61zEVNvQpHk,【WHISPER OF THE HOUSE】doctow house i dont feel so good,2025-09-17T03:28:56Z,68943,6875,51
zdIduC5D0EY,【HOLLOW KNIGHT: SILKSONG】silksong but i dont play 8 hours cuz i got things to do,2025-09-16T06:18:17Z,82043,6479,90
b8ZlD4X1JKk,【IS THIS SEAT TAKEN?】*sits in your assigned seat* a-ah gomen oomf-chan,2025-09-12T23:14:09Z,48244,4932,27
xqRkXQVX0yg,【FALLOUT: NEW VEGAS】the end of da courier.......,2025-09-10T01:24:33Z,50127,6188,57
qFvEIJSjR1w,【HOLLOW KNIGHT: SILKSONG】i am jane silksong,2025-09-09T06:42:35Z,77257,7209,57
BfK6HldzzCQ,【HOLLOW KNIGHT: SILKSONG】AWOOOOOOOOOOOOOOOOO,2025-09-07T06:29:37Z,69504,6866,41
9PFPHzK6e8Q,【HOLLOW KNIGHT: SILKSONG】birds,2025-09-06T05:33:59Z,73839,7335,55
bjLyPA4HcBU,【HOLLOW KNIGHT: SILKSONG】bug,2025-09-05T04:34:54Z,83318,8249,61
S0JRuVVnWDg,【CHEERING ROOM】ALL FOR WANNNNNNN!!!!,2025-09-01T00:46:17Z,51468,7493,74
hfxxsIRHbIo,【Yu-Gi-Oh! WCS 2025】IT'S TIME FOR THE FINALS! Watching with Colossa! LET'S DUEL #ad,2025-08-30T15:07:26Z,34016,4676,29
v2fycOee4DE,Dragons x hololive night at Taipei Dome,2025-08-25T11:01:27Z,71466,9278,200
1aNcmg1eGFM,DANCING in NEW YORK!! 💃 #hololiveenglish,2025-08-22T13:44:44Z,209828,24401,459
Yx2urlwWsDg,Help!! My Dog Can't Stop Coughing!!  #hololiveenglish,2025-08-19T21:44:24Z,598238,39880,661
wpZFczoHchk,【SHADOWVERSE: WORLDS BEYOND】i look into the abyss and it stares back at me #ad,2025-08-14T00:14:23Z,53400,6100,48
sR_0zH74cII,i speak to you on a greenscreen background for you to screenshot me,2025-08-12T00:25:03Z,69311,8629,116
weiCgBD00cg,GORILLA WAITING ROOM,2025-08-10T00:11:52Z,67936,7173,52
tZLyZlJq0D0,"【PERFORMANCE MV】Niccori^^ Survey Team Theme - Gigi Murin, Wizard Oji-chan",2025-08-07T22:00:06Z,116395,10701,469
xONtg3B8lm8,"【PERFORMANCE MV】Lower One's Eyes - Gigi Murin, Mori Calliope, Nerissa Ravencroft",2025-08-06T22:00:06Z,242410,13947,440
LQo94pBKBsg,【3D AFTER PARTY】a look into my twisted mind #3DGIGI,2025-08-04T02:53:07Z,184721,14860,193
lVi3Wb7WShU,【3D DEBUT】GIIII~MURIN! × 3D Gigi Murin desu #GIGI3D,2025-08-03T01:15:50Z,625404,56504,3056
YSz3aUW2_ZE,【MV】Monitoring / モニタリング - Gigi Murin (Cover),2025-08-03T01:14:06Z,339608,31213,912
ezZJ1xesOxM,Designing A SILLY GREM for MY Misty Mountain Gaming Dice Set!!! #ad,2025-08-01T10:29:16Z,65955,7086,68
YGkWlhOKybU,【SPELUNKY 2】welcome to the jungle,2025-07-28T03:35:07Z,72052,6251,47
QRvgeO5NYus,【SPELUNKY 2】dunking my head in the sand,2025-07-27T04:10:19Z,92726,7282,59
wwGbAyYbRkA,【 #ホロナツ歌枠リレー | Summer Relay Karaoke】WOAHHHHH ITS....SUMMER?!,2025-07-25T22:42:58Z,97910,10958,93
U1GmaQeO-38,【DATE EVERYTHING!!!!!!!】can we date the mosquito repellant,2025-07-25T03:16:00Z,91454,6780,62
8hrg8DI7oas,【The Elder Scrolls IV: Oblivion Remastered】return of grug,2025-07-24T03:24:40Z,63595,6037,36
ARk6Cd3Bd9A,【Umamusume Pretty Derby】kitasan black,2025-07-17T03:01:47Z,101172,6882,43
2Ng1_TmmXPY,Boooo!!!! #holonatsuParadise #ホロナツpiece #shorts,2025-07-13T03:00:02Z,84852,10577,249
Wpgrtluy4c0,【RIFT OF THE NECRODANCER】using all my braincells to read these bats at 7am,2025-07-13T01:57:14Z,67820,5946,36
g7CPT_hPSXQ,【Umamusume Pretty Derby】i need to win another race to not let my club down,2025-07-12T00:42:29Z,78118,6322,31
bgbmx30uX-E,【SUPERCHAT READING】only got one thing on the  mind,2025-07-11T02:41:10Z,43064,4517,36
phxlgTNDPZ4,【AURA KINGDOM - IMPACT】nostalgia trip!! callin all grems to flood the fields #ad,2025-07-10T00:58:25Z,45675,4833,39
Qjm1XTMyBII,SOMETHING i dont know what,2025-07-09T02:12:46Z,61032,5975,57
vQE_mc1Lsa8,【PEAK】i peaked in horse school,2025-07-07T23:58:20Z,103144,7877,44
SiSUulTXdWY,【Umamusume Pretty Derby】DAIWA SCARLETTTTOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,2025-07-07T01:11:16Z,170438,11031,95
Ec2e7402Rs0,【Umamusume Pretty Derby】neigh,2025-07-06T00:09:11Z,126983,8949,83
J_NAFEMFx0M,【JUST CROW THINGS】CAW CAW CAW CAW CAW CAW CAW CAW,2025-07-04T01:15:38Z,65935,6471,44
OyYgyIhpxKk,G.R.W.M. #hololiveenglish #holojustice,2025-06-30T03:27:18Z,98583,9551,118
5EIjfy_ikKo,Kura Revolving Sushi Bar x hololive English Collab! #sponsored,2025-06-29T21:04:35Z,128511,11565,184
i4HXjGTFRTo,RENEGADE / hololive English -Justice- #hololiveenglish #holojustice,2025-06-25T00:00:50Z,66907,6697,75
YGrdLD9XtjM,【1 YEAR OF GIGI】GIGI MURIN ANNIVERSARY HANGOUT & FUN ANNOUNCEMENT!,2025-06-22T02:28:46Z,123356,12439,141
mW1-0BTSQg0,【Justice 1 Year Anniversary】 Operation DECODE,2025-06-20T23:14:04Z,132363,13882,180
wFDoPmlMy8g,【Headbangers: Rhythm Royale】DJ COOL MURIN BACK IN BUSINESS,2025-06-19T00:36:03Z,75050,6889,48
IyDjoLcZvSY,PAPERWEIGHT DIVISON WINNER INTERVIEW with THE FURRY #AD,2025-06-18T01:00:16Z,19807,3076,180
z5Bqs2hycIw,"YEAH! YOU WANT ""THOSE GAMES,"" RIGHT? SO HERE YOU GO! NOW, LET'S SEE YOU CLEAR THEM!",2025-06-18T00:57:46Z,114208,8773,51
xKgnGcm45qU,【R.E.P.O.】i'm training to be a professional mover,2025-06-15T01:12:24Z,124916,8920,102
LEcIXMTUf6k,【StarVaders】decided to test my reading comprehension at 7AM,2025-06-14T02:05:06Z,57744,5618,31
9tEEp_cJp8M,【The Elder Scrolls IV: Oblivion Remastered】grug dissociation hours,2025-06-13T03:48:47Z,72134,5861,30
FxObyy_WB2g,【ELDEN RING NIGHTREIGN】i have no idea what's going on but i know i can sandbag and it'll be ok,2025-06-08T01:11:37Z,83724,6293,34
fHvlSJSosB8,【CUPHEAD】more off-collab ccgg crashouts waiting to happen,2025-06-07T02:42:08Z,152951,10913,104
VGvnLzyJqzI,【Rune Factory: Guardians of Azuma】NEW RUNE FACTORY!! living my best fantasy farming life #ad,2025-06-06T03:20:16Z,108189,8034,40
fXQzLPESCUk,【THE BOBA TEASHOP】mori calliope promised to hold me if i get too scared,2025-06-04T03:34:45Z,127253,10635,139
0f8dYb0eL1c,【The Elder Scrolls IV: Oblivion Remastered】360 no scope bow gameplay,2025-06-03T04:24:38Z,96829,7276,38
dJwXjaGS5oM,【FALLOUT: NEW VEGAS】start of the final dlc of my very long wasteland journey,2025-06-01T04:14:58Z,91200,7179,36
fNl_YffguUg,【THANK GOODNESS YOU'RE HERE!】grems in the shoebox,2025-05-31T01:36:17Z,136480,11205,121
VRVExNHW9Go,【CUPHEAD】off-collab ccgg where we have a timer to see when cece crashes out,2025-05-30T01:13:25Z,194769,14494,188
IdjYeEiXtDE,Playing Yu-Gi-Oh! DUEL LINKS & Getting Good Enough To Go To The Championships (maybe)!! #ad,2025-05-29T00:30:45Z,60871,5734,62
BheSRh58mPg,【The Elder Scrolls IV: Oblivion Remastered】2006 called except it's not 2006 and it's 2025,2025-05-28T06:27:07Z,166337,10642,83
abdE9pnu8wU,【SUPERCHAT READING】backlog as big as my game backlog,2025-05-27T05:26:45Z,128493,9514,209
g6ixOLQf4BQ,【SPILLED!】i hope the grems don't get seasick,2025-05-26T00:29:28Z,62078,6346,55
zYl3sQ0kLn8,I Force Grems To Do My Mic Settings!,2025-05-24T23:39:17Z,62609,6619,55
Qq-fgjrc-uc,【MV】Naimononedari / ないものねだり - Gigi Murin & Cecilia Immergreen (Cover),2025-05-17T22:05:06Z,1175166,50420,1551
S3bKNAy1Kck,【GBVS RISING】sandalphon granblue fantasy i am in your walls AGAIN,2025-05-16T01:03:31Z,83003,6394,53
QUrud_MzBgg,【HOLLOW KNIGHT】it's me mistah hollow knight,2025-05-14T03:12:42Z,119544,8666,65
J2yIjaMt5-E,【GBVS RISING】sandalphon granblue fantasy i am in your walls,2025-05-13T01:21:58Z,96304,7334,61
h8CgIUxENYk,【ENigmatic Recollection】chapter 2 analysis of my own character,2025-05-12T01:31:48Z,98889,7896,90
IWNcqsQxuWo,【ENigmatic Recollection】end of a journey,2025-05-11T03:30:38Z,74559,6154,101
rDdbFYqcAyI,【ENigmatic Recollection】into the heart of ruin,2025-05-10T05:22:09Z,98312,6704,124
p5xrAxTh8ho,【ENigmatic Recollection】clueless,2025-05-09T06:04:25Z,111596,7304,133
X-yRrwZns5w,【CookieRun: Kingdom】GIVE ME THE NEW COOKIE GIVE HER TO ME NOW #ad,2025-05-08T23:12:41Z,79664,6549,66
alQr5XqoUPs,【ENigmatic Recollection】a new day,2025-05-08T07:01:07Z,142198,8490,105
BSPi8sTHdAY,【ENigmatic Recollection】living life one day at a time!,2025-05-07T06:43:01Z,156193,9528,160
dgfH4qnRlfw,【ENigmatic Recollection】surely i didn't miss anything while i was away for a day right,2025-05-06T05:49:39Z,174271,10115,138
CPT2cj934-I,【ENigmatic Recollection】gonathon more like GONEathon haha,2025-05-04T07:27:12Z,189995,12381,111
3XqNBPTHDl8,【AFK Journey】A Fairy Tail Adventure!? Time to recruit!! #ad,2025-05-03T22:16:55Z,48157,5045,72
LNbEaWp_UqE,【FATAL FURY: City of the Wolves】CRAZY FINAL MATCH AGAINST OURO KRONII!!! #ad,2025-05-03T00:18:38Z,91948,8001,112
ZFtGoJATKGA,【R.E.P.O.】absorbing mori calliope's braincells,2025-05-02T05:02:21Z,200577,15338,159
pY1JL8PyXRQ,【FATAL FURY: City of the Wolves】teacher i found on the side of the road teaches me how to fight,2025-05-02T00:35:03Z,119305,9643,120
2XPtsuSrAFY,EXCLUSIVE INTERVIEW: GETTING TO KNOW CRAZY G THE FURRY,2025-05-01T20:53:02Z,55407,7594,384
8iFavvPPs1s,【HOLLOW KNIGHT】we're playing hollow knight after all,2025-04-30T06:54:40Z,144787,9598,98
CxBrNqVZxvA,【FATAL FURY: City of the Wolves】gigi murin goes back into the lab #ad,2025-04-26T01:35:11Z,70574,6381,54
_UFasj0w8iA,【HOLLOW KNIGHT】those birds that i hate,2025-04-25T02:28:54Z,107028,8028,59
8jmBqwfB_uM,【FATAL FURY: City of the Wolves】first time fighting game player learning how to get good #ad,2025-04-23T00:59:59Z,103264,7516,89
jMqTxwXKxQQ,【HOLLOW KNIGHT】JANE SILKSONG I WILL SAVE YOU,2025-04-22T03:53:46Z,125782,8988,50
wlnI543rx94,【TWILIGHT MONK】Embarking on a beautiful hand-drawn journey together!! #ad,2025-04-20T00:03:51Z,45398,4616,28
vWGFxfD--Ts,【THE CHEF'S SHIFT】THE FINALE(?) TO OUR SOAP OPERA,2025-04-17T00:43:29Z,58913,5518,36
FKXP7eP9SI0,【R.E.P.O】late night spooky gaming for JUSTICE!!!,2025-04-16T12:10:50Z,144461,10390,113
fZz-rUn5DGw,【HOLLOW KNIGHT】i yearn to bug for a few hours,2025-04-16T00:01:45Z,90938,7436,57
duw50-EGCCk,【HOLLOW KNIGHT】i have to beat this game before silksong comes out,2025-04-15T01:24:57Z,145134,10293,107
xyRXJ44Z8JI,【WILD ASSAULT】EARLY ACCESS QUADRUPEDAL ACTION!!! #ad,2025-04-12T04:42:20Z,59605,5511,85
roFNVs40MHQ,【BLOOD TYPERS】frantic typing for our lives with @NinomaeInanis,2025-04-11T23:18:44Z,61458,5736,25
mTyPGI1LbS0,【FALLOUT: NEW VEGAS】i'm pickin everything up if you get what i'm putting down,2025-04-11T03:43:02Z,115409,8123,45
upHGRmE4HqE,"【THE CHEF'S SHIFT】WAITER, WAITER! ANOTHER GREMLIN PLEASE!",2025-04-08T02:44:23Z,111206,8741,44
247iT4BSbk4,【SPLIT FICTION】it takes two to find a way out of this,2025-04-05T23:33:57Z,116070,8654,94
QhDqg97kSqs,【WATCHALONG】what if we were a Twisted Pair,2025-04-05T00:10:26Z,63812,6382,91
Z502HkmHlFw,【FALLOUT: NEW VEGAS】biking through the wastelands of my 77 hour fallout save,2025-04-04T02:49:04Z,117072,8647,45
mJTzETFKnxc,GIGI MURIN DOES WHAT IN INZOI?!?!??!,2025-04-03T01:47:35Z,197640,11597,79
VdD5dNpgh7A,FRUITGI SENSORY - ABOVE/BELOW Radio Fruit Dance Party Stream!,2025-04-02T06:51:17Z,136030,12891,147
B_fvVp0bIrQ,idk yet!!!,2025-04-01T21:44:25Z,90799,8999,147
qckazzufZy4,hololive English Spring Party! Collab with @FUWAMOCOch @HakosBaelz egg time,2025-03-31T03:09:44Z,108761,10845,82
SG5JiTQ3FCc,【TWO POINT MUSEUM】check out my finest specimens​,2025-03-29T00:22:47Z,81153,7217,42
t3tIj88yzLM,【MV】Kyu-kurarin / きゅうくらりん - Gigi Murin (Cover),2025-03-26T21:00:06Z,683968,40588,1265
4R7Etkhmk4E,【ABIOTIC FACTOR】survival crafting with @OuroKronii,2025-03-26T04:23:40Z,175024,12224,104
lPEv2NoSvlU,【SHOVEL KNIGHT: TREASURE TROVE】shovel guy looking for his shovel wife,2025-03-25T01:52:41Z,66738,6216,59
