id,title,publishedAt,viewCount,likeCount,commentCount
F8pV0tyIYzw,【エスケープ フロム ダッコフ】まったりダッコフタイム【ですわ～】,2025-12-11T16:51:55Z,25372,2185,44
A2_0PpXlD-U,本当に喋ってコミュ力診断されるらしい😅　※コミュ力低め【おしゃべりキング！コミュ力診断ゲーム　ですわ～】,2025-12-09T15:10:54Z,48263,3370,77
acsDCVIkLNU,まめねこ探索部！ ミメシスで活動ですわ！✦樋口楓✦レオス・ヴィンセント✦壱百満天原サロメ,2025-12-06T15:53:39Z,73892,4259,69
A-g2GxwFllE,⚠絶対に冒頭視聴してください⚠ ✦ 伝えたいこと,2025-12-04T06:00:07Z,1138211,72819,0
Sa4pyk79plk,【エスケープ フロム ダッコフ】すごいやりたくなる超絶話題の見下ろしTPSサバイバル❣【ですわ～】,2025-12-02T16:22:52Z,107528,4861,135
edPrDnpm8fc,？？がつくった映画館 ✦ 怖いだけじゃないホラゲ❓👻 　【ですわ～】,2025-11-30T16:09:47Z,340281,8853,1365
CJckMHUV6Gk,♡おひるにおざつだん♡,2025-11-30T06:10:14Z,83398,3661,234
ec8ualoKaZ0,chill ✦ 眠れる実況 ゆっくりお片付け👜猫ちゃん🐈と一緒。 ✦ 片付け日和ですわ～,2025-11-29T20:05:26Z,85929,3695,124
813c5FS-cow,遊戯お嬢様⚠遊戯王～ヴァンパイア作りたいパック剥き～,2025-11-27T15:45:51Z,77971,3070,68
KD_n0lBw3qE,#にじ遊戯王祭2025 ✦ 敗者復活★やってみせますわよ！,2025-11-23T06:05:15Z,36016,1819,47
gkCjoBCX9To,#にじ遊戯王祭2025 ✦ 本番🌟ライダーとともに❣,2025-11-22T05:26:31Z,63200,2481,51
2OKoGv9Uc-s,小柳ロウとサロメ✦この２人、仲良くなれますか？LIVEでご一緒…しかし、会話ほぼしたことなし…当たり前に初コラボ😃,2025-11-20T11:10:32Z,224349,12975,170
jM8yyGUx794,【LIVE】てぃ〜たいむ【#壱百満天原サロメ_1stおライブ】,2025-11-19T10:30:28Z,43328,3446,234
9NOLyj2IZc8,🍭🍪🍫 広島でやったやつ #candycookiechocolate #キャンディクッキーチョコレート #Vtuber,2025-11-18T09:00:14Z,216274,12334,131
n_aTWIG8JPw,【STREET FIGHTER 6】CUPに向けて……SF6！【ですわ～】,2025-11-16T16:08:33Z,100657,3459,65
