id,title,publishedAt,viewCount,likeCount,commentCount
btlRkY-HgHE,【#いぬいとゆみちゃん】初めての対談！声優の内山夕実ちゃんをお迎えして忘年会！【戌亥とこ/にじさんじ】,2025-12-14T12:27:20Z,0,180,20
Euh1TVzg8rM,【PowerWash Simulator 2】次何洗うか忘れましたがなんでも洗えますよ！【戌亥とこ/にじさんじ】,2025-12-12T07:16:48Z,153060,5199,35
qEPknvy5zlU,【DON'T SCREAM TOGETHER】絶対に叫んではいけない！…笑うのもダメですか！？【戌亥とこ/にじさんじ】,2025-12-10T15:06:59Z,85309,3936,19
oRK74J6YTwY,【#にじオンキヨー】わたしのイヤホンが出るらしい【戌亥とこ/にじさんじ】,2025-12-09T09:45:42Z,0,209,0
ydDErUbdRGQ,【R.E.P.O.】アプデが来て新しい敵とか出てくるらしい！！！！！！！！【戌亥とこ/にじさんじ】,2025-12-08T13:17:25Z,104058,5174,34
CSQrXLmoD-k,【PowerWash Simulator 2】いよいよタイトル書くことないです【戌亥とこ/にじさんじ】,2025-12-07T09:06:18Z,97074,3505,11
VBmmzjr1Wro,【PowerWash Simulator 2】日が変わったので洗いますね【戌亥とこ/にじさんじ】,2025-12-06T18:49:57Z,87137,3394,17
i7Bsj3kK-NY,【PowerWash Simulator 2】3500円のお部屋洗いにいきます！【戌亥とこ/にじさんじ】,2025-12-06T11:33:57Z,68752,2875,9
kKykJOI7YL8,【PowerWash Simulator 2】チャンネルの一覧が再生リストみたいになってるね【戌亥とこ/にじさんじ】,2025-12-05T20:34:48Z,147134,4847,24
uz9GvoKp-Es,【PowerWash Simulator 2】これも休憩なので気にしないでください【戌亥とこ/にじさんじ】,2025-12-03T06:02:09Z,107537,4026,42
ScSayK9sMr4,【PowerWash Simulator 2】つぎの現場どこですか！？！？！？【戌亥とこ/にじさんじ】,2025-12-03T00:53:36Z,176630,5681,27
JayC_Zi2IHw,【PowerWash Simulator 2】楽しいから仕方ないんですよ【戌亥とこ/にじさんじ】,2025-12-02T01:47:06Z,122056,4612,25
VYb2eVq7d20,【PowerWash Simulator 2】休憩はもうたくさんだ！働かせてもらう！【戌亥とこ/にじさんじ】,2025-12-01T14:39:34Z,128862,4661,23
djezF-SaP8U,【PowerWash Simulator 2】すみませんが、楽しみすぎて早くに起きすぎました【戌亥とこ/にじさんじ】,2025-11-30T23:48:23Z,104427,4226,27
6Cs7w6kJX_8,【#もぐもぐオッドアイ】コンビニのスイーツ、全部食べるけどいいね？【戌亥とこ/石神のぞみ/にじさんじ】,2025-11-29T11:38:35Z,108769,4872,44
1e7IISuhhrU,【PowerWash Simulator 2】お待たせ汚れ！！！！！！落としてあげるよ【戌亥とこ/にじさんじ】,2025-11-26T17:54:29Z,103536,3695,44
t_pnutCKeYk,【雑談】結局メガ割りで買い物はしたんですよね【戌亥とこ/にじさんじ】,2025-11-25T14:13:41Z,45351,2270,18
2NiaHtal5t4,Summer and Peace!／covered by Nornis（戌亥とこ、町田ちま）,2025-11-23T11:00:07Z,88588,5586,128
CD0u8ycS2Vs,【コラボ歌枠】邦ロックメイン！いっぱい歌うぞ！【戌亥とこ/倉持めると/ルンルン/にじさんじ】,2025-11-22T10:00:11Z,140876,6428,57
2Lvc3EL9KDk,【#にじ湘南まつげ】まつ毛も気分もアゲアゲ⤴⤴⤴にしていきます（歌いませんが踊ります）【戌亥とこ/にじさんじ】,2025-11-21T12:32:52Z,32578,1899,13
Hgi2AUe2voA,【雑談】夕方の配信って久々なのでは？【戌亥とこ/にじさんじ】,2025-11-19T09:32:36Z,42601,2549,21
Bn3bU5UxGg4,【雑談】どうしていつも変なタイミイングで到達しそうになるんですか！？【戌亥とこ/にじさんじ】,2025-11-15T15:15:56Z,97132,5087,41
wNiLb4yBIDM,【cover】Blue Jeans/HANA【にじさんじ/戌亥とこ】#Shorts,2025-11-14T09:07:22Z,193828,13657,54
y_GOUPilsoY,【雑談】まあまあ、リフレッシュも必要ということです【戌亥とこ/にじさんじ】,2025-11-13T14:18:38Z,49513,2527,18
5Y5juDlv_uk,【雑談】視聴者参加型お昼休み！・・・なにそれ？【戌亥とこ/にじさんじ】,2025-11-11T04:05:07Z,45876,2762,23
uIAF9Yn1600,【歌枠】チルい曲歌枠でゆったり、お知らせもあるかもしれない【戌亥とこ/にじさんじ】,2025-11-08T13:02:46Z,88531,4545,35
qHEa_3qBIrs,Blue Jeans／covered by 戌亥とこ,2025-11-08T13:00:06Z,586549,25425,312
PUgms2FJ7a0,【#戌亥宇佐美でトクニナルドポテト250円】おいもが美味しい季節に、なんとトクニナルドでポテトが250円で楽しめるんだって【戌亥とこ/にじさんじ】,2025-11-03T13:09:55Z,149766,7946,55
VoKAuLlYEzQ,【雑談】おはよ～、起きないと思ってたけど普通に起きました【戌亥とこ/にじさんじ】,2025-10-30T23:03:24Z,69551,3548,21
rsDUS-mHoF8,【R.E.P.O.】二度目のれぽ！笑い上戸しかいなくてもクリアして告知できますか？【戌亥とこ/にじさんじ】,2025-10-30T14:19:32Z,81943,3377,26
O4z-nWtvwcM,【雑談】１日ということは、まだ店長なのかもしれない【戌亥とこ/にじさんじ】,2025-10-29T15:05:02Z,50959,2661,24
03headoDOjA,【雑談】このあともなんとかしたいところです【戌亥とこ/にじさんじ】,2025-10-28T04:10:13Z,52535,2834,21
pbv8GMKU-pA,【JSP_日本事故物件監視協会】実在する事故物件を猛獣とケルベロスで眺めます！【戌亥とこ/ルンルン/にじさんじ】,2025-10-26T11:39:57Z,589306,22028,344
tHAVJ0gBJWE,【コラボ歌枠】笛吹いたら集まってきたメンバーです。嘘です。【戌亥とこ/にじさんじ】,2025-10-25T13:01:04Z,227145,9686,80
8D7UPGYGu4M,【Parking Together!】協力して駐車！車輪禁止？知らねえな【戌亥とこ/早乙女ベリー/にじさんじ】,2025-10-22T14:32:44Z,47082,2375,18
_SbW5DIorHo,【雑談】夜も雑談、朝も雑談、なにをそんな話すことがあるんだ【戌亥とこ/にじさんじ】,2025-10-21T23:55:03Z,87498,4479,29
u8PuOhB2ozQ,【雑談】ハムスターが離れなかった日【戌亥とこ/にじさんじ】,2025-10-21T16:29:40Z,37621,2228,14
-_gNqpDLbzY,【雑談】歌って食べてロック画面を変えた、寝る前にのんびり～【戌亥とこ/にじさんじ】,2025-10-19T15:33:56Z,50151,2723,17
slLMOrm7zE4,【雑談】おいしいコンビニスイーツに出会って肌綺麗なった【戌亥とこ/にじさんじ】,2025-10-17T01:55:15Z,59846,3162,23
KBDxE72sZZI,【雑談】なんか今日祝日ってきいた！【戌亥とこ/にじさんじ】,2025-10-12T23:57:26Z,69278,3468,26
QdxAuAwY1ns,【おにぎり屋さんシミュレーター】純米が出てくることだけは知ってしまってる【戌亥とこ/にじさんじ】,2025-10-12T14:27:25Z,96283,4450,24
KgWgmC7bwLY,【雑談】94.1万人耐久します、なぜなら、７年目にして教えてもらったからね、動くやつ【戌亥とこ/にじさんじ】,2025-10-11T17:16:06Z,179151,8454,55
eZzj4IQHkZE,【コラボ歌枠】のいさんとデュエット再び！初めて歌う曲がいっぱい！【戌亥とこ/にじさんじ】,2025-10-11T11:13:19Z,136016,6275,51
SdN__gpKU5k,【やる気待ち雑談】やばいチェンソーマンレゼ編未視聴の方は観ないでください図らずもネタバレとなりました【戌亥とこ/にじさんじ】,2025-10-07T14:19:07Z,71539,3506,21
l741qU3JwKA,【コラボ歌枠】週末の夜といえばチル…チルい夜をお届けします…【戌亥とこ/にじさんじ】,2025-10-05T13:27:49Z,292811,13963,172
9H2U36t8pnE,【#マイクラ肝試し2025】ついに本番出走だ～！メルヘンといえばさんばか！行きます！【戌亥とこ視点/にじさんじ】,2025-10-04T15:23:24Z,45051,2650,21
Ibq6GxhmmqY,【雑談】寝る前にちょっと喋ろ～、作業終わらせてくるわ【戌亥とこ/にじさんじ】,2025-10-01T16:01:33Z,56679,2932,25
LPRPGT-OTwQ,【#にじブレインスリープ】最近の睡眠事情についてまったりお話します【戌亥とこ/にじさんじ】,2025-09-28T11:06:51Z,34683,2096,17
iIG-y58DlUs,【コラボ歌枠】全曲デュエット！？アニソン縛りコラボ歌枠！【戌亥とこ/早乙女ベリー/にじさんじ】,2025-09-27T11:01:46Z,170045,7008,46
wpaAOKzMfHU,【ゴブリン・ノーム・ホーン】配信外でどうして？【戌亥とこ/にじさんじ】,2025-09-26T01:38:01Z,112043,5129,58
5jRlW1oJ49E,【雑談】朝雑談っていつぶり！？久々に週末のみんなをお見送り！【戌亥とこ/にじさんじ】,2025-09-25T22:49:42Z,71676,3958,39
