id,title,publishedAt,viewCount,likeCount,commentCount
SIGou8DIXDE,【Routine】Running from Responsibilities & Invisible Enemies,2025-12-13T10:59:24Z,200025,7481,54
8FNEMwEUeg4,【Routine】Robot Horror?AaAaaaa,2025-12-09T11:34:22Z,85031,7609,76
T4bXXlS6MGM,"【No, I'm not a Human】Knock Knock",2025-12-07T11:41:02Z,99160,8306,80
K1kUVlWLSdI,"#holoPromise ""Silhouette"" Cover #shorts",2025-12-07T04:13:59Z,35576,3447,55
qONCmyyj5To,【Dead Space 3】Becoming whole again for the last time w/ Biboo,2025-12-03T09:10:59Z,62823,6247,67
NOcWYC8rA4k,【Phasmophobia】Bustin makes me f-,2025-11-29T02:50:48Z,36374,4786,74
AQ9Yvc5buek,【Kirby Air Riders】PoyoRyS,2025-11-25T14:35:20Z,124275,8744,110
2MCHelDzquQ,【Dead Space 3】We Love Markers w/ Biboo,2025-11-24T11:03:56Z,61354,6283,64
PN-KPLGFjPc,【ARC Raiders】We are the Holo Raiders w/ Biboo & GG,2025-11-21T05:21:22Z,61616,6432,82
awdedmm24l4,【Mage Arena】SHE Who Shall Not be Named w/ HoloEN Members,2025-11-16T16:08:11Z,40927,5095,74
7deS0GE1K3Y,【SEKIRO: SHADOWS DIE TWICE】My Master will NOT Die,2025-11-15T12:25:43Z,96492,6949,80
HAOwNbo7WKk,"""Run Back 'Round"" Dance - IRyS version! #holopromise  #shorts",2025-11-11T03:00:31Z,48117,6191,133
DbaUhOCz-qM,【Dragonball Z Kakarot】Kamehamehaaaaaa,2025-11-08T11:36:37Z,107374,7571,95
Mx20y5Mb2V0,【SEKIRO: SHADOWS DIE TWICE】BUSHIDORyS,2025-11-05T09:56:56Z,83844,7403,81
NOMPPR2UPPM,【Dead Space 2】Make us Swole Again,2025-11-03T11:48:45Z,83746,7349,80
IBY2X0P_ESk,【Dead Space 2】IRyS in Space Again,2025-11-01T13:08:51Z,106576,9240,108
9qkkPOD85YE,【MV】ジェヘナ (Gehenna) 【IRyS x Mumei Cover】,2025-10-28T04:00:06Z,569224,42834,1491
N5c4sjyvbF0,【Dragonball Z Kakarot】Frieza I'm out to get you,2025-10-21T11:11:08Z,103727,7713,96
pmKECbicZKc,【BORDERLANDS 4】Pew pew!! with @holoen_ceciliaimmergreen,2025-10-18T16:50:17Z,48866,5616,72
uzzP81dWQOU,【Asphalt Legends】Descended into a Race Game #sponsored,2025-10-17T05:29:30Z,75578,6932,130
kuHu_QbqPME,【3D KARAOKE / 3D歌枠】New Song Pre-Release Karaoke in 3D BOOTH!!,2025-10-16T04:10:46Z,69383,8536,75
i2sw2i6_XDk,Escalate - IRyS【Original Song 3D MV】,2025-10-16T04:00:07Z,421424,32348,1233
kK8zLy0DZk4,【Sonic Racing: Crossworlds】 My First Sonic Game,2025-10-14T08:21:23Z,85415,7305,91
I-Y4qlXzkg0,【Silent Cleaning / しずかなおそうじ】 Cleaning & Running & ANNOUNCING,2025-10-10T05:28:49Z,37267,4713,75
6EK_rv-i5fY,IRyS - Escalate【Original Song MV Teaser】,2025-10-10T05:20:07Z,61332,8142,388
GoHfeNv8aV0,An exciting promise✨#holopromise #Promise2U #hololive,2025-10-05T03:05:38Z,71346,8695,146
7tetcpqE8Dw,【PROMISE COLLAB】2nd Anniversary Celebrations + Big Announcements! #Promise2U,2025-10-04T04:33:36Z,102536,11492,150
ikSFSQkmspw,【SEKIRO: SHADOWS DIE TWICE】That Monkey is MINE TO SLAY,2025-10-03T10:46:07Z,109806,7086,97
ZG6VFh_clk0,🔥 Praise the Horse Anthem🐎 #umamusume #hololiveenglish #holopromise #shorts,2025-09-29T14:10:34Z,54620,5225,107
u5ice9Ud8Rk,【Cover】Umapyoi Legend (English ver.)【hololive English -Promise-】,2025-09-29T03:30:07Z,452315,44427,1530
Z83z0Or0EuA,【HoloEN Among Us】When IT'S ALL A LIE,2025-09-28T16:32:04Z,92763,7229,83
_OZyTg6L-Zs,【MINECRAFT】Fairy Tale Horror!!! #マイクラ肝試し2025,2025-09-28T06:07:27Z,50319,4757,70
yztLZFTjKKc,【MINECRAFT】Scary Maps w/ Flare!! ふーたんと過去マップ回る！#マイクラ肝試し2025,2025-09-27T17:13:25Z,59347,5550,48
qvzrpY1FSlk,【MINECRAFT】Test of Courage in Minecraft? ;o #マイクラ肝試し2025,2025-09-27T05:04:47Z,62580,5600,70
DzqIXPuYQac,【Dragonball Z Kakarot】I will be stronger than Goku,2025-09-26T09:57:38Z,151718,8950,132
jsZG-z7-w0c,【SEKIRO: SHADOWS DIE TWICE】FOR MY MASTER,2025-09-23T11:26:15Z,100922,6840,121
4uwiAljDW50,【SEKIRO: SHADOWS DIE TWICE】Overcoming Trauma (finally),2025-09-21T10:22:42Z,100869,7439,70
FpJHsfg-YP0,I’m watching You 👀 モニタリング - Dance Cover 【踊ってみた】 #shorts #dance #vtuber #hololive #踊ってみた,2025-09-17T03:39:14Z,108316,12650,248
BtRo31JES2U,【Fit Boxing feat. HATSUNE MIKU】BOXING in Studio Selfbooth 3D!!,2025-09-16T10:56:23Z,62877,6991,73
WHcApxr5heQ,【Prison Escape Simulator: Dig Out】Digging Out of Trouble,2025-09-15T08:56:16Z,78997,7468,74
lTooksmeogk,【VERTICAL KARAOKE / 縦型歌枠】Guerilla Singing :D ゲリラ歌枠！ #shorts ,2025-09-13T15:53:22Z,85464,9972,109
86h0Z7q7tZA,【Crime Scene Cleaner】So close to full Cleanliness,2025-09-08T09:39:04Z,68517,7023,78
_vyduA98lP0,【After-Live Talk】Back Home from New York!! #holoAllforOne,2025-08-28T08:27:12Z,63534,7737,103
2KBVSCMnh1Q,アイドル - Dance Song Cover 【踊って歌ってみた】 #shorts #dance #hololive #vtuber,2025-08-27T17:39:27Z,70287,9505,192
tvw24XmekUA,【Balatro】Learning how to Card,2025-08-20T07:23:08Z,62232,6301,89
NczO3u1lIPs,All For One✨Dance #shorts #vtuber #ホロライブ #holoallforone,2025-08-19T11:11:08Z,90464,12114,215
reZ1VGaoerc,Starlight Revolver x IRyS - Waiting for Me【Original Song MV】,2025-08-19T00:30:07Z,99844,11194,343
55sWzGoh7Zk,【Crime Scene Cleaner】What a mess!,2025-08-18T08:27:16Z,114763,7248,62
PEJkJChCqdY,【PEAK】We are peaking【Collab】,2025-08-13T03:35:26Z,46323,5576,71
mJd2OEc-rok,【Donkey Kong Bananza】monkey noises🍌,2025-08-12T11:15:16Z,92453,7134,67
-uYt1UFYRxI,【Crime Scene Cleaner】Cleaning my soul (´；ω；`),2025-08-06T08:59:08Z,115204,8151,69
-k2v7ODJIck,【Amnesia: The Bunker】The Bunker at My Bunker with CC!【Off Collab】,2025-08-03T11:36:11Z,95748,8364,125
P751KP596mE,【Ring Fit Adventure】Studio Selfbooth 3DRyS is EXERCISING!!!,2025-07-30T06:30:17Z,153956,11402,128
