id,title,publishedAt,viewCount,likeCount,commentCount
tGGPoDND7qw,【Kiranvas】Latihan mewarnaiii【Isha Kirana - JKT48V】,2025-12-13T07:51:47Z,2540,354,5
nD6vuvvEdOs,singa yang sangat sangar #JKT48V #IshaJKT48V #KiranaCore #vtuber #vtuberindonesia,2025-12-10T05:27:17Z,7715,672,33
dyRDR5ExrlA,DIIIHHH #JKT48V #IshaJKTV #vtuber #vtuberindonesia,2025-12-09T05:36:02Z,7562,837,54
jVZcd--CiMY,【KEPO】LIBUR TELAH TIBA【Isha Kirana - JKT48V】,2025-12-09T04:11:06Z,2714,368,5
FFWmYbkvU3M,【LITTLE NIGHTMARES 3】PASTI tamat kok Maura @MauraNilambari-JKT48V【Isha Kirana - JKT48V】,2025-12-08T14:45:41Z,1283,204,16
etYK1eA7qCk,rahasia kucing 🤫 #JKT48V #IshaJKT48V #vtuber #vtuberindonesia,2025-12-08T06:28:11Z,5478,562,40
1QQhGlcO3Y8,【KARAOKE】Lagu Favorit JKT48-mu Apa?【Isha Kirana - JKT48V】,2025-12-07T09:06:13Z,3034,379,13
g7z2qrujCYM,【LEAGUE OF LEGENDS】Ajarin KaPi cara menguasai Rift @PiaMeraleo-JKT48V【Isha Kirana - JKT48V】,2025-12-06T15:20:58Z,4235,432,3
wCdVwAukqOc,xixixii #JKT48V #IshaJKT48V #vtuber #vtuberindonesia,2025-12-06T05:24:19Z,8281,582,61
nf0HLG6oEu0,【MISTIS】Urban Legend Paling Menyeramkan di Asia【Isha Kirana - JKT48V】,2025-12-06T01:57:13Z,1618,256,5
H1HPgkZsUAM,【LITTLE NIGHTMARES 3】Lariii Maura!! Kita Dikejar!! @MauraNilambari-JKT48V 【Isha Kirana - JKT48V】,2025-12-04T17:18:39Z,2888,359,1
nuet7S8ndKY,uhmmm 🥲😭 #JKT48V #IshaJKT48V #vtuber #vtuberindonesia,2025-12-04T05:19:14Z,5303,405,24
LBfU1g6szVE,horror bgt 👻 #JKT48V #IshaJKT48V #vtuber #vtuberindonesia,2025-12-03T06:27:05Z,7644,686,39
pu2mwhb4h5I,Yo guys! 🌙 Apakah kalian sudah nonton MV Suatu Saat Bertemu (Dreamtale)? #JKT48VGen2 #IshaJKT48V,2025-12-02T06:00:51Z,4948,628,9
gFkFtWjeDIA,SILAAAUU #JKT48V #IshaJKT48V #KiranaCore #vtuber #vtuberindonesia,2025-12-02T05:56:17Z,9173,841,40
DnTd_gNMGJ8,【KEPO】Yapping dulu sebelum berangkat sekolah【Isha Kirana - JKT48V】,2025-12-02T04:09:17Z,3096,408,9
bQqSsF6cFww,kalau hurufnya ga dobel = jutek 😔 #JKT48V #IshaJKT48V #KiranaCore #shorts #vtuber,2025-12-01T05:06:25Z,9988,949,75
Tt-xUkUKk4k,【MISTIS】Menyelidiki Ledakan Paling Misterius dalam Sejarah【Isha Kirana - JKT48V】,2025-11-30T14:50:25Z,3554,462,11
T-No7F4SHGI,istilah di dunia per-idolan 🤓☝️ #JKT48V #IshaJKT48V #shorts #vtuber,2025-11-30T06:38:19Z,8526,1128,10
08TJ0-DpVIw,【Kiranvas】Latihan gambar sambil yapyap【Isha Kirana - JKT48V】,2025-11-29T08:26:53Z,2974,388,11
rw9H1EVNvNo,amimir 😴😴 #JKT48V #IshaJKT48V #KiranaCore #shorts #vtuber,2025-11-29T05:30:39Z,5012,496,22
BJ9c0hkFZZk,【Isha's Gameshow】Seberapa jauh pengetahuannya SIM?【Isha Kirana - JKT48V】,2025-11-28T14:02:26Z,3392,473,12
yxWhHbTlYuU,kucing hitam yang jadi idol 🎤🎶 #JKT48V #IshaJKT48V #shorts #vtuber,2025-11-28T09:45:11Z,5979,993,23
PqbwyUEE4GE,"【KEPO】Pagiii, ngobrol dulu bentar yuk~【Isha Kirana - JKT48V】",2025-11-28T03:15:21Z,3059,450,10
nEsfyMQ-fSY,📢Kizaru x JKT48 Virtual - Isha Kirana,2025-11-24T04:33:02Z,4593,943,14
LPIQ8r02PBI,【Debut Stream】Bayangan Yang Menyelimuti Malam! 🌙🐈‍⬛【Isha Kirana - JKT48V】,2025-11-22T14:26:07Z,9389,1272,81
HfIF4Z70mFo,Suatu Saat Bertemu (Dreamtale) - Isha Kirana Teaser,2025-11-10T12:00:37Z,6824,428,14
pZa9BioizPU,Isha – Bayangan yang Menjagamu | JKT48V Generation 2 Introduction Video,2025-10-28T18:31:08Z,14986,1368,136
cnBJf6TA9w0,19 November 2025 — 20:00 WIB,2025-10-21T06:00:36Z,11717,736,41
