id,title,publishedAt,viewCount,likeCount,commentCount
HY-GJ1NRXR8,【GENSHIN IMPACT】lanjutin 𝚖̶𝚎̶𝚗̶𝚐̶𝚑̶𝚊̶𝚕̶𝚞̶ AQ Act VI,2025-12-04T18:10:32Z,957,119,4
T8Cp1HjGD6U,【GENSHIN IMPACT】DURIN DURIN DURIN HUHA HUHA,2025-12-03T18:56:23Z,569,90,1
vwvZXQRJg_E,"【FREETALK】h- hi, miss me? 🥺",2025-12-02T14:20:16Z,1029,167,4
N93Ikgjyx2o,【GENSHIN IMPACT】LUNA II LETSGOOOOOO,2025-10-23T17:29:53Z,1124,147,0
g7kX0Vi7i7k,【GENSHIN IMPACT】TEMENINNNNNN,2025-09-30T16:55:04Z,959,132,7
anSocR6qqdQ,【GENSHIN IMPACT】KTEMU SIAPA ABIS INI???????????,2025-09-12T14:53:41Z,756,116,2
kZMvV_C9caE,【GENSHIN IMPACT】NOD KRAI PART 2,2025-09-11T14:34:18Z,617,120,1
gpE1Nx2gvWg,【GENSHIN IMPACT】NOD KRAI RRRAAAAHHHH,2025-09-10T14:51:34Z,985,153,1
yw-NymrcNrU,YAPYAP YAPPIDI YAP【FREETALK】,2025-08-15T17:49:06Z,1187,172,2
RQRpLOUJ7jc,CHIMEN (CHIARA NGAMEN)!!!【SINGING/GUITAR】,2025-08-03T02:05:39Z,875,139,2
BtgRsR5kPq8,【PEAK】GEN 4 TIBA TIBA NAIK GUNUNG,2025-07-30T15:25:35Z,954,135,1
qZKJAgwRja0,【RESIDENT EVIL 4】AAAAAAAAAAAAAAAAAAAAAAAAAA,2025-07-26T14:34:04Z,644,104,1
X2-y3sjtnZA,【RESIDENT EVIL 4】MAIN SEJAM AJA,2025-07-19T05:02:50Z,552,85,1
bVy7RGk7oH8,【RESIDENT EVIL 4】HELP ME LEEEOOOONNN,2025-07-13T15:36:04Z,831,146,0
8lpTU6FyLm4,【RESIDENT EVIL 4】MARI LANJUTKAN AWEWEYO!!!!,2025-07-11T18:30:03Z,955,153,1
8HYPAI79Vqo,【RESIDENT EVIL 4】AWEWEYO!!!,2025-07-07T15:23:34Z,1065,184,3
-weO93KytmI,"AKU JADI KANG BOBAAA, SIAPA MAW?? 【THE BOBA TEASHOP】",2025-06-28T15:24:46Z,1134,151,2
cS8DL90d9qE,AKU KEMBALI!! NGAPAIN AJA SELAMA DI TOKYO?? 【IZANAMI CHIARA】,2025-06-20T16:45:06Z,943,151,2
9PUBoVlY3K0,【KIOSK】nanggung hehe,2025-05-31T00:12:05Z,907,161,1
FcpPcQ4nGSA,【KIOSK】horror sore hehe,2025-05-26T13:13:10Z,1311,218,2
scfe2iWTpBc,【INZOI】NGOBROL SAMA IZANAMI CHIARA IN FULL HD,2025-05-16T16:25:48Z,877,125,1
F-FJ4tj9g0Q,ngobrol dan karaoke tipis tipis 【IZANAMI CHIARA】,2025-05-11T15:41:19Z,1019,196,0
A3b2pO8-f4s,【R.E.P.O.】I LOVEEE I LOVEEE,2025-05-10T15:28:54Z,1002,162,1
BkksSuhA1Eg,【FORM READING】THANK YOUR FOR YOUR GIFT AND WISHES!!,2025-03-30T17:21:04Z,2069,220,13
M9jJMSyCSV0,【BDAY TOTSUMACHI】RAYAIN ULTAH BARENG !!🎂🎉,2025-03-28T17:06:56Z,1838,268,2
ac3yf_E-1yo,【Original Song】From Hell to Earth – Izanami Chiara,2025-03-28T12:00:06Z,5440,460,74
gHDh_ujpnGI,【BDAY COUNTDOWN】RAYAIN ULTAH SAMBIL MENKREP!! (ෆ˙ᵕ˙ෆ)🎂🎉,2025-03-27T19:07:25Z,1025,169,4
mARr63BwxUE,【MONSTER HUNTER WILDS】WE GO GRINDINGG!!!,2025-03-16T16:42:08Z,667,123,1
ibJ1CBNP8Uw,【MONSTER HUNTER WILDS】MOHUN LAGI MOHUN LAGI :3,2025-03-13T18:38:48Z,640,107,0
OXRyOt9qyfs,【MONSTER HUNTER WILDS】PENYAKIT MOHUN GILA,2025-03-12T13:15:07Z,766,128,2
-PoRXFIKSpc,【MONSTER HUNTER WILDS】YAAAAAYYYYYYYY!!!,2025-03-12T05:21:23Z,580,116,2
H0S2JTVOR8A,"【MONSTER HUNTER WILDS】ubur ubur ikan lele, main monhun dong le",2025-03-07T18:31:11Z,606,120,1
x_8Ag0cR5ZY,【LETHAL COMPANY】semoga aku tidak sial di gem ini plis,2025-02-28T15:43:40Z,1069,168,1
SXcCXIHiK6U,"【VALENTINE】I’m yours. no refund, no exchage!!",2025-02-14T17:39:49Z,1458,194,0
Fv1WyVMuLtU,GAJADI MAIN GEM【VARIETY STREAM】,2025-02-07T18:55:02Z,2963,314,1
yuwirxmFiTg,【BUCKSHOT】MARI KITA MEMBANTAI,2025-02-04T14:22:21Z,1188,205,0
OoRKVxZmxG4,Chiara core (seiso) #vtuber #vtuberid #vtuberclips #meme #miside,2025-01-31T06:10:46Z,8236,696,36
QbwWhzS4qP0,【GENSHIN IMPACT】GENSHIN BENTARAN AJA!!!,2025-01-25T01:03:07Z,977,150,2
UdFKpX8dZsg,CHLOE WANGY WANGY HUHAHUHA #vtuber #vtuberid #vtuberclips #nendoroid,2025-01-24T08:53:05Z,5566,729,20
TwgootW-cVo,IHH MITA LUCU BANGET ( ⸝⸝´꒳`⸝⸝) #miside #vtuber #vtuberindonesia #vtuberid #vtuberclips #shorts,2025-01-21T07:43:40Z,19811,3271,43
8sNzm0pOcm0,【VALORANT】FUNRATED SAMA CHIAHOLICS!!,2025-01-17T17:33:09Z,1296,167,0
8IyFwI1cgdc,【CURSED DIGICAM】MAIN SAMA IZANAMI,2025-01-13T03:17:57Z,1039,182,2
iegnmqG0GTQ,【HANDCAM】 UNBOXING WAIFU UWOOO ٩(๑`^´๑)۶ 【NENDOROID SAKAMATA CHLOE】,2025-01-10T17:32:27Z,2623,268,1
fiUcm006Wuc,【MISIDE】 SIAPA YG MENHERA???,2025-01-02T19:15:15Z,3935,385,6
oarstHjAlKc,【KARAOKE】CHIARA'S  FIRST 2025 KARAOKE!!!,2025-01-01T18:54:13Z,1927,283,2
Ewz_AFpIuT8,【HANDCAM】 Merry Christmas!!! ayo makan ayam dan cake sama akuu (๑ᵔ⤙ᵔ๑),2024-12-25T17:56:46Z,2019,275,1
nKtsZEMbtL4,QnA KeChill【FREE TALK】,2024-12-20T17:51:54Z,1424,208,1
kUSH2RBPtww,week 222222!! ngapain yah #ANOMALIRUST【RUST】,2024-12-11T13:01:13Z,1249,203,0
Idc_alaqnNg,AKU TENGGELEM (¯□¯) #anomalirust  #vtuber #vtuberindonesia #vtuberid #vtuberclips #rust #shorts,2024-12-10T11:42:45Z,2807,351,13
VGbrLVRC06s,【EXHAUSTED MAN】aku cape baaang ( – ⌓ – ),2024-12-06T18:05:22Z,1215,163,2
flScnqtnjKY,【THE KIDNAP】horror sore (O∆O),2024-12-04T12:24:33Z,1182,185,1
Cun1V-P1-R8,eee tutorial dokoooo??? #ANOMALIRUST【RUST】,2024-11-27T13:09:33Z,1820,250,1
DRMkZQoA9bw,KONNICHIA٩(๑`^´๑)۶【FREE TALK】,2024-11-25T23:14:22Z,988,191,5
ZJ4eUSX_TJE,CHIA JADI DEBU?!? Σ(°ロ°)【DUSTY DERBY】,2024-11-23T03:47:16Z,841,133,1
VBL8lSdhXAE,AKU VS AKU\(˚☐˚”)/  【MINECRAFT】,2024-11-01T17:26:04Z,1843,225,0
BFWen8jg7mo,【FEARS TO FATHOM : Norwood Hitchhike】Semoga di temenin ka Chizu :3,2024-10-25T17:32:20Z,1886,249,4
ARgl2G-5CmY,ngobrol yukk (*´▽`*)【FREE TALK】,2024-10-23T12:17:20Z,2858,345,6
Gy0SyVI43ak,ketagihan main Metaphor (¯□¯)【SEGA ATLUS - METAPHOR: ReFantazio】,2024-10-18T17:47:08Z,605,110,3
-DsfuLQsvwQ,【GENSHIN IMPACT】temenin iblis kecil ini kelarin archon quest!!,2024-10-16T12:41:07Z,1193,190,0
EH-iIDgkHAA,UDAH RELEASE! AYO MAINN!! ( ˶°ㅁ°)【SEGA ATLUS - METAPHOR: ReFantazio】,2024-10-11T19:02:20Z,1191,179,0
lpOOl83eCqk,iya maaf aku ngeyel 🙏🏻 #vtuber #vtuberindonesia #vtuberclips #littlenightmares,2024-10-10T11:25:08Z,6209,755,19
WXc5QHIgvN4,kawoke kawoke【KARAOKE】,2024-10-05T16:44:18Z,1446,229,2
TS6UY1MViW4,“TAMATIN VIEWFINDER RA” IYA KU TAMATIN 😠【VIEWFINDER】,2024-10-05T04:06:22Z,930,136,3
5ZWQsI5SnlU,【LITTLE NIGHTMARES 2】LANJUTIN PETUALANGAN!!,2024-09-29T18:11:18Z,2341,295,8
QEBqaUXGEsE,NEW GAME?! NEW ADVENTURE?!【SEGA ATLUS - METAPHOR: ReFantazio】,2024-09-27T18:14:25Z,4206,521,1
mvFAmTJeA5Q,【LITTLE NIGHTMARES 2】IKZ?!?!,2024-09-22T14:38:36Z,1401,195,0
guLldV6nQHg,Tadaimaa!!【FREE TALK】,2024-09-22T01:25:03Z,1231,203,3
2YowDm4gZd8,ah.. time to clean..(๑˃̣̣̥⌓˂̣̣̥)【CRIME SCENE CLEANER】,2024-08-19T12:23:05Z,1248,181,4
3zGP307X1XA,AM I A GOOD PART TIME WORKER?【I AM A PART TIME WORKER】,2024-08-11T16:18:11Z,1784,263,1
a-5VKWHQGh8,KATANYA INI GEM SEDIH??【FLORENCE】,2024-08-10T11:55:34Z,1371,224,3
1ecYrRtnxPw,(gorila)~【SLEEPCALL】,2024-08-07T19:40:28Z,2221,270,1
NvdpxpcEXdg,ngalor ngidul ngalor ngidul~【DISCORD MEME REVIEW】,2024-08-02T12:52:31Z,2327,301,2
