id,title,publishedAt,viewCount,likeCount,commentCount
RxMrDDn9b1g,Card Declined :( #vtuber #k9kuro,2025-11-20T20:00:33Z,16390,2011,39
lGjXJBvLwQc,Click this to get jumpscared #vtuber #k9kuro,2025-11-18T20:00:43Z,16033,1543,61
BN4-j1AIIDc,PEAK CAMEO #vtuber #k9kuro,2025-11-16T20:00:15Z,7944,696,7
xuMASnZ4cGg,My editor is a dumbass #vtuber #k9kuro,2025-11-14T20:00:53Z,12049,1108,10
T9c9NS5G0cw,Revisiting my old songs #vtuber #k9kuro,2025-11-12T20:00:25Z,22953,2588,32
3rN1f7DAvHY,How did I fumble that :( #vtuber #k9kuro,2025-11-10T20:00:04Z,14589,1082,12
xgOB2uOqY1A,Why the hell can a table be female? #vtuber #k9kuro,2025-11-08T20:00:46Z,14309,1443,31
X3lLcCyzP2M,The cake is a lie #vtuber #k9kuro,2025-11-06T20:00:37Z,8036,902,23
2aNNx3UAjtg,I FLIRT WITH HIM WHILE 2 OTHER DUDES WATCH,2025-11-05T23:00:03Z,11587,1149,27
A-JArevG-W0,this video is totally not extremely late,2025-11-04T23:00:06Z,7994,1170,53
ZEtFe9CXN-g,I found Ironmouse in Cobblemon #vtuber #k9kuro,2025-11-04T20:00:27Z,10295,1122,6
uoFlDtCVNgw,I AM NOT BASIC #vtuber #k9kuro,2025-11-02T20:00:47Z,10290,952,11
38hJPg7Qra0,H4LL0WEENIE - K9KURO (ORIGINAL SONG) | [OFFICIAL MV],2025-10-30T14:00:06Z,28769,4000,511
RMkhbW0VUM0,I Tried Interviewing My Fans...BIG MISTAKE 💀,2025-10-27T23:00:29Z,8912,956,31
Zj0K-YLWZs8,THE WORST 3D VTUBER DEBUT OF 2025,2025-10-23T23:00:43Z,11001,1284,33
sMmFNkhHOjk,STOP CALLING ME OUT ON MY HOBBY #vtuber #k9kuro,2025-10-23T20:00:54Z,7246,842,11
7L9miTziprU,I COULDNT WAIT TO PLAY THIS GAME | Kuro Play Little Nightmares 3 (FULL GAME) ft. Arielle,2025-10-22T23:00:15Z,2527,220,14
FW09XIq6kzs,THIS GAME AIN'T REAL #vtuber #k9kuro,2025-10-21T20:00:21Z,14167,2013,19
Yv7aZT7J864,This Mario Party group drove me insane,2025-10-19T23:00:38Z,13946,931,20
e9HJCGEnVXM,"Wait, he's cooking tho... #vtuber #k9kuro",2025-10-19T20:00:21Z,23938,2161,22
r49SM2oN9js,Oh my god bruh #vtuber #k9kuro,2025-10-17T20:00:44Z,13689,1633,27
DlyEMFnBjDk,Bro was flabbergasted #vtuber #k9kuro,2025-10-15T20:00:19Z,13059,1155,19
6dovWJdLAEM,Reading YOUR WILDEST confessions,2025-10-13T23:00:08Z,12582,1214,33
