id,title,publishedAt,viewCount,likeCount,commentCount
PVY900X32w0,【Minecraft】エンドラRTA🔥年内･･･?あと何日･･･?【風真いろは/ホロライブ】,2025-12-13T14:43:26Z,63600,5901,70
8shyX8AGCW8,風真いろはの #ねるまえらじお 📻❣ メンバー限定】,2025-12-13T12:32:07Z,0,248,31
dA8YUU-WIpw,エンドラRTA必須技ですか❔#shorts #マイクラ #風真いろは,2025-12-13T09:00:56Z,144617,11453,401
SIoV9--HWhk,【REPO】またもやなにも知らないござるさん💭#バカタレサーカスゲス侍【風真いろは/ホロライブ】,2025-12-12T15:39:40Z,77842,5907,35
AFfrW95oH1I,いっくよ〜👊#shorts #dance #アユミマジカルショータイム #風真いろは,2025-12-11T09:00:24Z,95897,11526,279
L__YzXASl6Q,【カービィのエアライダー】リベンジIKZ仮免初走り🔰たのむよやらせてくれよ！！！【風真いろは/ホロライブ】,2025-12-10T14:35:37Z,102001,6647,62
HD2VW1XR3LA,動体視力も必要なゲームです👀#shorts #マイクラ #マインクラフト #いろはス,2025-12-10T07:00:29Z,110424,9134,213
W5EkK91yatc,ラブミ！踊ってみたしゅばしゅば#shorts #dance #大空スバル #ラブミ,2025-12-08T09:01:00Z,147180,15236,335
-ioTMP0FkKE,これは高度な心理戦である🤞#shorts #マイクラ #マインクラフト #いろはス,2025-12-06T07:00:00Z,243414,14460,229
QhGZsdljTiU,じゃんぷ！じゃんぷ！じゃんぷ！#shorts #dance #ホロライブ #プロセカ,2025-12-04T09:00:43Z,176887,16758,416
AoX3jC6LcEQ,【縦型歌枠】お昼だよ～🎤お仕事前にうたうじょ！#shorts #歌枠 【風真いろは/ホロライブ】,2025-12-04T04:12:48Z,68581,7248,90
bcPoml89MLI,【雑談】4周年もろもろお疲れさまでした雑談DAY【風真いろは/ホロライブ】,2025-12-03T15:12:52Z,138705,10003,83
gEXGoSzGQkA,いろはスでお題にそって建築して見た結果🔽#shorts #マイクラ #マインクラフト #いろはス,2025-12-03T07:00:45Z,165478,11563,282
VoOwdGbpDhM,【#風真いろは4周年】地獄連発!?かっこいい5年目のスタートにするぞ🔥告知あり❣【風真いろは/ホロライブ】,2025-11-30T12:06:18Z,224634,16453,210
VXE4htM2FJI,【Minecraft】稼げ！！今日は遠慮はいらねえ！！！💰【風真いろは/ホロライブ】,2025-11-29T17:20:16Z,97486,7224,42
7ylYpIkD7AU,【#風真いろは4周年】カウントダウンだ～！ｴﾓ~ｲお話は今年はここだけ👉【風真いろは/ホロライブ】,2025-11-29T15:22:24Z,69797,8738,239
9ORH66lqSOw,アイツらが帰ってきた！ 劇場版『秘密結社holoX4周年』｜2025年12月1日（月）公開 【 #SSholoX4周年 】,2025-11-29T09:00:25Z,139073,9847,229
y7BzC_yWM4A,これはなんですか❔#shorts #ホロライブ#ころしちゃった #風真いろは,2025-11-28T09:01:45Z,185333,18665,575
nUSuuHPgdgw,Super Coolｱｲｱｲｱｲｯ❣かっこいいでしょ^^#shorts #dance #ホロライブ #III,2025-11-27T09:01:17Z,198072,19726,583
