id,title,publishedAt,viewCount,likeCount,commentCount
P2WFzKbj24E,私が剣持刀也です,2025-12-04T16:45:31Z,243424,10690,90
V_uZ050fVBo,幽霊東京／covered by 剣持刀也,2025-11-21T11:00:06Z,1586076,77030,2941
0QabXUL45Lk,自認剣持による雑談【雑談】,2025-11-20T16:11:32Z,212002,9179,164
UYbQuvVuiIQ,【気持ち良すぎ】時代を巻き込め【ワンス・アポン・ア・塊魂】,2025-11-10T17:56:46Z,310845,10586,76
AuLGUESsqok,危険な手紙から国を守る【Your letter has been rejected.】,2025-11-02T19:16:30Z,478818,16207,168
lxu3JbRYNh0,全知全能くん【全国一般人常識チェック】,2025-10-25T17:32:47Z,384001,15245,240
QDLZ2l45LAM,剣持 vs 星街すいせい,2025-10-19T14:16:20Z,392699,23132,314
GwBDxHiMUas,怖いものとかありません【恐怖耐性診断テスト】,2025-10-11T16:19:23Z,278178,11742,147
J7hz9dCdoJU,就職先が決まりました【おにぎり屋さんシミュレーター】,2025-10-02T16:55:44Z,315797,11621,132
l1CKzWkKGwc,異常無し！！・・・無いよね？【JSP日本事故物件監視協会】,2025-09-24T17:11:46Z,409850,14552,236
5-nUs_L701s,【3D】#にじさんじ秋の大運動会【にじさんじ】,2025-09-23T12:25:29Z,753840,36861,604
bsAL41WyZnM,企画発表とメンバー奪い合い【with 椎名唯華】,2025-09-20T13:42:13Z,322075,13168,105
UlD60s_IVZ4,最新で最高、最速の世界【マリオカートWORLD】,2025-09-10T18:16:12Z,381550,14075,187
-WoUikC-V8Y,【＃にじさんじバスターズ】第4話 絆の証明 【Gartic Phone】,2025-09-01T14:00:43Z,402492,16635,144
3XbEAqFXGXs,剣持 vs ましろ,2025-08-29T16:16:53Z,266330,15711,163
FDbfCDvRMYU,イブラヒム「山登りません？」剣持「うーん」【PEAK】,2025-08-26T15:26:06Z,353152,13061,160
AspTK-Sivzk,Sharpness... / 剣持刀也【虚空大戦ver】,2025-08-23T15:00:06Z,379811,27462,848
y6oTJdsMeAs,誕生日の男【剣持刀也】,2025-08-22T16:23:01Z,395425,25010,518
__6v_9gpCMU,にじさんじ滅ぼしたいやつ集合【Fantasy map simulator】,2025-08-14T17:09:33Z,489130,19575,157
