id,title,publishedAt,viewCount,likeCount,commentCount
HLoyTIaSxUA,KANGEN【GTA V RP】#gtaroleplay #gta5 #IDNRP #idnroleplay #indonusantara,2025-05-21T14:27:54Z,10957,1552,41
Cui9ea68lII,right now u i a a,2024-12-22T07:03:16Z,12841,1453,88
OR4Q8f_GtQA,stream orang songong tapi beneran jago,2024-12-21T14:03:26Z,7940,1072,2
jwWDAf86Nmw,VTUBER SALTING?!,2024-12-21T04:20:59Z,12519,1498,26
K4KYpBaRfJA,stream masak gorengan dan edukasi,2024-12-20T13:45:24Z,11327,2366,20
RuniEdEh8go,lirik blue - yung kai,2024-12-18T08:01:27Z,10981,1313,15
o_026rXPqPY,【GTA ROLEPLAY】GANTENG GANTENG SPESIAL,2024-12-17T15:08:27Z,7615,1071,1
TrWCtTKHo-I,KAKAK SIAPA NICH【GTA V RP】#gtaroleplay #gta5 #kisahtanahairrp,2024-11-29T14:12:17Z,6962,1017,1
7ZoI8Ox2Gfw,INTROPRET【GTA ROLEPLAY】#gtaroleplay #gta5 #kisahtanahairrp #KiTARP,2024-11-27T10:48:15Z,5584,928,5
PP-thmbLUbY,【GTA ROLEPLAY】PRINCE👑 #kisahtanahairrp #KiTARP,2024-11-27T03:56:07Z,7537,1426,0
UhazS42o5Zw,PERANG & BLACK ONI BERSATU KEMBALI!!!【GTA V RP】#tokyoverseroleplay #gtaroleplay #gta5,2024-11-05T16:28:15Z,8521,1094,2
ZplByiL9vAM,BLACK ONI IS BACK!【GTA V RP】#tokyoverseroleplay #gtaroleplay #gta5,2024-11-04T15:53:28Z,9870,1502,1
3XAPkO6mbJw,lirik lagu ROSÉ & Bruno Mars - APT.,2024-11-03T08:36:03Z,16265,1380,28
dTTfMXu__Jo,ENDING TOKYO & BLACK ONI TERAKHIR KALINYA【GTA V RP】#tokyoverseroleplay #gtaroleplay #gta5,2024-09-30T16:04:33Z,13619,2162,12
tQeTOvmrqZQ,KELUARGA & SAHABAT【GTA V RP】#kalaroleplay #gtaroleplay #gta5,2024-09-17T16:05:26Z,16667,2348,7
JKb4WGCD23g,NEW TOKYO & PERANG【GTA V RP】#tokyoverseroleplay #gtaroleplay #gta5,2024-09-13T16:07:44Z,15619,2263,11
LjKzYbvkdMA,END & PERANG AKHIR【GTA V RP】#tokyoverseroleplay #gtaroleplay #gta5,2024-09-12T15:50:47Z,18399,2775,5
htdQfX2zRNU,ROBLOX MALAM HORROR,2024-09-09T10:00:08Z,7673,592,0
DEprBklhgI8,NEW ERA!!! COBRA【GTA V RP】#kalaroleplay #gtaroleplay #gta5,2024-08-25T15:01:25Z,12836,2275,4
ikTiufmWOaI,SENDIRI & KENANGAN TOKYO【GTA V RP】#tokyoverseroleplay #gtaroleplay #gta5,2024-08-21T15:19:23Z,15284,2709,28
py-Y2PMj67A,PERANG TAPI GATAU SI【GTA V RP】#tokyoverseroleplay #gtaroleplay #gta5,2024-07-20T17:52:04Z,17684,2154,15
XdF7z1Y5fA8,NGURUS BOKEM【GTA V RP】#kalaroleplay #gtaroleplay #gta5,2024-07-12T14:17:11Z,13997,2264,6
hR4eD_oN3Eo,SISI BAIK【GTA V RP】#kalaroleplay #gtaroleplay #gta5,2024-07-11T17:04:54Z,14680,2182,5
WtNn0DltfDI,GORENGAN ENAK【GTA V RP】#kalaroleplay #gtaroleplay #gta5,2024-07-05T14:46:29Z,14613,2572,16
S7FtmFT-pTk,ABANG GANTENG【GTA V RP】#kalaroleplay #gtaroleplay #gta5,2024-07-04T15:08:23Z,12723,2081,4
9bQG1Z8gUKk,NEW FAMILY???【GTA V RP】#kalaroleplay #gtaroleplay #gta5,2024-07-02T15:48:58Z,17304,3029,17
RFUJEdGRptU,KETUA TERKUAT NGERATAIN,2024-06-30T09:05:00Z,34168,5389,60
