id,title,publishedAt,viewCount,likeCount,commentCount
AD3ELCOg2mE,【#岸堂天真6周年】6年目は早押しだ!! ホロスタ博士決定戦!!【岸堂天真/花咲みやび/奏手イヅル/アルランディス/羽継烏有/水無世燐央/ホロスターズ】,2025-12-14T13:38:40Z,0,112,16
HZoFTiOibRc,今日は物語デッキで戦ってみる！【MY CARD IS BETTER THAN YOUR CARD】【岸堂天真/ホロスターズ】,2025-12-13T08:07:25Z,1005,192,2
da-s7vaoFRk,ARC Raiders こそこそお宝集め！【岸堂天真/ホロスターズ】,2025-12-12T06:48:10Z,1334,228,3
BFdzWE9Qi0o,本当はやめたいけど、面白すぎてやりたくなるやつ【MY CARD IS BETTER THAN YOUR CARD】【岸堂天真/ホロスターズ】,2025-12-11T18:24:23Z,1576,262,3
yxVTTeeJbac,【#ホロスタ人類終末】マーダーミステリー　終末の眠り姫【岸堂天真/花咲みやび/奏手イヅル/水無世燐央/羽継烏有/ホロスターズ】,2025-12-11T14:22:05Z,2681,326,3
mak5f5ZMWMs,ARC Raiders ヒトから横取り界隈 うゆう合流【岸堂天真/ホロスターズ】,2025-12-08T14:11:06Z,3537,344,2
piJe7Jcegi0,自分だけのオリジナルカードを作れる神ゲー【MY CARD IS BETTER THAN YOUR CARD】【岸堂天真/ホロスターズ】,2025-12-07T09:14:13Z,1315,221,2
T_UaxaheUN4,ARC Raiders ソロだけど楽しめるのかい？ 2日目【岸堂天真/ホロスターズ】,2025-12-05T04:08:32Z,1782,247,3
RP-_5fC_AeY,アステルとARC Raiders 初見【岸堂天真/ホロスターズ】,2025-12-04T18:57:29Z,3765,430,2
muHK8eUv4xQ,また激ハマりしてしまいそうなゲームを見つけちまった・・・。【MY CARD IS BETTER THAN YOUR CARD】【岸堂天真/ホロスターズ】,2025-12-04T06:51:22Z,2309,320,4
7-Tefr3Ax6g,ぼくのカードのほうがキミのよりすごいもん！という謎のゲーム【岸堂天真/ホロスターズ】,2025-12-02T10:48:43Z,2048,293,3
1HswZWGaGJI,【歌枠】睡眠用歌枠【岸堂天真/ホロスターズ】,2025-12-01T17:24:39Z,3965,501,9
Nxx2JdQv4B0,【REPO】アプデ後世界で、ホロスタお宝探索隊【岸堂天真/花咲みやび/水無世燐央/ホロスターズ】,2025-11-28T12:46:34Z,2184,259,2
VXXRodmO_wA,【#ホロスタ人類終末】マーダーミステリー　人類最後の皆様へ【岸堂天真/花咲みやび/奏手イヅル/水無世燐央/羽継烏有/ホロスターズ】,2025-11-27T14:55:03Z,4564,396,3
PQRdtCtvPsE,【花岸れいでぃお】第89回！1カ月ぶりの花岸れいでぃお！【岸堂天真/花咲みやび/ホロスターズ】,2025-11-23T22:38:46Z,1887,317,4
mpraC8I-ZDo,【ペルソナ4】最終回！裏ボス討伐して世界を完全に救う！【岸堂天真/ホロスターズ】,2025-11-21T09:40:37Z,1117,234,4
9UPO-mWysXU,【おしゃべりキング】実はおしゃべり、得意なんだよな【岸堂天真/ホロスターズ】,2025-11-20T16:34:22Z,2299,313,4
2OFAq-nqdpY,【歌枠】世にも珍しい夜の歌枠をさせていただきます。【岸堂天真/ホロスターズ】,2025-11-18T14:22:32Z,3655,477,8
Dx16saNhMIE,【ペルソナ4】マリー完全救出編【岸堂天真/ホロスターズ】,2025-11-17T11:07:50Z,1442,224,3
gCaWk9mJl9Y,【雑談】取得したら面白そうな資格試験を探そう！【岸堂天真/ホロスターズ】,2025-11-16T20:07:27Z,3087,444,3
vLnkchhU8fo,【ペルソナ4】マリー！必ず助けに行くぞ！【岸堂天真/ホロスターズ】,2025-11-13T09:55:53Z,1525,237,3
Z83gFLDwfAE,【ペルソナ4】もしかしたらクリアか！？あの男を討伐する【岸堂天真/ホロスターズ】,2025-11-12T09:06:22Z,2230,332,4
O2RI3LVn_SY,【歌枠】花岸レイディオならぬ、岸歌レイディオ【岸堂天真/ホロスターズ】,2025-11-10T23:14:23Z,3418,466,9
n51NnOdvAqM,【ペルソナ4】目が怖すぎる真犯人をわからせに行く。【岸堂天真/ホロスターズ】,2025-11-08T05:01:13Z,1540,243,4
COJfxoz-P3M,【エスケープフロムダッコフ】ｼｮｹﾝｸﾞﾜｯ【岸堂天真/ホロスターズ】,2025-11-07T04:51:16Z,1886,301,4
VMc9MBLAk-E,【ペルソナ4】なんか町に霧がかかり始めてるけど大丈夫そう？【岸堂天真/ホロスターズ】,2025-11-06T04:40:10Z,1460,247,3
ptBvd1kxwfU,【ペルソナ4】菜々子を誘拐した奴は、どんな理由であれ許さないチャンネル【岸堂天真/ホロスターズ】,2025-11-04T02:34:58Z,1701,265,3
Bl8Sew7WEek,【ペルソナ4】八十神高校文化祭、何も起こらないはずもなく。【岸堂天真/ホロスターズ】,2025-11-03T02:50:14Z,1542,252,5
8MPfJauJW_s,【#ホロスタAGF2025】パーティーアニマルズでどこの組が最強か決めようや【岸堂天真/アステルレダ/夕刻ロベル/荒咬オウガ/羽継烏有/水無世燐央/ホロスターズ】,2025-11-02T11:23:04Z,8941,907,7
-VRHa5hMiE4,【ペルソナ4】妹の菜々子がいるから女絡みいらん。【岸堂天真/ホロスターズ】,2025-10-31T04:23:30Z,1197,227,5
jDUkboma4lg,【ペルソナ4】探偵くん、助けてやるから待ってろ！【岸堂天真/ホロスターズ】,2025-10-30T15:27:56Z,1216,226,5
do_qy9_Kuws,【ペルソナ4】菜々子ちゃん大好きチャンネルです。【岸堂天真/ホロスターズ】,2025-10-29T07:38:27Z,1743,263,5
RBeyxNYYRvs,【ペルソナ４】夏休みでみんなで海に行く！水着衣装失礼します！Part8【岸堂天真/ホロスターズ】,2025-10-28T08:01:00Z,1555,246,2
kAlN6CYJfmY,【ペルソナ４】かわいい久慈川りせちゃんを助けにいく！！Part7【岸堂天真/ホロスターズ】,2025-10-27T06:39:42Z,1570,265,3
nhrebiLSxDE,【花岸れいでぃお】第88回！急速に寒くなったね・・・！【岸堂天真/花咲みやび/ホロスターズ】,2025-10-26T22:45:08Z,1641,323,6
OvEu9qerDJo,【ペルソナ４】朝活でレベリングをしておきたい！！Part6【岸堂天真/ホロスターズ】,2025-10-24T13:54:33Z,1201,224,5
O9Bu8RBrHns,【ペルソナ４】新たな仲間とともに冒険！Part5【岸堂天真/ホロスターズ】,2025-10-23T01:39:15Z,1556,261,3
gxIg3011A0Q,【ペルソナ４】カンジ、お前を救いたい。Part4【岸堂天真/ホロスターズ】,2025-10-20T09:35:29Z,1878,278,2
JaFkVk_pUb4,【歌枠】レアな夜のいい時間の歌枠【岸堂天真/ホロスターズ】,2025-10-18T14:39:25Z,2860,458,5
jX9vpq0zYI8,【ペルソナ４】雪子、今助けに行くぞ！Part3【岸堂天真/ホロスターズ】,2025-10-17T07:31:44Z,2355,296,5
-d0cz61lW6w,【ペルソナ４】シリーズ初見、まさかの異能力系ゲームだった【岸堂天真/ホロスターズ】,2025-10-16T07:55:33Z,2499,331,5
KDMkw9nBqqU,【ペルソナ４】完全初見でペルソナ４をやってみる。マジで何も知らない！楽しみだ Part1【岸堂天真/ホロスターズ】,2025-10-15T08:15:29Z,2683,335,7
-TEj8zIZr4g,【BABY STEPS】今日で決める！！駆け抜けるぞ、ネイト！【岸堂天真/ホロスターズ】,2025-10-12T01:55:43Z,1375,258,4
s8nFreX9SdI,【BABY STEPS】みんなの出勤に合わせておじさんベイビーも出勤するぞ【岸堂天真/ホロスターズ】,2025-10-10T01:14:30Z,1617,267,3
w5H0Y_0oupo,【BABY STEPS】朝から山を登りたい！【岸堂天真/ホロスターズ】,2025-10-07T03:00:42Z,1713,289,3
lSCRC5WWsrA,【BABY STEPS】今日も裸足で山登りをしましょう！【岸堂天真/ホロスターズ】,2025-10-06T07:50:07Z,1527,278,2
Zl4LzmLDX9Q,【BABY STEPS】今日も１歩だけ踏み出す。【岸堂天真/ホロスターズ】,2025-10-05T02:37:50Z,1361,262,4
cSWXbT9QUWc,【BABY STEPS】がんばれ、１歩踏み出すんだ！【岸堂天真/ホロスターズ】,2025-10-03T05:33:53Z,2861,427,5
HSvJ9Jha4xM,【誰が勇者を育てたか】謎の育成×スロットゲームを初めて見る【岸堂天真/ホロスターズ】,2025-10-02T04:39:09Z,1716,271,3
rZw99PydM5k,【RATATAN】リズムに乗って第４層を攻略したい！【岸堂天真/ホロスターズ】,2025-09-30T03:40:10Z,2121,344,3
txOeFo4vsHE,【RATATAN】オトとリズムで戦うゲーム、ラタタン！【岸堂天真/ホロスターズ】,2025-09-29T13:19:38Z,3372,406,3
kEtDcS6Df60,【花岸れいでぃお】第86回！運動会、お、お疲れさまでした・・・!!!【岸堂天真/花咲みやび/ホロスターズ】,2025-09-28T22:40:02Z,2784,424,5
Un01Knc7TOQ,【世界樹の迷宮】最終回かもしれない！第5層を踏破する　Part8【岸堂天真/ホロスターズ】,2025-09-27T16:53:47Z,2650,332,6
b_dByC9LDv0,【世界樹の迷宮】第4層を踏破する　Part7【岸堂天真/ホロスターズ】,2025-09-26T16:32:31Z,2380,342,2
FIvfwvy8Yik,【雑談】運動会参加できなくてごめんなさい。元気になったので雑談します！【岸堂天真/ホロスターズ】,2025-09-25T04:08:32Z,5237,646,7
5u98eWFa7m8,【世界樹の迷宮】第4層に到達してしまった+十神天魔教十+　Part6【岸堂天真/ホロスターズ】,2025-09-21T18:07:33Z,2389,316,3
izwrvtHXOMs,【世界樹の迷宮】ボスがなぜか無限沸きしてくる神ゲー・・・　Part5【岸堂天真/ホロスターズ】,2025-09-19T17:56:30Z,2114,286,4
Q_OS04iwo5g,【FALLGUYS】ホロスタ全員でFALLGUYS！ 運動会の肩慣らし！#ホロスターズ大運動会【岸堂天真/ホロスターズ】,2025-09-19T12:23:21Z,2909,387,6
BnoMLcMcScw,【世界樹の迷宮】もう1撃でシバくのはやめてください！！　Part4【岸堂天真/ホロスターズ】,2025-09-19T05:12:37Z,2132,303,5
jzJ3_wAxg7Y,【世界樹の迷宮】ボスに負けるとデータごと消される神ゲー　Part3【岸堂天真/ホロスターズ】,2025-09-17T07:24:28Z,2615,336,5
jDcmQYPe1Uw,【世界樹の迷宮】古き名作ダンジョンRPG、面白すぎた。Part2【岸堂天真/ホロスターズ】,2025-09-16T09:13:29Z,2890,348,4
IHPK53jdLkQ,【世界樹の迷宮】古き名作ダンジョンRPG、やらせていただきます。Part1【岸堂天真/ホロスターズ】,2025-09-15T10:24:42Z,3988,442,5
wU32aG28lGc,【ELDEN RING NIGHTREIGN】レート制のナイトレイン、「深き夜」初挑戦！ 【岸堂天真/ホロスターズ】,2025-09-12T06:57:21Z,1731,291,2
MISpnqtfoOM,【ELDEN RING NIGHTREIGN】アプデ前ラスト！デカ犬を倒す硬鳥 【岸堂天真/ホロスターズ】,2025-09-10T11:33:30Z,1654,251,2
XFdY8Me4bvc,【Dinkum】最終回！ホロスタで楽しくスローライフ！ Part11【岸堂天真/ホロスターズ】,2025-09-09T16:19:26Z,2169,298,3
JvBvqpR7oLI,【禁足地　青鬼の窟】最終回　次世代の青鬼とお別れする。 【岸堂天真/ホロスターズ】,2025-09-07T09:46:44Z,1428,261,2
kuzdlOlbU3E,【禁足地　青鬼の窟】次世代の青鬼に会いに行く。いや、会いに行きたくはない。 【岸堂天真/ホロスターズ】,2025-09-06T11:10:31Z,2171,307,3
MuHu5a_AcHM,【ELDEN RING NIGHTREIGN】執行者をがっつり練習してみる。 【岸堂天真/ホロスターズ】,2025-09-04T09:15:27Z,1496,247,2
pMpUTcRO7dE,【SEKIRO】【緊急】超急ぎでみやびに追いつきもう1週不死断ちENDをクリアする！【岸堂天真/ホロスターズ】,2025-09-01T19:00:48Z,3612,371,6
1E3X5jcXGj0,【SEKIRO】花岸でSEKIRO！真ENDクリアできるまで終われません！ 【岸堂天真/ホロスターズ】,2025-09-01T14:39:52Z,4924,467,5
JB0u74l1bH4,【Dinkum】ホロスタで楽しくスローライフ！ Part10（りおはおやすみ）【岸堂天真/ホロスターズ】,2025-08-30T19:11:57Z,3795,381,7
4v1LPpY82ro,【歌枠】週末＆月末、秋になる前に夏の曲を歌いたい。【岸堂天真/ホロスターズ】,2025-08-29T11:49:51Z,3184,506,7
H23O4gtx7ac,【花岸れいでぃお】第84回！明日は花岸でロケにいく!!【岸堂天真/花咲みやび/ホロスターズ】,2025-08-24T22:37:29Z,2092,354,5
4nNpMOuiRLg,【ELDEN RING NIGHTREIGN】守護者でグラディウスやったら脳汁が出すぎてやめられなくなった。 【岸堂天真/ホロスターズ】,2025-08-24T09:20:08Z,2095,325,2
1h5LFbziFQc,【ELDEN RING NIGHTREIGN】守護者専の騎士、強化グラディウス初見 【岸堂天真/ホロスターズ】,2025-08-23T22:37:16Z,1022,214,2
d_8HY7ikqlU,【雑談】こんな暑い夏は～だらだら～ゴロゴロ～【岸堂天真/ホロスターズ】,2025-08-21T10:51:53Z,2275,355,2
svdIgMkEyHE,【夏はホラー】幽霊の彼女と同棲するホラーゲーム【Seven Nights Ghost】【岸堂天真/ホロスターズ】,2025-08-20T10:36:20Z,2239,363,3
wYokeFPZkko,【STREET FIGHTER6】今のMR1600は、難しいぞ・・・!!!【岸堂天真/ホロスターズ】,2025-08-18T13:04:55Z,2145,297,5
rpqVbH1Z8Tw,【テラリア】ホロスターズテラリア部、発足 Part1【岸堂天真/花咲みやび/奏手イヅル/ホロスターズ】,2025-08-16T18:00:30Z,6503,632,3
ooYb0NTScko,【STREET FIGHTER6】8カ月ぶりのリリーでランクマッチ！！【岸堂天真/ホロスターズ】,2025-08-15T07:58:36Z,2679,371,4
9wawsiyCEps,【STREET FIGHTER6】深町寿成さんと魂の10先対決！！【岸堂天真/ホロスターズ】,2025-08-13T03:50:38Z,5582,520,4
8AzeeMKbmIM,【明末:ウツロノハネ】6日目 男の子が大好きなセクシーソウルライク【岸堂天真/ホロスターズ】,2025-08-12T11:09:55Z,1499,231,2
Ej9y9XK2wrM,【STREET FIGHTER6】24キャラマスターの男、8カ月ぶりの復帰【岸堂天真/ホロスターズ】,2025-08-11T10:16:34Z,2500,366,3
YMNUXleKYCk,【明末:ウツロノハネ】5日目 男の子が大好きなセクシーソウルライク【岸堂天真/ホロスターズ】,2025-08-09T11:24:40Z,1445,245,3
OC96HfQJ04o,【夏はホラー】ノロイヅキ 誰かから来るラインを頼りに探索するホラー【岸堂天真/ホロスターズ】,2025-08-08T12:14:57Z,1870,302,3
pWRchzwdU7E,【ELDEN RING NIGHTREIGN】野良マルチで100連勝チャレンジ　2勝~ ルールは概要欄 【岸堂天真/ホロスターズ】,2025-08-06T16:55:42Z,1717,255,3
3b4ISleUo_8,【ELDEN RING NIGHTREIGN】野良マルチで100連勝チャレンジ　0勝~ ルールは概要欄 【岸堂天真/ホロスターズ】,2025-08-04T08:11:19Z,3068,340,2
w0LGyi3EQp0,【雑談】おしゃフェスお疲れさまでした！【岸堂天真/ホロスターズ】,2025-08-03T10:06:00Z,1932,289,7
WPh0l5buVfg,【Dinkum】ホロスタで楽しくスローライフ！ Part9（みやびはおやすみ）【岸堂天真/ホロスターズ】,2025-08-02T16:59:39Z,2593,332,4
RpyhAcYkSf8,【ELDEN RING NIGHTREIGN】8月は毎週幸せなアプデくるな～ワクワク　強化マリス初見【岸堂天真/ホロスターズ】,2025-08-01T08:19:20Z,1488,224,1
0cTZlgoeLSY,【明末:ウツロノハネ】4日目 最初のメインボスの突破率3割しかないセクシーソウルライク【岸堂天真/ホロスターズ】,2025-07-31T10:28:07Z,1172,213,2
bLjpIyofQdA,【明末:ウツロノハネ】3日目 セクシーなお姉さんが主人公の最新死にゲーをプレイ!【岸堂天真/ホロスターズ】,2025-07-29T10:40:00Z,2076,276,2
UdGqXj7hnVw,【明末:ウツロノハネ】2日目 セクシーなお姉さんが主人公の最新死にゲーをプレイ!【岸堂天真/ホロスターズ】,2025-07-27T10:08:47Z,1953,254,4
gH54GNREL5c,【明末:ウツロノハネ】セクシーなお姉さんが主人公の最新死にゲーをプレイさせてください。【岸堂天真/ホロスターズ】,2025-07-26T11:03:07Z,2043,289,2
IwAPW6NfPlk,【Shape Hero Factory】新モードがいろいろ追加されてたから久しぶりに工場長！【岸堂天真/ホロスターズ】,2025-07-24T10:31:39Z,2217,316,3
YpAVhLEmzSY,【花岸れいでぃお】第81回！電気代が過去最高の予感・・・!!【岸堂天真/花咲みやび/ホロスターズ】,2025-07-20T22:40:04Z,2249,340,5
jQGDeqhNZvI,【メイプルストーリー】実に15年ぶりにやる伝説のゲーム、やってる人いますか？【岸堂天真/ホロスターズ】,2025-07-20T08:48:10Z,4929,439,6
yEqc1raJKwc,【Shadowverse: Worlds Beyond】グランプリ決勝を貧困エルフで優勝する！！【岸堂天真/ホロスターズ】,2025-07-16T16:26:34Z,1514,247,2
9JmEmwzYcYM,【The Headliners】週刊ホロスターズ！スクープ撮影クラブ【岸堂天真/ホロスターズ】,2025-07-15T18:36:22Z,3059,393,2
mzPTc8GrIsA,【The Headliners】朝活で宇宙人に侵略された町で写真を撮るゲームやる【岸堂天真/ホロスターズ】,2025-07-14T00:26:51Z,2870,384,6
9bMi4fVUyQI,【Shadowverse: Worlds Beyond】Aグループで4勝！お願いします！【岸堂天真/ホロスターズ】,2025-07-12T09:04:59Z,1614,244,3
XA14qXo6avo,【Dinkum】ホロスタで楽しくスローライフ！ Part8【岸堂天真/ホロスターズ】,2025-07-10T17:42:17Z,3282,353,3
Dj4UvPWnkzc,【Shadowverse: Worlds Beyond】今日もグランプリで小銭稼ぎ【岸堂天真/ホロスターズ】,2025-07-10T06:23:34Z,1864,244,3
-9zPeC4lXpQ,【Shadowverse: Worlds Beyond】グランプリ（ミニ大会）に出場する！【岸堂天真/ホロスターズ】,2025-07-09T11:32:57Z,1968,281,2
g0eXO8ppk8o,【Shadowverse: Worlds Beyond】5000円エルフが強すぎる！【岸堂天真/ホロスターズ】,2025-07-08T08:46:52Z,2575,290,2
V1jixNSA1FA,【Shadowverse: Worlds Beyond】ゼロから始めるシャドウバース【岸堂天真/ホロスターズ】,2025-07-07T11:55:14Z,2664,324,2
sU-rDP6Cq1s,【ELDEN RING NIGHTREIGN】5000円払うだけで無料でアップデートが来続ける最高のゲーム【岸堂天真/ホロスターズ】,2025-07-05T09:58:09Z,1795,233,2
wBLfirXndYQ,【ELDEN RING NIGHTREIGN】蟲vs虫(バッタ)【岸堂天真/ホロスターズ】,2025-07-04T07:50:42Z,1600,241,2
KY8btFySnpo,【ELDEN RING NIGHTREIGN】本日アプデ！強化グノスターvsガーディアン【岸堂天真/ホロスターズ】,2025-07-03T07:04:07Z,3661,349,4
cVKia_0xYlM,【お披露目】岸堂天真、新しい髪型を発表します！【岸堂天真/ホロスターズ】,2025-07-02T11:50:50Z,4543,735,8
mUchKzarP1Q,【Dinkum】ホロスタで楽しくスローライフ！ Part7【岸堂天真/ホロスターズ】,2025-06-30T18:10:36Z,2891,328,4
DB6zI3VK3RM,【ELDEN RING NIGHTREIGN】日曜深夜の寝れない人間を救う守護者【岸堂天真/ホロスターズ】,2025-06-29T18:00:20Z,1697,247,2
OPtP-f76SdA,【ELDEN RING NIGHTREIGN】土曜だから慣れない社会人プレイヤーを救う守護者【岸堂天真/ホロスターズ】,2025-06-28T11:42:06Z,2575,304,2
jWUIfgjq8W4,【ELDEN RING NIGHTREIGN】守護者ガチで仕上がってきた！！【岸堂天真/ホロスターズ】,2025-06-27T05:47:42Z,1800,263,3
t9YCGf7oPvc,【ELDEN RING NIGHTREIGN】強化フルゴールさすがにやりたいです！！！【岸堂天真/ホロスターズ】,2025-06-26T07:58:28Z,2632,297,2
DvTRgWybBeQ,【ELDEN RING NIGHTREIGN】バッタ「ﾋﾟｮﾝｯﾄﾞﾄﾞﾝ ﾋﾟｮﾝｯﾄﾞﾄﾞﾝ ﾋﾟｮﾝｯﾄﾞﾄﾞﾝ 」【岸堂天真/ホロスターズ】,2025-06-25T09:14:43Z,2537,323,2
IItiGb6Rea4,【花岸れいでぃお】第80回！6月でも熱中症に気を付けて！【岸堂天真/花咲みやび/ホロスターズ】,2025-06-23T22:38:26Z,1977,358,4
f20CgJBNmxw,【ELDEN RING NIGHTREIGN】黒い守護者の衣装を買いたいんだよ！！【岸堂天真/ホロスターズ】,2025-06-23T11:39:53Z,2221,309,2
HT-YmCwWHzQ,【ELDEN RING NIGHTREIGN】強化エデレ　ソロ周回マン参上！【岸堂天真/ホロスターズ】,2025-06-21T06:57:17Z,1662,259,2
RHQ74AiVARg,【ELDEN RING NIGHTREIGN】アプデ来た！強化エデレに挑戦させてください！！【岸堂天真/ホロスターズ】,2025-06-20T06:20:44Z,2284,285,3
Xp5Cb0NUe00,【歌ってみた】空想フォレスト/岸堂天真,2025-06-18T09:00:06Z,27398,2263,67
WECuH_Ds6Js,【ELDEN RING NIGHTREIGN】マキナ、りっかとナイトレイン【岸堂天真/ホロスターズ】,2025-06-17T16:59:37Z,3206,419,4
My2r42EsFXQ,【Dinkum】ホロスタで楽しくスローライフ！ Part6【岸堂天真/ホロスターズ】,2025-06-16T17:34:10Z,3004,331,4
vSNatQNYUh4,【ELDEN RING NIGHTREIGN】ラスボスソロ攻略だ！【岸堂天真/ホロスターズ】,2025-06-15T10:32:45Z,1891,252,3
ZSdIXx3MNhU,【ELDEN RING NIGHTREIGN】いつの間にか100時間やっていた。【岸堂天真/ホロスターズ】,2025-06-11T11:00:40Z,5622,474,2
ksXIrJJI2gI,【ELDEN RING NIGHTREIGN】PC版参加型　視聴者の中に夜渡り様はいらっしゃいませんか！【岸堂天真/ホロスターズ】,2025-06-08T08:51:08Z,3227,293,3
jdf-6vt9d6Q,【ELDEN RING NIGHTREIGN】みやび、うゆうと夜渡りが楽しい！【岸堂天真/ホロスターズ】,2025-06-07T14:33:33Z,1961,262,3
LV38hkopWeA,【ELDEN RING NIGHTREIGN】突然のホロスタコラボ！！全追憶回収 with うゆう律可【岸堂天真/ホロスターズ】,2025-06-07T09:35:22Z,2769,372,2
qhO56PmbGcU,【Dinkum】ホロスタで楽しくスローライフ！ Part5【岸堂天真/ホロスターズ】,2025-06-06T18:52:21Z,3769,325,2
ByQ9IvBSGhU,【ELDEN RING NIGHTREIGN】全キャラのジャーナルクリアする！鉄の目編【岸堂天真/ホロスターズ】,2025-06-06T08:18:41Z,1730,252,2
_yaoka0CEaw,【ELDEN RING NIGHTREIGN】めっちゃ昼だけど夜の王を倒す！【岸堂天真/ホロスターズ】,2025-06-05T10:06:31Z,1900,297,2
hLDz3lk92No,【ELDEN RING NIGHTREIGN】合言葉参加型　めっちゃ朝だけど夜の王を倒す！【岸堂天真/ホロスターズ】,2025-06-05T02:35:40Z,1982,297,2
57bCU-zvOlQ,【ELDEN RING NIGHTREIGN】SOLO ナイトレイン、面白すぎるよ！！！(´;ω;｀)【岸堂天真/ホロスターズ】,2025-06-03T10:25:23Z,2068,300,2
xU0w04pxMQg,【ELDEN RING NIGHTREIGN】ナイトレイン結論PT構成　鉄の目３人　で全ボスなぎ倒す。【岸堂天真/ホロスターズ】,2025-06-02T17:34:21Z,2839,392,2
kElDbut88CY,【ELDEN RING NIGHTREIGN】恐ろしい夜を3日間耐え抜いて強くなる。with みやび うゆう【岸堂天真/ホロスターズ】,2025-06-01T19:51:45Z,3318,435,4
RYvDS47ME2M,【ネタバレあり】最終回！世界を救う大将軍カザン！　【岸堂天真/ホロスターズ】,2025-05-30T05:14:25Z,1535,276,5
B9kzia89El0,【Dinkum】ホロスタで楽しくスローライフ！ Part4【岸堂天真/ホロスターズ】,2025-05-29T17:22:48Z,3718,345,3
iyqCjYaPO64,【Dinkum】ホロスタで楽しくスローライフ！ Part3【岸堂天真/ホロスターズ】,2025-05-26T18:12:52Z,3334,334,2
jkysj00V_1k,【花岸れいでぃお】第78回！あなたの好きなマンガアニメ教えろください！！【岸堂天真/花咲みやび/ホロスターズ】,2025-05-25T22:36:14Z,2145,377,7
RvwI7pm5Jow,【ネタバレあり】限界を超えたからだになったカザン大将軍！　【岸堂天真/ホロスターズ】,2025-05-25T02:38:38Z,1254,245,3
oZCPHXHuQdQ,【ネタバレあり】強ボス、皇女イリーナをしばく朝！　【岸堂天真/ホロスターズ】,2025-05-24T06:10:22Z,2658,400,3
EO0IRlKfWsU,【Dinkum】ホロスタで楽しくスローライフ！ Part2【岸堂天真/ホロスターズ】,2025-05-22T17:39:27Z,3669,366,2
dH8L46Muda4,【Dinkum】ホロスタで楽しくスローライフだ！【岸堂天真/ホロスターズ】,2025-05-21T12:37:08Z,3343,367,3
p7c8g_uxQU4,【R.E.P.O.】ホロスタで楽しく宇宙お宝ハンティング！【岸堂天真/ホロスターズ】,2025-05-20T12:37:27Z,3176,423,2
yWiEJUYxiXM,【ネタバレあり】クリアが見えてきたKhazan!!　【岸堂天真/ホロスターズ】,2025-05-19T07:39:28Z,1500,270,3
pr6_GJrxMMU,【ネタバレあり】もはやモブがモブではなくなってきた後半戦を進める！ 【岸堂天真/ホロスターズ】,2025-05-17T05:35:14Z,1412,261,2
f0g6YFijEhM,【ネタバレあり】戦闘中の脳汁が、止まらないよ！！Khazan 【岸堂天真/ホロスターズ】,2025-05-16T17:05:23Z,1207,248,2
j5t8daDjS1s,【ネタバレあり】大将軍カザンの朝は今日もすごく早い！ Khazan【岸堂天真/ホロスターズ】,2025-05-14T22:08:07Z,1320,266,4
Ih64DsYh-JE,【ネタバレあり】大将軍カザンの朝は今日も早い！ Khazan【岸堂天真/ホロスターズ】,2025-05-14T04:07:48Z,2075,343,4
ihfs4L8ZvVM,【ネタバレあり】正直面白すぎて毎日早起きしてやりたくなる KHAZAN【岸堂天真/ホロスターズ】,2025-05-13T03:47:21Z,1554,274,3
H9K9L3Gzn7o,【ネタバレあり】自分から攻撃するのはもうやめだ。ガン待ちさせてもらうぜ。【岸堂天真/ホロスターズ】,2025-05-12T02:32:22Z,2275,356,3
J0447q3wKZs,【ネタバレあり】最高に難しくて楽しい死にゲー、Khazan【岸堂天真/ホロスターズ】,2025-05-11T08:31:13Z,1410,280,2
2RxGlf9Uu8o,【ネタバレあり】至高のバーサーカー Khazanに俺は成る！【岸堂天真/ホロスターズ】,2025-05-09T11:32:50Z,1523,257,3
dEEBMUu3NO4,【Dead by Daylight】アプデで弱くなった金木くんを使ってみる【岸堂天真/ホロスターズ】,2025-05-06T08:34:22Z,1691,274,2
jjqp79b19qg,【SATISFACTORY】配信外でもやってる唯一無二の天真工場【岸堂天真/ホロスターズ】,2025-05-05T05:26:51Z,1376,237,3
RawfI9wV-ZE,【POPPY PLAY TIME 4 】この青丸顔くん、いい奴なのか・・？【岸堂天真/ホロスターズ】,2025-05-04T06:31:35Z,1627,315,3
