id,title,publishedAt,viewCount,likeCount,commentCount
-vliKoASo78,【#3DKOBORNDAY2025 AFTER TALK】MIDNIGHT AURORA OTSUKAERU!!!!! Reading all your support here!!!,2025-12-12T17:54:08Z,48789,5419,37
INp3ZFdhEYU,"【KOBO FANCAM】どきどきキュン!で大暴走♡ / いずれ菖蒲か杜若 Cover by Kobo, Fubuki, Fuwawa, Mococo, Miko",2025-12-12T15:36:41Z,16796,2763,115
ERXrmzb8aPE,"【KOBO FANCAM】＝LOVE（イコールラブ）- とくべチュ、して？  Cover by Kobo, Risu, Iofi, Ollie, Reine",2025-12-12T15:20:06Z,19703,3531,115
jNCGOv8Zz1A,【3D Live】Let My Voice Enchant You Tonight! #3DKobornDay2025,2025-12-12T13:19:40Z,204896,20014,788
ZsBkhZNPs68,【#3DKOBORNDAY2025 COUNTDOWN】Tomorrow is my birthday..  🥺👉👈 ⁠#3dKobornday2025,2025-12-11T18:11:07Z,54420,7134,130
iWrSE2RSyS8,"【Pacify】Game mudah with  ⁨@FluffiieeMY , @lilianavampaiaofficial , @DaisyIgnaciaYCh",2025-12-06T17:59:42Z,90688,7630,115
05fSu7cxYZI,【Core Keeper】Corekeeper Survive-A-Thon x Jingle Jam 2025 with Risu & Iofi!! #JingleJam #Makeawish,2025-12-04T12:23:58Z,30468,3617,39
AYdoql6aZLg,【PUBG Mobile】ALTER EGO GO GO GO!!! PUBG Mobile Global Championship Watch Party!!!! # PMGC2025,2025-11-30T14:06:03Z,57116,4352,31
CL9QoMTNP7E,【VALORANT】I’m going to Diamond,2025-11-23T19:30:39Z,75109,5744,70
MyEV3Fx1zP4,【SILENT HILL f】AUUUUUUUUUU,2025-11-22T16:51:31Z,41174,4929,35
eNMOXiZf5bQ,【POST TALK】HOLO ID CONCERT AFTER TALK!!! We dance and talk talk ~,2025-11-21T16:35:22Z,59817,5997,106
itL6wDLDcfA,【SILENT HILL f】Rinko  gonna get what she deserved,2025-11-04T16:26:34Z,58100,5470,42
pKoCJkSZkiU,【SILENT HILL f】I won't take the pills.,2025-11-03T17:04:50Z,102563,8902,65
KlKZUddkPpE,DAREEEEEEEEEEEEEEEEEEEEEE?!!!!!!!!  #shorts  #てかDARE  #鷹嶺ルイ,2025-10-10T09:12:28Z,235307,15885,230
dsK-sxfz3ww,Orpheus by Mori Calliope #shorts #moricalliope #kobokanaeru,2025-10-09T07:06:57Z,204284,19573,221
LB-lxnmpBnM,【New Facial System】Kobo ???? Looks more...............,2025-10-06T15:51:43Z,144368,12767,337
hDALUZZrE5U,Propose - Kobo Kanaeru (Cover),2025-10-01T13:00:06Z,1500971,59978,1995
tiHb4YCsAV4,【Whisper of The House】this game is fun,2025-09-26T12:31:33Z,48053,4920,45
F-7vG3TpntE,【Whisper of The House】finally we play some chill gameeeeeeeeee,2025-09-24T17:35:26Z,70010,6977,44
qQ7b7KcNkq4,【Hollow Knight: Silksong】coba dulu... kalo cupu .............,2025-09-15T16:27:00Z,73168,6272,76
qExwvwykzsU,【Fond Memories After Talk】Answering your questions and breakdown !!!,2025-09-13T16:59:09Z,54901,5501,97
F1PRA4IBP8c,【MV】Fond Memories - Kobo Kanaeru,2025-09-12T14:00:07Z,930867,49325,4927
NAsU6Ya41iM,Tomorrow...🥀 #shorts #KoboFondMemories #kobo_kanaeru,2025-09-12T05:00:33Z,70586,4592,95
m2NrsCSFzso,Selimut yang biasa kau gunakan.... #shorts #KoboFondMemories #kobokanaeru,2025-09-11T05:00:53Z,48102,3356,113
GtgiSqJ3FNU,【The Boba Teashop】Jual boba tea di jam 12 malam 😰,2025-09-10T21:06:08Z,42847,4760,70
DvgadasZ80E,SOON !!!! NEW ORIGINAL SONG!!!!! after 3 years... #shorts #KoboFondMemories,2025-09-10T05:00:14Z,80261,5566,303
N4D38fQkHBk,【Umamusume: Pretty Derby】kuda,2025-09-05T20:04:08Z,64277,6121,52
UI3lZFMgm7U,【Niconico-san】JANGAN PANGGIL NICONICO-SAN JAM 3 PAGI!!,2025-09-05T15:08:10Z,37620,4648,43
RiP8_wLKpps,【Umamusume: Pretty Derby】FIRST TIME PERTAMA KALI !!!! 🐎🐎🐎,2025-09-03T15:33:53Z,91511,8320,103
LvgS938CLOM,【Dread Flats】MENJELAJAHI APARTEMEN TERKUTUK TAHUN 90-AN!!  😨😱,2025-09-02T15:48:05Z,91130,9336,97
H1peSEH_K0U,【#holoID_IGNiTE】Offcollab Karaoke dan...PENGUMUMAN DAHSYAT BANGET?!?! HARUS NONTON!,2025-08-17T13:23:02Z,107182,11151,194
ch5BSApkhFg,DANCING AIZOME SUMMERTIME!! WITH RISU✨ UWUWUWU 💃🕺#holonatsu #holonatsuParadise #ホロナツ #shorts #踊ってみた,2025-07-29T11:01:04Z,103730,10281,194
eHOYHkMAH98,【FREE TALK + Dono Reading】Gonna be quick cuz I NEED SLEEP AAAAAAAAAAAA,2025-07-28T13:30:02Z,107467,9104,120
5lhUV3dhzfY,【 #holonatsuParadise 】MY FIRST TIME PARTY IN VRCHAT!!! ☀️🏖️,2025-07-26T13:41:33Z,149750,11145,164
qv4UY38RVRI,【Karaoke】Nyanyi bareng yuk !! #ホロナツ歌枠リレー,2025-07-25T23:23:44Z,175752,18272,563
04uvNPHGPvU,"Pegang tangan Kobo, dong?! #holonatsuParadise #ホロナツpiece #shorts",2025-07-15T03:00:00Z,84140,8385,405
D8FNWd400PY,dancing with mama lui to her new song 🩵🎶✨ #ZIGZAGdance #shorts #ホロライブ #hololive #鷹嶺ルイ #dance,2025-06-19T12:30:22Z,339915,26444,228
4zpxELhj0nA,chu chu chu chu~ #shorts #きゅーぴっどダンス #きゅーぴっど,2025-05-24T14:00:06Z,590917,44753,672
k427I_QjCqQ,【Honor of Kings】KOLABORASI B.DUCK KATANYA LUCU LUCU! 🦆,2025-05-17T01:50:29Z,119401,6983,427
3IYm1hOX87Q,AKU BISA JELASIN #shorts #kobo #zeta #vtuber,2025-04-23T12:30:08Z,201639,11768,253
Y2qFFbMvQjI,【RUST】Learning how to play!!!!,2025-04-19T15:56:18Z,127363,7940,179
nx6FJNl12JM,MENTALKU SUDAH SIAP #shorts #vtuber #kobokanaeru #kobo,2025-04-18T12:30:55Z,217593,13194,145
X388LvgIqJM,"Kobo si Pawang Hujan, juara mencerahkan hari-harimu~ ancis ☀️ #JuaraKhatulistiwa",2025-04-15T11:00:48Z,109299,6865,92
vxVrLYGDUvQ,"Bang, udah bang",2025-04-15T05:00:54Z,117939,7565,90
dFixf_1aLD4,【Honor of Kings】Review Skin Penghijauan Dunia,2025-04-14T16:18:59Z,61702,4614,61
9452ZpzDgzs,【Gartic Phone】i'm good at drawing,2025-04-14T05:32:43Z,73656,5265,75
