id,title,publishedAt,viewCount,likeCount,commentCount
ZxYhmbZy-dg,私は、私達は - 歌ってみた【虎姫コトカ | にじさんじ EN】,2025-05-28T13:00:06Z,697800,39235,1553
R0IWpvDRm2I,PAIN IS BEAUTY - 歌ってみた【虎姫コトカ | にじさんじ EN】,2025-05-25T11:00:06Z,334169,17574,495
AVkuhPlcNnY,【1周年記念 】シネマ - 歌ってみた 虎姫コトカ×ヴェール ヴァーミリオン×狂蘭メロコ×ヘックス へイワイヤー×ドッピオ ドロップサイト【にじさんじEN】,2023-12-10T02:00:07Z,1870702,70351,1268
XXW2JpqLHfU,唱 - 歌ってみた【虎姫コトカ | にじさんじ EN】,2023-09-18T11:30:08Z,2295889,78533,893
63oO6M8s5VE,トウキョウ・シャンディ・ランデヴ - 英語で歌ってみた【虎姫コトカ | にじさんじ EN】,2023-08-15T00:00:11Z,260124,11177,156
I19lYV85t1A,デーモンロード - 歌ってみた【虎姫コトカ | にじさんじ EN】,2023-07-15T11:00:08Z,492850,20335,298
YNwwKq6vFS0,とても素敵な六月でした - 英語で歌ってみた【虎姫コトカ | にじさんじ EN】,2023-06-30T12:00:06Z,727861,28378,349
WW8Mci3xoMU,アイドル - 歌ってみた【虎姫コトカ | にじさんじ EN】,2023-06-10T03:45:09Z,838199,61645,913
oPiFHgTS6b8,踊 - English Cover【Kotoka Torahime | NIJISANJI EN】,2023-05-07T12:00:08Z,271578,17617,265
HnQO_2QGMd4,HOLD IT DOWN - Kotoka Solo Version【Kotoka Torahime | NIJISANJI EN】,2023-02-11T02:00:06Z,320621,20474,449
Ub9y_-1_9Nc,G4L - English Cover【Kotoka Torahime | NIJISANJI EN】,2022-12-18T02:00:07Z,1835851,67472,1144
