id,title,publishedAt,viewCount,likeCount,commentCount
azZZ2TWcSPE,【アニメ】同担拒否ってめんどくさいよね…【ラプラス・ダークネス/ホロライブ】#shorts #アニメ #anime,2025-12-13T12:00:45Z,70167,6494,262
ZiIpo63QAiY,【Twitter】オタクのマニアックな性癖募集したらエグイの来た…… #vtuber #shorts #animation 【ラプラス・ダークネス/ホロライブ】,2025-12-10T07:30:06Z,769933,44740,1414
bSosw3_lwq0,【切り抜き禁止】お気持ち表明雑談【話すことは決まってない】,2025-12-03T04:46:14Z,771729,36816,1055
97h-q1Nq4VY,【Twitter】オタクからのキモすぎるリプで震えて眠るラプ様 #shorts #アニメ #Vtuber 【ラプラス・ダークネス/ホロライブ】,2025-12-01T08:57:39Z,1664230,68609,1098
CIb2IcNl6C0,【弟登場⁉️】2人で歌ってみた🎤⟡ チューリングラブ/ナナヲアカリ×Sou 【ラプラス・ダークネス/ホロライブ】#歌ってみた #vtuber #animation #shorts,2025-11-27T08:55:27Z,268528,20676,417
KC0-vIj7piY,【念願】遂に決まる！ホロメンASMR品評会！#ラプ様4周年記念 【ラプラス・ダークネス/ホロライブ】,2025-11-26T11:21:03Z,278085,20371,331
OHGsRX2uoic,【演技】本気でホラー映画予告をholoXで作ってみたらこうなった…… #ssholox #shorts 【ラプラス・ダークネス/ホロライブ】,2025-11-25T10:16:49Z,126741,8705,248
OwQkyxINFpg,ねえ…どきりとしちゃうでしょ？♡   『スキスキ絶頂症 / #歌ってみた🎤 』 #shorts #cover #animation,2025-11-24T11:03:34Z,111163,9679,184
3_kUF4W5kzs,【 #MetaQuest 】Meta Quest大決戦に向けて猛特訓！やるぞおお！！！【ラプラス・ダークネス/ホロライブ】,2025-11-21T10:24:56Z,52228,4230,41
TFXtKzBkWkw,2年振りに同じ曲を歌ってみた🎤⟡.· #きゅうくらりん #歌ってみた #shorts #animation,2025-11-20T11:06:02Z,272004,23535,431
4Em6BxxHGIo,【ラプルイ】親子で協力してガラスを運ぶゲームする！いけんの！？一時間で！？【ラプラス・ダークネス/鷹嶺ルイ/ホロライブ】,2025-11-13T15:09:59Z,96263,6865,54
aaq00NETv_o,【#V最協A2】遂に本番！#YYYWIN 🔥 【ラプラス・ダークネス/ホロライブ】,2025-11-09T12:05:33Z,119595,5353,57
yILXUR6gmwE,ちび3Dラプ様の生態観察 #shorts  #animation,2025-11-05T09:01:38Z,136382,12270,254
