id,title,publishedAt,viewCount,likeCount,commentCount
hZk5xi6gVAU,GATAU GABUT HEHE【VRCHAT】,2025-12-04T07:33:03Z,492,80,3
TCTAHznilhU,LEO MAIN ZZZ?! 【Zenless Zone Zero V2.4】,2025-11-26T12:08:57Z,615,132,1
tQJz9vhaLHQ,Ada Leo di ZZZ?! #vtuber #shorts #zenlesszonezero #zzz #dialyn #banyue,2025-11-25T12:45:09Z,2859,711,13
9Kt2QM03H-0,TERIAK MATI TAPI KLO GA TERIAK MIC AKU YG MATI【DON'T SCREAM】,2025-10-15T01:17:58Z,965,189,3
2GCQGLmkYTM,【APEX】Japanese or Javanese?,2025-10-06T06:40:19Z,925,146,2
lj9MevWyR3c,OFFCOLLAB MUKBANG KECIL【FREETALK】,2025-08-12T01:41:14Z,4239,602,4
gS8mIgm3HpU,【PEAK】PARA LELAKI TANGGUH MENUJU PUNCAK☝️,2025-06-30T15:34:02Z,8679,1170,7
_90B8x1DbA0,Mendadak live Mendadak jadi food vlogger #NoirRoleplay,2025-06-23T03:51:48Z,4025,643,2
r2YSjkWorQw,heavenly demon cult #NoirRoleplay,2025-06-20T16:19:43Z,5769,946,2
D2LZmMd1iUM,LEO WLEO IZ BEK #NoirRoleplay,2025-06-16T14:38:36Z,12656,2222,2
3XTrpjaTSrQ,HANDCAM KICKBOXING PAKET DARI REMEME KE JAPAN【FREETALK】,2025-06-03T01:23:22Z,4467,808,4
UYeLNnd29DI,NGOBROL GANTENG【FREE TALK】,2025-05-02T03:25:04Z,2097,456,5
xZ1-zjo7tnw,NGOBROL FREESTYLE【FREE TALK】,2025-02-19T13:25:33Z,55082,6201,13
zGvVPxQtIHY,【APEX】with @ureinaz full bhs jp gapake subtitle,2025-01-15T14:48:31Z,2732,440,3
ke6sOMhTd9k,【RUST】With da boys,2025-01-10T17:45:57Z,1787,316,2
BOlrht936Ow,Titip glen yach gusy【FREE TALK】,2024-12-28T13:35:15Z,19794,3466,11
eg33fAE5MMo,PUSH RANK KAH KITA GUSY【APEX】,2024-12-21T08:53:44Z,1679,327,1
LEFJD5wKb1w,【RUST】Perang kah kita gusy #anomalirust,2024-12-13T17:30:26Z,1640,260,2
1zUpF3OMh-c,【RUST】ngapain kitah #anomalirust,2024-12-09T21:53:08Z,3402,561,5
gRcBevIF_dY,【RUST】Berpetualang kitah #anomalirust,2024-12-01T01:03:44Z,1655,368,0
6nrhpi-DbiI,Menjadi babang lipai memburu monstah【Monster Hunter World】,2024-11-18T02:52:49Z,1206,298,2
YcI4JJasiV0,【ASMR】Sini leo bersihin kupingnya,2024-11-08T06:44:04Z,2311,331,2
EcSqBfM6TWI,Trial Game Baru yang Lagi Hype【Monster Hunter Wild / Leo Axenos】,2024-11-04T04:23:11Z,1617,361,3
4ZP0EvTNe54,PENGUMUMAN PENTING (Emot Sedih)【FREE TALK】,2024-10-29T13:03:31Z,7325,1546,21
YjzznN9wXfI,Stream terakhir sebelum pengumuman😔【APEX】,2024-10-29T08:53:40Z,3472,719,15
wDQ9HPJyAbU,"Pake headset, sini leo asmr sumpelin telinganya",2024-10-01T05:10:21Z,9793,1682,69
q_d5QsBlfcY,PENGUMUMAN【FREE TALK】,2024-07-15T19:40:50Z,15285,2190,30
93lyNn7ccxw,MENDARAT DI KOTA BARU【GTA 5 Roleplay】#kalaroleplay,2024-07-13T19:16:58Z,32452,3897,14
vgzoebCajIs,LEO KEMBALI😊【FREE TALK】,2024-07-10T15:38:22Z,10307,2150,7
U39HaRGAxgg,Hai Apa Kabar #vtuber #shorts,2024-07-07T12:00:27Z,16679,3302,172
VQysPCNrzOw,TURUN KE JALAN【GTA 5 Roleplay】#tokyoverseroleplay,2024-06-23T19:38:20Z,29763,2532,18
FKLRMLi7EEU,MAUNG INI MENCOBA UNTUK MENYAMAR JADI RUSA!!【OH DEER】,2024-06-22T13:40:56Z,10069,1461,4
RBDZFZNAcZE,BANG AKU MAU RUMAH【GTA 5 Roleplay】#tokyoverseroleplay,2024-06-20T17:28:18Z,12092,1553,3
kc1dgbm3Hxg,MAIN BARENG SAMA KAKAK KAKAK VTUBER😊【PARTY ANIMALS】,2024-06-14T14:49:12Z,11969,2283,6
4LB00CY3TGA,KOTA INI TERLALU TENANG...【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-06-13T19:20:10Z,23997,2376,23
LA72JpTze_U,GAMAU MEDIASHARE😭【Leo Axenos / FREE TALK】,2024-06-09T16:09:05Z,6033,1040,6
vP7t4mqVfqo,Pembersihan kota【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-06-07T17:55:27Z,15355,1513,7
HxI6a6GZbd0,Tersesat bersama ponakan dan kakak pertama【Leo Axenos / INSIDE THE BACKROOM】,2024-06-06T15:44:10Z,7877,953,3
849jBo9FbNQ,DI KUTUK? SATU KOTA KENA IMBASNYA??【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-05-29T21:58:02Z,32116,2429,19
PhtEvaJU6KU,MINING MINING SENDIRI~ UHUY~【Leo Axenos / Minecraft】#anomalismp,2024-05-28T16:25:55Z,11779,1326,6
_7QBbCYJsZg,MEMBERSHIP OPEN!!メンバーシップオーペン！！【Leo Axenos / MEMBERSHIP OPEN】,2024-05-25T13:57:40Z,2777,486,4
_wEAL6U6AIM,GTA HORROR? RITUAL PAKE TUMBAL?? FRAKSI BARU???【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-05-23T19:22:49Z,36375,2953,45
d7tegY2EavE,PERTAMA KALI MAEN AYO MABAR!!【Leo Axenos / STUMBLE GUYS】,2024-05-23T02:24:55Z,1990,304,2
kgDMvZd4i5k,P WARUNK【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-05-21T22:09:48Z,19802,1734,16
LRSevqgK7HY,MACAN GENDUT 3D?!!【Leo Axenos / VRCHAT】,2024-05-20T15:40:03Z,3289,585,2
jIopKavYJlA,sini sini bahas skejul sambil ngomong gratis【Leo Axenos / FREE TALK】,2024-05-19T22:35:08Z,2497,478,3
Mag7QOQL7wM,GABUT MAU KE WARUNG AJA【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-05-15T20:33:41Z,22903,1923,8
bU2IhWiIWcw,LEO JADI PREMAN TOKYO?!!【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-05-14T19:47:03Z,36043,3086,29
zakLs3hiVFs,LEO JADI BAD BOY?【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-05-12T15:51:54Z,15779,1496,8
M_gvQPQjPVU,ohawleooo pagi pagi pritok【Leo Axenos / FREE TALK】,2024-05-09T16:44:15Z,2014,392,5
lBTltozO_a4,AKU MAEN SAMBIL TUTUP MATA SAMA TELINGA YA😊【Leo Axenos / THE CLASSROOMS】,2024-05-03T05:07:17Z,3091,397,11
YwFSgmRsG5A,MONDAR MANDIR KOTA【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-04-30T17:17:05Z,15610,1445,9
qFIm7tfZyks,nyoba suara levi aduuhh maap beliau agak kasar😭,2024-04-28T05:58:51Z,15026,1870,19
d6CSGQfPHTk,sini atuh mampir dulu~【Leo Axenos / FREE TALK】,2024-04-28T03:36:37Z,2732,474,12
2hfErjJ03xo,ore no boogie woogie ha.. mou shindeiru.. #vtuber #vtuberdebut #jjk,2024-04-27T08:08:17Z,12745,2256,21
wFXq-AZ_HPo,GAME APA INI TULUUUNNNGGG😭【Leo Axenos / UNSPOKEN】,2024-04-26T04:35:38Z,2905,420,10
8jxAZrtPm48,NGAJARIN KEPONAKAN MAEN APEX【Leo Axenos / APEX】,2024-04-25T02:14:03Z,3394,437,1
BynS-LqAtSw,TOLONG DIBANTU ATUH😭【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-04-24T20:46:05Z,23767,1990,32
AZUPdiYP0mU,Cowok deep voice #shorts #vtuber,2024-04-23T13:45:00Z,107973,17561,100
ZnOTAxNx3LI,VRCHAT? GAME APA INI??【Leo Axenos / VRCHAT】,2024-04-23T06:19:47Z,3186,349,9
H6L7tCLqq2M,AKU DIMANA? AKU SIAPA?【Leo Axenos / GTA 5 Roleplay】#tokyoverseroleplay,2024-04-22T21:18:11Z,24061,2433,26
VGYRFmUDQ8o,Ngobrol dikit yuk~【Leo Axenos / AFTER DEBUT】,2024-04-20T21:33:08Z,3282,391,3
1suNObUPV1M,Leo Axenos Ch.『 Re:Memories 』 Live Stream,2024-04-20T05:11:43Z,0,0,0
u3NZ9Fbec2U,Tolong Aku Bang..【Leo Axenos / DEBUT STREAM】,2024-04-19T18:24:55Z,14103,1565,53
dXUAbN28pwY,vtuber debut teaser leo axenos #shorts,2024-04-13T13:00:36Z,7444,1089,16
2TU_rFCMgCg,I'm a Beastman 【Debut Teaser】,2024-04-12T14:00:03Z,49317,543,24
