id,title,publishedAt,viewCount,likeCount,commentCount
7LD1mSYQV6g,【???】sesuai janjiku ke kamu ...【Lily Ifeta】,2025-12-11T16:51:48Z,883,122,4
hYWuKR035YY,【???】aku baru sembuh! (˶˃ ᵕ ˂˶)【Lily Ifeta】,2025-12-10T04:22:22Z,734,135,3
TxZJ8NYpjOE,【#LypSing】si bogel mo nyanyi【Lily Ifeta】,2025-12-02T16:20:32Z,736,128,0
2ydAagHdXK4,【REPO】Bertiga kita sanggup! Jangan diremehin!【Lily Ifeta ft. Hali & Rupi】,2025-11-28T16:37:36Z,458,84,1
zjx624ZJF6Y,【#ngobroLy】POV punya pacar sableng (˶˃ ᵕ ˂˶)【Lily Ifeta】,2025-11-28T03:55:43Z,834,132,4
VVkW4T1XkUk,"【#LypSing】Karaoke bareng kamu, hayuk request~【Lily Ifeta】",2025-11-25T17:40:56Z,1233,200,2
-nl-p_XIWPA,"【#ngobroLy】Good morning, baby (˶˃ ᵕ ˂˶)【Lily Ifeta】",2025-11-22T14:21:27Z,501,95,3
AQAJaRcnVHI,【#LypSing】mengkulik playlist Jepun!~【Lily Ifeta】,2025-11-21T17:11:09Z,740,106,1
Pmm3mS8lNnY,"【#LypSing】Barat only! bukan timur ke barat, ya (  •̀⤙•́  )【Lily Ifeta】",2025-11-20T16:45:46Z,647,117,1
3jqqLLKv-A4,【#ngobroLy】Review Cover Song Lily Jaman Bahala【Lily Ifeta】,2025-11-15T04:02:55Z,688,124,1
XvpBlgvgQa4,【MINECRAFT】Membantai Warden!【Lily Ifeta】,2025-11-13T15:54:45Z,522,94,1
fQ2TsJ1EhLA,【#LypSing】huhu【Lily Ifeta】,2025-11-12T17:02:31Z,1133,179,3
7ihacl8cRHg,【GUERILLA】Ngapain aja boyeeh!【Lily Ifeta】,2025-11-07T16:37:49Z,860,125,1
Gs9lxag7zIw,【#LypSing】Izin bernyanyi sebentar【Lily Ifeta】,2025-11-04T16:18:13Z,712,125,1
a7zCd8sUetI,【#ngobroLy】Obrolan malam di tongkrongan【Lily Ifeta】,2025-11-02T03:41:13Z,426,71,0
6UteVI4unzA,【COVER】TOUCH - Lily Ifeta ft. Chrysaora Hali,2025-11-01T12:30:06Z,1975,230,67
lXlOUHu6NMI,【MINECRAFT】Mau cari diamond ah~【Lily Ifeta】,2025-10-30T16:20:47Z,509,73,2
dcKMsZGlhuM,"【HANDCAM STREAM】Rakit melody, tapi lebih besar dikit₍^. .^₎⟆【Lily Ifeta】",2025-10-30T06:00:54Z,952,151,1
kKjTnp8X5RM,【#LypSing】Selasa malam cocoknya untuk apa? 𖹭【Lily Ifeta】,2025-10-28T16:37:53Z,712,126,1
RncIvtusceQ,✨【01 / 11 / 2025】✨,2025-10-27T05:15:01Z,248,41,12
z3LfyT8pp6w,【MINECRAFT】Pembukaan Server MC Lily【Lily Ifeta】,2025-10-26T03:31:54Z,606,86,1
twXDuVmMpJg,【MINECRAFT】Sambil ngobrol sebentar soal server Lily ya【Lily Ifeta】,2025-10-23T16:22:11Z,539,77,1
6gJLKrX6Q-Y,【VALORANT】2 jam aja ya mainnya hehehe【Lily Ifeta】,2025-10-23T04:23:51Z,356,71,1
DZEWCqIJVHY,【#LypSing】Sebuah nyanyian di hari Selasa𖹭【Lily Ifeta】,2025-10-21T16:44:57Z,897,138,2
wM5xh6kfg5A,【HANDCAM STREAM】Merakit blocks part kesekian! Cinnamon!!【Lily Ifeta】,2025-10-18T20:05:56Z,768,115,0
zzkzlLT1ayw,【Untitled Goose Game】Mabar sama oshi aaaa~~【Lily Ifeta ft @ChrysaoraHali 】,2025-10-17T16:32:32Z,479,89,1
o54yYgf6y1c,【#LypSing】Menjadi Lullaby buat kamu𖹭【Lily Ifeta】,2025-10-16T16:26:00Z,641,121,1
g-U43yJ-y_I,【HANDCAM STREAM】Merakit Melody sambil ngobrol santai hehehe【Lily Ifeta】,2025-10-12T04:43:21Z,767,117,1
Me9AKqLFHXk,VTuber dongo tapi jumawa Ez Ez #vtuber #shorts,2025-10-10T12:00:43Z,2437,288,8
s7pLJDp3zw0,【#LypSing】It's me taimu! Yuk aku temenin kamu malam ini 𖹭【Lily Ifeta】,2025-10-08T16:15:45Z,822,120,4
AlcPMzsI27o,"【PICO PARK】Ujian kerja sama antar teman【Lily Ifeta ft XiaLen, Matsui Julian & Thalia Symphonia】",2025-10-05T03:07:07Z,341,61,1
XnBPF6l8HSM,【#LypSing】KARAOKE DAY 02 𖹭【Lily Ifeta】,2025-10-03T17:12:08Z,991,143,2
GcN7pzQ_O3g,Definisi dikasih cobaan malah dicobain #Vtuber #shorts,2025-09-30T13:01:50Z,2535,226,9
ERn9ojQR6Cc,【#LypSing】KARAOKE DAY 01 𖹭【Lily Ifeta】,2025-09-29T17:05:25Z,1241,193,3
ff6N0cQHX5w,【VALORANT】Trio tuturutut【Lily Ifeta ft Ahomika & Chelly McBunny 】,2025-09-27T16:28:48Z,542,84,1
ogPXHdRxlPs,"【#LypSing】Sing along with me, Hun 𖹭【Lily Ifeta】",2025-09-25T17:03:55Z,882,117,2
w91pPDYMj-8,【#ngobroLy】Janji bakalan jadi teman curhatmu【Lily Ifeta】,2025-09-25T04:27:24Z,509,94,1
cw46W8YATP4,【HANDCAM STREAM】Merakit Bricks lagi!! Cihuyyy!【Lily Ifeta】,2025-09-20T05:22:14Z,943,142,1
4fqgkyZe9iA,"【FEARS TO FATHOM:IRONBARK LOOKOUT】Kalem, malaikat pemberani disini【Lily Ifeta】",2025-09-18T16:31:22Z,536,86,1
D674qKOnIkI,【STARDEW VALLEY】Bertani membangun dinasti!【Lily Ifeta ft Ahomika & Chelly McBunny 】,2025-09-17T16:48:44Z,566,108,1
a6T0-IezkLM,Fond Memories-Kobo Kanaeru (DUET with Rajasa/itsmerajasa) #shorts #FondMemories #KoboKanaeru #vtuber,2025-09-16T17:45:01Z,6906,631,39
9kXnnob4bUg,【#LypSing】Janji jadi lullaby buat kamu【Lily Ifeta】,2025-09-15T17:09:40Z,971,141,2
BM50oxXRgjI,【LILY BIRTHDAY #1】Today is my special day! Let's call my besties!【Lily Ifeta】,2025-09-12T09:11:20Z,1934,298,5
7pAOt0UPeR0,【LILY BIRTHDAY #3】Mari buka hadiah dan telpon Cancimen!!【Lily Ifeta】,2025-09-12T05:33:34Z,746,122,3
