id,title,publishedAt,viewCount,likeCount,commentCount
r1_zpRlYkYU,好きすぎて滅！ 踊ってみた #MILK,2025-12-13T10:01:23Z,159364,14406,216
75lb4KYzqew,【Pokémon LEGENDS Z-A】DLC「M次元ラッシュ」がやってきた！異次元ミアレとは一体…！？  #01【にじさんじ/リゼ・ヘルエスタ】,2025-12-12T13:44:15Z,91755,2229,21
2eQgak0RZzk,あんまり前が見えてないカリスマ #SnowMan #カリスマックス#カリスマックスチャレンジ,2025-12-11T11:00:11Z,377123,25706,297
xMTOI62ws2I,【DON'T SCREAM TOGETHER】絶対に誰も叫んではいけないホラゲ【にじさんじ/リゼ・ヘルエスタ視点/アンジュ・カトリーナ/戌亥とこ】,2025-12-10T15:13:23Z,105273,3763,18
oqcYzbwuHKM,メガスターミーと初遭遇するリゼ・ヘルエスタ,2025-12-10T09:15:38Z,278604,9693,111
W9TvwW8dHKY,【桃太郎電鉄2】新作桃鉄！極まった奴らによる仁義なき不動産抗争【にじさんじ/リゼ・ヘルエスタ/加賀美ハヤト/早瀬走/ニュイ・ソシエール】,2025-12-09T15:25:50Z,286890,8730,95
B1aJvRHmCbc,#にぎにじダンス リゼ・ヘルエスタが踊ってみた【にぎにぎにじたうん！】#にじさんじ #shorts,2025-12-09T09:00:18Z,466172,34384,704
SimioIuHLms,【切り抜き鑑賞会】視聴者の皆さんと一緒に自分の切り抜きを見る配信 2025年版【にじさんじ/リゼ・ヘルエスタ】,2025-12-08T14:31:28Z,277491,7927,76
SFSyhkJpBkY,【#にじホロエアライダー】にじホロチームに分かれてフルパシティトライアル！！ 【にじさんじ/リゼ・ヘルエスタ】,2025-12-07T13:40:23Z,82175,3375,19
Rp0lh6Cc54E,【ネタバレが激しすぎるＲＰＧ２―親友の真の姿は大魔王―】いったい誰が大魔王なんだ…… #03 【にじさんじ/リゼ・ヘルエスタ】,2025-12-04T16:01:35Z,151470,3922,85
ya5zSxV2UB4,【#京都利休園】ようこそ、ヘルエスタ王室のアフタヌーンティーへ【にじさんじ/リゼ・ヘルエスタ】,2025-12-04T09:10:26Z,0,366,0
bs01o9_caTc,【ネタバレが激しすぎるＲＰＧ２―親友の真の姿は大魔王―】いったい誰が主人公なんだ…… #02 【にじさんじ/リゼ・ヘルエスタ】,2025-12-03T16:07:21Z,184321,4092,37
XyxCcBSxIQA,【ネタバレが激しすぎるＲＰＧ２―親友の真の姿は大魔王―】いったい誰がラスボスなんだ…… #01【にじさんじ/リゼ・ヘルエスタ】,2025-12-02T16:37:25Z,242764,5682,56
Rzw8lDAilMY,【カービィのエアライダー】新作エアライド！ラブリー・シティトライアル！！【にじさんじ/リゼ・ヘルエスタ/アンジュ・カトリーナ/天開司/歌衣メイカ】,2025-11-25T14:29:06Z,120185,2937,16
qIXl45sU0wk,【カービィのエアライダー】新作エアライド！ロードトリップで真エンドを目指す！！【にじさんじ/リゼ・ヘルエスタ】,2025-11-24T08:33:24Z,142923,3047,29
2-cgMwj5ujw,【カービィのエアライダー】新作エアライド！ロードトリップで終着点を目指せ！！【にじさんじ/リゼ・ヘルエスタ】,2025-11-23T13:32:57Z,114586,2953,15
RTTttk3jt_8,【カービィのエアライダー】新作エアライドがついに発売！安全運転でレッツゴー！！【にじさんじ/リゼ・ヘルエスタ】,2025-11-20T13:28:47Z,118857,3024,15
3O0P6JcUpCQ,【Pokémon LEGENDS Z-A】ポケモン最新作！XYのあの伝説のポケモンたちが現れる……！？ #12【にじさんじ/リゼ・ヘルエスタ】,2025-11-19T12:58:41Z,95801,2477,23
9TKgxxPrUbA,【Pokémon LEGENDS Z-A】ポケモン最新作！ミアレシティの平和と秩序は私が守る！！#11(番外編)【にじさんじ/リゼ・ヘルエスタ】,2025-11-16T10:09:44Z,171019,3648,25
ZoNqLBV92n8,【カービィのエアライダー】おためしライドいってきます！免許を取って街にレッツゴー！！【にじさんじ/リゼ・ヘルエスタ】,2025-11-15T12:54:40Z,109202,3147,21
aAZqw0IqZf4,【疑惑】ヘルエスタ王国は静岡県なのか？,2025-11-12T08:00:00Z,779698,28430,420
d0ZcTy9eHq4,【ポケポケ】新パック「メガライジング」開封！みんな大好きメガシンカだ！！【にじさんじ/リゼ・ヘルエスタ】,2025-11-10T13:04:45Z,78003,2482,19
uNvZVpRdDMo,【Pokémon LEGENDS Z-A】ポケモン最新作！ランクAトレーナーは最強のメガシンカ使い！ #10【にじさんじ/リゼ・ヘルエスタ】,2025-11-09T14:26:48Z,222509,4335,35
s-UyzXXil8U,【Pokémon LEGENDS Z-A】ポケモン最新作！ランクBトレーナーが頂点を目指す！！ #09【にじさんじ/リゼ・ヘルエスタ】,2025-11-08T13:52:09Z,170972,3707,37
Q92fFq2O-dM,しぐれういと通話中,2025-11-07T15:28:22Z,220653,8925,63
