id,title,publishedAt,viewCount,likeCount,commentCount
29nHRR-42Sg,Ranking Up Siegfried & Fighting You? Maybe.【GRANBLUE FANTASY: VERSUS RISING 】,2025-12-13T06:27:33Z,3863,543,24
a8jg9XpSCzs,"【CODE VEIN】Wait, What Was My Build? Machina X Flayon Dont Car",2025-12-14T09:51:12Z,0,105,12
dciilVGNcBI,【HANDCAM】CODE GEASS: Guren Seiten 8 Elements Modelkit!!!,2025-12-07T07:14:32Z,8918,1084,15
l-QfO0VmKRI,【AMONG US】We Here For The 5th Kureiji Ollie(versary) this is. awsum.,2025-12-04T05:34:44Z,3401,538,9
pSqTCZP0-XM,【DRAWING】Machina X Flayon Outfits in Japan!? w/ Mr @Shiki_Katagami,2025-12-04T03:31:09Z,8029,959,16
YViCLPmbTmQ,"【KIRBY AIR RIDERS】Boys Crave City Trial | Collab w/ Regis Altare, Goldbullet, Machina X Flayon(!?)",2025-12-03T04:06:22Z,3138,579,9
gS-rYVhHyRY,【CHAT】 Mecha Pilot In Japan? Extremely Likely !,2025-11-30T03:50:32Z,6295,864,19
pvOwIhrICIg,【CHAT】 Happy Halloween Chatting B4 Break !,2025-11-01T04:12:45Z,3319,506,13
_scb6zENY5g,【DRAWING】 SHOKUEN | 色塩  - The Creator of Machina X Flayon !!!,2025-10-27T04:52:30Z,4281,614,5
wP0KQgKTevc,【Pokémon LEGENDS Z-A】#2 | RED POKEMON ONLY? (huh),2025-10-24T03:00:02Z,4820,489,4
hFQPydM2HBI,"「Umamusume Pretty Derby」Meisho Doto, Can I Pull You..?",2025-10-23T04:13:34Z,4473,588,10
ENyqZAIxr_k,【Sonic Racing: CrossWorlds】 He's Driving A Car Just To Flex,2025-10-18T02:00:21Z,2669,426,8
vrB1vAtjync,"【Pokémon LEGENDS Z-A】In Your Darkest Hour, A Friend Arrives",2025-10-17T03:41:30Z,4625,599,7
EnHmGDx1hIc,【Blazblue: Central Fiction】 This Game Came Out In 2015 Btw,2025-10-13T01:42:26Z,4038,543,9
vWFztbg99gA,【No Im Not Human】 Stop Insisting That I Am!,2025-10-12T02:06:45Z,5393,695,16
eBoJDW1f0Fk,"【SILENT HILL f】James Meet Hinako, She Also Has I-Frame Dodges",2025-10-11T03:24:27Z,3922,594,11
BpJJncYqP3c,"【DRAWING】 I Know What I Wanna Draw, But Not Yet!",2025-10-09T04:17:49Z,3507,529,14
ep2vXzsp4So,【GUILTY GEAR STRIVE】 Unika!? Bridget?! Let's Play Them Both!!,2025-10-06T02:41:47Z,2839,473,13
hHHTkvvgPjA,"【SILENT HILL f】Higurashi Is Alive And Well, You See",2025-10-04T02:29:25Z,4633,656,11
dN1OgAh4LsY,"【UNDERTALE】Kris Isn't Here, But You Are",2025-10-03T02:23:57Z,3477,559,16
1sLc5NEP8yM,【POKEMON EMERALD】#5 - Plusle & Minun Power Destroys Nuzlockes!!,2025-10-02T01:44:21Z,3184,462,8
QL8u_psJvAA,【MAGE ARENA】| Ruze's Pre-Birthday HOLOSTARS EN Collab | FLAY POV,2025-09-30T03:15:12Z,3900,636,9
4AOg6vaB6fA,【POST EVERGLOW ZATSU】Dancing? Singing? Idol Work? SIGN ME UP,2025-09-29T23:53:15Z,4039,618,14
Pzo5A_bg1gA,#3YearsofTEMPUS Flayon merch showcase. Grab yours today!,2025-09-21T01:00:24Z,17728,1570,33
Y3YfoRhHx0I,「Pokémon Emerald」#4 Mudkip Is Here. I miss Grovyle,2025-09-19T05:37:45Z,3322,507,11
nvKL1yumTS8,"【HOLLOW KNIGHT】 #2 | I Have A Compass, Yet I'm Still Lost?!",2025-09-18T03:10:50Z,4640,578,4
WlHPmXckbFw,CHAT +「Pokémon Emerald」,2025-09-15T02:27:40Z,3108,487,12
hy3f95YZMxc,"【FINAL FANTASY XIV】Ivalice Raids, COME SHOW ME MORE",2025-09-14T01:52:11Z,4295,494,15
-taXoRyveao,【HOLLOW KNIGHT】 Fighting As A Knight To The Bitter End,2025-09-13T01:35:23Z,2786,431,8
DzKu-W9FJo0,Practice run from minilive! Everglow hype! #shorts #machinaxflayon #HSEverglow,2025-09-13T01:00:13Z,11712,1740,31
hIJfpZiEisY,Feel Cover/ After Party Chatting!,2025-09-12T02:04:07Z,3700,557,8
-Bw-kLe5ArY,「LIES OF P OVERTURE」#5 IM CHILLIN BOSS RUSH?【Spoiler Alert】,2025-09-12T00:12:08Z,2181,353,4
vH4SRp9IuaA,【MV】FEEL (Lies of P) / Covered by Machina X Flayon & Gavis Bettel,2025-09-12T00:00:06Z,43676,5238,357
dXWKggb95I4,「LIES OF P OVERTURE」#4 The Finale Approaches Ever So..【Spoiler Alert】,2025-09-11T01:58:20Z,3944,580,10
