id,title,publishedAt,viewCount,likeCount,commentCount
2Mnd_Qmk-AQ,"SAYANG, BANGUN DAN SENAM BARENG YUK.",2025-12-13T16:20:04Z,0,9,0
sZIg3lMMuWs,POV: GABISA BAHASA INDONESIA.,2025-12-12T16:43:25Z,2717,259,5
giRHQt4Jyaw,jangan timpa gw anjer,2025-12-08T16:47:50Z,2321,231,4
6LMSmFfjwpI,Emang iya NNN udah selesai?,2025-12-01T16:27:54Z,2424,254,6
XZETM1O02jw,AKHIRNYA YA KITA MAIN GAME.【ZENLESS ZONE ZERO】,2025-11-30T15:58:55Z,1408,162,2
zoyFt3N-nqc,SENAM DI PAGI HARI DENGAN SUAMIKU TANPA DICANCEL.,2025-11-29T06:34:41Z,3123,279,7
ezi_yc-8y-E,boleh ga sekali aja aku stream jadi manusia normal.,2025-11-27T16:05:36Z,2417,271,4
FqEkX1a2vXM,Marin Goldlock Sales Mode 😋 #vtuber #shorts #zzz #zenlesszonezero #dialyn #banyue,2025-11-25T10:30:17Z,2236,309,40
qPla6DKJ-TQ,BOBO BARENG ORANG SAKIT.,2025-11-24T17:00:44Z,1631,168,3
WeSrNSm3vK8,sewa pacar,2025-11-22T17:21:51Z,2605,255,2
PyUrl3Qta2g,STREAM KHUSUS ORANG DEWASA!! ANAK KECIL DILARANG MASUK!!,2025-11-19T17:38:13Z,4090,342,3
FZAGLr5iejI,MASIH INGET ISTRIMU INI GA? ♡,2025-11-15T17:12:28Z,3468,368,3
j2Rr6hBBDtQ,1 MALAM DENGAN MARSHA ♡ 【NEW???】,2025-10-26T17:08:58Z,3664,350,6
e7cZ1mAULtc,1 LIKE 1 KISS (OVJ) ♡,2025-10-23T15:49:20Z,1860,419,1
mJP4LDqf8_Q,OBROLAN SENIN ORANG DEWASA! FULL SENYUM ♡,2025-10-20T16:44:49Z,3366,347,3
R0bhgSNSCC8,HITUNG MUNDUR SAMPAI 17 TAHUN ♡ 【+ PENGUMUMAN】,2025-10-18T18:36:30Z,2285,244,2
OV1ncTaD1Wg,"AKU MARIN, ISTRI KAMU DARI MASA DEPAN ♡",2025-10-16T15:05:07Z,1912,219,4
DEL6OAg0nYg,MELAKUKAN APA AJA YANG MASTER SURUH ♡,2025-10-12T16:32:57Z,2136,216,2
InnPFa8vcm8,PANGGUNG DISKON MEDIASHARE TERAKHIR 💔【10.10】,2025-10-10T16:02:51Z,1189,131,2
iNHaHUW-tkw,ISTRIMU KEMBALI DI MALAM JUMAT!! ♡,2025-10-09T16:37:40Z,1773,201,3
dY2WNU-HeNs,BOBO BARENG YUK ♡【.......】,2025-09-29T03:11:23Z,1302,177,8
gSI3yGr4I08,PRITOK SAMPE EMYU MENANG ♡【KARAOKE 100%】,2025-09-27T17:14:48Z,2534,272,0
iUyXwKtgo7U,JUMAT FREAKY BERSAMA PEMBELOK.,2025-09-19T17:26:31Z,2410,241,2
R2V_DQi20tA,UDAH BELOK SAMA SIAPA AJA?【+ PENGUMUMAN!】,2025-09-12T17:54:04Z,2562,266,2
nA8EJzPAvyk,STREAM DIAM AJA,2025-09-05T15:46:43Z,2623,307,1
18t7NF1unts,AKU KEMBALI! SIAPA KANGEN?,2025-09-04T16:09:03Z,1766,203,4
yZPhi2qnJ-g,SI IMUT CARI TEMAN.,2025-08-27T17:23:26Z,2237,260,2
SiU8pBHTnQs,KARAOKE rizzpek 24 JAM SEMUA LAGU BISA.,2025-08-23T18:04:23Z,2519,299,3
z268sg3GI18,TUTORIAL PUNYA ANAK.,2025-08-22T16:41:59Z,2230,274,1
v5kj30v_6sI,SIMULASI UPACARA SENIN MALAM.,2025-08-18T17:08:19Z,2045,226,0
sYoI5kQQLZ8,SKYRIM SAMPAI TAMAT! 24 JAM? GAS,2025-08-18T16:46:23Z,0,49,0
nYe7l8wd3U0,KARAOKE RIZZPEK SPESIAL 17 AGUSTUS!,2025-08-17T16:03:05Z,2048,254,0
9IbCEtnEyHM,STREAM MEMBERSHIP GRATIS ♡ NO SKEM.,2025-08-15T17:04:21Z,2711,324,2
hZzO8BABZn0,"MALAM JUMAT IMPIAN KALIAN ♡【GFE, TOXIC, NORMAL】",2025-08-14T16:36:12Z,2041,217,4
6tdoBWFQdg8,POV: KAMU ADALAH ANJINGKU ♡,2025-08-12T16:51:42Z,2208,241,0
mepse6xw104,SIAPA LEBIH TUA?! AKU ATAU KAMU?,2025-08-08T17:13:51Z,2097,222,2
uhQPLmClX5U,MELAYANI PARA MASTER DENGAN LEMBUT.... ♡,2025-08-03T16:09:44Z,2567,249,1
xoAOEkAcmh4,MALAM PERTAMA KITA DI BULAN INI ♡,2025-08-02T16:07:30Z,2041,218,1
BEbAnvu_4kw,SATU MALAM BERSAMA PACARMU...... ♡,2025-08-01T08:38:48Z,0,87,0
cW2gfkSeOb8,ASUH DEDEK SAMPAI BOBOK ♡,2025-07-27T16:20:07Z,2673,282,3
