id,title,publishedAt,viewCount,likeCount,commentCount
squi5P-K9FQ,Matara and Neuro Tries Trader Joe's WEIRDEST Food,2025-12-13T20:00:54Z,3454,474,18
lDp7WWZzr0E,NEW SEASON OF PATH OF EXILE 2 :D and loads of yapping heheh #sponsored,2025-12-13T02:03:14Z,6382,736,1
znzXm6Bh_fQ,Matara Gives Vtuber Motif Advice,2025-12-12T20:00:57Z,12847,1218,32
Jw6C82KXPj4,HANGING OUT TODAY :D + Game Awards!,2025-12-12T05:37:38Z,21222,1402,12
Ih3gAnhFKKI,I am NOT a Scary Driver,2025-12-11T20:00:31Z,21861,1906,25
-2gjrIktkNg,BIG STREAM WEEK! Subathon goals prep then NOT VShojo collab!,2025-12-11T04:25:22Z,9354,845,13
Q-dR6GIB58E,Vedal Needs to Check his Daughter...,2025-12-10T20:00:34Z,12863,1230,8
ZlqXYbcY0Ow,Matara Tries to Motivate You,2025-12-09T20:00:27Z,17040,1744,34
m5veXnSdS6g,Matara Asks Neuro to Sing,2025-12-08T20:00:45Z,16620,1355,13
xoOmZbwQ-j0,Matara Plays Where Winds Meet (Part 3),2025-12-07T05:39:35Z,6742,655,3
SqDj18_fpmE,"gaming with pals, NIKKE + YAPPING!!! :)",2025-12-06T04:25:03Z,5185,543,4
fWAzzLJUuUU,Matara Remembers a Weird Highschool Memory,2025-12-05T20:00:44Z,20738,2115,34
hX7VZlOwtkg,How Matara Became the Villain of Her Own Story,2025-12-05T20:00:13Z,13502,1485,80
xPHNA4Qv42M,Reacting to Path of Exile 2: The Last of the Druids Announcement,2025-12-04T23:24:27Z,5637,530,2
Fmr-Cy8BxuQ,Matara had dinner with Shaquille O'neal,2025-12-03T20:00:12Z,49882,3966,51
K3M6QfP1GUQ,WE YAP TODAY HEHEHE,2025-12-03T03:58:52Z,6204,721,4
FPtcHFCPsn8,Matara Turns Evil,2025-12-01T20:00:13Z,21401,2164,52
CHv3x0xPXm4,"NOT CALLING THIS A LONG STREAM DUE TO THAT BEING A CURSE BUT, IT'S A STREAM TODAY :)",2025-12-01T01:48:23Z,9172,881,4
eFQ79U0_OBA,LONG THANKSGIVING STREAMS :),2025-11-29T20:23:20Z,4208,457,6
rzOr0flJtDE,Evil Matara BREAKS Evil Neuro's FILTER,2025-11-29T11:46:17Z,19906,2066,75
avq6vky-HM8,LONG THANKSGIVING STREAMS :),2025-11-29T01:47:48Z,6773,604,4
w-UhSxBNDWI,You Deserve Love,2025-11-27T16:01:30Z,29502,2613,47
u2CYTV8nKsM,It's not THAT HARD,2025-11-25T16:01:34Z,39914,3288,47
b-jWmE_Pi1k,"YOU CAN'T KEEP A GOOD ROACH DOWN, HONEY!",2025-11-24T04:02:06Z,49625,3789,51
1QawLoaXDa0,Matara's Advice on Standards,2025-11-22T16:00:03Z,25578,2524,63
14XhLLOLqJM,FLYKNIGHT + big big yap,2025-11-21T01:05:43Z,5270,644,5
lyxn1Zr3DD4,ZOMBOID WITH THE HAGS :) feat @LeeandLie @GEEGA @Limealicious,2025-11-20T03:53:56Z,15712,1244,7
w_zNMbeH1Xo,"finishing NIKKE side story, then reading your messages then PEAKKKKKKKKKK",2025-11-14T03:42:28Z,15908,1141,17
ZPCQbTDhwpk,BIG YAPPING DAY! 2 Year anniversary gifts + Finishing NIKKE part 2 story!,2025-11-11T02:00:25Z,10800,894,18
S8tmCAT2iZY,CHECKING OUT GODDESS OF VICTORY NIKKE 3RD ANNIVERSARY CELEBRATION! #NIKKEPartner,2025-11-10T06:46:09Z,19820,1419,10
Si37KUUsrq8,How To Save a Marriage,2025-11-07T16:00:49Z,25469,2343,17
iC8LD8Vdh3s,LONG STREAM TODAY! Handcam ( opening TC gifts ) + videogames! :D,2025-11-06T03:18:41Z,8710,861,6
RfMmYhmcRac,There was NO Toilet Paper On the Date,2025-11-05T16:00:44Z,15377,1063,23
kotIgRM9G3w,Matara Leaks Zentreya's REAL DM's,2025-11-03T16:01:13Z,29578,2610,39
3txdVjSwQeA,LONG STREAM TODAY! CELEBRATING 2 YEARS OF MATARA KAN! REPO collab + handcam!,2025-11-03T06:41:05Z,27335,1856,13
JH0Kd0TYyKI,New Path of Exile patch with @YuzuVtuber  ( maybe ) #sponsored,2025-11-01T03:13:30Z,5848,607,5
Sxczcms8lUQ,What Matara will do when she gets Older,2025-10-31T16:01:02Z,44588,3556,131
vySKPdLJSmw,Why Vedal Doesn't Like Pickles,2025-10-29T16:01:52Z,25530,1903,29
BVk5JlEX89M,My Relationship Advice,2025-10-27T16:00:19Z,25405,2300,48
cMb7SQCOwz4,You vs The Person she told you not to worry about,2025-10-24T16:01:16Z,24441,1861,29
WCUtl_1SdGs,YOU are addicted not ME.,2025-10-24T04:10:04Z,15802,1237,12
uoRYf94_utQ,This AI Never Heard of Me 😢,2025-10-18T16:01:35Z,24708,1499,43
sLh6sX1NC_A,She knows How long 6 inches is!?,2025-10-16T16:01:29Z,25393,2188,27
hx1HcXoRuck,Who is Juicy & Succulent!?,2025-10-14T16:01:20Z,20962,1642,19
69GI4fvmv00,MEGABONK AND YAPPING~ I can't believe I debuted almost ~2~ years ago ( oct 15 )​,2025-10-13T08:19:08Z,20798,1632,12
73UsspASftM,Collab w/ @Zentreya  @rayyylmao  @DattoDoesDestiny,2025-10-12T02:11:24Z,7641,586,6
lA1mLixWH6A,Get Neuro Some Milk,2025-10-11T18:00:56Z,22752,1625,13
41NhvKGjrtE,Neuro Made a Good Point to Mata,2025-10-07T19:00:03Z,33421,2228,22
gRuEsQgw1Es,She definitely protected him..,2025-10-04T19:00:38Z,25060,1471,7
aEh6upXaICQ,I Always Say This,2025-10-02T16:00:01Z,23491,1769,14
vI46bOvT0FI,"First we yap, then checking out Whispers from the Star #sponsored",2025-10-02T06:18:49Z,5317,560,5
rKtOGtswu54,MATARA KAN AND NEURO SAMA TRY TRADER JOE'S FOODS,2025-09-29T01:28:52Z,26803,1813,48
Keil6YqeWas,Matara and Juni has a Snake,2025-09-28T20:00:17Z,41925,2674,42
i4PmQ9z3vzY,My Parents have a Thick Accent,2025-09-25T16:01:20Z,93297,5339,62
nFoCbXReVms,Then Powerwash Sim ft @AlluuxHighlights ​,2025-09-24T03:09:28Z,6763,651,7
N4R0WjXuyYc,My Party Trick at Cons,2025-09-23T18:00:23Z,78736,4803,47
CYx_t7_g0Qc,ODST WITH ZENNY BENNY @Zentreya,2025-09-22T02:01:51Z,19708,1368,18
oJxBxpyiPT4,Matara Got Recognized at EVO,2025-09-20T16:01:26Z,68660,4424,59
PJewLRuR6us,Goblin Cleanup w/ @GEEGA  @LeeandLie  @ApricotFroot  YIPPEE,2025-09-20T00:48:37Z,25816,1457,24
bD15N8Vs-Ow,"LOOT, SHOOT, REPEAT! Trying out Borderlands 4 today with a full VTuber rig hehe #sponsored",2025-09-19T01:19:16Z,11328,797,4
syaegDXIbXc,Juni Betrayed Me...,2025-09-18T16:01:37Z,57179,3939,105
o7w76fWjui4,It's just a Game Bricky... Wake Up!,2025-09-16T16:01:28Z,38527,2356,21
sfzANt-du2w,I SWEAR TO GOD,2025-09-11T20:00:41Z,25859,1660,14
u9eTbiHM_4A,"Matara was in Fact, Silly Goofy",2025-09-09T16:01:35Z,28310,1944,25
YUE06mUTSwc,impropmtu karaoke :),2025-09-07T23:21:34Z,7712,947,28
FjjSrL2-Ylk,Matara Is Definitely a Modern Woman,2025-09-06T17:00:16Z,41271,2722,32
Gc4-6Y3K7xo,UNO WITH THE GANG @rayyylmao @DattoDoesDestiny @luciacrabsva,2025-09-06T01:49:42Z,7703,663,16
SaER9e8nuPc,This is NOT the Classic Highschool Romance,2025-09-04T17:00:44Z,15371,1378,28
sjGa2SUIAKE,marvel rivals with @LeeandLie and @SpiteVtuber,2025-09-03T21:32:54Z,8578,739,10
KtZgJjGRPU4,Helllooo~ Path of Exile 2 today for a bit hehe,2025-09-01T03:36:51Z,6133,776,17
e9IkVUpLDq0,The PEAK Dating Profile,2025-08-30T16:01:06Z,24030,2368,21
X6K3keDyW5s,Path of Exile 2 - NEW LEAGUE IS UPON US + FREE BETA WEEKEND! #sponsored,2025-08-30T04:49:04Z,4568,518,4
pcWmEaw45Y4,A LITTLE WINE AND YAP TONIGHT before a collab with  ⁨@AlluuxHighlights⁩  for her VTuber debut hehe,2025-08-29T00:57:03Z,4790,593,10
WUjNujLTTTo,He Slept with the Priest's Wife,2025-08-28T17:00:49Z,21962,1502,14
rNfmsrkadsk,a NICE COZY STREAM DAY :)  ​,2025-08-27T02:51:28Z,7864,903,14
wQ3GMG32UKM,a small yap into some videogames with @Zentreya & @Sykkuno :D,2025-08-26T01:01:34Z,6440,678,6
WMJJLobWCK8,We Found a Shark Momo!?,2025-08-24T16:00:53Z,17655,1429,16
vQCTj-yTiGQ,A LITTLE CRIME SCENE CLEANER :),2025-08-21T01:54:01Z,6994,788,6
gAsm0CTkeZ8,They Ate Their Neighbor's Grandma Ashes 💀,2025-08-20T17:01:02Z,15117,1328,20
3ZB0OWxQCEI,A Very Personal Issue for Matara Kan,2025-08-16T17:00:05Z,19528,2192,39
_gLReejhUgs,Bug auntie yapping time into PEAK with @rayyylmao @DattoDoesDestiny & Luciacrabs,2025-08-16T00:32:48Z,7983,671,14
6-y70tWF7ME,YOU HEARD THAT??,2025-08-14T17:00:09Z,52648,5244,45
2K6XvOetqVA,She's Valid for That,2025-08-11T16:00:03Z,19217,1839,23
Rw7ZnLeXUI8,"Numi, Watch Out..",2025-08-09T18:00:34Z,29299,2309,11
tZsMrr-5nRg,YAPPING STREAM :) I'M BACK WITH THE MILK~,2025-08-09T03:56:45Z,8684,848,14
jcxFqHj6hgY,A Reminder to Everyone,2025-08-06T16:01:23Z,47112,3093,29
MIXRnALaBZ8,Someone was Behind Him 😨,2025-08-04T16:00:36Z,20748,1649,11
5jmgCN8hGtc,I May Have been a Bit Dramatic on This One,2025-08-02T16:00:18Z,47106,3828,53
-_MahT1u8s0,They Moved in with Their EX,2025-07-31T16:00:01Z,17306,1378,11
