id,title,publishedAt,viewCount,likeCount,commentCount
ZurRvPDb57w,【FORTNITE】TAU TAU MAIN FORTNITE!! DI AJARIN SAMA SEPUH!,2025-12-09T16:56:12Z,219,32,1
4WmqnRvRjCo,【FREE TALK】SINI NGOBROL SAMA 5TAR2ACE! ADA QnA JUGA! :3,2025-12-07T14:48:20Z,278,58,0
4_Kqgze7t4s,【DEAD BY DAYLIGHT】AKU DIBAWA LAGI SAMA @GrethaEastern @UleNanasePUSTAKAID @sacikosacii,2025-12-02T15:46:26Z,193,45,0
hg8GTPD9hXI,【PARASOCIAL】Kehidupan Kelamku,2025-11-24T15:27:50Z,186,50,2
XHGESQobETw,kanan bawah kiri atas kuru-kuru #shorts,2025-11-21T09:30:20Z,1804,93,5
WZBUy08Keck,dedek kecil ini nyanyi gemas sekali #shorts,2025-11-20T09:30:20Z,1797,121,2
Caiu0vNOKp4,bangunlah kesatria bangun sendiri #shorts,2025-11-19T09:15:01Z,1813,60,3
c20zTlPPhBc,【FREE TALK】OTSU CF21!! Pengen ngobrol bentar sebelum bobo :3,2025-11-18T04:20:20Z,323,59,7
uQYQYrgibeM,ngajarin bule ngomong sunda euy #shorts,2025-11-17T09:15:06Z,8439,641,16
mDrp2tPnVKQ,RESMI MENAMATKAN PUNCAK SALAK #shorts,2025-11-14T09:30:27Z,2289,109,1
6GCN54P725A,【FREE TALK】SAYA KEMBALI MEMBAWA INFO!,2025-11-13T02:36:10Z,200,38,1
G_RJUGaAyRc,bahaya mencabut bulu #shorts,2025-11-12T09:15:04Z,2942,176,10
oLYs8BZmwTc,【ROBLOX】AYO KITA MABAR! BILLINGERS SEMUA BOLEH JOIN!,2025-11-01T16:52:51Z,380,48,4
mCFy5vIsgQk,【DEAD BY DAYLIGHT】Aku noob :( yasashikushite kudasai,2025-10-31T15:28:06Z,177,42,0
PfJYY9r0VTU,【KARAOKE】 LET'S SING HALLOWEEN EDITION,2025-10-31T04:30:49Z,182,18,2
p2DH1LGfAXo,【LITTLE NIGHTMARES 3】APAKAH INI AKHIRANNYA? @Sakukuratamaha5​,2025-10-29T15:52:04Z,173,39,0
amie7qcUUp0,【LITTLE NIGHTMARES 3】Simulasi tahan emosinya @Sakukuratamaha5​,2025-10-28T15:43:34Z,201,44,1
