id,title,publishedAt,viewCount,likeCount,commentCount
m2gLD2ABGgA,tutor jadi pick me😎🙏 #MauraJKT48V #CuplikanMaura #JKT48VGen2,2025-12-14T05:12:01Z,1219,270,29
tdH8id4Z0Wg,"【MauNgobrol】Minggu pagiii, udah bangun belom nihh?【Maura Nilambari - JKT48V】",2025-12-14T03:28:27Z,2189,384,3
bvbFZOQgoFA,【MauMain】Ketua Sufir Truck Idol Sedunia - Euro Trsuck Simulator 2【Maura Nilambari - JKT48V】,2025-12-12T15:27:01Z,2528,377,2
AjJ6ZiqltRs,【MauTemenan】Eps 2 - Mari Mengulik Kepribadian @SamiMaono-JKT48V ~【Maura Nilambari - JKT48V】,2025-12-12T12:27:01Z,2072,331,5
G26I9aVm2No,jago banget kan aku? 😎 #MauraJKT48V #CuplikanMaura #JKT48VGen2,2025-12-12T08:15:02Z,5660,437,7
w96ZucF45_0,sepaket lengkap 🫶 @IshaKirana-JKT48V@Sam@SamiMaono-JKT48VauraJKT48V #CuplikanMaura #JKT48VGen2,2025-12-11T06:13:01Z,7282,874,18
XeFcWSVhULM,Next kalian mau aku bahas lagu apa nih? 🫶 #MauraJKT48V #CuplikanMaura #JKT48VGen2,2025-12-10T10:17:00Z,3903,855,14
3aUtiXfTTgw,【MauMain】Sangat Tiba-tiba diajakin valololorant - Valorant【Maura Nilambari - JKT48V】,2025-12-09T15:19:03Z,2850,425,2
M_m0jo6_v58,dramatis banget asli 👉👈 #MauraJKT48V #CuplikanMaura #JKT48VGen2,2025-12-09T08:15:01Z,5422,594,16
1mBs_xipVhI,【MauMain】PASTI tamat kan Sha? @IshaKirana-JKT48V - Little Nightmares III【Maura Nilambari - JKT48V】,2025-12-08T14:45:04Z,1640,284,16
axFPxnIjsG8,Jenis kucing apa ini yahh? 🫢 @IshaKirana-JKT48V  #MauraJKT48V #CuplikanMaura #JKT48VGen2,2025-12-08T11:18:00Z,11682,839,33
l-rwYB95fzM,"【MauMain】Mengurai Ingatan, Bersama Debu yang Tersisa~ - Undusted Part 2【Maura Nilambari - JKT48V】",2025-12-07T21:09:07Z,1366,237,2
qseeZM530e8,【MauTemenan】Eps 1 - Ayo cari tau lebih dalam tentang @IshaKirana-JKT48V!!【Maura Nilambari - JKT48V】,2025-12-07T17:21:30Z,3256,413,6
myp0y75AEnk,Ah yg bener kamu Sha @IshaKirana-JKT48V  👉👈 #MauraJKT48V #CuplikanMaura #JKT48VGen2,2025-12-07T09:16:01Z,5235,525,29
dx57M9HzdVs,【MauMain】Ayo Kita Liburaaaan!! Roblox - Swiss Mountain【Maura Nilambari - JKT48V】,2025-12-06T15:37:01Z,1884,312,1
wbWtOwhoyi0,umm jadi gini ci... @TanaNona-JKT48V   🧍‍♀️☝️#MauraJKT48V #CuplikanMaura #JKT48VGen2,2025-12-06T10:17:00Z,5320,697,44
Sjss9Vb84u0,"【MauMain】Menata Kenangan, Mencari Makna di Balik Debu... - Undusted【Maura Nilambari - JKT48V】",2025-12-05T23:04:14Z,1526,293,3
6PLVzdqAYGc,AKU BISA JELASKAN!!☝️🧍‍♀️ #MauraJKT48V #CuplikanMaura #JKT48VGen2,2025-12-05T11:18:00Z,8740,972,14
LZ0o_2Wd6wo,【MauMain】Aku dijebak sama @IshaKirana-JKT48V 🙂 - Little Nightmares III【Maura Nilambari - JKT48V】,2025-12-04T17:15:40Z,3502,501,1
Wjr6R1w7Y9Y,Absen Oshii kaliann di komentar yaa!! 😎🫶 #MauraJKT48V #JKT48VGen2 #CuplikanMaura,2025-12-04T12:19:00Z,4621,564,68
O8HNzX3HF10,【MauNgobrol】Akhir tahun liburan ke manaa iniiii??【Maura Nilambari - JKT48V】,2025-12-03T15:22:21Z,2161,398,3
Gxaf2Ow8vRY,Coba tag teman 🦀Cancer♋️-mu itu~ 😎 #MauraJKT48V #JKT48VGen2 #CuplikanMaura,2025-12-03T12:19:00Z,5463,747,29
TZRrWZybGS4,Halo halo~  ❄️ Kamu sudah cek MV Suatu Saat Bertemu (Dreamtale) belum? #JKT48VGen2 #MauraJKT48V,2025-12-03T06:00:32Z,4480,648,7
EX7X3_b6rog,kalau kalian Introvert atau Extrovert nih? 😎 #MauraJKT48V #IshaJKT48V #SamiJKT48V,2025-12-02T13:20:00Z,6627,488,21
zHCAOgY61zE,【SeninMauraProduktif】Membuat Planner bulan Desember!【Maura Nilambari - JKT48V】,2025-12-01T14:55:45Z,3029,500,2
xhq68XrNpNk,Jadi.. makanan favorit kalian apa nih? 😭 @IshaKirana-JKT48V  #MauraJKT48V #CuplikanMaura #Isha4K,2025-12-01T11:18:00Z,12671,946,41
LrvpFTjzqHY,"tulis di kolom komentar ya, aku mau tau! 😉 #MauraJKT48V #JKT48VGen2 #CuplikanMaura",2025-11-30T10:17:00Z,7175,597,109
Wt2Gx5mu-CA,【MauNgobrol】Selamat Maurning Semuanya!! Ayo Bangung!!!【Maura Nilambari - JKT48V】,2025-11-30T02:19:25Z,2938,466,6
IgWs6DkFDVw,【Karaoke】Pertama kali nyanyi lagu JKT48!【Maura Nilambari - JKT48V】,2025-11-29T15:59:43Z,4883,781,19
S8PJfI2bKUA,"Ananta: tak berujung, tak berbatas. Jaga diri kalian yah!🫶❄️#MauraJKT48V #JKT48VGen2 #CuplikanMaura",2025-11-29T08:15:03Z,5010,1001,28
VQ0IBbphvXw,Terang Manis ... #MauraJKT8V #CuplikanMaura #JKT48VGen2,2025-11-28T08:15:06Z,4611,566,51
XLEwyTuXQnU,semalem mimpi apa nih? 💭#MauraJKT8V #CuplikanMaura #JKT48VGen2,2025-11-27T07:14:00Z,5231,765,39
Oz2X-p27aoQ,【MauMain】Fulank Kamfunk Ke Kerazaan Es! Roblox - Expedition Antarctica【Maura Nilambari - JKT48V】,2025-11-26T15:01:24Z,4201,533,5
jVSFWFS0xfk,Udah mandi belum? 😉 #MauraJKT48V #JKT48VGen2 #CuplikanMaura,2025-11-26T12:01:34Z,4162,634,48
0rhlz35xLus,【MauNgobrol】Apakah kamu salah satu morning person itu?【Maura Nilambari - JKT48V】,2025-11-26T03:29:06Z,3609,560,11
r7MCpLVw01g,【MauNgobrol】Cerita-cerita dulu yuk sebelum tidur~【Maura Nilambari - JKT48V】,2025-11-25T16:46:11Z,4208,619,6
nBKiQXWVAW4,Salam kenal yah semuanya~! ❄️🫶 #MauraJKT48V #JKT48VGen2 #CuplikanMaura,2025-11-25T05:12:00Z,5218,877,43
srV_eQ-djlY,【Debut After Talk】Day 1 bersama SIM! MENJAWAB YANG BELUM TERJAWAB 【JKT48V】,2025-11-24T14:30:57Z,7904,1230,23
3DJmBf9sTr0,📢Kizaru x JKT48 Virtual - Maura Nilambari,2025-11-24T04:32:49Z,3839,862,15
3iscNn9O4Is,"【Debut Stream】The Soothing Cold Ice, is Maura Nilambari ❄️ 【Maura Nilambari - JKT48V】",2025-11-23T14:27:02Z,10369,1804,75
uxKy3v57h8g,Suatu Saat Bertemu (Dreamtale) - Maura Nilambari Teaser,2025-11-12T12:01:54Z,7043,436,12
Wc4AKS5IUUQ,Maura – Kedinginan yang Lembut | JKT48V Generation 2 Introduction Video,2025-10-31T06:30:18Z,14893,1257,156
pJhSIIRhZLI,19 November 2025 — 20:00 WIB,2025-10-22T06:00:52Z,13999,953,32
