id,title,publishedAt,viewCount,likeCount,commentCount
OLrwyCRxQyw,REPO Clips #vtuber #millieparfait #vtuberclips #millieseconds,2025-12-13T14:00:46Z,1072,277,26
m8CJoGzQ9VM,【OUTFIT AFTER PARTY!】AMEAKARI + BTS + MORE CELEBRATION,2025-11-30T06:42:44Z,14552,1227,25
cd86-A1Xue0,【OUTFIT REVEAL 】The rainlight of despair  ☆⭒NIJISANJI EN ✧ Millie Parfait ☆⭒,2025-11-30T04:06:48Z,36744,3302,59
1kYqOk6JbkA,【雨明かり/Rain Light】Millie Parfait Original Song,2025-11-30T03:30:26Z,27824,3931,246
3l9fdB8g3lU,【PEAK】 PEAK WITH CUTE GIRLS!!,2025-11-28T06:04:54Z,5107,710,21
TSpVnauTOJ8,wow announcement i wonder what this is LMAO,2025-11-25T16:23:14Z,11726,1429,40
mfBUDIKd58A,【PAPERS PLEASE 】Chill immigration officer who wants to explore more endings!,2025-11-24T07:58:02Z,5211,695,13
4Nywwe2OaW0,【ASMR】Layered water sounds / no talking!,2025-11-23T23:32:43Z,13279,984,13
FvL2xv2MIl8,【ASMR】Layered water sound + tapping + ear blowing ~,2025-11-23T17:16:19Z,11781,913,12
VIEqp8_W7Qg,【ASMR】Random assortment triggers! NEW MIC! (no talking),2025-11-22T12:44:24Z,19576,1493,16
8D1TqzW_dJs,【PAPERS PLEASE / TAG】IT'S TIME TO BE A SEKYU,2025-11-21T17:02:45Z,4483,666,10
TBzOMMQqbUY,【COFFEE CARAVAN】We'll make espresso drinks this time :3c,2025-11-20T18:55:36Z,3336,614,12
h3PWnVYlNRk,【PEAK】 PEAK SOLO TAGALOG!!!!!!!!!,2025-11-19T18:09:16Z,4139,659,18
pNsdFiUGISQ,【ASMR】Random assortment triggers! NEW MIC! YAY!,2025-11-19T06:04:41Z,22373,1439,37
khZXULKIk-c,【WATERPARK SIMULATOR】 Last run for 5* waterpark!!,2025-11-18T04:35:51Z,4960,726,24
LMN-CcE3STQ,【COFFEE CARAVAN】My throat hurts so Barista TTS Miwwie part 2 because tts blocked me,2025-10-16T18:13:30Z,5240,469,36
g5TAsrqHv6k,【COFFEE CARAVAN】My throat hurts so Barista TTS Miwwie,2025-10-16T16:32:21Z,4375,624,14
QWVRQ-_vKns,【ASMR】Ear massage! (Testing out a new set up!),2025-10-16T04:10:36Z,27350,1415,39
DEqzlz4KZSQ,【UMAMUSUME: PRETTY DERBY】 PULLING FOR SUMMER MARUZENSKY,2025-10-15T02:57:02Z,6177,597,9
OW5Qp0wwvi0,【WATERPARK SIMULATOR】 Let's aim to a 5* waterpark :3c,2025-10-15T00:24:36Z,2913,543,10
La-MAcygGAY,【4TH ANNIVERSARY ETHRYIA CELEBRATION】 Back with bro (bro podcast #27392813,2025-10-11T16:52:56Z,19739,2592,104
byjN49lEHAY,【THE HEADLINERS / TAGLISH】 Back with the crew \ O /,2025-10-07T18:10:49Z,7793,876,13
KOSKhTXwmws,【WATERPARK SIMULATOR】 Let's aim to a 5* waterpark :3c,2025-10-06T19:57:36Z,5729,675,16
Tg4IfosIoOo,【ELDEN RING NIGHTREIGN】I wanna play more !   ☆⭒NIJISANJI EN ✧ Millie Parfait ☆⭒,2025-10-06T16:09:05Z,5058,698,10
iZ7-ZRKpbl8,The void,2025-09-29T19:41:01Z,6596,491,42
MXeU2usr5gE,another raid to the void :3c,2025-09-29T19:30:55Z,1467,148,9
fvyXYytv65I,【WATERPARK SIMULATOR】 im back LMAO,2025-09-29T19:27:46Z,4887,641,16
z8kTPeMkRJ8,this is a stream that i wanna raid in to becoz im on my evil era,2025-09-29T19:24:59Z,1523,252,13
