id,title,publishedAt,viewCount,likeCount,commentCount
9fgLWVa1-Us,もう今月終わり？＞＜ #shorts #vtuber #にじさんじ,2024-01-31T14:00:08Z,61082,2441,59
YNontk5QDJo,【超高音質♡ASMR】たっぷりオイルマッサージ♡耳塞ぎ♡囁き♡吐息♡バイノーラル🌙【にじさんじ】【物述有栖】,2024-01-18T19:56:49Z,193556,4025,133
tC2qfXR3u9M,【雑談☕】大吉役満らっきーがーるの幸運お茶会🀄【物述有栖】【にじさんじ】,2024-01-11T16:45:06Z,18056,970,19
ar5CLm6Gzxk,【#にじさんじ麻雀杯2024】大三元役満がーるの決勝トーナメント第７試合🎍【物述有栖】【にじさんじ】,2024-01-07T06:50:04Z,16102,921,21
vQQuf52Mm90,【#にじさんじ麻雀杯2024】二年連続大三元🀄予選Oグループ🎍【物述有栖】【にじさんじ】,2024-01-06T10:58:28Z,48332,3162,44
gKCyzQaAbxg,【雀魂🀄】麻雀杯2023決勝卓再集結🎉ありえるきらおん👑ぽにょにょぺ視点【物述有栖】【にじさんじ】,2024-01-04T15:45:01Z,8447,553,14
0TTwzbOYRaM,【新年(仮)🎍】茶会初め☕💕雑談？ギター？chat? guitar?【物述有栖】【にじさんじ】,2024-01-04T13:51:39Z,8475,679,14
WP7411FzLUU,【超高音質🌙ASMR】今年最後の耳かき♡梵天♡囁き♡吐息♡サプライズお披露目🎁【物述有栖】【にじさんじ】,2023-12-29T19:45:41Z,96503,3235,38
ABkkhAHaCnU,【雑談☕】にじフェス2023の裏話とか新機能とか🎅【物述有栖】【にじさんじ】,2023-12-27T15:21:52Z,10020,687,15
hnEboa6hYSQ,【#ぽにょにょぺ新衣装🎀】にじフェス直前❣元2期生の好きな髪型聞いてみた🎅【にじさんじ】【物述有栖】,2023-12-21T14:22:23Z,25862,2193,23
1gkyAIlrOIA,【超高音質🌙ASMR】世界に1つだけのダミヘで耳塞ぎ♡深呼吸♡ゼロ距離♡囁き♡吐息♡Whispering【物述有栖】【にじさんじ】,2023-12-11T13:00:02Z,105705,2165,31
ApBshbeEfW4,【超高音質🌙ASMR】オイル♡ミルク♡タオル♡たっぷりマッサージと深呼吸でリラックス…癒しのバイノーラル🛏【にじさんじ】【物述有栖】,2023-12-03T18:07:55Z,179114,1960,37
ALdLX_hwwCg,【睡眠導入🌙ASMR】寝たい人向け💤寝れない時のための超高音質熟睡耳かき梵天🛏Ear pick cleaning 【物述有栖】【にじさんじ】,2023-11-26T17:27:00Z,91116,3088,37
QWhyUmbMONk,【超高音質🌙ASMR】寒い夜もたっぷり癒やす耳かき♡梵天♡囁き♡吐息♡バイノーラル🛏【にじさんじ】【物述有栖】,2023-11-19T19:27:33Z,76350,2096,28
4QEtZ_gwKmc,【雑談/chat】色々振り返ったり振り返らなかったりする自由お茶会☕【物述有栖】【にじさんじ】,2023-11-18T04:05:09Z,7055,598,15
P9-jjr8FGtI,【誕生日ミニソロライブ🎂】150歳になった物述有栖より愛を込めて🎁【にじさんじ】#物述有栖誕生祭2023,2023-11-16T14:31:36Z,22936,2490,33
ekI7X8v-jC0,【物述有栖】♠強風オールバック♥歌ってみた【にじさんじ】,2023-11-16T10:00:07Z,52168,4454,139
9LwCJEep9SA,【誕生日前夜祭🎂】今後の告知とお祝いケーキと成長期の16歳🎁【にじさんじ】【物述有栖】,2023-11-15T16:39:13Z,9568,1046,26
Wyu2W_svKic,【ASMR】咀嚼音クイズ #ポッキーの日  #vtuber #にじさんじ,2023-11-11T14:30:10Z,29066,1773,70
1V1FvBWB5n0,【更に新機材導入🌙ASMR】より超高音質に♡囁き♡吐息♡耳塞ぎ♡梵天♡マッサージetc…癒しのバイノーラル🛏【にじさんじ】【物述有栖】,2023-11-09T19:17:49Z,68058,1888,32
EdaFIz1QS7A,🔨異世界転生したら大自然でサバイバル生活が始まった件🏔21【物述有栖】【にじさんじ】#valheim,2023-11-05T06:09:47Z,7159,607,14
O2FY9cCeAls,【リバース：1999】序章ストーリー⇒キャラガチャ🎮💕【物述有栖/にじさんじ】,2023-11-03T11:56:10Z,5733,468,12
L82sCfgTiq4,【ASMR/binaural】🆕機材で超高音質ゼロ距離♡囁き♡吐息♡深呼吸♡etc…たっぷり癒やすバイノーラル🛏【にじさんじ】【物述有栖】,2023-11-02T21:11:44Z,62556,1815,28
gy-gCfFn9k0,頑張りたいあなたを応援❣今月もふぁいとーっ♡ #vtuber #にじさんじ #物述有栖,2023-11-01T12:00:40Z,31863,3210,124
Jk1eS8anPmc,【ハートフルホラーゲーム…？】幽霊と同棲♡Seven Nights Ghost👻💕【物述有栖】【にじさんじ】,2023-10-28T03:22:17Z,8286,681,14
SbridanPRxs,【睡眠導入🌙ASMR】寝たい人向け超高音質マッサージ♡炭酸泡♡タオル♡ミルク♡オイル♡Massage towel milk oil【にじさんじ】【物述有栖】,2023-10-21T18:01:19Z,862730,4003,36
kSnJgUBIFJg,【雑談☕】まるでメン限のようなゆるふわ近況報告お喋り朝活chat【物述有栖】【にじさんじ】,2023-10-21T06:37:41Z,16868,1136,16
CmSonA9JiA0,【新機材導入🌙耳かきASMR】超高音質熟睡できる耳かきアソート♡綿棒♡竹♡梵天♡囁き…睡眠のお供に♡【にじさんじ】【物述有栖】,2023-10-14T18:20:37Z,103302,2757,35
r6giy6CibR8,♡メスガキバイノーラルボイス(非売品)♡ #shorts #にじさんじ #シチュエーションボイス,2023-10-08T11:01:09Z,71320,6671,200
a45-d_qQ538,【新機材導入🌙ASMR】更に超高音質ゼロ距離♡囁き♡吐息♡深呼吸♡指かき♡etc…癒しのバイノーラル🛏【にじさんじ】【物述有栖】,2023-10-07T18:14:33Z,1062809,5860,85
VZ-8kecC3nE,【ASMR/binaural】高音質癒やしの耳かき♡ふわふわ梵天♡囁き♡ゼロ距離♡🌙Earpick fluffy Whispering【物述有栖】【にじさんじ】,2023-10-01T17:23:08Z,69994,1932,45
OJq9H1RNq7M,【 #雀魂 🀄 】初心者歓迎♡視聴者参加型まったり麻雀❣【物述有栖】【にじさんじ】,2023-09-23T06:37:38Z,7456,557,14
pNTiUDBX034,【ASMR/binaural】高音質あまあま耳かき♡🆕ふわふわ梵天♡囁き♡ゼロ距離♡🌙Earpick fluffy Whispering【物述有栖】【にじさんじ】,2023-09-21T19:03:17Z,64496,2195,36
NfTBmBAcigQ,【Minecraft】謎の濃いCチームになぜかいる謎の物述有栖視点【#にじさんじハードコア対決】,2023-09-17T15:49:36Z,23712,1379,13
qkVIY7GP8Gs,🔨異世界転生したら大自然でサバイバル生活が始まった件📷#20【物述有栖】【にじさんじ】#valheim,2023-09-16T06:05:38Z,8561,710,12
g-M6Y5GXAP8,【視聴者参加型☕】朝活といえば‼目覚ましといえば‼うるさい雑談☀【物述有栖】【にじさんじ】,2023-09-09T03:53:57Z,27762,985,14
DBwAf5s0tE0,【ASMR/binaural】高音質マッサージ♡タオル♡梵天♡囁き🌙Massage fluffy Whispering【物述有栖】【にじさんじ】,2023-09-07T19:01:45Z,47810,1608,17
aC0IwXyhkiE,♥️♠️物述有栖♦️♣️ のライブ配信,2023-09-01T13:05:08Z,0,3,0
PTrZygNfCL4,【ASMR/binaural】高音質睡眠誘導♡竹耳かき♡綿棒♡梵天♡囁き🌙Earpick fluffy Whispering【物述有栖】【にじさんじ】,2023-08-26T18:15:14Z,140347,2643,35
SDPmoWp4jd0,🔨異世界転生したら大自然でサバイバル生活が始まった件💀#19【物述有栖】【にじさんじ】#valheim,2023-08-20T11:47:58Z,6836,601,13
QqulCieD4Is,🔨異世界転生したら大自然でサバイバル生活が始まった件🐄#18【物述有栖】【にじさんじ】#valheim,2023-08-19T10:24:44Z,9970,794,14
KnBuSx0LvMM,【ASMR/binaural】疲れた夜に睡眠導入🌙たっぷり高音質マッサージ♡OilMassage Whispering【物述有栖】【にじさんじ】,2023-08-17T17:43:37Z,47511,2191,23
tPLoybFVEJY,【ASMR/Dummyhead】世界に1つだけのダミヘで囁き♡心音♡Whispering  heart sound💕【物述有栖】【にじさんじ】,2023-08-09T18:55:47Z,71055,2445,26
JlzNh3nl9HM,【ギター歴59日目🔰】久々の弾き語りお歌お茶会🎸【物述有栖】【にじさんじ】,2023-08-05T10:16:05Z,6498,535,18
7ws9uJCfJIk,【ASMR/Study with me】睡眠導入🌙作業用に…赤軸キーボードタイピング音⌨Keyboad Typing【物述有栖】【にじさんじ】,2023-08-03T16:55:35Z,17775,786,11
VJgraAj6gkU,【雀魂🀄】特別称号で段位戦昇段チャレンジ✨【物述有栖】【にじさんじ】,2023-07-29T10:25:05Z,11167,847,13
QVgFU-u7-Gs,【ASMR/binaural】世界に1つだけのダミヘで睡眠導入♡Milk Massage Gelball Ear Blowing🌙【物述有栖】【にじさんじ】,2023-07-20T17:28:22Z,110476,2705,29
bXye1rbA2ZY,【ASMR/binaural】㊗オーダーメイドダミーヘッドマイク復活🎉寝れない夜のお供に囁きASMR Whispering【物述有栖】【にじさんじ】,2023-07-16T20:22:39Z,52217,2742,22
tssCUF6o8to,【夏のホラー実況👻】すーぱーうるとらうさぎらっしゅ🐰【物述有栖】【にじさんじ】,2023-07-15T18:35:00Z,9622,899,14
eZdchDSA0Xw,🔨異世界転生したら大自然でサバイバル生活が始まった件🐈#17【物述有栖】【にじさんじ】,2023-07-09T06:19:26Z,10926,1126,15
s0r_PQ0MTQE,【雑談/chat】欲望のままにうさぎさんになってお茶会をする☕【物述有栖】【にじさんじ】,2023-07-08T18:12:25Z,12125,1064,15
HtgbfSRqrf0,【雀魂🀄】優勝祝いに視聴者参加型麻雀❣✨【物述有栖】【にじさんじ】,2023-07-01T05:57:06Z,7257,720,16
ars-YDXgF2c,推しに〇されるスイカ割🍉#shorts #にじさんじ,2023-06-30T14:00:05Z,23138,2647,103
bUF6jUxIuGE,【#にじさんじ花鳥風月戦】バードウォッチング部🦉大将戦🀄役満ぽにょにょぺ視点【物述有栖】【にじさんじ】,2023-06-24T12:45:21Z,26340,1499,23
BUtjDVz1Nv8,【ASMR/binaural】疲れた身体に優しい囁きASMR🌙Whispering / chat / small talk【物述有栖】【にじさんじ】,2023-06-15T18:08:20Z,85116,2296,43
_MHMiMGHGc0,耳かきASMR練習中🌙#shorts #asmr,2023-06-15T10:36:31Z,32105,2395,65
DIqdsa1kBDc,🔨異世界転生したら大自然でサバイバル生活が始まった件🐺#16 be my friend【物述有栖】【にじさんじ】,2023-06-10T08:37:46Z,8603,713,9
156jBZKTptY,✨ガチャ確定演出✨ #shorts #vtuber #にじさんじ,2023-06-08T10:07:24Z,39396,3733,88
IQpxNqHbXNg,♡バーチャルアイドルしてみた♡ #shorts #にじさんじ,2023-06-05T09:25:23Z,58899,6015,131
CHBhivxIUvQ,【ASMR/binaural】新機材導入♡リベンジ耳かき囁きASMR🌙Ear cleaning/Whispering【物述有栖】【にじさんじ】,2023-06-04T18:19:11Z,826524,5113,76
cwOcWXQmhEE,【ASMR/binaural】寝れない夜に…耳かき囁きASMR🌙Ear cleaning/Whispering【物述有栖】【にじさんじ】,2023-05-28T17:11:31Z,75258,2213,29
IhXbOAPiyCw,🔨異世界転生したら大自然でサバイバル生活が始まった件💀#15【物述有栖】【にじさんじ】,2023-05-27T07:06:58Z,7789,730,11
d-GjtYkkOtA,【原神】うちのナヒーダの様子がおかしい…【にじさんじ】【物述有栖】,2023-05-20T14:55:57Z,23920,1269,36
a3QpUOa8X-Q,【ギター歴58日目🔰】まったりギター練習☕Guitar practice🎸【物述有栖】【にじさんじ】,2023-05-20T04:36:07Z,9395,841,14
xdMFVxfsLZs,🔨異世界転生したら大自然でサバイバル生活が始まった件🦴#14【物述有栖】【にじさんじ】,2023-05-13T08:44:13Z,9206,781,12
3jwCXRJSeas,【原神/冒険ランク60】盛典と慧業前提伝説任務-楓原万葉-【物述有栖】【にじさんじ】,2023-05-07T04:25:40Z,6244,464,9
dKCX-nBnf0E,🔨異世界転生したら大自然でサバイバル生活が始まった件🎣#13【物述有栖】【にじさんじ】,2023-05-04T06:44:19Z,10506,789,12
Mb5n4NchVeA,【原神/冒険ランク60】螺旋女子会とガチャのお悩み…🌱【にじさんじ】【物述有栖】,2023-04-30T04:25:18Z,8658,584,7
D1FoMooZzo0,【生存報告】㊗GW㊗復帰雑談お茶会☕💕【物述有栖】【にじさんじ】,2023-04-29T04:45:43Z,11114,1094,17
H2nOxGcoI0c,🔨異世界転生したら大自然でサバイバル生活が始まった件💰#12【物述有栖】【にじさんじ】,2023-04-09T07:59:08Z,7760,619,13
rQELls1G-BE,【絆のアリル】キズナ－さん、ウィズリンカーさん集まれ🎀第一話公認同時視聴☕【Kizuner】【物述有栖】,2023-04-08T13:01:18Z,10661,960,19
tJW1yjGzzy8,【原神/冒険ランク60】深層螺旋女子会と申鶴ガチャ❄【にじさんじ】【物述有栖】,2023-04-08T07:37:06Z,11958,701,7
JGLnS1ZEAYA,🔨異世界転生したら大自然でサバイバル生活が始まった件🐗#11【物述有栖】【にじさんじ】,2023-04-02T11:47:15Z,7472,656,11
4xm5OQPvHSw,【少女と影】絵本みたいな世界📖Shady Part of Me #1【物述有栖】【にじさんじ】,2023-03-30T17:10:33Z,5577,586,11
8PgWvA99NA8,【ギター歴57日目🔰】久々の弾き語り朝練☕Guitar practice🎸作業のお供に✍【物述有栖】【にじさんじ】,2023-03-29T05:07:46Z,10869,930,16
KQ43X4lMQXg,【雀魂🀄】新米雀士の段位戦チャレンジ麻雀❢【物述有栖】【にじさんじ】,2023-03-28T18:28:53Z,10573,782,11
u57WzBCahwI,🔨異世界転生サバイバル生活🍓アリストロベリー外伝#1【物述有栖/宇志海いちご】【にじさんじ】,2023-03-25T05:43:41Z,14535,1136,13
DKRwWEuwO5o,【ETS2🚚】物述有栖の痛車(トラック)に乗りたくないですか❓【物述有栖】【にじさんじ】,2023-03-21T06:43:04Z,16593,1087,25
uhprGBvRPjk,🔨異世界転生したら大自然でサバイバル生活が始まった件⚔#10【物述有栖】【にじさんじ】,2023-03-18T08:19:51Z,19716,978,15
uR4joqioZHQ,【アポなし逆凸】にじさんじ元2期生に突撃5周年インタビューチャレンジ🎉【物述有栖】,2023-03-14T16:43:31Z,150578,7377,36
h9gbTD7dkAQ,【㊗５周年感謝🎉】元２期生歌みた同時視聴→５周年究極のお茶会議☕💕【物述有栖】【にじさんじ】,2023-03-14T14:12:49Z,29917,2007,12
zuZRpCvBu6g,【㊗元２期生５周年🎉】お祝いたこパコラボ🐙【宇志海いちご/文野環/物述有栖】【にじさんじ】,2023-03-13T12:06:05Z,44217,3243,27
tD8E8yNyPGo,【原神/冒険ランク60】螺旋女子会と風花祭2023🌼【物述有栖】【にじさんじ】,2023-03-12T04:59:28Z,13712,726,10
5KFPYQuQVxY,🔨異世界転生したら大自然でサバイバル生活が始まった件⚰️#9 -霊廟-【物述有栖】【にじさんじ】,2023-03-11T05:55:21Z,10965,808,10
-EPFYCbQNvw,【雀魂】うーさぎさんっ、遊びましょーっ🀄【視聴者参加型】【物述有栖/にじさんじ】,2023-03-05T04:18:19Z,14278,872,18
yvbj143sKn4,🔨異世界転生したら大自然でサバイバル生活が始まった件🌲#8【物述有栖】【にじさんじ】,2023-03-04T06:54:22Z,15985,889,13
T94xUXjKCNQ,🔨異世界転生したら大自然でサバイバル生活が始まった件🔑#7【物述有栖】【にじさんじ】,2023-02-25T05:00:51Z,15296,941,15
uGF2D7NFiSU,【雀魂】にじさんじ麻雀杯決勝メンバーで麻雀コラボ🀄ぽにょにょぺ視点【える/小野町春香/空星きらめ/物述有栖】,2023-02-21T14:09:27Z,15965,953,18
wNVBxGW4sNk,🔨異世界転生したら大自然でサバイバル生活が始まった件🧙‍♂️#6【物述有栖】【にじさんじ】,2023-02-19T04:31:26Z,11722,755,15
W3cKxqlzw-E,🔨異世界転生したら大自然でサバイバル生活が始まった件🍲#5【物述有栖】【にじさんじ】,2023-02-18T10:53:27Z,9909,747,13
qEL4ICM5iqs,【にじたま反省お茶会🀄】優勝したけど初心者ミス多かったなって😖🔰【物述有栖】【にじさんじ】,2023-02-16T14:28:15Z,6494,602,14
G8M8fDpQuTI,🔨異世界転生したら大自然でサバイバル生活が始まった件💀#４【物述有栖】【にじさんじ】,2023-02-12T03:01:58Z,10013,672,13
XynWuAPnAxg,【雀魂🀄】雀士誕生なるか⁉じゃんたま段位戦☕🔰【物述有栖】【にじさんじ】,2023-02-11T08:13:03Z,11650,723,12
Q-GzgMrNJEo,【雀魂🀄】初めてのじゃんたま段位戦☕🔰【物述有栖】【にじさんじ】,2023-02-05T04:05:20Z,18510,1128,17
x2u9AlUOMdI,🔨異世界転生したら大自然でサバイバル生活が始まった件🌲#3【物述有栖】【にじさんじ】,2023-02-04T06:10:56Z,16521,944,15
hqMDPOyGDig,【原神/Genshin】３回目の海灯祭と2020年ぶりのヨォーヨちゃん🎆【物述有栖】【にじさんじ】,2023-01-29T12:27:52Z,12670,829,12
DTAt7f6BCV8,🔨異世界転生したら大自然でサバイバル生活が始まった件🦌#２【物述有栖】【にじさんじ】,2023-01-28T04:40:39Z,22186,1192,15
FwlyHeAmk2I,【ASMR/睡眠導入】眠れない時の認知シャッフル睡眠法-囁きVer-The Cognitive Shuffle🌙【物述有栖】【にじさんじ】,2023-01-26T15:48:20Z,43675,1195,25
kv0qh-E4l7c,🔨異世界転生したら大自然でサバイバル生活が始まった件🏔【物述有栖】【にじさんじ】,2023-01-22T05:21:43Z,44899,1891,22
XQdSt_b1k20,【雀魂🀄】初心者による初心者のための0から始める麻雀講座🔰mahjong soul【物述有栖】【にじさんじ】,2023-01-14T16:12:01Z,23528,1481,26
dGWC-ILlUiI,【🎊㊗準優勝役満🎉】有栖の麻雀歴とにじさんじ麻雀杯2023🀄🔰【物述有栖】【にじさんじ】,2023-01-10T15:09:38Z,25107,1719,28
rgJjkm6B_1g,【#にじさんじ麻雀杯】2023決勝戦🎍うさぎ年大吉役満わんだーぱわー🀄【物述有栖】【にじさんじ】,2023-01-08T13:55:43Z,67818,3222,54
fT2PDU6rME8,【#にじさんじ麻雀杯】準決勝第３試合🎍2023うさぎ年大吉役満ぱわー🀄【物述有栖】【にじさんじ】,2023-01-08T10:26:46Z,20988,1331,27
h_pz5XrnFfs,【#にじさんじ麻雀杯】うさぎ年の決勝トーナメント第６試合🎍【物述有栖】【にじさんじ】,2023-01-08T06:27:52Z,16828,936,11
cfQ5pKOtRQ0,【#にじさんじ麻雀杯】初参加🀄大三元予選Qグループ🎍【物述有栖】【にじさんじ】,2023-01-07T13:18:30Z,44621,2636,60
fewYU_ynJGU,【ASMR/Dummyhead】ダミヘで年末年始の疲れを癒やすASMR👂🌙【物述有栖】【にじさんじ】,2023-01-05T17:07:12Z,60921,1595,38
H2_oqddKhMU,【㊗新年🎍】アリストロベリー新年お茶会🍓☕【物述有栖/宇志海いちご】【にじさんじ】,2023-01-04T15:28:45Z,9785,1156,16
-gkSIduMqoc,【原神/冒険ランク60】真冬の朝から肝試し大会👻Genshin Impact【物述有栖】【にじさんじ】,2022-12-31T04:58:10Z,6889,547,11
hMlr9dQbFWw,【ギター歴56日目🔰】歌謡祭後のリハビリ的な弾き語り🎸作業用BGM/Guitar practice【物述有栖】【にじさんじ】,2022-12-29T19:46:47Z,7758,716,13
