id,title,publishedAt,viewCount,likeCount,commentCount
dYAQb7dysn4,【#百鬼あやめ生誕祭2025】お誕生日の初逆凸待ちィーーーー！？告知アリ！【百鬼あやめ/ホロライブ】,2025-12-13T14:37:45Z,655044,27613,211
wrdX3OJYvkI,お誕生日カウントダウン！！皆と見届けるぞおおおおおお【百鬼あやめ/ホロライブ】,2025-12-12T17:49:04Z,162871,15263,174
vcqm3j4fQ3A,【 DEVOUR 】スカーミッシュ敗退罰ゲーム w/ロボ子さん、Meiyさん【百鬼あやめ/ホロライブ】,2025-11-16T14:36:54Z,98976,5842,46
XlMH2wmCMTw,【VALORANT】 スカーミッシュトーナメント　一回負けたら即終了 Day2  w/ロボ子さん、Meiyさん 【百鬼あやめ/ホロライブ】,2025-11-16T11:27:00Z,63108,3656,32
jFi544Ac9uQ,【VALORANT】 スカーミッシュトーナメント　一回負けたら即終了 Day1【百鬼あやめ/ホロライブ】,2025-11-15T14:14:10Z,96591,4959,30
3pOqL7Iicvg,先いけ忍者 三次会らしい【百鬼あやめ/ホロライブ】,2025-11-13T15:34:24Z,75332,4088,36
LA8w_IJWY94,先いけ忍者 二次会会場！【百鬼あやめ/ホロライブ】,2025-11-13T13:28:27Z,106701,6006,34
GjGO_T8hZQY,【雑談】V最お疲れ様＆まったりチル雑談【百鬼あやめ/ホロライブ】,2025-11-12T15:50:48Z,78702,5944,49
sDMJBt4YLE8,【 VALORANT 】V最本番 『先いけ忍者WIN』 #SINWIN   【百鬼あやめ/ホロライブ】,2025-11-09T10:36:12Z,234233,8679,84
d1j5cJQyfzo,【 VALORANT 】チーム先いけ忍者 #SINWIN スクリム最終日 VS白那チーム！  【百鬼あやめ/ホロライブ】,2025-11-08T15:02:01Z,107136,5252,45
A7GNqnjpl5E,【 VALORANT 】V最チーム７ スクリム3日 VS ツルギチーム！  【百鬼あやめ/ホロライブ】,2025-11-07T17:59:22Z,107108,5679,32
h9zCwBOBr_g,【 VALORANT 】V最チーム７ スクリム2日 VS小柳チーム！  【百鬼あやめ/ホロライブ】,2025-11-06T17:17:12Z,118812,5863,27
3fxxpBnhbZw,【 VALORANT 】V最チーム７ スクリム初日 VS猫汰チーム！勝つぞおおお  【百鬼あやめ/ホロライブ】,2025-11-05T18:24:32Z,194784,7386,29
qBVZw90APDU,【 VALORANT 】V最チーム７ DAY5  ショーティマスターに余はなる！【百鬼あやめ/ホロライブ】,2025-11-03T16:50:41Z,127285,6425,27
zygVJq_DaV8,【 VALORANT 】V最チーム７ DAY4  昨日よりも上へ【百鬼あやめ/ホロライブ】,2025-11-02T16:52:38Z,134650,6699,30
b5UOXcp65fU,【 VALORANT 】V最チーム７ DAY3 引きちぎっていく【百鬼あやめ/ホロライブ】,2025-11-01T17:10:38Z,124149,6804,35
qoNEDzHqAuU,【新衣装お披露目】遂にこの時が来た…ッ！！【百鬼あやめ/ホロライブ】,2025-11-01T13:01:05Z,323311,23144,199
BxrIJzA4DpU,【 VALORANT 】V最チーム７ DAY2【百鬼あやめ/ホロライブ】,2025-10-31T19:00:11Z,145898,7115,35
P4aKFkmV9Tk,【 VALORANT 】V最チーム７顔合わせ　よろしくおねがいします！！【百鬼あやめ/ホロライブ】,2025-10-30T18:23:58Z,191775,8545,45
_p0828ivKrA,【#OMEN_HyperX_TGS2025】TGS直前の日本HPさんに殴り込みじゃあああああ【百鬼あやめ/常闇トワ/獅白ぼたん/ラプラス・ダークネス/ホロライブ】,2025-09-24T12:05:03Z,165200,10802,64
6rwF8U-Zh4I,7周年記念ライブ感想＆裏話...etc 振り返り！！！！【百鬼あやめ/ホロライブ】,2025-09-04T15:09:18Z,139705,11628,82
uRa-uLMea7w,【 #百鬼あやめ7周年新衣装3D 】百鬼あやめ７周年記念ライブ  ～天女繚華～ 【百鬼あやめ/ホロライブ】,2025-09-03T12:10:48Z,872457,60266,659
aOcYn6YAO5E,花吹雪 / 百鬼あやめ original,2025-09-03T12:03:07Z,934239,41933,1079
IiDk7VXOs0k,【 雑談 】皆と一緒に！！7周年カウントダウン！！うおおおおおお【百鬼あやめ/ホロライブ】,2025-09-02T16:42:29Z,164694,15186,189
5wOimVAtXoA,【 歌枠 】重大告知アリ！な歌枠　【百鬼あやめ/ホロライブ】,2025-08-24T16:02:44Z,347845,21440,116
SzuAlTDREsc,【 #カゲマス 】余、実装きちゃあああああああああああああああああ！【百鬼あやめ/鷹嶺ルイ/ホロライブ】,2025-08-21T11:22:21Z,204721,11374,127
08tWy9YWmsA,【 VALORANT 】ちょっとだけですからね【百鬼あやめ/ホロライブ】,2025-08-19T18:17:59Z,222484,12898,70
d9pq4ZLjGos,【 Minecraft 】#ホロ鯖サマーパーク おにかん夏祭りデート！？💖,2025-08-16T14:22:09Z,156092,9381,58
sYyeIVErpPo,【 歌枠 】久しぶりに歌う…！【百鬼あやめ/ホロライブ】,2025-08-02T15:06:30Z,284244,18618,112
CsVDCNUwFUg,【 VALORANT 】新しいマウス試してみる！【百鬼あやめ/ホロライブ】,2025-08-02T09:41:49Z,127863,9235,40
fAjrfM5Yyj8,【 雑談 】ひさしぶりにまったり【百鬼あやめ/ホロライブ】,2025-07-29T14:06:50Z,224279,13787,88
0NLw4O-z95c,【 #ホロの花札 】初代女王決定戦！女王は一体誰の手に・・・！？【百鬼あやめ/ホロライブ】,2025-07-28T14:10:36Z,128995,8406,41
VudFkMLdoYQ,【 VALORANT 】突然ですが【百鬼あやめ/ホロライブ】,2025-07-20T12:13:51Z,286699,14200,75
HtOdEmp6WI8,【 VALORANT 】ちょっと覗いてみますわ【百鬼あやめ/ホロライブ】,2025-07-19T14:18:25Z,215449,12457,67
qkcBNoLaCQU,【 #ホロ7DTDハード 】DAY2 ゾンビ初襲撃・・！？【百鬼あやめ/ホロライブ】,2025-07-18T17:14:34Z,195465,10333,50
IuRtRMsRuyQ,【 #ホロ7DTDハード 】初のハードコア！DAY1 生き残れるのか・・！？【百鬼あやめ/ホロライブ】,2025-07-17T16:38:43Z,233102,11405,50
qq5Cm2vrg4s,そのままの余がいちばん！だよね？#holonatsuParadise #ホロナツpiece #shorts,2025-07-17T09:30:25Z,164154,22867,873
d63ZIAUHpR0,【 Backrooms Cleanup Crew 】#みっころおにかん お掃除隊出動ーーーッ！！【百鬼あやめ/ホロライブ】,2025-07-16T14:53:00Z,138890,9810,54
dlZiFqmlQEo,【 Steamサマーセール】リスナー＆ホロメンの！？おすすめゲーム調査！【百鬼あやめ/ホロライブ】,2025-07-09T15:49:50Z,268524,14245,72
IVZKfS_obNA,【 雑談 】超ゲマDay1 おつかれさまでした！【百鬼あやめ/ホロライブ】,2025-07-06T14:03:30Z,172533,12101,64
wDVBMYPBvf4,【 雑談 】のほほん【百鬼あやめ/ホロライブ】,2025-07-03T16:01:12Z,197941,13609,65
qQw7eJJbYd8,【 R.E.P.O. 】緊急で動画をまわしています #ホロREPO【百鬼あやめ/ホロライブ】,2025-07-02T17:54:29Z,352829,17120,76
1CFlQycr7pA,【プチプチおみせっち おまちど～さま!】きｔｙあああああああああああああああああああ【百鬼あやめ/ホロライブ】,2025-06-29T14:06:16Z,256763,14709,60
2ovSj-fsiM8,【朝活】おはｙ９おうございまｓづ【百鬼あやめ/ホロライブ】,2025-06-23T00:17:36Z,237809,18262,158
x2Foz4JaMYc,【 マリオカート8DX 】Switch2 抽選結果を待つ。時は来た【百鬼あやめ/ホロライブ】,2025-06-17T04:45:45Z,381616,17044,140
IQNJqLNHe4g,【歌枠】るんるんるんるん♪【百鬼あやめ/ホロライブ】,2025-06-14T14:45:48Z,346484,22954,147
ru5wYOdYSHU,【Galaxy Burger 】ハンバーガー屋さん開店！！いらっしゃいませ～🍔【百鬼あやめ/ホロライブ】,2025-06-10T17:09:09Z,184036,12894,53
z5w2JfYSViU,【 R.E.P.O. 】はじめてのれ　　　　　　ぽ！#みっころおにかん【百鬼あやめ/ホロライブ】,2025-06-07T15:39:01Z,352228,17435,145
k8tDVSzTWWA,【雑談】ざっつだんぬ【百鬼あやめ/ホロライブ】,2025-06-06T15:01:33Z,207751,14516,77
AuwZPnHs0WU,【 #ホロ落選マリカ 】落、、、、、選、、、、？【百鬼あやめ/ホロライブ】,2025-06-05T14:24:58Z,231296,14028,68
