id,title,publishedAt,viewCount,likeCount,commentCount
s6rqqpd5rZg,skidaddle skidoodle | YAPYAP,2025-12-13T15:07:17Z,26471,3860,65
j3MWVHkeVX8,Ready to FIGHT holoEN | Granblue Fantasy Versus: Rising #ad,2025-12-14T05:12:31Z,0,247,86
0iRQmOH9Vao,First experience with Granblue! LET'S FIGHT! | Granblue Fantasy Versus: Rising #ad,2025-12-11T04:26:27Z,49012,5075,124
Md30K5oS8dE,Wonky Monkey / Nerissa + Gigi Cecilia Raora【#RissaHatchDay2】,2025-12-09T16:00:06Z,51218,6807,251
Gv1sigdjxjU,"mayday,mayday / Nerissa @holoen_erbloodflame 【#RissaHatchDay2】",2025-12-08T22:00:06Z,60493,8659,308
Roge_dBZ3sc,ぽ / Nerissa & #holoadvent cover 【#RissaHatchDay25】,2025-12-07T16:00:06Z,84757,11854,511
z7bEdyZrnns,ぐるぐる@まわる@まわルーナ / Nerissa @FUWAMOCOch cover 【#RissaHatchDay25】,2025-12-06T16:00:06Z,35940,5223,207
lKc7bl3AeBk,パイパイ仮面でどうかしらん？ / Nerissa @FUWAMOCOch cover 【#RissaHatchDay25】,2025-12-05T16:00:06Z,125866,13718,486
f-O7MjVKb0M,Advent's not scared of anything!!! | DON'T SCREAM TOGETHER,2025-12-05T03:05:07Z,38295,5201,117
oNZRYi1ldZk,Dark Breath / Nerissa cover 【#RissaHatchDay25】@ShioriNovella @KosekiBijou,2025-12-04T17:00:06Z,47765,6148,252
u-sB5v8bWvE,I LOVE YOU HAPPY 5TH ANNI @KureijiOllie | Escape Simulator,2025-12-04T06:03:48Z,19287,3385,70
T6llkUwoyy0,OBJECTION!!! 🗣️👉🏻 #shorts #hololive #holoAdvent,2025-12-03T16:00:49Z,128225,13463,184
hLxReTFD6CM,ANEMONE / Nerissa cover 【#RissaHatchDay25】,2025-12-01T17:00:06Z,89650,11895,528
CToqACGIOxY,Oki Doki!👌#オキドキ #AZKi #shorts #dance #anime #hololive,2025-12-01T16:00:29Z,76317,10574,241
4YnTHSzvgho,"Wait, she isn't dead - HOTPOT SURPRISE | Chat",2025-12-01T04:42:13Z,54118,5947,152
grqKF_paUcE,Video game music is plaguing my brain + some lyre maybe | Chatting,2025-11-29T03:36:49Z,58284,6680,129
AA8dwxRJed0,BIRTHDAY SUPER CHAT READINGGG | Chatting,2025-11-27T03:47:12Z,25402,4349,111
HPk3VE5N0to,It's us against the world! 🤜🤛,2025-11-26T16:00:28Z,135683,15379,259
2V4SFzqVee4,The Jailbirds BREAK IN! [Animation],2025-11-22T05:15:07Z,323326,33890,1361
_mThZIRqIBs,【3D BIRTHDAY LIVE】Let's party and sing with good friends! 🎂🎉 #RissaHatchDay25,2025-11-22T02:38:04Z,220760,25005,709
c3VHSj6zeBw,TODAY'S MY BIRTHDAY! 🥳 Don't be late! #RisaaHatchDay25,2025-11-22T00:00:43Z,134686,16222,290
PnknKcQXdRg,Are you ready for tomorrow? #RissaHatchDay25,2025-11-21T01:00:40Z,105345,13330,267
nD95bQhGzJ0,Hi | Chatting,2025-11-20T03:56:31Z,50126,6647,133
PMLZt_ClLtU,We'll 👁️ see 👁️ you in 2 days #RissaHatchDay25,2025-11-20T01:00:30Z,109697,12155,130
of_Oiv7HySw,"yeah, it's my second first time playing this #trust | Fortnite",2025-11-19T03:38:48Z,45171,5410,107
NVwWZJAnBsg,"IN 3 DAYS, IT'LL BE A BIBOOTIFUL BIRTHDAY! #RissaHatchDay25",2025-11-19T01:00:29Z,70165,7833,110
wriMuvThsxw,4 DAYS 'TIL MY BIRTHDAY 🎉 #RissaHatchDay25,2025-11-18T01:01:18Z,109141,12313,203
zCI6n1l_TGM,Let's practice together~ | Lyre ASMR,2025-11-17T03:25:19Z,60313,7311,191
iGsoGniBev4,The TRUE End | SILENT HILL f NEWGAME++ #spoilers,2025-11-16T05:53:13Z,28181,4500,102
ZH63XLpDlQw,Can we reach a happy ending? | SILENT HILL f NEWGAME++ #spoilers,2025-11-15T04:25:11Z,24616,4061,77
kbZ8I7uiJZk,Advent Collab + ANNOUNCEMENT | Project Winter,2025-11-14T03:07:27Z,29802,4873,89
glo8UKx2stE,Getting our second ending | SILENT HILL f NEWGAME+ #spoilers,2025-11-13T02:57:28Z,21328,3708,97
GlBoTlx6f1k,Let's race together! | Asphalt Legends #sponsored,2025-11-10T02:58:24Z,36753,4849,121
AGWrEWpizJs,Let's bring back the warmth of summer~ | #AdventArrival HOLOEARTH,2025-11-07T04:38:08Z,39038,4866,103
kVeR5mAp_FY,Who have we become? | SILENT HILL f NEWGAME+ #spoilers,2025-11-06T06:08:30Z,29051,4378,84
PvwPg9vgUKs,Summer lasts as long as you want it to~!⛱️🌞 🌊 #short,2025-11-05T00:00:24Z,59650,7018,194
dccQndQpGXE,NEW GAME+ START | SILENT HILL f #spoilers,2025-11-02T03:07:43Z,34923,4448,91
GFGhBlKGsKo,Happy Halloween /w Advent! | VRChat,2025-11-01T03:02:15Z,43740,5183,131
4NgX0H6C5ok,Happy Halloween w/ Liz and Friends! | VRChat 💄💀🗿🎼👧👁‍🗨🍵,2025-11-01T00:25:34Z,30797,3779,67
Wnd2PBDZ7_U,LOST and ALONE | SILENT HILL f #spoilers,2025-10-31T06:43:42Z,54100,5889,108
ttiJ4o4YmR0,Into the fog... | SILENT HILL f #spoilers,2025-10-30T06:42:50Z,80989,7623,126
OwfEV4RYIH0,We've Reached the END. | Higurashi Kai Watchalong,2025-10-27T05:08:22Z,33430,4492,79
KhPmWFMGaSc,I SANG FOR A VIDEO GAME! | CHAOS ZERO NIGHTMARE #sponsored,2025-10-26T03:36:52Z,55673,6429,126
ciRz6G-_Z4g,Spooky Halloween VRChat! | VRChat,2025-10-21T13:43:15Z,76610,6818,125
BNzEziu-rms,Here with my Shiwowi 💙🤍🖤 | ShioRaven OFF-COLLAB,2025-10-21T02:26:18Z,69994,8906,186
6ZjMOuQomNI,A DATE in Seoul! | NeRin's Tea Time w/ @aokumorin,2025-10-18T02:51:18Z,73170,6700,156
NNZkfJkrKnw,RACE QUEEN RISSA! | Asphalt Legends #sponsored,2025-10-17T04:44:01Z,58604,5806,137
m37HoSFic2M,Can I get uuuuuh #1 Victory Royale? | Fortnite,2025-10-04T02:21:06Z,96138,8946,179
