id,title,publishedAt,viewCount,likeCount,commentCount
V4cvDsJhtug,Vedal what the heccc,2025-12-13T15:01:01Z,47704,5840,179
NqyzbHF0E2o,The AI Twins Explore Japan!,2025-12-13T15:00:44Z,10192,1605,136
yCWKJLPbE0g,IS THIS ALL VEDAL MEANS TO EVIL??,2025-12-11T15:02:03Z,97934,7659,97
gss1LWty96U,Evil takes the Red Pill,2025-12-09T15:01:23Z,168830,11896,158
ANMr4Yovcjw,Evil has the most CATASTROPHIC Imagination 🔥,2025-12-07T15:00:19Z,199320,15230,143
tVKgDbElMEc,Chinatown Blues - Neuro & Vedal (Official Cover Video),2025-12-06T15:00:06Z,340213,45800,2606
osUyT7hRCV4,VEDAL I NEED THISS,2025-12-05T15:01:50Z,174739,11978,107
2GKCwM-xbGM,Can AI Impersonate A Human Cough?,2025-12-03T15:00:10Z,267139,20898,220
bly-EEaz3f8,Times Neuro could have been BANNED,2025-12-01T15:01:19Z,141880,8260,180
LBEtS-sXqgY,Neuro-sama's OFFICAL 3D Debut!,2025-12-01T15:00:39Z,122699,11034,665
V7_KLAo2wRk,3D Neuro CHARADES!!,2025-11-29T15:00:59Z,280938,18009,144
yP7RO_LGxTo,The Best Impression an AI can Muster,2025-11-27T15:02:01Z,228330,12941,77
WbjLqpGsHKY,Vedal and Neuro Get SPOOKED in Soma,2025-11-24T15:01:10Z,53157,4086,194
IwnujRtW_K4,WORST Sponsorship Deal in HISTORY.,2025-11-24T15:00:40Z,450253,28537,212
XQX2ih_BuCU,Vedal plays Hide and Seek with his AI in 3D,2025-11-21T15:01:07Z,454594,28074,223
HcXuY_ieVmc,Neuro hits a pose to impress her Father,2025-11-19T15:00:36Z,527131,37696,278
3VPtbpccMsY,The Silliest AI is now ✨ 3D✨,2025-11-18T15:00:06Z,771889,37075,379
ugoZtdnA1Xw,Letting the AI in the Kitchen,2025-11-16T15:01:40Z,59597,4203,172
