id,title,publishedAt,viewCount,likeCount,commentCount
br2RUd7W-9g,【THE GAME AWARDS】 Vote Nimi for tapir of the year!,2025-12-12T04:37:14Z,148705,9191,271
hKuuusuYexg,【Pokémon Legends: Z-A】 Me n my meganium | #6,2025-12-11T03:12:45Z,44885,4547,157
GYauQPSBB4o,【Teddy's Haven】 My favorite cozy shop simulator got new updates!,2025-12-05T03:09:24Z,61835,5417,157
XrOGQwtLilU,【DISPATCH】 When does the Blonde Blazer enemies to lovers arc start? | FINALE,2025-12-04T02:53:47Z,107554,7333,294
502DWumZ6qk,【DISPATCH】 Your new tapir hero reporting for duty! | #2,2025-12-02T02:48:37Z,123769,7840,262
-_nr04rrOg4,【DISPATCH】 New Telltale Style Game & I'm In Charge!!,2025-12-01T02:30:52Z,140668,9466,318
NZ0Wv48YA4g,【FEAR & HUNGER】 Nimi vs. the darkest horror game | #3,2025-11-29T03:35:36Z,88443,6723,194
qQ7bJPuJ_no,【GETTING OVER IT】 How many times can I beat GOI in 1 hour?,2025-11-28T00:14:12Z,60545,5690,262
agTLQZtwRUc,【FEAR & HUNGER】 When I grow my limbs back it's over for you | #2,2025-11-26T03:28:37Z,103612,7686,259
9ZA_AB0tF9s,【Wii Game Show Games】 Testing my 2010 trivia knowledge,2025-11-25T02:47:02Z,62896,5886,201
qGL1WEFMscs,【FEAR & HUNGER】 The horror game I was too scared to play,2025-11-23T02:12:32Z,134715,9709,325
gImZpoaLgH4,I am here,2025-11-21T23:09:35Z,58197,6271,211
VjCKXbFwzug,The Nostalgic Flash Games From My Childhood,2025-11-19T23:00:43Z,53258,6217,514
CSv1dehMymk,The Impossible Quiz,2025-11-18T02:00:11Z,91871,9057,515
MtlBQHHlVAM,Nimi Takes a Social Intelligence Test,2025-11-15T23:00:06Z,43980,4922,226
9enpmZv71yc,Can I Solve the World's Hardest Captcha?,2025-11-13T23:00:06Z,69484,7201,422
9xojpF5q4Ps,Taking a Test to Find Out if I'm Actually Tone-Deaf,2025-11-11T23:00:06Z,109247,11599,614
t4vCoEQb-P0,"【DUDE, STOP】 No, I don't think I will.",2025-11-10T00:08:57Z,60652,5602,225
qrJ4cpQ8aIY,【DOG WITCH】 New roguelike deckbuilder where you CAN pet the dog!,2025-11-09T02:10:45Z,64425,5907,152
e3VVfecwOlA,【Pokémon Legends: Z-A】 Get paycheck. Buy fashion. Repeat. | #5,2025-11-06T03:11:52Z,52928,5034,152
Z7SLQ4d-P7g,【a stream】 forecast: 70% chance of pokemon,2025-11-04T01:17:54Z,53233,6049,216
6JCJPDiITXk,【Pokémon Legends: Z-A】 Manifesting shiny pokemon | #4,2025-11-03T03:12:16Z,59558,5026,150
1EiVI_3D9Ok,【3 Scary Games】 Exploring short & spooky indie games,2025-11-02T01:12:31Z,72453,6053,188
EvSKLkCP9X4,ASMR Nurse Removes Your Brain,2025-10-31T22:00:06Z,409877,21680,1112
R0cFBD6jwC8,【Dracula: The Resurrection】 Bizarre point-and-click vampire game from 1999,2025-10-31T01:08:02Z,49278,5198,169
dsaxlQXxTj8,【Alien: Isolation】 Bravest tapir vs. xenomorph | #2,2025-10-30T02:25:30Z,62844,5959,169
uhD-SEu-UPQ,【Pokémon Legends: Z-A】 What is my nurse doing in wild zone 8??? | #3,2025-10-25T02:06:57Z,59806,4864,155
yMNAxnuROdk,【BALL x PIT】 New & addictive brick-breaking roguelite!,2025-10-24T02:05:16Z,82378,6276,213
-VGWofm0Voo,【Little Nightmares III】 The co-op threequel to my favorite horror game with PHOEBE,2025-10-23T01:52:40Z,94047,7254,163
5JpK6wCpPNw,"【Alien: Isolation】 I'm going to regret this, aren't I?",2025-10-20T04:13:26Z,131211,9249,264
MpDE_-2wU50,【Pokémon Legends: Z-A】 Legally distinct pink nurse plays pokemon | #2,2025-10-18T03:37:17Z,67917,5444,167
bt42DMw70os,【Pokémon Legends: Z-A】 The Pokémon knower has logged on,2025-10-17T03:32:15Z,96517,6788,195
Q5BGyVWWl_4,Nimi attempts to draw Pokémon from memory,2025-10-15T23:58:23Z,63844,5514,259
FhdqJ-HYSP0,【MINECRAFT SKYBLOCK】 My island is so cottagecore cozycore prisoncore,2025-10-14T02:18:43Z,73345,6746,203
G03zV4PlHxs,【CARIMARA】 Beautiful & Creepy Horror Game Where You have no voice,2025-10-13T01:16:29Z,62539,6090,158
2-heo8MsGoY,【BIRTHDAY STREAM】 Nimi's Maze of Horrors #BirthdayBaku2025,2025-10-11T00:01:54Z,116171,12508,549
q42ucyHBSZ8,youtube please,2025-10-10T02:38:46Z,121640,10058,201
6_Sa67bo53I,"【Road To Empress】 Ruling the palace one ""good"" decision at a time",2025-10-09T23:22:19Z,72870,5366,317
MW3ZM5yyBcg,【Unfair Flips】 Gambling with a coin that can only flip tails,2025-10-09T01:38:51Z,68969,6204,188
-9ofHHGZHWU,【MEGABONK】 Addictive new roguelite where you BONK,2025-10-04T01:27:35Z,109722,7757,180
h-mlJwFKnSY,10012025_forest.mp4,2025-10-02T00:12:55Z,101275,12041,348
7meuhc4aPwk,【SKYBLOCK MINECRAFT】 0 days since last mob spawner incident,2025-09-30T01:22:18Z,68481,6178,163
g8fdYvx3_mw,【ELDEN RING: SHADOW OF THE ERDTREE】 DLC starts NOW! | #1,2025-09-29T01:56:45Z,93177,7117,228
8oFlHDVBYLs,"【No, I'm Not a Human】 Your Neighbors are NOT what They Seem (Full Release)",2025-09-27T01:00:01Z,104270,7645,198
rD_WW200Aqg,"【The Wolf Among Us】 That's it, I'm sending everyone to the farm | FINALE",2025-09-26T01:23:20Z,48531,4822,223
M0VtCrS9D0s,【The Wolf Among Us】 We've got ourselves a murder mystery | #2,2025-09-25T01:43:23Z,52005,4863,175
xeVuA5AziB8,【Sims 2】 Can I survive as a lone child in The Sims 2?,2025-09-23T00:56:44Z,52638,5254,167
VIy7mIOW8p8,【The Wolf Among Us】 Making very good decisions in this classic Telltale Game,2025-09-21T02:13:32Z,83470,6547,278
HMry7BzvMig,【Half Sword】 Medieval Combat Simulator but make it QWOP,2025-09-18T23:22:16Z,55299,5725,229
FFPqDKcsLfk,【The Quarry】 I have a bad feeling about this | #2,2025-09-18T03:06:29Z,76404,8438,245
dZwZ2LMItvw,【The Quarry】 Nimi controls the fate of nine teenagers (they are doomed),2025-09-15T01:31:59Z,98319,11338,207
fldbRmQ91Pk,Nimi finds the go live button,2025-09-14T01:06:57Z,95555,8890,209
BlAkThwMZY0,Learning to be a mother from questionable Wii games,2025-09-06T00:52:24Z,56523,6732,260
eQT4U2_rwWc,【SKYBLOCK MINECRAFT】 In my happy space,2025-09-05T02:19:34Z,71873,7306,164
rq7oYfJAMRw,【Hollow Knight】 The one where Nimi beats the game for real | #5,2025-09-02T02:20:34Z,66103,7565,308
GHht2o2kp1Y,【Hollow Knight】 Please no more deepnest | #4,2025-08-31T03:54:46Z,71294,7282,188
2tR_ZRdVL8w,"【Hollow Knight】 When I close my eyes, all I see is Hollow Knight | #3",2025-08-30T04:30:29Z,67583,6719,181
rGhvKj-2zhA,【Hollow Knight】 One Nimi tries to beat Hollow Knight before Silksong | #2,2025-08-29T04:05:47Z,74402,7495,180
6RIxtZsvyIY,【Hollow Knight】 Is this game hard?,2025-08-28T03:40:11Z,125257,11244,268
iVbHClk6BMU,【SKYBLOCK MINECRAFT】  On a Monday??? | Day 3,2025-08-26T02:40:11Z,100062,10710,225
_DFhGAEqPKc,【The Life and Suffering of Sir Brante】 Your choices decide his fate & his suffering,2025-08-25T01:26:56Z,48937,6089,212
0lPM8kagZik,【Teddy's Haven】 This medieval shop simulator is my cozy GOTY,2025-08-23T01:36:07Z,54485,6459,172
8tpHSsdm65s,【SKYBLOCK MINECRAFT】 The one where Nimi makes a mob farm | Day 2,2025-08-22T02:43:12Z,91837,10391,204
yCfI0gst8Og,【SKYBLOCK MINECRAFT】 Day 1,2025-08-21T02:36:03Z,162976,12891,343
leIRL8k_9DA,【Teddy's Haven】 Living out my dream of opening a fantasy shop,2025-08-16T02:57:14Z,81665,8276,228
WN3gVX_xT-w,【RESIDENT EVIL 6】 This game is ridiculous (and awesome) | #2,2025-08-15T02:24:55Z,59454,7014,204
M2dw-gl_RfA,【ELDEN RING】 GETTING GOOD OR ELSE FOR REAL | #20,2025-08-14T01:35:35Z,79281,8111,288
QBR3n1us1rY,【Wii Fit】 Nimi gets fit with the Wii's most ruthless fitness assistant,2025-08-11T23:25:21Z,78199,8847,265
kUv1Ufg6IeE,【RESIDENT EVIL 6】 Green girls vs. classic action horror WITH @mintfantome,2025-08-11T02:13:45Z,119283,9747,236
2HBt4vjophY,【CRUSADER KINGS III】 Fixing the Game of Thrones timeline with the power of fatherly love,2025-08-10T03:19:12Z,82430,6785,152
gqanjzXFKLo,"【Static Dread】 DON'T LET THEM IN Eldritch Horror + Papers, Please",2025-08-09T01:25:12Z,80716,7107,170
tLSftpI2a-U,【CRUSADER KINGS III】 I watched too much Game of Thrones so now I'm playing CK3,2025-08-07T03:23:58Z,123460,8815,213
liZsHLw_S2A,【Animal Revolt Battle Simulator】 Determining once and for all who would win: 100 men or 1 t-rex,2025-08-04T00:21:58Z,85585,7557,190
kWPQE49zn1w,【3D OUTFIT REVEAL】 Summer isn't over yet! #BeachBaku,2025-08-01T23:18:10Z,213206,19788,515
EcR3YFqDLjU,"【THE WITCHER 3: BLOOD AND WINE】 If it involves vampires, I'm in | #2",2025-08-01T01:45:22Z,65402,6218,177
1NGLU5RGdp4,【The King is Watching】 Super addictive roguelite where YOU MUST NOT LOOK AWAY,2025-07-31T01:49:45Z,116002,8543,199
HcZjvqM63zQ,【A Dark Room】 The room is freezing. The voices say to survive.,2025-07-29T01:59:39Z,106389,8871,178
yUjg-6BTvWs,【Roguelike Variety】 Playing Hot New Roguelikes of 2025,2025-07-28T01:41:42Z,115965,8878,207
INk-jLxNDYg,【Emissary Zero】 RELEASE THE MOON,2025-07-26T01:33:35Z,90342,7601,171
eURCqXczPoQ,【JUST DANCE 4】 Dancing to the best songs of 2012,2025-07-24T23:13:08Z,115511,11106,300
ov5e9uwqT8s,【UMAMUSUME】 The Haru Urara Cinematic Experience,2025-07-24T02:15:56Z,187424,15443,469
FTNqu43oMck,【THE WITCHER 3: BLOOD AND WINE】 The Witcher DLC that was made just for me,2025-07-22T02:25:11Z,133107,9489,874
QtHL9A0npHs,【ELDEN RING NIGHTREIGN】 Run it back,2025-07-20T02:11:22Z,235715,16752,264
vzr8bg_rfDU,【ELDEN RING NIGHTREIGN】 Co-op suffering or co-op gaming?,2025-07-19T02:18:54Z,175945,14924,259
ugWXEyCakAg,【insert title here】 some kind of stream!,2025-07-18T00:53:45Z,167318,15232,325
3bXBu14dGNA,【Trauma Center: New Blood】 Curing patients with nothing but a Wiimote,2025-07-17T02:12:07Z,89009,7324,265
rt2OU-9_UCI,【Until Dawn】 They don't know that I'm the real killer | #2,2025-07-15T03:08:52Z,139830,9914,324
Z1r5BxzjE7M,【Until Dawn】 My decisions determine if 8 college kids live or die,2025-07-14T01:39:21Z,158656,11186,323
1cWmsA_KZW8,【Emissary Zero】 Co-op horror in SPACE,2025-07-12T02:33:24Z,172337,12922,260
IkejIcw6GmY,【UMAMUSUME】 Put me on the track,2025-07-11T01:14:12Z,144903,10564,251
ZlnM0xr4kZg,【HITMAN】 I was made for this,2025-07-10T01:28:40Z,135583,11540,261
PUHFXhVl60Q,【UMAMUSUME】 Horse Girl Racing Cinema,2025-07-08T02:26:00Z,208984,14041,277
Vx-47VQkWQs,【DELTARUNE】 Why is my son so sus | Ch 4 #2,2025-06-24T01:35:59Z,107932,7248,211
PEqGuXwwsYE,【Elden Ring】 The Great Return to Elden Ring | #19,2025-06-23T01:11:15Z,118524,8920,296
JUdDcFmYYIg,【DELTARUNE】 CHAPTER 4,2025-06-20T02:52:18Z,132093,7878,213
QLcQCclwFQs,【Blue Prince】 Room 46 wants me so bad (it doesn't want me at all) | #5,2025-06-19T01:30:06Z,94047,7892,225
ZzWzVHqsw80,【We Ski】 The incredible Wii game from my childhood with immersive 3D controls,2025-06-18T00:37:11Z,103950,9736,241
TCjRhF902A0,【3D Model Reveal】 Nurse Nimi now in 3D!!! 💭,2025-06-14T23:36:03Z,274251,29607,635
bL8cYs9IzEA,【SCARYOKE】 The most TERRIFYING karaoke on Friday the 13th!!!,2025-06-14T00:09:38Z,97823,11377,257
GOX8jS11v7M,"【Blue Prince】 Listen to me, Room 46 is real | #4",2025-06-12T03:34:32Z,103880,8116,222
phUREITjasY,【Lost in Vivo】 Terrifying horror game that gives you claustrophobia,2025-06-11T00:55:08Z,111511,8990,221
855KKOp5xdY,【DELTARUNE】 THE NEW CHAPTERS ARE HERE,2025-06-10T03:02:44Z,170371,10562,270
VIY0OANnvtU,【Mario Kart World】 Switch 2 gaming and cartridge taste test!!!,2025-06-07T00:49:24Z,165520,11821,303
l4qv2feBU0E,【Mario Party COLLAB】 Concert girlies play Mario Party! #VirtualVacation2025,2025-05-31T02:22:33Z,198208,15439,245
hEMPdZYcT3U,【ELDEN RING】 Nimi vs. The Hardest Boss In The Game (for real) | #18,2025-05-29T23:55:55Z,116583,8589,343
_hgksw7pmB4,"【Space Warlord Organ Trading Simulator】 The game where you... Well, the title explains it all really",2025-05-29T00:26:25Z,118890,9316,286
0rWd4fGok20,【Blue Prince】 Solving puzzles based on vibes alone | #3,2025-05-26T01:43:52Z,109199,8382,206
DoVZ0BTPSb0,【ELDEN RING】 Entering the supposed worst area in Elden Ring | #17,2025-05-25T01:42:56Z,153127,10663,256
HdU8TAbf4Yg,【The Sims 2: Castaway】 The Weird and Wonderful Sims 2 Game For the Wii,2025-05-24T00:03:10Z,112353,9202,284
fFniMg03F78,【Blue Prince】 Green Nurse vs. Blue Prince | #2,2025-05-22T02:27:10Z,123024,9711,258
TY9TBko95rs,【Blue Prince】 The mind bending puzzle roguelite where every detail is a clue,2025-05-20T02:23:25Z,178876,11577,259
D1mCtZew8EI,【ELDEN RING】 If Aurelia is so good why isn't there Aurelia 2--THERE IS | #16,2025-05-19T02:08:33Z,148055,11168,261
USSc1TNvYB8,【RimWorld】 I bought the DLC that turns RimWorld into the sims,2025-05-18T00:35:21Z,141092,11089,238
RNs3kQE12dU,【ELDEN RING】 Tapir who forgot how to play vs the hardest boss in the game | #15,2025-05-16T01:55:41Z,148426,11041,238
7i64-IXexa0,Tapir Time!,2025-05-15T00:42:56Z,179909,16013,368
bpYXHxSQ4a4,【Miscellaneous】 Nimi doesn't know how to spell,2025-05-07T23:09:20Z,136566,10682,321
V-P5DUdFCsg,【Lord of the Rings: Gollum】 #1 Smeagol defender plays the Gollum game,2025-05-06T01:08:23Z,158423,12188,437
FpCxiVl176c,【NIMI NEWS】 Exciting announcements!!,2025-05-02T17:12:59Z,204053,21259,514
uyCXvGHiD-0,Lovefool 〖 Miku Version - Nimi Cover 〗,2025-05-02T17:10:06Z,552645,44018,1503
_B5FjLaTNpo,【ELDEN RING】 The loathsome dream eater... | #14,2025-05-02T01:02:11Z,151379,11712,263
kiAVL8T-fUE,【Oblivion Remastered】 So when does Faendal show up?,2025-05-01T00:01:19Z,137636,11053,258
Nw5IeWbDCUM,"【PLANET ZOO】 Oops, all tapirs! WORLD TAPIR DAY",2025-04-28T01:44:17Z,264535,19466,349
1kuAGK3fVyk,【ELDEN RING】 BIG CITY BIG NIMI | #13,2025-04-27T03:00:31Z,206876,14485,273
9xofvDauu3Q,【Oblivion Remastered】 Skyrim fan's first Oblivion experience,2025-04-24T01:07:14Z,412960,25257,703
kR9OGRINfBE,【NEW MODEL KARAOKE】 tapir sings!!,2025-04-23T02:23:28Z,307847,30657,532
RIhX_-s2GA4,【NEW MODEL REVEAL】 Your cute nurse is here!!! 💭,2025-04-23T01:00:47Z,560527,61133,1364
M2yD3es659E,【ELDEN RING】 I am just.. I am just playing elden ring | #12,2025-04-21T01:30:13Z,155494,10323,240
HA2ESdHjLJY,【RimWorld】 Nimi... The colony is burning... Nimi...,2025-04-20T03:51:45Z,254159,15793,376
-Xbo_P9R3fI,【ELDEN RING】 My hat is bigger than yours | #11,2025-04-18T01:59:29Z,160100,10921,289
-TZGz7AeJKY,"【ELDEN RING】 No vigor, no problem! | #10",2025-04-17T02:41:22Z,178719,12661,258
2YLkXLUGO-g,【ELDEN RING】 The Episode Where Nimi Discovers Builds | #9,2025-04-13T03:26:02Z,183217,11207,326
ONejDBijtf8,【ELDEN RING】 elden ring more like elder ring | #8,2025-04-11T02:33:05Z,128028,8986,276
fdVNqYPm6BM,【Luck Be A Landlord】 Addictive Roguelite Where You Play Slots To Pay Rent,2025-04-11T00:05:15Z,96549,7474,162
HxaL7J91j9U,【ELDEN RING】 Ring! Ring! Ring! Nimi's calling! | #7,2025-04-10T02:39:43Z,129798,9726,220
BdaV3wgNa10,【Voices Of The Void】 Horror Game Where Mysterious Signals From Space are your only warning,2025-04-10T00:18:11Z,132255,10483,245
e6DSdJ9r-FM,【ELDEN RING】 One more Elden Ring stream I'll play something else soon I promise | #6,2025-04-06T01:26:19Z,161627,11237,301
-556zE98YCY,"【ELDEN RING】 This tapir hits your summon with a glintstone pebble, wyd? | #5",2025-04-04T02:30:23Z,203310,13033,331
a_LhlktkkMI,【ASMR TASTE TEST】 April fools!,2025-04-01T22:38:35Z,171096,13464,670
qXM02H70Qww,【ELDEN RING】 Just me and my fish | #4,2025-03-31T02:51:03Z,225941,14230,328
qRdGlK6iw1U,【ELDEN RING】 Oops all Elden Ring! | #3,2025-03-29T02:27:34Z,227905,14657,330
y7YyeSjv3k0,【ELDEN RING】 Be careful who you call maidenless | #2,2025-03-28T01:12:55Z,214801,14410,316
1pOQjq6wPNM,【ELDEN RING】 Tapir plays Elden Ring for the first time!,2025-03-27T02:36:49Z,374160,21670,462
aLV62s8ToWM,【The Walking Dead】 THE GRAND FINALE. Will Nimi save Clem?,2025-03-25T00:37:27Z,117247,10402,324
SCJT7-EIT1o,【BABY BEAN'S CHARITY BASH】 8 hour charity stream to fight childhood cancer!,2025-03-22T06:35:47Z,581264,41831,618
jpyX6HkvzkA,Baby Bean Purring & Petting ASMR 🖤,2025-03-21T22:32:26Z,123568,16228,1053
h5FnFpnNwHs,baku baku baku baku baku (charity stream tomorrow!),2025-03-21T00:00:24Z,145747,15110,319
5g78YyyODWg,The Sims 2 is my emotional support game,2025-03-16T02:18:56Z,249709,21984,583
bXPjnPVxRz4,【The Walking Dead】 The last thing you see before you're pushed off a bridge | #3,2025-02-27T02:28:30Z,177850,13017,563
fVIF717zxZU,【Miscellaneous】 This VTuber does the Dles,2025-02-25T00:10:10Z,137039,11840,375
P-SzO9mG3Yo,【The Walking Dead】 Me when I definitely didn't get bit in the zombie apocalypse | #2,2025-02-17T04:13:18Z,210184,13717,486
g07EuAwxxeQ,VALENTINE'S KARAOKE 🍫💝💌💟,2025-02-15T00:54:03Z,158575,16585,426
ahQNyBK0QO4,【L.A. Noire】 The Final Season For Real This Time Part 2,2025-02-14T01:16:26Z,91003,8565,303
eZMuWfS4cD8,【The Walking Dead】 Would Nimi survive the zombie apocalypse?,2025-02-13T02:51:18Z,219808,14782,397
X2k_FzcyHOw,There Is No Game.,2025-02-11T03:32:27Z,270390,17833,343
p12ulnb9JZQ,【L.A. Noire】 The Final Showdown (Part 1),2025-02-10T02:00:19Z,107053,9651,276
bE45f5HXCsw,"Nimi Plays Pizza Simulators 【Good Pizza, Great Pizza & Papa's Pizzeria】",2025-02-09T02:48:05Z,210179,15883,326
MPhDYWQbAos,Why I stream in a closet,2025-02-07T23:00:30Z,479797,65118,876
1NFED47r43w,【Crusader Kings III】 I have to find out what happens to Prince Faendal!!!,2025-02-07T04:48:57Z,184631,13739,325
klls7n1J7Sw,【Crusader Kings III】 I heard this game is like The Sims,2025-02-06T03:52:43Z,290187,18877,447
XfbgZX-CXYk,【NIMI DAY】 Cooking Mama & A SPECIAL RELEASE,2025-02-04T00:19:34Z,161099,14795,293
7iucmGGJAyE,I'm Thinking Nimi 〖 Miku - Anamanaguchi Cover 〗,2025-02-04T00:15:06Z,898135,74239,2921
FvQprVYItzo,What I really think about my chat,2025-02-02T23:00:10Z,460582,70424,1431
5ohgUQj9wZE,【L.A. Noire】 They put this tapir in charge of arson 🔥,2025-02-02T02:20:38Z,168569,14606,320
yBo4Lk_IXKs,【The Sims 2】 Tapir plays her favorite childhood game,2025-02-01T08:31:56Z,216362,17464,348
uVSLh08OZBg,Nimi Vs. Old Wii Gameshow Games,2025-01-30T01:44:30Z,252947,20881,455
RvrGhNbtLOo,Why VTubers sound different than their debuts,2025-01-27T23:00:23Z,727901,92621,1714
xYct_OHVxtI,"【No, I'm Not A Human】 Do Not Let Them In.",2025-01-27T02:58:25Z,274316,21115,386
oCGnLixOtHM,"【UFO 50】 Highly recommended smorgasbord of ""retro"" games",2025-01-26T01:24:48Z,214694,18270,329
DXPMf-4IEoE,【L.A. Noire】 Let me show you my true power... DRIVING,2025-01-25T18:57:03Z,261615,20223,358
09QeDLsHB90,"【MiSide】 That's it, I'm activating Windows Defender. Goodbye, Mita.",2025-01-23T01:40:46Z,242430,20197,439
GyUz6TFLfWA,【KARAOKE】 singing tapir!!!!,2025-01-21T00:51:20Z,352901,34135,817
DW6xbKOb7mA,"【MiSide】 I don't need to fix her, she's already perfect",2025-01-20T05:57:55Z,463268,36039,654
ljfAqmLb-Hw,"【DNA REVEAL】 The test results are in, Nimi is... 100% silly!",2025-01-19T00:12:39Z,412391,39647,1058
rrdIFdJrveo,You can trust Nurse Nimi!,2025-01-18T05:32:46Z,252961,35627,1929
iLf9P_bWJc4,【VTUBER DEBUT】 Nurse Nimi is here to devour your nightmares! 💭,2025-01-18T00:31:33Z,1155893,120911,4860
nqytK2xDDmE,lemonleaf orders a pizza,2024-11-30T01:01:07Z,857103,57657,5739
mAed6z6Qdos,ASMR You Are Florida And Hurricane-chan Wants Your Attention,2024-11-19T21:55:04Z,353775,24141,1487
4P8lm61vvnQ,shrimp miku - lemonleaf version,2024-11-17T22:30:02Z,741344,45313,2653
