id,title,publishedAt,viewCount,likeCount,commentCount
QYlzUn0CAfo,❤️,2024-08-26T18:01:14Z,23485,1499,32
KIsohvZpO0E,ME CAÍ DE UN AVIÓN (no es broma),2023-10-20T21:00:17Z,139908,4987,601
FLYFqjZoEcs,LA PEOR PESADILLA DE UNA VTUBER... 😰 | Parasocial,2023-09-30T23:45:08Z,64733,3142,329
37WYfgStPpk,ME PAGARON PARA VIAJAR A ANDORRA,2023-09-03T18:30:32Z,90624,3584,422
J3tdstYikb0,SALI A LA CALLE A DAR VERGUENZA AJENA 🤑 (vlog),2023-08-02T21:09:51Z,121030,3883,583
JtcrZFXoD2U,Mi Nueva Máscara !  🎭,2023-06-30T02:13:09Z,187544,7606,1584
F0aDnRtuCLg,LA IA CONTROLA MI MENTE...,2023-06-22T00:13:54Z,112151,5210,1342
FTUfSJFirVs,MI VIAJE A MEXICO!! (vlog epico :3),2023-02-16T22:45:07Z,311511,19983,1797
Ndbdmj7aq2w,MI VIAJE A ARGENTINA,2023-01-06T00:45:49Z,592357,33222,1217
JUFa0vAlAFg,NIMU MOTOMAMI REACCIONA AL REWIND HISPANO 2022!,2022-12-31T01:11:37Z,215118,15873,602
YmSCPw6W9Ko,NIMU EN REALIDAD AUMENTADA!!,2022-12-26T20:43:17Z,326817,23038,557
6fk7K0ziaM8,PRENDÍ LA CAMARA…,2022-12-22T16:59:50Z,382803,36092,1509
cbyYV_u1FSU,Nimu - NEBULOSA (Audio Oficial),2022-12-19T22:07:36Z,328713,25043,1355
FRAqPeh7MP8,VOY A PRENDER LA CAMARA.,2022-12-18T20:53:49Z,972235,71035,2058
sfXfwwU6VnY,VIENDO LOS PRIMEROS VIDEOS DE YOUTUBERS!,2022-11-27T23:04:27Z,491207,28926,564
P0llwtYOD2M,ESTOY CANSADA DE ESTO...,2022-11-17T20:31:37Z,217410,18577,518
8hNQeT6T3V8,voy a dejar de ser vtuber.,2022-11-11T23:07:04Z,1464220,100090,4287
au0BaX16QCo,SI MIENTO SE ACABA EL VIDEO!,2022-11-07T00:41:00Z,740161,45431,904
_YiOzW7rfUo,😭 UN DIA CON RIVERS 😭 (muy triste 😭),2022-10-16T01:04:20Z,587677,36792,1250
Pu3-2tpBies,UN DIA CON MISSASINFONIA (muy epico!!),2022-10-12T01:03:00Z,975340,67521,2667
iilWueQV6BA,UN DIA CON JUANSGUARNIZO!!1 (no tan epico),2022-10-09T01:07:24Z,394979,32070,870
TXXt8lnQo5g,UN DIA CON ARIGAMEPLAYS 😡,2022-10-06T01:09:55Z,470200,34553,973
WVBvoISW7Fs,😫 UN DIA CON MAYICHI 😫,2022-10-04T00:41:33Z,190389,16843,830
d5r0m9OrtAM,🤓 UN DIA CON EL DED 🤓,2022-10-01T21:08:04Z,170075,16026,484
ElSvWXNKb_A,😔 UN DIA CON CONTERSTINE (otro furro 😔 ),2022-09-29T22:23:32Z,238957,19673,788
4d_0aa72aS0,UN DIA CON KENDOMURFT ( furro 😨),2022-09-26T22:03:10Z,362346,27449,979
g_6B6L3lKZ4,UN DIA CON CAPITAN GATO (ㅇㅅㅇ),2022-09-24T01:24:24Z,395467,28923,613
CmkTWivDiPI,UN DIA CON LUNARIA (patas 🤨 📸?),2022-09-23T00:55:35Z,266207,21309,817
ZTU_GCGVf5k,UN DIA CON EMIKUKIS (sumisa 😳?),2022-09-22T00:14:18Z,445319,33210,1206
by0Vj5YqRm8,😍 UN DIA CON FLEXVEGA 😍 !1!!,2022-09-20T00:07:19Z,1215848,69540,2358
OeI-tEhIwTU,UN DIA CON AQUINO (AQUI SI!!),2022-09-13T00:55:02Z,399914,30473,545
-yG6Tst5-m0,UN DIA CON ALDOXITO,2022-09-11T00:40:15Z,281102,21342,459
I3NjwCmysEc,UN DIA CON ZILVERK,2022-09-09T00:08:50Z,318641,26785,336
-dA-PuImz9E,UN DIA CON MAAU (:v),2022-09-06T23:28:02Z,214246,19448,408
IbUH9_T5fIo,UN DIA CON MILLYMUSIC,2022-09-06T00:03:23Z,456546,35994,513
N5ikH1Wn8Xo,UN DIA CON FARFADOX (farfi),2022-09-03T23:09:42Z,1022395,66327,647
4XWKv_hqe2o,POV: el sueño que todos tenemos,2022-08-16T21:37:50Z,147642,15419,685
BtCpUm6v-5A,LAS PEORES SOLICITUDES DE DESBANEO,2022-07-26T22:25:04Z,202638,19537,612
10FAxWFhAN8,EL DIA MAS EPICO DE MI VIDA,2022-06-27T21:50:37Z,627445,52307,692
Pc8Cdh8QVe8,este video está editado por $1,2022-06-23T22:38:07Z,175813,18095,508
