id,title,publishedAt,viewCount,likeCount,commentCount
uhGlPDb0Es0,i wanna sing!! (probably epic songs),2025-11-25T20:09:54Z,832,147,1
zUdlNmSXHXo,(Acapella Ver) Would You Fall in Love with Me Again【Cover | SANDAiVA njess x VERSA ‪@ErayRyuki,2025-11-22T12:00:06Z,7277,1538,56
QXyrsx6EI00,FREEBIES SIGNING SESSION!!,2025-11-14T01:44:55Z,526,105,0
5icKPi8EpO8,what our voices sounds like combined! @ErayRyuki,2025-11-11T03:00:15Z,14133,2445,38
HVmwpfpwWKk,masi inget aku kah?,2025-11-06T20:50:00Z,605,96,0
9GAprV-ijD4,100 SONG CHALLENGE PART 6! TAMAT GA SI??? TAMATTT PLS,2025-10-24T08:57:28Z,1778,285,1
ZXpV_Sg62ms,where is my husband? 🤨,2025-10-23T06:00:29Z,3551,521,5
2L-F-k1iU78,LAST CALL MERCH CF 21 SANDAiVA ✨,2025-10-21T21:52:47Z,482,115,0
zO_TlsBvr6I,would you fall in love with me again? ft @ErayRyuki #epicthemusical,2025-10-20T06:01:36Z,18072,2523,21
jlhSYyiZrF4,bersih bersih malah keinget... | UNDUSTED,2025-10-19T00:09:58Z,412,92,1
qMp8r7k1sWk,mau nyanyi 1 jam,2025-10-18T21:21:26Z,535,97,0
bzzSzL2p1dk,Would You Fall in Love with Me Again - EPIC: The Musical【Cover | SANDAiVA njess x VERSA @ErayRyuki 】,2025-10-18T12:00:06Z,158223,14436,641
7UWlH-HB3hk,di-ghosting sama VTuber?!,2025-10-16T06:00:07Z,17250,2475,23
P0NWGNpEESY,h-halo :0,2025-10-13T02:13:16Z,564,115,0
yxWiNJ63BYM,MEMBAWA SUAMIKU PULANG,2025-09-30T13:31:18Z,720,135,0
l7GL4NSxdeM,ak ada yang baru muehehehe,2025-09-26T13:37:50Z,645,123,0
U0GgwmhoYkg,100 SONG CHALLENGE PART 5! full danna sama kah?,2025-09-16T13:10:42Z,2142,331,2
ZLMSq7lulP4,NJESS DITANDAIN AGENSI SENDIRI?,2025-09-16T06:10:01Z,13655,1688,12
