id,title,publishedAt,viewCount,likeCount,commentCount
yZfCBkdAyEQ,10月10日を◯◯の日にしたい尾丸ポルカ #ポルカの伝説 #尾丸ポルカ #shorts,2025-12-13T09:01:36Z,24228,1596,47
P3Lxt88-WpQ,【R.E.P.O.】フルパは燃えるぜ✨️ #バカタレサーカスゲス侍 ✨️【尾丸ポルカ/ホロライブ】,2025-12-12T15:41:02Z,44297,4420,33
ufDL_vrZOl0,【#ねぽらぼ】重大告知 in ホロアース【#ホロライブ 】,2025-12-11T13:08:33Z,124183,8716,63
s7kvQsvM2i0,【ポルカの伝説】カレーを救うのは誰だ？最強付け合せNo.1 決定戦,2025-12-11T10:00:06Z,109263,6641,485
QqKELdeijCc,海外のネットスラングクイズをしてたらCMができたwww #ポルカの伝説 #尾丸ポルカ #shorts,2025-12-10T09:00:45Z,47557,2565,44
89SI5aNJGuE,【My Little Puppy】後編✨️ご主人様いま、会いにゆきますワン【尾丸ポルカ/ホロライブ】,2025-12-09T13:54:40Z,31548,3482,66
0JJrQzYg090,4年前の自分にツッコみが止まらない尾丸ポルカ #ポルカの伝説 #尾丸ポルカ #shorts,2025-12-08T09:00:01Z,70339,3826,71
qnnriep5D0M,【#にじホロエアライダー】にじホロでわちゃわちゃ！たのしむ～～～ぞい！！！！！【尾丸ポルカ/ホロライブ】,2025-12-07T13:40:57Z,50122,4774,39
2Us5lI0fatM,マシュマロ - 尾丸ポルカ(cover),2025-12-06T09:00:06Z,58552,9681,274
2RrhZHY9fUE,この雑談タイトルはどのホロメン？ #ポルカの伝説 #尾丸ポルカ #shorts,2025-12-06T09:00:05Z,502284,11284,74
cAvaQS02Vw4,Polka Ch. 尾丸ポルカ がライブ配信中,2025-12-05T23:09:56Z,98254,6275,92
c_grQtfOf4Y,【OHAPOL】＃189 12/5金曜日！じゅうにがつって12月？ #ポルカ公演中 【尾丸ポルカ/ホロライブ】,2025-12-05T01:14:51Z,87357,7346,53
VXKe7fq02CE,【MIMESIS】AIくん、クセ強四人まとめて面倒見てもらっていい？【尾丸ポルカ/ホロライブ】,2025-12-04T12:44:04Z,89158,6643,36
oD1K0AN9MDk,【ポルカの伝説】おでん王、決めます。,2025-12-04T10:00:06Z,138197,7462,513
6Ie_4MG9gRg,【My Little Puppy】犬さん、ご主人に会いに行こう。やさしい覚悟を持って。【尾丸ポルカ/ホロライブ】,2025-12-03T18:17:53Z,122273,7780,61
Lj_ORCYjlOc,「井筒って人、買ってるー？」 #ポルカの伝説 #尾丸ポルカ #shorts,2025-12-03T09:00:40Z,58158,2779,31
Q7KS5cHf0sQ,【TCG Card Shop Simulator】最新アプデでほぼ自動化100％～TCG店の完成形か？～【尾丸ポルカ/ホロライブ】,2025-12-02T16:16:14Z,165341,8427,77
weDgccs9b4I,フムスってどんな料理？フムスを知らない尾丸ポルカの食レポがこちら #ポルカの伝説 #尾丸ポルカ #shorts,2025-12-02T09:01:28Z,30191,1998,29
9v5z4VVotns,【ウマ娘 プリティーダービー】新育成シナリオ♨️ごくらく♪ゆこま温泉郷 初見でやります‼️【尾丸ポルカ/ホロライブ】,2025-11-29T09:15:08Z,62025,4869,31
mYSp5FP-eJ8,新たな犠牲者？ホロライブスタッフの朝食がヤバすぎる・・・ #ポルカの伝説 #尾丸ポルカ #shorts,2025-11-29T09:01:24Z,307340,9021,81
iwW86W6a_mw,【OHAPOL】＃188 11/29土曜日！おいもう月末ってことは年末 #ポルカ公演中 【尾丸ポルカ/ホロライブ】,2025-11-29T01:10:59Z,67280,6003,44
0vIHdnRIkfw,【MIMESIS】本人より本人らしいAIに負けるかもしれない日【尾丸ポルカ/ホロライブ】,2025-11-28T12:52:52Z,83696,6230,47
4XxwK1VFBO4,【ポルカの伝説】利きフライドポテト,2025-11-27T10:00:07Z,135724,10721,530
_Lbgoa3-ouE,あずきちのオキドキ最高！！ダンスロイドポルカちゃんが踊ってるよん💕 #shorts #vtuber #オキドキ,2025-11-26T09:01:01Z,112486,12729,211
c0KJy4iPNXU,なんて✨️Gold Unbalance✨️カリオペとクールで最高なコンビ‼️ #GoldUnbalance #shorts #hololive #Moricalliope #中島健人,2025-11-25T09:00:56Z,159547,16994,197
OArKK8E_8xI,ノエたんのトレビアンナイト✨️ポルカVer🕺🌆 #shorts #hololive,2025-11-24T09:00:38Z,82900,8990,144
23QvjJr8ZVw,【激烈熱烈凸待ち】ふたりでおにいちゃん探します～～＞＜！！お兄さんはどこかにいますか？ #ぽるかの兄探し 【尾丸ポルカ/白上フブキ/ホロライブ】,2025-11-23T13:52:08Z,208594,13209,316
uVyX13f7BvY,カリオペとポルカのOrpheus✨️😎だぜ‼️ #orpheus #shorts #hololive #Moricalliope,2025-11-23T09:01:32Z,139581,13011,154
d3NViSjDIQc,【ポルカの伝説】勝手にホロメンランキング,2025-11-20T10:00:06Z,230942,12254,240
qXFDLyaqtao,【OHAPOL】＃187 11/19水曜日！盛り上がってるかあああ #ポルカ公演中 【尾丸ポルカ/ホロライブ】,2025-11-18T23:17:52Z,73137,5956,68
-Y6ETz58Nu0,【ウマ娘 プリティーダービー】色々なウマ娘でライブシアターを堪能する枠【尾丸ポルカ/ホロライブ】,2025-11-17T17:48:30Z,135098,6883,77
-N_5DbSmPI4,【Pokémon LEGENDS Z-A】クリア後の世界を旅するポルカちゃん 【尾丸ポルカ/ホロライブ】,2025-11-16T18:26:32Z,90447,5948,35
kAURtA9b8NA,【R.E.P.O.】絶対に叫ばないチルソロREPO【尾丸ポルカ/ホロライブ】,2025-11-15T17:17:12Z,73689,5242,39
MbB7bAip7GU,【R.E.P.O.】アプデされて実家がリフォームされたので帰省します【尾丸ポルカ/ホロライブ】,2025-11-13T18:40:24Z,94496,6325,49
wYVa7-P9A9o,【ポルカの伝説】100円か高級商品か！？当てろ！！,2025-11-13T10:00:06Z,79900,5765,170
og6GmU1MUT4,【DEATH NOTE Killer Within】焦らず すばやく一文字ずつ喋り ポテチを取り 配信する…！ #ホロデスノ人狼 【尾丸ポルカ/ホロライブ】,2025-11-11T14:28:00Z,50127,4898,34
LQfCLDfcxj4,【R.E.P.O.】フルパで挑む！！！！アプデ後のREPOだよおおおお #タカタレサーカスプリンセス 【尾丸ポルカ/ホロライブ】,2025-11-10T16:24:20Z,58314,5578,44
2O4LaeybTYo,【Pokémon LEGENDS Z-A】色違い探すぞおおおおお！！！！フレポルで並走！！！！ #フレポル 【尾丸ポルカ/ホロライブ】,2025-11-09T18:33:54Z,114963,5570,34
DvwIEyAkCE8,【ディンカム】スローライフしたいならこの島で働くんだよお！【尾丸ポルカ/ホロライブ】,2025-11-07T13:26:06Z,85737,6372,41
TuySIbJsF_4,【ポルカの伝説】利きうまい棒選手権,2025-11-06T10:00:06Z,107815,6708,251
WsgSMoIjUsM,【OHAPOL】＃186 11/6木曜日！頸動脈から朝活がふきでて #ポルカ公演中 【尾丸ポルカ/ホロライブ】,2025-11-06T01:14:10Z,60325,6110,53
