id,title,publishedAt,viewCount,likeCount,commentCount
E2s2Cr6UE7o,📦【HANDCAM】JASA RAMAL VIA PACK | BREWEK 100+ PACK KOBARAN BIRU! 🎲,2025-12-13T15:42:39Z,2710,426,0
9JmDzRT8SMI,Sini ku gambarin kalian part 2!,2025-12-10T17:42:36Z,0,31,0
dZ6taLNIpHM,Sini ku gambarin kalian,2025-12-10T17:33:59Z,3716,508,1
zKKhuG0Pdi0,"sini request toping kue, gw mau stream baking",2025-12-09T17:03:53Z,3640,517,0
ZYAr_niDeek,Bilamana Naga Sunda Bermain Horror 😊,2025-12-07T12:01:09Z,870,166,7
d78Y37NlxXw,"【Fears to Fathom - Ironbark Lookout】😭CAPEK BANGET GW MAIN GAME INI, PEN NANGIS",2025-12-06T15:25:36Z,2793,397,2
mghmXqYurLc,【Obsessed : Night Shift】6 menit tamat ini,2025-12-06T03:07:06Z,1679,312,0
OKg-yr8tcO4,【The Karaoke】😋 P request nyanyi = donet 10M,2025-12-06T00:23:25Z,1933,358,0
SIGOih3cPRg,"【Genshin Impact】AKHIRNYA BEBAS DARI KERJAAN, Saatnya Chill LUNA III",2025-12-04T16:20:08Z,1614,294,0
JtnvscvNK_Y,【Mimesis】BAPAK BAPAK KOMPLEK KOLEB ! @ayundarisu @sammybollivienn @ElaineCelestia,2025-11-29T15:21:18Z,3082,542,1
402GkVXZZ4k,【Dinkum】SUKSES MEMBANGUN NEGRI DENGAN SI UNGU @mythiabatfordch,2025-11-28T15:47:18Z,2739,368,1
Z47JbtcO65c,#2【Little Nightmares III】IS THIS THE END ?  /w🦚 @PavoliaReine !!,2025-11-27T16:16:41Z,1869,386,1
6wU0NNR9XFQ,【Handcam】😭aku senang dapet banyak hal​,2025-11-21T15:47:03Z,2884,365,2
9q8v-FPclr8,【Undusted】Chilling /w mee​,2025-11-21T09:56:54Z,1344,272,1
LtKld_EOLWA,#1【Little Nightmares III】LETSGO PLAYING /w🦚 @PavoliaReine !!,2025-11-20T17:42:59Z,2899,525,2
Hht-QhCK1eU,Inilah sosok hantu yang paling di benci #Shorts,2025-11-16T12:00:37Z,13805,2185,17
kpCecNzfBHQ,Boba matcha milk tea.... boba matcha milk tea.... boba matcha milk tea.....,2025-11-15T12:01:35Z,883,144,7
YswA7ERqLDI,#5【Sons of The Forest】😭Akankah tamat kali ini ? w/ @naplive7,2025-11-10T16:52:41Z,4261,469,1
Ffbn--dto0Y,"【RV There Yet?】MMMMM MANTAB, MENGEMUDI LAGI w/ @sammybollivienn @ayundarisu @ElaineCelestia",2025-11-08T17:06:21Z,6426,701,3
2niyg8uEMXY,#2 【RV There Yet?】LIHATLAH HARI INI NAIK RV 2x w/ @PiaMeraleo-JKT48V @KaelaKovalskia,2025-11-08T10:20:55Z,5077,539,2
UULneBBJNAk,"Main Phasmophobia bareng viewer, malah jadi tumbal",2025-11-04T12:30:47Z,1068,146,9
5ezO6qy-t0U,#1 【RV There Yet?】KOPIKANON IS BACK ! ⚪🟡🔴w/ @PiaMeraleo-JKT48V @KaelaKovalskia,2025-11-03T09:34:03Z,5794,642,6
ZFyIT9uzVoI,"LAST DAY DOLGONOL #SPOOKDOLGONOL , Awas kalau ada yg bilang gwe gradu",2025-11-01T02:19:06Z,2055,307,0
W-FGlxNVcDI,【The Kidnap】😢YANG BENER AJA DI CULIK | LAST DAY DOLGONOL ON!,2025-10-31T23:00:50Z,1465,229,0
830c7v0SV-g,【Geoguessr】🙆‍♂️ NAGA TIDAK BUTA MAP 100% RIL | LAST DAY DOLGONOL ON!,2025-10-31T19:16:15Z,5115,491,0
ukr6qS9vLMg,【Genshin Impact】CHILL STREAM AFTER WORKING 😭| DOLGONOL ON!,2025-10-30T15:15:26Z,1936,247,2
u5s8FCiqHZM,"【No, I'm Not a Human】🙆‍♂️ Iya gw cacing | DOLGONOL ON!",2025-10-29T15:43:21Z,2256,369,0
EVFMAfGuU8c,【Genshin Impact】CHILL STREAM AFTER HORROR | DOLGONOL ON!,2025-10-28T16:37:31Z,1429,251,1
q_nCT4BF8AQ,【The Boba Teashop】🥤YANG PESEN MATCHA GA GW LADENIN | DOLGONOL ON!,2025-10-28T15:02:01Z,1387,248,0
JFiKRG-FsU4,【Layers Of Fear】YUK BISA YUK 😭 1 GAME | DOLGONOL ON!,2025-10-27T15:16:09Z,1976,338,0
pewvFrjTR80,【Genshin Impact】yelan wangsaf | DOLGONOL ON!,2025-10-26T16:16:07Z,2253,367,1
ujkyQ5PQO_Q,Hampir nulis wasiat.....,2025-10-25T14:38:12Z,4045,636,4
ys2Y3fAPLU0,【PARANORMAL CLEANUP】BISA INI GES BISA SUMPAH | DOLGONOL ON!,2025-10-09T09:25:16Z,3152,456,4
QwGa2r_ia1I,#2【SILENT1 HILL F】TUH LANJUT SAMPE TAMAT | DONOGOAL ON!,2025-10-07T15:57:30Z,3413,502,1
R0YF96RBrsI,BERMAIN HORROR KALO KALIAN YG NYURUH ☝,2025-10-06T16:16:01Z,2915,422,2
qSJy2U5x_Rk,Hari terakhir IH SUMPAH KENAPA RAME GAADA YG GRADUATE,2025-09-30T14:46:29Z,12203,1748,7
5ZFD9XO2LRA,SCRIPT VOICEPACK TERSERAH VIEWER | DONOGOAL ON!,2025-09-29T15:43:34Z,2436,362,3
aIqEKHrnKn4,angkat dong angkat dong angkat dong angkat dong angkat dong angkat dong ❤️| DONOGOAL ON!,2025-09-28T14:26:19Z,3354,506,1
