id,title,publishedAt,viewCount,likeCount,commentCount
JLijBzHudks,#1【Hades II】BACK TO THE ROGUELIKE BASEMENT.【Pavolia Reine/hololiveID】,2025-12-13T09:19:07Z,11909,2443,27
vce2ie19ixU,#1【Clair Obscur: Expedition 33】GOTY HYPE!?!?!? FIRST TIME PLAY👀👀【Pavolia Reine/hololiveID】,2025-12-12T10:30:21Z,30990,3726,29
j4_XreCf6I8,【Official Co-Stream】#TheGameAwards 2025 RESULTS!!! LET'S TAKE A LOOK👀【hololiveID/Pavolia Reine】,2025-12-12T05:20:22Z,17797,2635,25
r7Tqwpp4tII,【HATSUNE MIKU: COLORFUL STAGE!】 CELEBRATING 4th ANNIVERSARY!!!!,2025-12-10T17:32:45Z,8520,2067,16
Yu00cR2SZdc,guerrilla karaoke stream,2025-12-09T06:55:01Z,14031,3194,23
5H0qZV9JUug,#3【Ace Attorney Investigations 2】If Unjust Why Hot? (SPOILERS!)【Pavolia Reine/holoID gen 2】,2025-12-06T16:24:17Z,8051,1950,18
Njj86t_59BI,SPORTY OUTFIT MEANS RINGFIT ADVENTURE  #REINEver5ary,2025-12-06T13:50:23Z,9766,2094,15
TcNKIeErygQ,#3【Pokemon Legends: Z-A】#REINEver5ary fashion stream DRESS ME UP!!!【Pavolia Reine/hololiveID】,2025-12-06T10:21:37Z,5592,1489,8
2-1XK8j3rMQ,【OFF COLLAB Q&A】INVITING MY PILATES TEACHER TO STREAM #REINEver5ary 【Pavolia Reine】,2025-12-06T09:09:45Z,10571,1925,12
RdlTYciguKU,MY TEACHER IS STUCK IN TRAFFIC JAM 💔💔💔💔💔💔💔  #REINEver5ary,2025-12-06T07:59:07Z,4617,1150,6
lWuTDALn8Kk,【NEW OUTFIT REVEAL】IT'S TIME TO EXERCISE!!+sing+announcement #REINEver5ary 【Pavolia Reine】,2025-12-06T06:02:52Z,36040,6520,60
3o_SBIq7NgQ,SPECIAL ANNIVERSARY BRUNCH #REINEver5ary,2025-12-06T04:26:55Z,5653,1936,12
_u6cXIr_FVE,#9【Urban Myth Dissolution Center】Final Case:Behind the [REDACTED] Incident【Pavolia Reine/hololiveID】,2025-12-03T17:24:37Z,7305,1967,20
wDM_oOShCVI,#2【Pokemon Legends: Z-A】if i get distracted w fashion throw tomatoes at me【Pavolia Reine/hololiveID】,2025-12-02T09:02:25Z,19290,2693,16
1E6VaJHl-_s,#2【Ace Attorney Investigations 2】WHO IS DE KILLER (SPOILERS!)【Pavolia Reine/holoID gen 2】,2025-11-29T16:16:20Z,5981,1574,18
9D0uGQcvytg,【BRUNCH STREAM】HOLORO ANNIVERSARY NEXT WEEK!!!!!!!,2025-11-29T08:51:10Z,8249,2079,7
kEQBQ0DAhIg,#2【Little Nightmares III】Teamwork Makes The DREAM WORKKK (with Shannon)【Pavolia Reine/hololiveID】,2025-11-27T16:15:41Z,7763,2024,20
ZY5la-rVwWc,#1【Pokemon Legends: Z-A】TIME TO BE STYLISH【Pavolia Reine/hololiveID 2nd gen】,2025-11-27T11:06:16Z,20201,3159,17
S27RmpRnUFs,#8【Urban Myth Dissolution Center】The True Identity of the Doppelganger...【Pavolia Reine/hololiveID】,2025-11-26T16:42:31Z,6460,1780,14
My3x9ZQoP4U,HAPPY HALLOWEEN I GOT RICE SHOWER (umamusume: pretty derby),2025-11-25T10:24:55Z,21922,2820,12
6K9MWwQ9RYc,#1【Ace Attorney Investigations 2】More Prosecuting YESSSS (SPOILERS!)【Pavolia Reine/holoID gen 2】,2025-11-23T19:13:36Z,10051,2181,20
4tb13pPBe40,we are digitan (umamusume: pretty derby),2025-11-22T09:52:40Z,31040,3680,17
2AR2qA1DiP8,【SIMPWALK】simpin and walkin,2025-11-21T15:59:53Z,5488,1601,16
nChrAVTA-AM,#1【Little Nightmares III】COLLAB WITH SHANNON YAAAYYY【Pavolia Reine/hololiveID】,2025-11-20T17:36:04Z,11257,2517,13
XPEKVW0Xyn0,#7【Urban Myth Dissolution Center】THE GREAT RESET IS COMING【Pavolia Reine/hololiveID】,2025-11-19T16:43:55Z,5265,1610,14
ZeBzQxSeajo,【BRUNCH STREAM】CHROMATIC FUTURE WOWOWOWO OTSUKAREEEEEEEEEEEEEEE,2025-11-18T17:20:44Z,10874,2301,20
XxTAd8dKmJo,#6【Urban Myth Dissolution Center】THE SNAKE'S GONNA GET YOUR HEART...【Pavolia Reine/hololiveID】,2025-11-14T16:59:41Z,4618,1428,17
oLn075eohpw,#5【Urban Myth Dissolution Center】MYSTERY HAUNTED TOUR【Pavolia Reine/hololiveID】,2025-11-13T16:38:26Z,5543,1650,10
Sn4md-b5Qio,ermmmm idk how to play this game RIKORICE WHERE (umamusume: pretty derby),2025-11-13T08:57:36Z,26187,3170,21
1LdUJuhL02Y,#4【Urban Myth Dissolution Center】RIYAL OR FAKE??? HORROR EDITION【Pavolia Reine/hololiveID】,2025-11-12T17:12:11Z,8121,2067,12
r9DPOwM-Vxo,#3【Urban Myth Dissolution Center】GET ME TO 900K SUBS TO UNCURSE ME【Pavolia Reine/hololiveID】,2025-11-11T16:47:06Z,5867,1765,11
LczdUQYusak,#2【Urban Myth Dissolution Center】THROWS TOMATOES AT YOU【Pavolia Reine/hololiveID】,2025-11-08T17:23:37Z,6520,1703,14
rIP1PyqrE9U,#10【SILENT HILL f】TRUE ENDING | Ebisugaoka in Silence (SPOILERS!)【Pavolia Reine/hololiveID 2ndgen】,2025-11-07T18:04:02Z,11557,2424,27
whm6GC_Q2qs,#9【SILENT HILL f】NEWGAME++ GOOD ENDING TIME (SPOILERS!)【Pavolia Reine/hololiveID 2ndgen】,2025-11-06T17:29:21Z,7135,2035,16
fSxEsw6Bboc,#8【SILENT HILL f】OFFICIALLY NG++ GANG LET'S DO THIS! (SPOILERS!)【Pavolia Reine/hololiveID 2ndgen】,2025-11-05T17:36:24Z,9818,2412,13
dT6oHcjAxCs,#7【SILENT HILL f】TOXIC YURI & NEW ENDING UNLOCKED (SPOILER WARNING)【Pavolia Reine/hololiveID 2ndgen】,2025-11-04T19:14:53Z,11212,2443,19
zl29lI6ToCw,【Dinner Stream】TIME TO FEAST ON THE MEPZINE BUT PART 2【Pavolia Reine/hololiveID 2ndgen】,2025-11-01T16:13:58Z,5661,1585,13
NOWrWWz98XI,【Brunch Stream】TIME TO FEAST ON THE MEPZINE (it's still MEPtember)【Pavolia Reine/hololiveID 2ndgen】,2025-11-01T06:18:17Z,5175,1615,14
tLSFtmaTMIk,#6【SILENT HILL f】HAPPY HALLOWEEN! Starting NG+ fr (SPOILER WARNING)【Pavolia Reine/hololiveID 2ndgen】,2025-10-31T17:12:36Z,7864,1968,12
V1CbWb08KDw,【NOROI KAGO: the Grudged Domain】HELLO LET ME OUT?【Pavolia Reine/Anya Melfissa/hololiveID 2ndgen】,2025-10-30T05:58:32Z,6781,1906,12
jNlojNbC1wk,【CloverPit】what's after the drawers【Pavolia Reine/hololiveID 2ndgen】,2025-10-29T16:39:16Z,8071,2071,11
9wgyfnzkvmc,#9【Ace Attorney Investigations】FINALE (SPOILERS!)【Pavolia Reine/holoID gen 2】,2025-10-28T16:14:32Z,6405,1746,17
7yJnbQjS-7E,【Brunch Stream】Guess if I bought a new mouse or not【Pavolia Reine/hololiveID 2ndgen】,2025-10-26T07:16:33Z,7666,1948,21
h7NwiNBDJ-Y,#8【Ace Attorney Investigations】UNVEILING THE FINAL MYSTERY (SPOILERS!)【Pavolia Reine/holoID gen 2】,2025-10-25T16:07:11Z,6378,1818,18
