id,title,publishedAt,viewCount,likeCount,commentCount
TfBnYov5J68,「IRIS OUT／米津玄師」 踊ってみた‼️🐧 #にじさんじ,2025-12-10T02:00:28Z,102889,8803,126
ZNIHEZbPzeU,💕 NEW COVER!!!!【NIJISANJI EN | Petra Gurin】,2025-12-06T06:00:19Z,18168,1805,21
EmxMKGMbq-g,「 Kyu-kurarin (きゅうくらりん) / Iyowa 」ver. Petra Gurin,2025-12-06T03:30:06Z,78552,11282,243
Pqr0TAdFFss,【#petoBDAY2025 ✨】3D PENGY PARTY !!!!! 🐧💃🍰【NIJISANJI EN | Petra Gurin】,2025-12-05T12:19:49Z,61245,5647,48
z3eJxGRmIQ4,🐧 HAPPY!!!!! ✨ #petoBDAY2025 ✨【NIJISANJI EN | Petra Gurin】,2025-12-04T17:05:46Z,43415,4350,63
cG1mzF2rc4M,【DEBUT‼️】penguin【NIJISANJI EN | Petra Gurin】,2025-11-29T08:36:57Z,110836,9055,136
yVpfY28aUhU,【2人で】ころしちゃった! 踊ってみた‼️🐧🔪,2025-11-24T05:20:00Z,136607,11074,146
re2wGHctYys,？？？？？？,2025-11-07T04:00:46Z,153664,16546,251
iANYyMsRC4s,「愛♡スクリ〜ム！」踊ってみた‼️🐧🍦,2025-11-06T04:00:46Z,183546,18638,353
C1FlKVDYZ0s,ペンギンが #にぎにじダンス 踊ってみた‼️🐧 #にじさんじ,2025-10-29T03:51:28Z,685133,37267,594
SqH_jLqw9xw,HANDCAM FOR 3RD ANNIVERSARY!!! 🥳 (merch showcase + mystery box)【NIJISANJI EN | Petra Gurin】,2024-07-20T05:01:53Z,74577,3276,118
56i9DT1PQ0U,🧡 #NIJI_ENCOUNTER AFTER PARTY!!!!!!! w/ @ReimuEndou 🤍【NIJISANJI EN | Petra Gurin】,2024-07-12T08:08:24Z,20126,1712,25
1FslXsJxuJI,【HOLLOW KNIGHT #8】so we back in the mines【NIJISANJI EN | Petra Gurin】,2024-06-02T06:56:32Z,10644,946,20
sXy27AEKXZ4,【STUDY WITH ME・作業配信】busy busy【NIJISANJI EN | Petra Gurin】,2024-05-30T15:57:26Z,19931,1429,17
F11Is5uBLtU,【PROJECT ZOMBOID】spin-off season!!!【NIJISANJI EN | Petra Gurin】,2024-05-29T04:41:34Z,9731,963,16
pY_dVdD7IHg,【HOLLOW KNIGHT #7】uh oh【NIJISANJI EN | Petra Gurin】,2024-05-28T16:09:37Z,6865,893,15
huCfoSLs0Yw,【OUTLAST TRIALS】toy factory episode【NIJISANJI EN | Petra Gurin】,2024-05-27T05:56:54Z,7067,844,10
LjbN5kw7oK8,【EN/JP】trying out Gakuen Idolmaster!!! ✦ はじめてのアイマス！【NIJISANJI EN | Petra Gurin】,2024-05-26T06:53:35Z,22123,1528,12
mZqULY-X_uA,【日本語・雑談】れんしゅうぶそく！【NIJISANJI EN | Petra Gurin】,2024-05-25T12:22:40Z,18140,1501,15
jn7S9P5xWkc,【CUPHEAD】OFF-COLLAB WITH NOX!!!!!!!!!!【NIJISANJI EN | Petra Gurin】,2024-05-20T09:49:04Z,13676,1390,13
KxoXg1ryYHA,【SCHOOL LABYRINTH】oh no! i'm late for class!!!!【NIJISANJI EN | Petra Gurin】,2024-05-15T04:42:14Z,7526,896,12
gPPu19qPsmg,【SUPERMARKET SIMULATOR】‼️ BUY 2 GET 1 PENTOMO FREE ‼️【NIJISANJI EN | Petra Gurin】,2024-05-11T17:06:11Z,18108,1444,16
