id,title,publishedAt,viewCount,likeCount,commentCount
Dy8RiUShg4k,AKU SUDAH DEWASA DAN AKU BERKUASA HUAHAHA #shorts,2025-12-01T12:00:34Z,4580,183,7
fwtxwTyX_Y8,BAU INI MEMBUATMU TERBANG KE LANGIT KE-TUJUH #shorts,2025-11-28T12:01:25Z,4750,214,10
JBrUx8_kwrQ,nyemprotin apa? di mana? NYOBA APA? #shorts,2025-11-26T12:00:44Z,2419,110,7
cdHlGYIZr3U,UWOGGGHH SEEEGGG #shorts,2025-11-24T09:30:31Z,2317,156,5
qJN01330eas,ABSEN YANG SUKA WANGI TEH MELATI #shorts,2025-11-21T09:01:28Z,17331,624,14
VycpHOPa-UA,"PAKE AI UNTUK HAL GABENER, KUTANDAI KAU #shorts",2025-11-19T09:30:33Z,1867,89,12
swfSj3rVzDE,SEPERTI KATA PEPATAH JEPANG MENGATAKAN #shrots,2025-11-18T09:01:24Z,2228,210,23
XoeSkQn5Ff8,"INFO LOKER 50 JUTA, LOKASINYA SUDAH TAU LAH YA #shorts",2025-11-17T09:30:16Z,7956,465,9
ASInkbi0M8g,"Hoahm, ngantuk....... #shorts",2025-11-15T14:16:58Z,1142,153,3
ebWhNyn9XrA,"ISTRI KERJA SUAMI MANCING, KATA GUE MAH MINIMAL- #shorts",2025-11-14T09:30:34Z,3754,210,7
n1V_diOPzuc,LEBIH HORROR AI DARIPADA SETAN #shorts,2025-11-12T09:30:29Z,707,105,11
IUy9s1_DCS4,[FREETALK] Apa yang terjadi selama aku tidak ada? #shorts,2025-10-18T01:10:22Z,1184,129,2
Dd-L7g2c0mk,[FREETALK] Stay Safe. #shorts,2025-09-02T01:24:50Z,1975,166,2
mo63UZ4Hppk,[PEAK] DAKI GUNUNG TAPI BUKAN GUNUNG WAIFUMU #shorts,2025-08-12T01:42:00Z,982,121,0
-_wP0_0xcbE,sedikit nyanyi banyak ngobrol #shorts,2025-08-10T21:47:59Z,838,126,3
IpyuSi9XclI,Aku masih hidup loh ♥ #shorts,2025-07-27T00:50:24Z,1915,232,3
e2yWFv3rGlU,REELS FESNUK SEASIK APA SIH?? #shorts,2025-06-19T01:13:37Z,2730,193,2
yjLnKYSfJOg,Nyanyi and Chill #shorts,2025-06-13T23:25:15Z,1745,176,2
e1Y2sA3mYGE,Malam horror roblox bersama @NiaRedalionCh #shorts #roblox,2025-06-12T15:14:20Z,1417,142,0
oQf6-S-zEus,FREETALK SEBELUM BERANGKAT CF!! #shorts,2025-05-24T15:26:45Z,1014,99,0
EkkzKSsnNRU,(ENDURANCE STREAM) Stream ini disetir ROULETTE!,2025-04-29T10:17:51Z,1525,161,6
LuWSGrSaBxs,melepas rindu,2025-04-29T01:24:32Z,1112,184,4
aGkge0B1o_s,BULAN PUASA JANGAN LAKUKAN INI!! #shorts #vtuber,2025-03-24T09:00:03Z,2051,395,12
BE-FTpgH-bQ,chill sore sore,2025-03-22T21:31:52Z,1567,166,2
JVfWK2bUZ2c,【FREETALK】sedikit pengumuman :3,2025-03-22T02:02:48Z,2462,323,2
U_ffMyWlKxY,【Phasmophobia】3 pemberani dan 1 penakut (saya) | w/ @DaisyIgnaciaYCh @HeraGaraleaCh @rayrestufauzi,2025-03-09T16:37:56Z,1318,202,1
e4Rqyd37eRE,【CHAINED TOGETHER】Perjalanan ke barat bersama @NiaRedalionCh @DaisyIgnaciaYCh @MaudySukaigaCh,2025-03-01T15:49:46Z,1172,158,1
uWpD39TA52c,【I'm On Observation Duty 2】cari anomali sama @NiaRedalionCh !!,2025-02-26T01:41:06Z,921,142,4
g-Ux_Q5fRV8,【FREETALK】temenin Rena sebentar yuuuk #shorts,2025-02-21T21:57:44Z,1143,130,1
mrYfewCXtYQ,【VALORANT】Penyakit paloran gila with @CeciliaLieberia @Nyonyamacaroon,2025-02-21T03:15:13Z,608,83,1
txHm9jUgtkg,【FREETALK】Menjawab 20 pertanyaan viewers!,2025-01-31T01:05:23Z,1112,160,2
wiXFms8gjV8,YOUR PHONEEE LINGING #shorts #vtuber,2025-01-28T12:51:04Z,869,123,6
_oGHcloZ4yk,【MiSide】Belajar mencintai dengan benar with @CeciliaLieberia  ♡,2025-01-27T15:49:15Z,1794,219,0
apikKdTBFC4,【HANDCAM】Ngemil santai sambil mediashare,2025-01-24T02:44:10Z,1173,158,1
BnwKMOObF9U,"【MiSide】Ini juga namanya cinta, 'kan? ♡",2025-01-10T14:30:45Z,1598,204,6
-pi4db8wGMY,"【FREETALK】WE LISTEN, WE DON'T JUDGE!!!",2025-01-06T01:49:06Z,2500,287,5
249Np7354WU,"【FREETALK】2 JUJUR, 1 BOHONG!!",2024-12-30T03:23:48Z,1146,186,1
7W6a5bQL3qw,【FREETALK】Selamat pagi dari Vtuber pilek #vtuberid #shorts,2024-11-27T15:25:19Z,1166,167,0
kq3IzOHmxhM,【DUSTY DERBY】Jadi debu syantik sama member maha5!! #gaming #vtuberid,2024-11-19T03:16:12Z,958,122,1
7iXvhMJgpUA,"【FREETALK】Hai, apa kabar? #vtuberid #shorts",2024-11-17T22:24:07Z,1290,178,2
znPDPKAXooY,【HANDCAM】Temenin Rena dandan! #vtuberid #shorts,2024-11-04T00:52:25Z,2167,227,0
VBnNmU4e-Vs,REVIEW REELS KIRIMAN TEMEN RENA! #vtuberid #shorts,2024-11-03T01:23:15Z,955,128,1
SD6bKE9bq6s,KETIKA PENYIHIR MEMASAK #shorts,2024-10-15T08:49:32Z,2158,203,9
10qedk83yuA,【HANDCAM】Makan malem bareng yuk~! #vtuberid #shorts,2024-10-14T01:26:58Z,2500,243,3
AH9jm3GkqLE,Beli ciki beli koyo..... ♡ #shorts,2024-10-10T08:52:32Z,3302,249,27
BfRj96MluBM,【HANDCAM】REVIEW PERMEN LILIN VIRAL! #vtuberid #shorts,2024-10-03T01:00:44Z,1383,170,4
C7Ukk0vpmSs,【FREETALK】Katanya konten tiktok bersahabat? #vtuberid #shorts,2024-09-30T01:40:54Z,1826,186,2
