id,title,publishedAt,viewCount,likeCount,commentCount
HbWyXzO57pg,TTD poca iris out & artprint alamat !~ 🖐️🖊️,2025-12-07T17:19:52Z,1842,268,4
K2rBbo7Yv20,🔴 MARI BANTU KORBAN BANJIR SUMATERA - PART 4/4,2025-11-29T03:33:31Z,2835,511,0
T8_XB2_IBwk,[Zenless Zone Zero] yo phon linging 🪭,2025-11-27T02:40:13Z,394,75,3
2Yl8ok321rI,"Makan pizza bareng Lenad, cakep~! 🦊🍕",2025-11-26T03:11:10Z,818,150,2
NuHQoLNt6BI,ZZZ UPDATE TERBARU!!! 2.4 UWOGHHH!!~,2025-11-25T09:56:30Z,4269,776,11
maRHjm6WZuM,Tiba tiba nyanyi!~ 🎤🎶,2025-11-13T17:39:15Z,1387,218,2
lrAbFSBP_yk,Inside The Backroom with The Boys!~ 😱😱😱😱,2025-10-09T14:22:43Z,1401,215,2
4Eq373VzlUs,NYAbar!~ Nyanyi Bareng!~ 🎤🎶,2025-10-07T16:24:54Z,1422,244,1
O-EepffPpic,Dhuar!!~ #NoxNocturne #NoirRoleplay,2025-10-05T16:01:52Z,2863,458,0
fVYJfWNCjfM,MINECRAFT WITH THE BOYS!!! #1,2025-10-05T11:27:26Z,1031,214,1
wCKHVXXxvE0,Mengejar Ketertinggalan! ⛏️⛏️ #immocraft,2025-10-04T17:55:49Z,887,145,6
S5XxC9WPFKo,Diundang ke server MEGABUILD!! #immocraft #minecraft #vtuber,2025-10-04T07:34:16Z,10372,824,12
lfQO2tvQ4_Y,2025 masih main menkrep?,2025-10-02T06:26:38Z,10071,997,10
cmPbecXFTxU,Hancam Piano Stream!~ 🖐️🎹🎤🎶,2025-09-26T14:31:29Z,4723,774,1
1AW4ApLmFnY,permisi numpang ngamen!~ 🎤🎶,2025-09-24T10:03:30Z,1233,245,3
NR0sTXiWYMk,AKU MAU MOBILLL!~ #NoxNocturne #NoirRoleplay,2025-09-23T04:00:26Z,1963,303,1
sx-ROLZ-xkE,Dah lama gak nyanyi!~ 🎤🎶,2025-09-17T10:26:24Z,1607,288,5
j-GJ0qOszIs,YOUR IDOL - Saja Boys | Karaoke Version | Covered by Nox Nocturne,2025-09-16T12:30:07Z,3341,686,26
Yox-m7-BZY8,Pulang ke Kota!~ #NoxNocturne #NoirRoleplay,2025-09-06T18:10:15Z,4429,609,7
VwJOx-mf7C8,"""Kembali"" Main Menkrep hehe ⛏️⛏️ #immocraft",2025-09-05T15:29:57Z,1372,218,4
yYhiMYSsSz4,THE BOYS MANJAT GUNUNG ROSBLOK 🗻,2025-09-04T15:32:28Z,1834,249,1
0Yo_ejViTro,Podcast Roadtrip Dalam Kota #NoxNocturne #NoirRoleplay,2025-08-28T16:32:18Z,5376,743,1
YIamIyMxaqk,YOUR IDOL - Saja Boys | Acapella Version | Covered by Nox Nocturne (Color Coded Lyrics),2025-08-28T12:00:06Z,60854,6860,215
ldkOsupE3CQ,MENUJU PUNCAK with THE BOYS!!,2025-08-26T15:31:04Z,1522,310,3
tpDkcrkoXpQ,Reynard Blanc Music Works Showreel 2025,2025-08-26T11:53:27Z,1567,240,10
HvLBeDU5hY0,Your Idol Cover Breakdown!~ 🎶✨【Music Production】#YourNox #NoxNocturne,2025-08-25T15:48:24Z,8499,1362,2
BRFO7O14eTE,REPO with Nox Nocturne!! #NoxNocturne,2025-08-17T15:24:16Z,2471,513,2
LMG6ik0gdCs,Nyanyi Kawokeeeeyyy~ 🎤🎶,2025-08-15T11:39:17Z,1482,254,4
uhEGcQEN4Xw,Gitaran bentar~ 🎸🎤🎶,2025-08-08T12:48:56Z,2767,502,4
ki3D7_xnyX4,LeiNut anak baik kok :'3 #NoxNocturne #NoirRoleplay,2025-08-07T17:33:13Z,2266,384,2
0v_ZXJ8RY7I,LeiNut Anak Pembaik..... iya kan...?#NoxNocturne #NoirRoleplay,2025-07-28T17:31:27Z,5427,747,1
vU8xccvVWmY,Dor #NoxNocturne #NoirRoleplay,2025-07-16T18:11:17Z,4088,569,2
IgVbL9wrPMM,Kangen Nyanyi~ 🎹🎤🎶,2025-07-15T11:02:24Z,1745,370,1
9i8X3lhwuOs,Lei Nut si kacang #NoirRoleplay,2025-07-08T18:34:26Z,5760,818,4
RjpSsoRRWXc,Vroom Vroom #NoirRoleplay,2025-07-04T17:51:31Z,3655,525,3
GOeM46U9Jhk,Nox #NoirRoleplay,2025-06-27T18:53:06Z,3650,529,0
CQok2vpwePI,Fishy Bussiness #NoirRoleplay,2025-06-23T17:19:35Z,2525,377,2
78G5uGObJw0,Next Steps #NoirRoleplay,2025-06-21T15:43:22Z,4277,642,1
3SBJy7gu_PI,Deez Nuts #NoirRoleplay,2025-06-19T18:23:53Z,3410,488,0
izylA43muS0,Aku.... #NoirRoleplay,2025-06-18T19:49:16Z,2469,387,3
fAP7g0Srxmw,Hai! Aku Lei Nut~ #NoirRoleplay,2025-06-15T17:15:20Z,4394,646,1
zonG7tcjBd0,【Among Us 3D】:),2025-06-12T15:09:17Z,1073,194,0
UBp5k4SH590,Akhirny setrim lagi hehe 🎤🎶,2025-06-10T12:09:20Z,1309,259,2
pSyfFl5uflU,Yang dateng ke CFXX bolehh mampir ke booth AB 27-28!~ ✨,2025-05-25T05:56:07Z,7913,1085,15
A7uVXzHomoU,Ini nyanyi aja sesuka hati bukan konser hehe 🎤🎶,2025-05-23T10:01:56Z,1717,322,7
fphx9d5J8l4,【Marvel Rivals】Menuju kompe with THE BOYS!!!~,2025-05-22T16:42:07Z,744,125,1
qGJhlceJI5k,KARAOKE with THE BOYS,2025-05-12T07:39:52Z,9880,1367,16
Cfm9mRK4dEU,【R.E.P.O.】Re:Po Memories,2025-05-10T15:25:04Z,1099,153,0
5KzF2whHfmo,Kawoke Bareng @aikawamomoka 🧡🎶🎤🩷,2025-05-05T15:19:38Z,1129,187,1
AE0ICXHp5Rs,【R.E.P.O.】repo beta NEW UPDATE with the boys!,2025-05-04T13:32:00Z,1418,197,1
Ndy6CqxQzTU,pituber cowok numpang ngamen 🎤🎶,2025-05-04T09:03:05Z,871,178,2
aOGVS_xvvhE,"【R.E.P.O.】repo but minecraft, with the boysss",2025-04-28T01:51:43Z,981,142,3
28KU3UAGcG4,【R.E.P.O.】repo with the boys sampe level 20!!!!,2025-04-19T15:02:02Z,1926,240,4
VOydl1iItrQ,monsternya hamil ?!?? #vtuber #repo @AkemiGamingCh @AveKanehoshii sa,2025-04-19T08:49:34Z,15328,1952,10
eYguopWdNiQ,【R.E.P.O.】repo with the boysssssssss lagiii +2 girls,2025-04-17T15:11:20Z,1593,275,2
Qxl8Ze8RUMk,【FlyKnight】FlyKnight with the boysssssssss,2025-04-16T02:03:23Z,404,88,0
Rqdt37KuBWk,【R.E.P.O.】repo with the boysssssssss,2025-04-13T13:21:09Z,1346,214,2
HfS3J4NQevk,【R.E.P.O.】repo tapi serius tapi boong,2025-04-02T17:47:24Z,1164,172,1
idhf5P9co7k,Karaoke Ganteng 😎,2025-04-02T11:50:45Z,1145,216,3
7rcDViIb29U,【R.E.P.O.】kali ini kita menang!!!!! 🔥🔥🔥,2025-03-28T11:14:23Z,804,133,0
TOBg-myXIKk,【The Headliners】menjadi R.E.P.O.rter bersama nakamatachi 😎🎥,2025-03-25T16:30:12Z,1331,197,1
